t,value
1606559974,536870912
1606559989,536870912
1606559990,536870912
1606559990,536870912
1606559991,536870912
1606559991,536870912
1606559992,536870912
1606559995,536870912
1606559998,536870912
1606560001,536870912
1606560004,536870912
1606560007,536870912
1606560010,536870912
1606560013,536870912
1606560016,536870912
1606560019,536870912
1606560022,536870912
1606560025,536870912
1606560028,536870912
1606560031,536870912
1606560034,536870912
1606560037,536870912
1606560040,536870912
1606560043,536870912
1606560046,536870912
1606560049,536870912
1606560052,536870912
1606560055,536870912
1606560058,536870912
1606560061,536870912
1606560064,536870912
1606560067,536870912
1606560070,536870912
1606560073,536870912
1606560076,536870912
1606560079,536870912
1606560082,536870912
1606560085,536870912
1606560088,536870912
1606560091,536870912
1606560094,536870912
1606560097,536870912
1606560100,536870912
1606560103,536870912
1606560106,536870912
1606560109,536870912
1606560112,536870912
1606560115,536870912
1606560118,536870912
1606560121,536870912
1606560124,536870912
1606560127,536870912
1606560130,536870912
1606560133,536870912
1606560136,536870912
1606560139,536870912
1606560142,536870912
1606560145,536870912
1606560148,536870912
1606560151,536870912
1606560154,536870912
1606560157,536870912
1606560160,536870912
1606560163,536870912
1606560166,536870912
1606560169,536870912
1606560172,536870912
1606560175,536870912
1606560178,536870912
1606560181,536870912
1606560184,536870912
1606560187,536870912
1606560190,536870912
1606560193,536870912
1606560196,536870912
1606560199,536870912
1606560202,536870912
1606560205,536870912
1606560208,536870912
1606560211,536870912
1606560214,536870912
1606560217,536870912
1606560220,536870912
1606560223,536870912
1606560226,536870912
1606560229,536870912
1606560232,536870912
1606560235,536870912
1606560238,536870912
1606560241,536870912
1606560244,536870912
1606560247,536870912
1606560250,536870912
1606560253,536870912
1606560256,536870912
1606560259,536870912
1606560262,536870912
1606560265,536870912
1606560268,536870912
1606560271,536870912
1606560274,536870912
1606560277,536870912
1606560280,536870912
1606560283,536870912
1606560286,536870912
1606560289,536870912
1606560292,536870912
1606560295,536870912
1606560298,536870912
1606560301,536870912
1606560304,536870912
1606560307,536870912
1606560310,536870912
1606560313,536870912
1606560316,536870912
1606560319,536870912
1606560322,536870912
1606560325,536870912
1606560328,536870912
1606560331,536870912
1606560334,536870912
1606560337,536870912
1606560340,536870912
1606560343,536870912
1606560346,536870912
1606560349,536870912
1606560352,536870912
1606560355,536870912
1606560358,536870912
1606560361,536870912
1606560364,536870912
1606560367,536870912
1606560370,536870912
1606560373,536870912
1606560376,536870912
1606560379,536870912
1606560389,536870912
1606560390,536870912
1606560391,536870912
1606560391,536870912
1606560394,536870912
1606560397,536870912
1606560400,536870912
1606560403,536870912
1606560406,536870912
1606560409,536870912
1606560412,536870912
1606560415,536870912
1606560418,536870912
1606560421,536870912
1606560424,536870912
1606560427,536870912
1606560430,536870912
1606560433,536870912
1606560436,536870912
1606560439,536870912
1606560442,536870912
1606560445,536870912
1606560448,536870912
1606560451,536870912
1606560454,536870912
1606560457,536870912
1606560460,536870912
1606560463,536870912
1606560466,536870912
1606560469,536870912
1606560472,536870912
1606560475,536870912
1606560478,536870912
1606560481,536870912
1606560484,536870912
1606560487,536870912
1606560490,536870912
1606560493,536870912
1606560496,536870912
1606560499,536870912
1606560502,536870912
1606560505,536870912
1606560508,536870912
1606560511,536870912
1606560514,536870912
1606560517,536870912
1606560520,536870912
1606560523,536870912
1606560526,536870912
1606560529,536870912
1606560532,536870912
1606560535,536870912
1606560538,536870912
1606560541,536870912
1606560544,536870912
1606560547,536870912
1606560550,536870912
1606560553,536870912
1606560556,536870912
1606560559,536870912
1606560562,536870912
1606560565,536870912
1606560568,536870912
1606560571,536870912
1606560574,536870912
1606560577,536870912
1606560580,536870912
1606560583,536870912
1606560586,536870912
1606560589,536870912
1606560592,536870912
1606560595,536870912
1606560598,536870912
1606560601,536870912
1606560604,536870912
1606560607,536870912
1606560610,536870912
1606560613,536870912
1606560616,536870912
1606560619,536870912
1606560622,536870912
1606560625,536870912
1606560628,536870912
1606560631,536870912
1606560634,536870912
1606560637,536870912
1606560640,536870912
1606560643,536870912
1606560646,536870912
1606560649,536870912
1606560652,536870912
1606560655,536870912
1606560658,536870912
1606560661,536870912
1606560664,536870912
1606560667,536870912
1606560670,536870912
1606560673,536870912
1606560676,536870912
1606560679,536870912
1606560682,536870912
1606560685,536870912
1606560688,536870912
1606560691,536870912
1606560694,536870912
1606560697,536870912
1606560700,536870912
1606560703,536870912
1606560706,536870912
1606560709,536870912
1606560712,536870912
1606560715,536870912
1606560718,536870912
1606560721,536870912
1606560724,536870912
1606560727,536870912
1606560730,536870912
1606560733,536870912
1606560736,536870912
1606560739,536870912
1606560742,536870912
1606560745,536870912
1606560748,536870912
1606560751,536870912
1606560754,536870912
1606560757,536870912
1606560760,536870912
1606560763,536870912
1606560766,536870912
1606560769,536870912
1606560772,536870912
1606560775,536870912
1606560778,536870912
1606560781,536870912
1606560784,536870912
1606560787,536870912
1606560790,536870912
1606560793,536870912
1606560796,536870912
1606560799,536870912
1606560802,536870912
1606560805,536870912
1606560808,536870912
1606560811,536870912
1606560814,536870912
1606560817,536870912
1606560820,536870912
1606560823,536870912
1606560826,536870912
1606560829,536870912
1606560832,536870912
1606560835,536870912
1606560838,536870912
1606560841,536870912
1606560844,536870912
1606560847,536870912
1606560850,536870912
1606560853,536870912
1606560856,536870912
1606560859,536870912
1606560862,536870912
1606560865,536870912
1606560868,536870912
1606560871,536870912
1606560874,536870912
1606560877,536870912
1606560880,536870912
1606560883,536870912
1606560886,536870912
1606560889,536870912
1606560892,536870912
1606560895,536870912
1606560898,536870912
1606560901,536870912
1606560904,536870912
1606560907,536870912
1606560910,536870912
1606560913,536870912
1606560916,536870912
1606560919,536870912
1606560922,536870912
1606560925,536870912
1606560928,536870912
1606560931,536870912
1606560934,536870912
1606560937,536870912
1606560940,536870912
1606560943,536870912
1606560946,536870912
1606560949,536870912
1606560952,536870912
1606560955,536870912
1606560958,536870912
1606560961,536870912
1606560964,536870912
1606560967,536870912
1606560970,536870912
1606560973,536870912
1606560976,536870912
1606560979,536870912
1606560982,536870912
1606560985,536870912
1606560988,536870912
1606560991,536870912
1606560994,536870912
1606560997,536870912
1606561000,536870912
1606561003,536870912
1606561006,536870912
1606561009,536870912
1606561012,536870912
1606561015,536870912
1606561018,536870912
1606561021,536870912
1606561024,536870912
1606561027,536870912
1606561030,536870912
1606561033,536870912
1606561036,536870912
1606561039,536870912
1606561042,536870912
1606561045,536870912
1606561048,536870912
1606561051,536870912
1606561054,536870912
1606561057,536870912
1606561060,536870912
1606561063,536870912
1606561066,536870912
1606561069,536870912
1606561072,536870912
1606561075,536870912
1606561078,536870912
1606561081,536870912
1606561084,536870912
1606561087,536870912
1606561090,536870912
1606561093,536870912
1606561096,536870912
1606561099,536870912
1606561102,536870912
1606561105,536870912
1606561108,536870912
1606561111,536870912
1606561114,536870912
1606561117,536870912
1606561120,536870912
1606561123,536870912
1606561129,536870912
1606561135,536870912
1606561142,536870912
1606561144,536870912
1606561146,536870912
1606561148,536870912
1606561151,536870912
1606561154,536870912
1606561154,536870912
1606561155,536870912
1606561158,536870912
1606561159,536870912
1606561173,536870912
1606561175,536870912
1606561178,536870912
1606561180,536870912
1606561180,536870912
1606561181,536870912
1606561182,536870912
1606561183,536870912
1606561186,536870912
1606561189,536870912
1606561192,536870912
1606561195,536870912
1606561198,536870912
1606561201,536870912
1606561204,536870912
1606561207,536870912
1606561210,536870912
t,value
1606561529,536870912
1606561532,536870912
1606561535,536870912
1606561538,536870912
1606561541,536870912
1606561544,536870912
1606561547,536870912
1606561550,536870912
1606561553,536870912
1606561556,536870912
1606561559,536870912
1606561562,536870912
1606561565,536870912
1606561568,536870912
1606561571,536870912
1606561574,536870912
1606561577,536870912
1606561580,536870912
1606561583,536870912
1606561586,536870912
1606561589,536870912
1606561592,536870912
1606561595,536870912
1606561598,536870912
1606561601,536870912
1606561604,536870912
1606561607,536870912
1606561610,536870912
1606561613,536870912
1606561616,536870912
1606561619,536870912
1606561622,536870912
1606561625,536870912
1606561628,536870912
1606561631,536870912
1606561634,536870912
1606561637,536870912
1606561640,536870912
1606561643,536870912
1606561646,536870912
