t,value
1606559974,4194304
1606559989,4194304
1606559990,4194304
1606559990,4194304
1606559991,4194304
1606559991,4194304
1606559992,4194304
1606559995,4194304
1606559998,4194304
1606560001,4194304
1606560004,4194304
1606560007,4194304
1606560010,4194304
1606560013,4194304
1606560016,4194304
1606560019,4194304
1606560022,4194304
1606560025,4194304
1606560028,4194304
1606560031,4194304
1606560034,4194304
1606560037,4194304
1606560040,4194304
1606560043,4194304
1606560046,4194304
1606560049,4194304
1606560052,4194304
1606560055,4194304
1606560058,4194304
1606560061,4194304
1606560064,4194304
1606560067,4194304
1606560070,4194304
1606560073,4194304
1606560076,4194304
1606560079,4194304
1606560082,4194304
1606560085,4194304
1606560088,4194304
1606560091,4194304
1606560094,4194304
1606560097,4194304
1606560100,4194304
1606560103,4194304
1606560106,4194304
1606560109,4194304
1606560112,4194304
1606560115,4194304
1606560118,4194304
1606560121,4194304
1606560124,4194304
1606560127,4194304
1606560130,4194304
1606560133,4194304
1606560136,4194304
1606560139,4194304
1606560142,4194304
1606560145,4194304
1606560148,4194304
1606560151,4194304
1606560154,4194304
1606560157,4194304
1606560160,4194304
1606560163,4194304
1606560166,4194304
1606560169,4194304
1606560172,4194304
1606560175,4194304
1606560178,4194304
1606560181,4194304
1606560184,4194304
1606560187,4194304
1606560190,4194304
1606560193,4194304
1606560196,4194304
1606560199,4194304
1606560202,4194304
1606560205,4194304
1606560208,4194304
1606560211,4194304
1606560214,4194304
1606560217,4194304
1606560220,4194304
1606560223,4194304
1606560226,4194304
1606560229,4194304
1606560232,4194304
1606560235,4194304
1606560238,4194304
1606560241,4194304
1606560244,4194304
1606560247,4194304
1606560250,4194304
1606560253,4194304
1606560256,4194304
1606560259,4194304
1606560262,4194304
1606560265,4194304
1606560268,4194304
1606560271,4194304
1606560274,4194304
1606560277,4194304
1606560280,4194304
1606560283,4194304
1606560286,4194304
1606560289,4194304
1606560292,4194304
1606560295,4194304
1606560298,4194304
1606560301,4194304
1606560304,4194304
1606560307,4194304
1606560310,4194304
1606560313,4194304
1606560316,4194304
1606560319,4194304
1606560322,4194304
1606560325,4194304
1606560328,4194304
1606560331,4194304
1606560334,4194304
1606560337,4194304
1606560340,4194304
1606560343,4194304
1606560346,4194304
1606560349,4194304
1606560352,4194304
1606560355,4194304
1606560358,4194304
1606560361,4194304
1606560364,4194304
1606560367,4194304
1606560370,4194304
1606560373,4194304
1606560376,4194304
1606560379,4194304
1606560389,4194304
1606560390,4194304
1606560391,4194304
1606560391,4194304
1606560394,4194304
1606560397,4194304
1606560400,4194304
1606560403,4194304
1606560406,4194304
1606560409,4194304
1606560412,4194304
1606560415,4194304
1606560418,4194304
1606560421,4194304
1606560424,4194304
1606560427,4194304
1606560430,4194304
1606560433,4194304
1606560436,4194304
1606560439,4194304
1606560442,4194304
1606560445,4194304
1606560448,4194304
1606560451,4194304
1606560454,4194304
1606560457,4194304
1606560460,4194304
1606560463,4194304
1606560466,4194304
1606560469,4194304
1606560472,4194304
1606560475,4194304
1606560478,4194304
1606560481,4194304
1606560484,4194304
1606560487,4194304
1606560490,4194304
1606560493,4194304
1606560496,4194304
1606560499,4194304
1606560502,4194304
1606560505,4194304
1606560508,4194304
1606560511,4194304
1606560514,4194304
1606560517,4194304
1606560520,4194304
1606560523,4194304
1606560526,4194304
1606560529,4194304
1606560532,4194304
1606560535,4194304
1606560538,4194304
1606560541,4194304
1606560544,4194304
1606560547,4194304
1606560550,4194304
1606560553,4194304
1606560556,4194304
1606560559,4194304
1606560562,4194304
1606560565,4194304
1606560568,4194304
1606560571,4194304
1606560574,4194304
1606560577,4194304
1606560580,4194304
1606560583,4194304
1606560586,4194304
1606560589,4194304
1606560592,4194304
1606560595,4194304
1606560598,4194304
1606560601,4194304
1606560604,4194304
1606560607,4194304
1606560610,4194304
1606560613,4194304
1606560616,4194304
1606560619,4194304
1606560622,4194304
1606560625,4194304
1606560628,4194304
1606560631,4194304
1606560634,4194304
1606560637,4194304
1606560640,4194304
1606560643,4194304
1606560646,4194304
1606560649,4194304
1606560652,4194304
1606560655,4194304
1606560658,4194304
1606560661,4194304
1606560664,4194304
1606560667,4194304
1606560670,4194304
1606560673,4194304
1606560676,4194304
1606560679,4194304
1606560682,4194304
1606560685,4194304
1606560688,4194304
1606560691,4194304
1606560694,4194304
1606560697,4194304
1606560700,4194304
1606560703,4194304
1606560706,4194304
1606560709,4194304
1606560712,4194304
1606560715,4194304
1606560718,4194304
1606560721,4194304
1606560724,4194304
1606560727,4194304
1606560730,4194304
1606560733,4194304
1606560736,4194304
1606560739,4194304
1606560742,4194304
1606560745,4194304
1606560748,4194304
1606560751,4194304
1606560754,4194304
1606560757,4194304
1606560760,4194304
1606560763,4194304
1606560766,4194304
1606560769,4194304
1606560772,4194304
1606560775,4194304
1606560778,4194304
1606560781,4194304
1606560784,4194304
1606560787,4194304
1606560790,4194304
1606560793,4194304
1606560796,4194304
1606560799,4194304
1606560802,4194304
1606560805,4194304
1606560808,4194304
1606560811,4194304
1606560814,4194304
1606560817,4194304
1606560820,4194304
1606560823,4194304
1606560826,4194304
1606560829,4194304
1606560832,4194304
1606560835,4194304
1606560838,4194304
1606560841,4194304
1606560844,4194304
1606560847,4194304
1606560850,4194304
1606560853,4194304
1606560856,4194304
1606560859,4194304
1606560862,4194304
1606560865,4194304
1606560868,4194304
1606560871,4194304
1606560874,4194304
1606560877,4194304
1606560880,4194304
1606560883,4194304
1606560886,4194304
1606560889,4194304
1606560892,4194304
1606560895,4194304
1606560898,4194304
1606560901,4194304
1606560904,4194304
1606560907,4194304
1606560910,4194304
1606560913,4194304
1606560916,4194304
1606560919,4194304
1606560922,4194304
1606560925,4194304
1606560928,4194304
1606560931,4194304
1606560934,4194304
1606560937,4194304
1606560940,4194304
1606560943,4194304
1606560946,4194304
1606560949,4194304
1606560952,4194304
1606560955,4194304
1606560958,4194304
1606560961,4194304
1606560964,4194304
1606560967,4194304
1606560970,4194304
1606560973,4194304
1606560976,4194304
1606560979,4194304
1606560982,4194304
1606560985,4194304
1606560988,4194304
1606560991,4194304
1606560994,4194304
1606560997,4194304
1606561000,4194304
1606561003,4194304
1606561006,4194304
1606561009,4194304
1606561012,4194304
1606561015,4194304
1606561018,4194304
1606561021,4194304
1606561024,4194304
1606561027,4194304
1606561030,4194304
1606561033,4194304
1606561036,4194304
1606561039,4194304
1606561042,4194304
1606561045,4194304
1606561048,4194304
1606561051,4194304
1606561054,4194304
1606561057,4194304
1606561060,4194304
1606561063,4194304
1606561066,4194304
1606561069,4194304
1606561072,4194304
1606561075,4194304
1606561078,4194304
1606561081,4194304
1606561084,4194304
1606561087,4194304
1606561090,4194304
1606561093,4194304
1606561096,4194304
1606561099,4194304
1606561102,4194304
1606561105,4194304
1606561108,4194304
1606561111,4194304
1606561114,4194304
1606561117,4194304
1606561120,4194304
1606561123,4194304
1606561129,4194304
1606561135,4194304
1606561142,4194304
1606561144,4194304
1606561146,4194304
1606561148,4194304
1606561151,4194304
1606561154,4194304
1606561154,4194304
1606561155,4194304
1606561158,4194304
1606561159,4194304
1606561173,4194304
1606561175,4194304
1606561178,4194304
1606561180,4194304
1606561180,4194304
1606561181,4194304
1606561182,4194304
1606561183,4194304
1606561186,4194304
1606561189,4194304
1606561192,4194304
1606561195,4194304
1606561198,4194304
1606561201,4194304
1606561204,4194304
1606561207,4194304
1606561210,4194304
t,value
1606561529,6815744
1606561532,6815744
1606561535,6815744
1606561538,6815744
1606561541,6815744
1606561544,6815744
1606561547,6815744
1606561550,6815744
1606561553,6815744
1606561556,6815744
1606561559,6815744
1606561562,6815744
1606561565,6815744
1606561568,6815744
1606561571,6815744
1606561574,6815744
1606561577,6815744
1606561580,6815744
1606561583,6815744
1606561586,6815744
1606561589,6815744
1606561592,6815744
1606561595,6815744
1606561598,6815744
1606561601,6815744
1606561604,6815744
1606561607,6815744
1606561610,6815744
1606561613,6815744
1606561616,6815744
1606561619,6815744
1606561622,6815744
1606561625,6815744
1606561628,6815744
1606561631,6815744
1606561634,6815744
1606561637,6815744
1606561640,6815744
1606561643,6815744
1606561646,6815744
1606561649,6815744
1606561652,6815744
1606561655,6815744
1606561658,6815744
1606561661,6815744
1606561664,6815744
1606561667,6815744
1606561670,6815744
1606561673,6815744
1606561676,6815744
1606561679,6815744
1606561682,6815744
1606561685,6815744
1606561688,6815744
1606561691,6815744
1606561694,6815744
1606561697,6815744
1606561700,6815744
1606561703,6815744
1606561706,6815744
1606561709,6815744
1606561712,6815744
1606561715,6815744
1606561718,6815744
1606561721,6815744
1606561724,6815744
1606561727,6815744
1606561730,6815744
1606561733,6815744
1606561736,6815744
1606561739,6815744
1606561742,6815744
1606561745,6815744
1606561748,6815744
1606561751,6815744
1606561754,6815744
1606561757,6815744
1606561760,6815744
1606561763,6815744
1606561766,6815744
1606561769,6815744
1606561772,6815744
1606561775,6815744
1606561778,6815744
1606561781,6815744
1606561784,6815744
1606561787,6815744
1606561790,6815744
1606561793,6815744
1606561796,6815744
1606561799,6815744
1606561802,6815744
1606561805,6815744
1606561808,6815744
t,value
1606561865,5242880
1606561868,5242880
1606561871,5242880
1606561874,5242880
1606561877,5242880
1606561880,5242880
1606561883,5242880
1606561886,5242880
1606561889,5242880
1606561892,5242880
1606561895,5242880
1606561898,5242880
1606561901,5242880
1606561904,5242880
1606561907,5242880
1606561910,5242880
1606561913,5242880
1606561916,5242880
1606561919,5242880
1606561922,5242880
1606561925,5242880
1606561928,5242880
1606561931,5242880
1606561934,5242880
1606561937,5242880
1606561940,5242880
1606561943,5242880
1606561946,5242880
1606561949,5242880
1606561952,5242880
1606561955,5242880
1606561958,5242880
1606561961,5242880
1606561964,5242880
1606561967,5242880
1606561970,5242880
1606561973,5242880
1606561976,5242880
1606561979,5242880
1606561982,5242880
1606561985,5242880
1606561988,5242880
1606561991,5242880
1606561994,5242880
1606561997,5242880
1606562000,5242880
1606562003,5242880
1606562006,5242880
1606562009,5242880
1606562012,5242880
1606562015,5242880
1606562018,5242880
1606562021,5242880
1606562024,5242880
1606562027,5242880
1606562030,5242880
1606562033,5242880
1606562036,5242880
1606562039,5242880
1606562042,5242880
1606562045,5242880
1606562048,5242880
1606562051,5242880
1606562054,5242880
1606562057,5242880
1606562060,5242880
1606562063,5242880
1606562066,5242880
1606562069,5242880
1606562072,5242880
1606562075,5242880
1606562078,5242880
1606562081,5242880
1606562084,5242880
1606562087,5242880
1606562090,5242880
1606562093,5242880
1606562096,5242880
1606562099,5242880
1606562102,5242880
1606562105,5242880
1606562108,5242880
1606562111,5242880
1606562114,5242880
1606562117,5242880
1606562120,5242880
1606562123,5242880
1606562126,5242880
1606562129,5242880
1606562132,5242880
1606562135,5242880
1606562138,5242880
1606562141,5242880
1606562144,5242880
1606562147,5242880
1606562150,5242880
1606562153,5242880
1606562156,5242880
1606562159,5242880
1606562162,5242880
1606562165,5242880
1606562168,5242880
1606562171,5242880
1606562174,5242880
1606562177,5242880
1606562180,5242880
1606562183,5242880
1606562186,5242880
1606562189,5242880
1606562192,5242880
1606562195,5242880
1606562198,5242880
1606562201,5242880
1606562204,5242880
1606562207,5242880
1606562210,5242880
1606562213,5242880
1606562216,5242880
1606562219,5242880
1606562222,5242880
1606562225,5242880
1606562228,5242880
1606562231,5242880
1606562234,5242880
1606562237,5242880
1606562240,5242880
1606562243,5242880
1606562246,5242880
1606562249,5242880
1606562252,5242880
1606562255,5242880
1606562258,5242880
1606562261,5242880
1606562264,5242880
1606562267,5242880
1606562270,5242880
1606562273,5242880
1606562276,5242880
1606562279,5242880
1606562282,5242880
1606562285,5242880
1606562288,5242880
1606562291,5242880
1606562294,5242880
1606562297,5242880
1606562300,5242880
1606562303,5242880
1606562306,5242880
1606562309,5242880
1606562312,5242880
1606562315,5242880
1606562318,5242880
1606562321,5242880
1606562324,5242880
1606562327,5242880
1606562330,5242880
1606562333,5242880
1606562336,5242880
1606562339,5242880
1606562342,5242880
1606562345,5242880
1606562348,5242880
