t,value
1606559974,229520
1606559989,229520
1606559990,229520
1606559990,229520
1606559991,229520
1606559991,229520
1606559992,229520
1606559995,229520
1606559998,229520
1606560001,229520
1606560004,229520
1606560007,229520
1606560010,229520
1606560013,229520
1606560016,229520
1606560019,229520
1606560022,229520
1606560025,229520
1606560028,229520
1606560031,229520
1606560034,229520
1606560037,229520
1606560040,229520
1606560043,229520
1606560046,229520
1606560049,229520
1606560052,229520
1606560055,229520
1606560058,229520
1606560061,229520
1606560064,229520
1606560067,229520
1606560070,229520
1606560073,229520
1606560076,229520
1606560079,229520
1606560082,229520
1606560085,229520
1606560088,229520
1606560091,229520
1606560094,229520
1606560097,229520
1606560100,229520
1606560103,229520
1606560106,229520
1606560109,229520
1606560112,229520
1606560115,229520
1606560118,229520
1606560121,229520
1606560124,229520
1606560127,229520
1606560130,229520
1606560133,229520
1606560136,229520
1606560139,229520
1606560142,229520
1606560145,229520
1606560148,229520
1606560151,229520
1606560154,229520
1606560157,229520
1606560160,229520
1606560163,229520
1606560166,229520
1606560169,229520
1606560172,229520
1606560175,229520
1606560178,229520
1606560181,229520
1606560184,229520
1606560187,229520
1606560190,229520
1606560193,229520
1606560196,229520
1606560199,229520
1606560202,229520
1606560205,229520
1606560208,229520
1606560211,229520
1606560214,229520
1606560217,229520
1606560220,229520
1606560223,229520
1606560226,229520
1606560229,229520
1606560232,229520
1606560235,229520
1606560238,229520
1606560241,229520
1606560244,229520
1606560247,229520
1606560250,229520
1606560253,229520
1606560256,229520
1606560259,229520
1606560262,229520
1606560265,229520
1606560268,229520
1606560271,229520
1606560274,229520
1606560277,229520
1606560280,229520
1606560283,229520
1606560286,229520
1606560289,229520
1606560292,229520
1606560295,229520
1606560298,229520
1606560301,229520
1606560304,229520
1606560307,229520
1606560310,229520
1606560313,229520
1606560316,229520
1606560319,229520
1606560322,229520
1606560325,229520
1606560328,229520
1606560331,229520
1606560334,229520
1606560337,229520
1606560340,229520
1606560343,229520
1606560346,229520
1606560349,229520
1606560352,229520
1606560355,229520
1606560358,229520
1606560361,229520
1606560364,229520
1606560367,229520
1606560370,229520
1606560373,229520
1606560376,229520
1606560379,229520
1606560389,229520
1606560390,229520
1606560391,229520
1606560391,229520
1606560394,229520
