t,value
1606559974,0
1606559989,0
1606559990,0
1606559990,0
1606559991,0
1606559991,0
1606559992,0
1606559995,0
1606559998,0
1606560001,0
1606560004,0
1606560007,0
1606560010,0
1606560013,0
1606560016,0
1606560019,0
1606560022,0
1606560025,0
1606560028,0
1606560031,0
1606560034,0
1606560037,0
1606560040,0
1606560043,0
1606560046,0
1606560049,0
1606560052,0
1606560055,0
1606560058,0
1606560061,0
1606560064,0
1606560067,0
1606560070,0
1606560073,0
1606560076,0
1606560079,0
1606560082,0
1606560085,0
1606560088,0
1606560091,0
1606560094,0
1606560097,0
1606560100,0
1606560103,0
1606560106,0
1606560109,0
1606560112,0
1606560115,0
1606560118,0
1606560121,0
1606560124,0
1606560127,0
1606560130,0
1606560133,0
1606560136,0
1606560139,0
1606560142,0
1606560145,0
1606560148,0
1606560151,0
1606560154,0
1606560157,0
1606560160,0
1606560163,0
1606560166,0
1606560169,0
1606560172,0
1606560175,0
1606560178,0
1606560181,0
1606560184,0
1606560187,0
1606560190,0
1606560193,0
1606560196,0
1606560199,0
1606560202,0
1606560205,0
1606560208,0
1606560211,0
1606560214,0
1606560217,0
1606560220,0
1606560223,0
1606560226,0
1606560229,0
1606560232,0
1606560235,0
1606560238,0
1606560241,0
1606560244,0
1606560247,0
1606560250,0
1606560253,0
1606560256,0
1606560259,0
1606560262,0
1606560265,0
1606560268,0
1606560271,0
1606560274,0
1606560277,0
1606560280,0
1606560283,0
1606560286,0
1606560289,0
1606560292,0
1606560295,0
1606560298,0
1606560301,0
1606560304,0
1606560307,0
1606560310,0
1606560313,0
1606560316,0
1606560319,0
1606560322,0
1606560325,0
1606560328,0
1606560331,0
1606560334,0
1606560337,0
1606560340,0
1606560343,0
1606560346,0
1606560349,0
1606560352,0
1606560355,0
1606560358,0
1606560361,0
1606560364,0
1606560367,0
1606560370,0
1606560373,0
1606560376,0
1606560379,0
1606560389,0
1606560390,0
1606560391,0
1606560391,0
1606560394,0
1606560397,0
1606560400,0
1606560403,0
1606560406,0
1606560409,0
1606560412,0
1606560415,0
1606560418,0
1606560421,0
1606560424,0
1606560427,0
1606560430,0
1606560433,0
1606560436,0
1606560439,0
1606560442,0
1606560445,0
1606560448,0
1606560451,0
1606560454,0
1606560457,0
1606560460,0
1606560463,0
1606560466,0
1606560469,0
1606560472,0
1606560475,0
1606560478,0
1606560481,0
1606560484,0
1606560487,0
1606560490,0
1606560493,0
1606560496,0
1606560499,0
1606560502,0
1606560505,0
1606560508,0
1606560511,0
1606560514,0
1606560517,0
1606560520,0
1606560523,0
1606560526,0
1606560529,0
1606560532,0
1606560535,0
1606560538,0
1606560541,0
1606560544,0
1606560547,0
1606560550,0
1606560553,0
1606560556,0
1606560559,0
1606560562,0
1606560565,0
1606560568,0
1606560571,0
1606560574,0
1606560577,0
1606560580,0
1606560583,0
1606560586,0
1606560589,0
1606560592,0
1606560595,0
1606560598,0
1606560601,0
1606560604,0
1606560607,0
1606560610,0
1606560613,0
1606560616,0
1606560619,0
1606560622,0
1606560625,0
1606560628,0
1606560631,0
1606560634,0
1606560637,0
1606560640,0
1606560643,0
1606560646,0
1606560649,0
1606560652,0
1606560655,0
1606560658,0
1606560661,0
1606560664,0
1606560667,0
1606560670,0
1606560673,0
1606560676,0
1606560679,0
1606560682,0
1606560685,0
1606560688,0
1606560691,0
1606560694,0
1606560697,0
1606560700,0
1606560703,0
1606560706,0
1606560709,0
1606560712,0
1606560715,0
1606560718,0
1606560721,0
1606560724,0
1606560727,0
1606560730,0
1606560733,0
1606560736,0
1606560739,0
1606560742,0
1606560745,0
1606560748,0
1606560751,0
1606560754,0
1606560757,0
1606560760,0
1606560763,0
1606560766,0
1606560769,0
1606560772,0
1606560775,0
1606560778,0
1606560781,0
1606560784,0
1606560787,0
1606560790,0
1606560793,0
1606560796,0
1606560799,0
1606560802,0
1606560805,0
1606560808,0
1606560811,0
1606560814,0
1606560817,0
1606560820,0
1606560823,0
1606560826,0
1606560829,0
1606560832,0
1606560835,0
1606560838,0
1606560841,0
1606560844,0
1606560847,0
1606560850,0
1606560853,0
1606560856,0
1606560859,0
1606560862,0
1606560865,0
1606560868,0
1606560871,0
1606560874,0
1606560877,0
1606560880,0
1606560883,0
1606560886,0
1606560889,0
1606560892,0
1606560895,0
1606560898,0
1606560901,0
1606560904,0
1606560907,0
1606560910,0
1606560913,0
1606560916,0
1606560919,0
1606560922,0
1606560925,0
1606560928,0
1606560931,0
1606560934,0
1606560937,0
1606560940,0
1606560943,0
1606560946,0
1606560949,0
1606560952,0
1606560955,0
1606560958,0
1606560961,0
1606560964,0
1606560967,0
1606560970,0
1606560973,0
1606560976,0
1606560979,0
1606560982,0
1606560985,0
1606560988,0
1606560991,0
1606560994,0
1606560997,0
1606561000,0
1606561003,0
1606561006,0
1606561009,0
1606561012,0
1606561015,0
1606561018,0
1606561021,0
1606561024,0
1606561027,0
1606561030,0
1606561033,0
1606561036,0
1606561039,0
1606561042,0
1606561045,0
1606561048,0
1606561051,0
1606561054,0
1606561057,0
1606561060,0
1606561063,0
1606561066,0
1606561069,0
1606561072,0
1606561075,0
1606561078,0
1606561081,0
1606561084,0
1606561087,0
1606561090,0
1606561093,0
1606561096,0
1606561099,0
1606561102,0
1606561105,0
1606561108,0
1606561111,0
1606561114,0
1606561117,0
1606561120,0
1606561123,0
1606561129,0
1606561135,0
1606561142,0
1606561144,0
1606561146,0
1606561148,0
1606561151,0
1606561154,0
1606561154,0
1606561155,0
1606561158,0
1606561159,0
1606561173,0
1606561175,0
1606561178,0
1606561180,0
1606561180,0
1606561181,0
1606561182,0
1606561183,0
1606561186,0
1606561189,0
1606561192,0
1606561195,0
1606561198,0
1606561201,0
1606561204,0
1606561207,0
1606561210,0
t,value
1606561529,0
1606561532,0
1606561535,0
1606561538,0
1606561541,0
1606561544,0
1606561547,0
1606561550,0
1606561553,0
1606561556,0
1606561559,0
1606561562,0
1606561565,0
1606561568,0
1606561571,0
1606561574,0
1606561577,0
1606561580,0
1606561583,0
1606561586,0
1606561589,0
1606561592,0
1606561595,0
1606561598,0
1606561601,0
1606561604,0
1606561607,0
1606561610,0
1606561613,0
1606561616,0
1606561619,0
1606561622,0
1606561625,0
1606561628,0
1606561631,0
1606561634,0
1606561637,0
1606561640,0
1606561643,0
1606561646,0
1606561649,0
1606561652,0
1606561655,0
1606561658,0
1606561661,0
1606561664,0
1606561667,0
1606561670,0
1606561673,0
1606561676,0
1606561679,0
1606561682,0
1606561685,0
1606561688,0
1606561691,0
1606561694,0
1606561697,0
1606561700,0
1606561703,0
1606561706,0
1606561709,0
1606561712,0
1606561715,0
1606561718,0
1606561721,0
1606561724,0
1606561727,0
1606561730,0
1606561733,0
1606561736,0
1606561739,0
1606561742,0
1606561745,0
1606561748,0
1606561751,0
1606561754,0
1606561757,0
1606561760,0
1606561763,0
1606561766,0
1606561769,0
1606561772,0
1606561775,0
1606561778,0
1606561781,0
1606561784,0
1606561787,0
1606561790,0
1606561793,0
1606561796,0
1606561799,0
1606561802,0
1606561805,0
1606561808,0
t,value
1606561865,0
1606561868,0
1606561871,0
1606561874,0
1606561877,0
1606561880,0
1606561883,0
1606561886,0
1606561889,0
1606561892,0
1606561895,0
1606561898,0
1606561901,0
1606561904,0
1606561907,0
1606561910,0
1606561913,0
1606561916,0
1606561919,0
1606561922,0
1606561925,0
1606561928,0
1606561931,0
1606561934,0
1606561937,0
1606561940,0
1606561943,0
1606561946,0
1606561949,0
1606561952,0
1606561955,0
1606561958,0
1606561961,0
1606561964,0
1606561967,0
1606561970,0
1606561973,0
1606561976,0
1606561979,0
1606561982,0
1606561985,0
1606561988,0
1606561991,0
1606561994,0
1606561997,0
1606562000,0
1606562003,0
1606562006,0
1606562009,0
1606562012,0
1606562015,0
1606562018,0
1606562021,0
1606562024,0
1606562027,0
1606562030,0
1606562033,0
1606562036,0
1606562039,0
1606562042,0
1606562045,0
1606562048,0
1606562051,0
1606562054,0
1606562057,0
1606562060,0
1606562063,0
1606562066,0
1606562069,0
1606562072,0
1606562075,0
1606562078,0
1606562081,0
1606562084,0
1606562087,0
1606562090,0
1606562093,0
1606562096,0
1606562099,0
1606562102,0
1606562105,0
1606562108,0
1606562111,0
1606562114,0
1606562117,0
1606562120,0
1606562123,0
1606562126,0
1606562129,0
1606562132,0
1606562135,0
1606562138,0
1606562141,0
1606562144,0
1606562147,0
1606562150,0
1606562153,0
1606562156,0
1606562159,0
1606562162,0
1606562165,0
1606562168,0
1606562171,0
1606562174,0
1606562177,0
1606562180,0
1606562183,0
1606562186,0
1606562189,0
1606562192,0
1606562195,0
1606562198,0
1606562201,0
1606562204,0
1606562207,0
1606562210,0
1606562213,0
1606562216,0
1606562219,0
1606562222,0
1606562225,0
1606562228,0
1606562231,0
1606562234,0
1606562237,0
1606562240,0
1606562243,0
1606562246,0
1606562249,0
1606562252,0
1606562255,0
1606562258,0
1606562261,0
1606562264,0
1606562267,0
1606562270,0
1606562273,0
1606562276,0
1606562279,0
1606562282,0
1606562285,0
1606562288,0
1606562291,0
1606562294,0
1606562297,0
1606562300,0
1606562303,0
1606562306,0
1606562309,0
1606562312,0
1606562315,0
1606562318,0
1606562321,0
1606562324,0
1606562327,0
1606562330,0
1606562333,0
1606562336,0
1606562339,0
1606562342,0
1606562345,0
1606562348,0
1606562351,0
1606562354,0
1606562357,0
1606562360,0
1606562363,0
1606562366,0
1606562369,0
1606562372,0
1606562375,0
1606562378,0
1606562381,0
1606562384,0
1606562387,0
1606562390,0
1606562393,0
1606562396,0
1606562399,0
1606562402,0
1606562405,0
1606562408,0
1606562411,0
1606562414,0
1606562417,0
1606562420,0
1606562423,0
1606562426,0
1606562429,0
1606562432,0
1606562435,0
1606562438,0
1606562441,0
1606562444,0
1606562447,0
1606562450,0
1606562453,0
1606562456,0
1606562459,0
1606562462,0
1606562465,0
1606562468,0
1606562471,0
1606562474,0
1606562477,0
1606562480,0
1606562483,0
1606562486,0
1606562489,0
1606562492,0
1606562495,0
1606562498,0
1606562501,0
1606562504,0
1606562507,0
1606562510,0
1606562513,0
1606562516,0
1606562519,0
1606562522,0
1606562525,0
1606562528,0
1606562531,0
1606562534,0
1606562537,0
1606562540,0
1606562543,0
1606562546,0
1606562549,0
1606562552,0
1606562555,0
1606562558,0
1606562561,0
1606562564,0
1606562567,0
1606562570,0
1606562573,0
1606562576,0
1606562579,0
1606562582,0
1606562585,0
1606562588,0
1606562591,0
1606562594,0
1606562597,0
1606562600,0
1606562603,0
1606562606,0
1606562609,0
1606562612,0
1606562615,0
1606562618,0
1606562621,0
1606562624,0
1606562627,0
1606562630,0
1606562633,0
1606562636,0
1606562639,0
1606562642,0
1606562645,0
1606562648,0
1606562651,0
1606562654,0
1606562657,0
1606562660,0
1606562663,0
1606562666,0
1606562669,0
1606562672,0
1606562675,0
1606562678,0
1606562681,0
1606562684,0
1606562687,0
1606562690,0
1606562693,0
1606562696,0
1606562699,0
1606562702,0
1606562705,0
1606562708,0
1606562711,0
1606562714,0
1606562717,0
1606562720,0
1606562723,0
1606562726,0
1606562729,0
1606562732,0
1606562735,0
1606562738,0
1606562741,0
1606562744,0
1606562747,0
1606562750,0
1606562753,0
1606562756,0
1606562759,0
1606562762,0
1606562765,0
1606562768,0
1606562771,0
1606562774,0
1606562777,0
1606562780,0
1606562783,0
1606562786,0
1606562789,0
1606562792,0
1606562795,0
1606562798,0
1606562801,0
1606562804,0
1606562807,0
1606562810,0
1606562813,0
1606562816,0
1606562819,0
1606562822,0
1606562825,0
1606562828,0
1606562831,0
1606562834,0
1606562837,0
1606562840,0
1606562843,0
1606562846,0
1606562849,0
1606562852,0
1606562855,0
1606562858,0
1606562861,0
1606562864,0
1606562867,0
1606562870,0
1606562873,0
1606562876,0
1606562879,0
1606562882,0
1606562885,0
1606562888,0
1606562891,0
1606562894,0
1606562897,0
1606562900,0
1606562903,0
1606562906,0
1606562909,0
1606562912,0
1606562915,0
1606562918,0
1606562921,0
1606562924,0
1606562927,0
1606562930,0
1606562933,0
1606562936,0
1606562939,0
1606562942,0
1606562945,0
1606562948,0
1606562951,0
1606562954,0
1606562957,0
1606562960,0
1606562963,0
1606562966,0
1606562969,0
1606562972,0
1606562975,0
1606562978,0
1606562981,0
1606562984,0
1606562987,0
1606562990,0
1606562993,0
1606562996,0
1606562999,0
1606563002,0
1606563005,0
1606563008,0
1606563011,0
1606563014,0
1606563017,0
1606563020,0
1606563023,0
1606563026,0
1606563029,0
1606563032,0
1606563035,0
1606563038,0
1606563041,0
1606563044,0
1606563047,0
1606563050,0
1606563053,0
1606563056,0
1606563059,0
1606563062,0
1606563065,0
1606563068,0
1606563071,0
1606563074,0
1606563077,0
1606563080,0
1606563083,0
1606563086,0
1606563089,0
1606563092,0
1606563095,0
1606563098,0
1606563101,0
1606563104,0
1606563107,0
1606563110,0
1606563113,0
1606563116,0
1606563119,0
1606563122,0
1606563125,0
1606563128,0
1606563131,0
1606563134,0
1606563137,0
1606563140,0
1606563143,0
1606563146,0
1606563149,0
1606563152,0
1606563155,0
1606563158,0
1606563161,0
1606563164,0
1606563167,0
1606563170,0
1606563173,0
1606563176,0
1606563179,0
1606563182,0
1606563185,0
1606563188,0
1606563191,0
1606563194,0
1606563197,0
1606563200,0
1606563203,0
1606563206,0
1606563209,0
1606563212,0
1606563215,0
1606563218,0
1606563221,0
1606563224,0
1606563227,0
1606563230,0
1606563233,0
1606563236,0
1606563239,0
1606563242,0
1606563245,0
1606563248,0
1606563251,0
1606563254,0
1606563257,0
1606563260,0
1606563263,0
1606563266,0
1606563269,0
1606563272,0
1606563275,0
1606563278,0
1606563281,0
1606563284,0
1606563287,0
1606563290,0
1606563293,0
1606563296,0
1606563299,0
1606563302,0
1606563305,0
1606563308,0
1606563311,0
1606563314,0
1606563317,0
1606563320,0
1606563323,0
1606563326,0
1606563329,0
1606563332,0
1606563335,0
1606563338,0
1606563341,0
1606563344,0
1606563347,0
1606563350,0
1606563353,0
1606563356,0
1606563359,0
1606563362,0
1606563365,0
1606563368,0
1606563371,0
1606563374,0
1606563377,0
1606563380,0
1606563383,0
1606563386,0
1606563389,0
1606563392,0
1606563395,0
1606563398,0
1606563401,0
1606563404,0
1606563407,0
1606563410,0
1606563413,0
1606563416,0
1606563419,0
1606563422,0
1606563425,0
1606563428,0
1606563431,0
1606563434,0
1606563437,0
1606563440,0
1606563443,0
1606563446,0
1606563449,0
1606563452,0
1606563455,0
1606563458,0
1606563461,0
1606563464,0
1606563467,0
1606563470,0
1606563473,0
1606563476,0
1606563479,0
1606563482,0
1606563485,0
1606563488,0
1606563491,0
1606563494,0
1606563497,0
1606563500,0
1606563503,0
1606563506,0
1606563509,0
1606563512,0
1606563515,0
1606563518,0
1606563521,0
1606563524,0
1606563527,0
1606563530,0
1606563533,0
1606563536,0
1606563539,0
1606563542,0
1606563545,0
1606563548,0
1606563551,0
1606563554,0
1606563557,0
1606563560,0
1606563563,0
1606563566,0
1606563569,0
1606563572,0
1606563575,0
1606563578,0
1606563581,0
1606563584,0
1606563587,0
1606563590,0
1606563593,0
1606563596,0
1606563599,0
1606563602,0
1606563605,0
1606563608,0
1606563611,0
1606563614,0
1606563617,0
1606563620,0
1606563623,0
1606563626,0
1606563629,0
1606563632,0
1606563635,0
1606563638,0
1606563641,0
1606563644,0
1606563647,0
1606563650,0
1606563653,0
1606563656,0
1606563659,0
1606563662,0
1606563665,0
1606563668,0
1606563671,0
1606563674,0
1606563677,0
1606563680,0
1606563683,0
1606563686,0
1606563689,0
1606563692,0
1606563695,0
1606563698,0
1606563701,0
1606563704,0
1606563707,0
1606563710,0
1606563713,0
1606563716,0
1606563719,0
1606563722,0
1606563725,0
1606563728,0
1606563731,0
1606563734,0
1606563737,0
1606563740,0
1606563743,0
1606563746,0
1606563749,0
1606563752,0
1606563755,0
1606563758,0
1606563761,0
1606563764,0
1606563767,0
1606563770,0
1606563773,0
1606563776,0
1606563779,0
1606563782,0
1606563785,0
1606563788,0
1606563791,0
1606563794,0
1606563797,0
1606563800,0
1606563803,0
1606563806,0
