t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1606559974,64,2.381909,0.000000,0.000000,0.000000,events/second
1606559989,64,1.980544,0.000000,0.000000,0.000000,events/second
1606559990,64,1.946039,0.000000,0.000000,0.000000,events/second
1606559990,64,1.928657,0.000000,0.000000,0.000000,events/second
1606559991,64,1.914327,0.000000,0.000000,0.000000,events/second
1606559991,64,1.899027,0.000000,0.000000,0.000000,events/second
1606559992,64,1.848760,0.000000,0.000000,0.000000,events/second
1606559995,64,1.697876,0.000000,0.000000,0.000000,events/second
1606559998,64,1.577738,0.000000,0.000000,0.000000,events/second
1606560001,64,1.469327,0.000000,0.000000,0.000000,events/second
1606560004,64,1.377781,0.000000,0.000000,0.000000,events/second
1606560007,64,1.293869,0.000000,0.000000,0.000000,events/second
1606560010,64,1.209229,0.000000,0.000000,0.000000,events/second
1606560013,64,1.152466,0.000000,0.000000,0.000000,events/second
1606560016,64,1.088603,0.000000,0.000000,0.000000,events/second
1606560019,64,1.040634,0.000000,0.000000,0.000000,events/second
1606560022,64,0.972282,0.000000,0.000000,0.000000,events/second
1606560025,64,0.945698,0.000000,0.000000,0.000000,events/second
1606560028,64,0.907495,0.000000,0.000000,0.000000,events/second
1606560031,64,0.871233,0.000000,0.000000,0.000000,events/second
1606560034,64,0.837230,0.000000,0.000000,0.000000,events/second
1606560037,64,0.805718,0.000000,0.000000,0.000000,events/second
1606560040,64,0.773523,0.000000,0.000000,0.000000,events/second
1606560043,64,0.748938,0.000000,0.000000,0.000000,events/second
1606560046,64,0.723675,0.000000,0.000000,0.000000,events/second
1606560049,64,0.699398,0.000000,0.000000,0.000000,events/second
1606560052,64,0.676431,0.000000,0.000000,0.000000,events/second
1606560055,64,0.656875,0.000000,0.000000,0.000000,events/second
1606560058,64,0.637180,0.000000,0.000000,0.000000,events/second
1606560061,64,0.618613,0.000000,0.000000,0.000000,events/second
1606560064,64,0.601168,0.000000,0.000000,0.000000,events/second
1606560067,64,0.584872,0.000000,0.000000,0.000000,events/second
1606560070,64,0.568819,0.000000,0.000000,0.000000,events/second
1606560073,64,0.553042,0.000000,0.000000,0.000000,events/second
1606560076,64,0.539797,0.000000,0.000000,0.000000,events/second
1606560079,64,0.519362,0.000000,0.000000,0.000000,events/second
1606560082,64,0.514245,0.000000,0.000000,0.000000,events/second
1606560085,64,0.501251,0.000000,0.000000,0.000000,events/second
1606560088,64,0.488096,0.000000,0.000000,0.000000,events/second
1606560091,64,0.475399,0.000000,0.000000,0.000000,events/second
1606560094,64,0.467204,0.000000,0.000000,0.000000,events/second
1606560097,64,0.458961,0.000000,0.000000,0.000000,events/second
1606560100,64,0.449327,0.000000,0.000000,0.000000,events/second
1606560103,64,0.440084,0.000000,0.000000,0.000000,events/second
1606560106,64,0.431033,0.000000,0.000000,0.000000,events/second
1606560109,64,0.422625,0.000000,0.000000,0.000000,events/second
1606560112,64,0.414326,0.000000,0.000000,0.000000,events/second
1606560115,64,0.406581,0.000000,0.000000,0.000000,events/second
1606560118,64,0.398764,0.000000,0.000000,0.000000,events/second
1606560121,64,0.391633,0.000000,0.000000,0.000000,events/second
1606560124,64,0.384541,0.000000,0.000000,0.000000,events/second
1606560127,64,0.377710,0.000000,0.000000,0.000000,events/second
1606560130,64,0.371212,0.000000,0.000000,0.000000,events/second
1606560133,64,0.364830,0.000000,0.000000,0.000000,events/second
1606560136,64,0.358684,0.000000,0.000000,0.000000,events/second
1606560139,64,0.352633,0.000000,0.000000,0.000000,events/second
1606560142,64,0.346984,0.000000,0.000000,0.000000,events/second
1606560145,64,0.341448,0.000000,0.000000,0.000000,events/second
1606560148,64,0.336060,0.000000,0.000000,0.000000,events/second
1606560151,64,0.330863,0.000000,0.000000,0.000000,events/second
1606560154,64,0.325767,0.000000,0.000000,0.000000,events/second
1606560157,64,0.320872,0.000000,0.000000,0.000000,events/second
1606560160,64,0.316133,0.000000,0.000000,0.000000,events/second
1606560163,64,0.311474,0.000000,0.000000,0.000000,events/second
1606560166,64,0.307051,0.000000,0.000000,0.000000,events/second
1606560169,64,0.302704,0.000000,0.000000,0.000000,events/second
1606560172,64,0.298023,0.000000,0.000000,0.000000,events/second
1606560175,64,0.294345,0.000000,0.000000,0.000000,events/second
1606560178,64,0.290307,0.000000,0.000000,0.000000,events/second
1606560181,64,0.286462,0.000000,0.000000,0.000000,events/second
1606560184,64,0.282673,0.000000,0.000000,0.000000,events/second
1606560187,64,0.278982,0.000000,0.000000,0.000000,events/second
1606560190,64,0.275334,0.000000,0.000000,0.000000,events/second
1606560193,64,0.271856,0.000000,0.000000,0.000000,events/second
1606560196,64,0.268394,0.000000,0.000000,0.000000,events/second
1606560199,64,0.265081,0.000000,0.000000,0.000000,events/second
1606560202,64,0.261850,0.000000,0.000000,0.000000,events/second
1606560205,64,0.258659,0.000000,0.000000,0.000000,events/second
1606560208,64,0.255557,0.000000,0.000000,0.000000,events/second
1606560211,64,0.252521,0.000000,0.000000,0.000000,events/second
1606560214,64,0.249554,0.000000,0.000000,0.000000,events/second
1606560217,64,0.245971,0.000000,0.000000,0.000000,events/second
1606560220,64,0.243876,0.000000,0.000000,0.000000,events/second
1606560223,64,0.240691,0.000000,0.000000,0.000000,events/second
1606560226,64,0.238423,0.000000,0.000000,0.000000,events/second
1606560229,64,0.235803,0.000000,0.000000,0.000000,events/second
1606560232,64,0.233214,0.000000,0.000000,0.000000,events/second
1606560235,64,0.230702,0.000000,0.000000,0.000000,events/second
1606560238,64,0.228211,0.000000,0.000000,0.000000,events/second
1606560241,64,0.225798,0.000000,0.000000,0.000000,events/second
1606560244,64,0.223425,0.000000,0.000000,0.000000,events/second
1606560247,64,0.221118,0.000000,0.000000,0.000000,events/second
1606560250,64,0.218819,0.000000,0.000000,0.000000,events/second
1606560253,64,0.216646,0.000000,0.000000,0.000000,events/second
1606560256,64,0.214426,0.000000,0.000000,0.000000,events/second
1606560259,64,0.212319,0.000000,0.000000,0.000000,events/second
1606560262,64,0.210244,0.000000,0.000000,0.000000,events/second
1606560265,64,0.208166,0.000000,0.000000,0.000000,events/second
1606560268,64,0.206156,0.000000,0.000000,0.000000,events/second
1606560271,64,0.204183,0.000000,0.000000,0.000000,events/second
1606560274,64,0.202229,0.000000,0.000000,0.000000,events/second
1606560277,64,0.200318,0.000000,0.000000,0.000000,events/second
1606560280,64,0.198486,0.000000,0.000000,0.000000,events/second
1606560283,64,0.196652,0.000000,0.000000,0.000000,events/second
