t,value
1606559974,9223372036854775807
1606559989,9223372036854775807
1606559990,9223372036854775807
1606559990,9223372036854775807
1606559991,9223372036854775807
1606559991,9223372036854775807
1606559992,9223372036854775807
1606559995,9223372036854775807
1606559998,9223372036854775807
1606560001,9223372036854775807
1606560004,9223372036854775807
1606560007,9223372036854775807
1606560010,9223372036854775807
1606560013,9223372036854775807
1606560016,9223372036854775807
1606560019,9223372036854775807
1606560022,9223372036854775807
1606560025,9223372036854775807
1606560028,9223372036854775807
1606560031,9223372036854775807
1606560034,9223372036854775807
1606560037,9223372036854775807
1606560040,9223372036854775807
1606560043,9223372036854775807
1606560046,9223372036854775807
1606560049,9223372036854775807
1606560052,9223372036854775807
1606560055,9223372036854775807
1606560058,9223372036854775807
1606560061,9223372036854775807
1606560064,9223372036854775807
1606560067,9223372036854775807
1606560070,9223372036854775807
1606560073,9223372036854775807
1606560076,9223372036854775807
1606560079,9223372036854775807
1606560082,9223372036854775807
1606560085,9223372036854775807
1606560088,9223372036854775807
1606560091,9223372036854775807
1606560094,9223372036854775807
1606560097,9223372036854775807
1606560100,9223372036854775807
1606560103,9223372036854775807
1606560106,9223372036854775807
1606560109,9223372036854775807
1606560112,9223372036854775807
1606560115,9223372036854775807
1606560118,9223372036854775807
1606560121,9223372036854775807
1606560124,9223372036854775807
1606560127,9223372036854775807
1606560130,9223372036854775807
1606560133,9223372036854775807
1606560136,9223372036854775807
1606560139,9223372036854775807
1606560142,9223372036854775807
1606560145,9223372036854775807
1606560148,9223372036854775807
1606560151,9223372036854775807
1606560154,9223372036854775807
1606560157,9223372036854775807
1606560160,9223372036854775807
1606560163,9223372036854775807
1606560166,9223372036854775807
1606560169,9223372036854775807
1606560172,9223372036854775807
1606560175,9223372036854775807
1606560178,9223372036854775807
1606560181,9223372036854775807
1606560184,9223372036854775807
1606560187,9223372036854775807
1606560190,9223372036854775807
1606560193,9223372036854775807
1606560196,9223372036854775807
1606560199,9223372036854775807
1606560202,9223372036854775807
1606560205,9223372036854775807
1606560208,9223372036854775807
1606560211,9223372036854775807
1606560214,9223372036854775807
1606560217,9223372036854775807
1606560220,9223372036854775807
1606560223,9223372036854775807
1606560226,9223372036854775807
1606560229,9223372036854775807
1606560232,9223372036854775807
1606560235,9223372036854775807
1606560238,9223372036854775807
1606560241,9223372036854775807
1606560244,9223372036854775807
1606560247,9223372036854775807
1606560250,9223372036854775807
1606560253,9223372036854775807
1606560256,9223372036854775807
1606560259,9223372036854775807
1606560262,9223372036854775807
1606560265,9223372036854775807
1606560268,9223372036854775807
1606560271,9223372036854775807
1606560274,9223372036854775807
1606560277,9223372036854775807
1606560280,9223372036854775807
1606560283,9223372036854775807
1606560286,9223372036854775807
1606560289,9223372036854775807
1606560292,9223372036854775807
1606560295,9223372036854775807
1606560298,9223372036854775807
1606560301,9223372036854775807
1606560304,9223372036854775807
1606560307,9223372036854775807
1606560310,9223372036854775807
1606560313,9223372036854775807
1606560316,9223372036854775807
1606560319,9223372036854775807
1606560322,9223372036854775807
1606560325,9223372036854775807
1606560328,9223372036854775807
1606560331,9223372036854775807
1606560334,9223372036854775807
1606560337,9223372036854775807
1606560340,9223372036854775807
1606560343,9223372036854775807
1606560346,9223372036854775807
1606560349,9223372036854775807
1606560352,9223372036854775807
1606560355,9223372036854775807
1606560358,9223372036854775807
1606560361,9223372036854775807
1606560364,9223372036854775807
1606560367,9223372036854775807
1606560370,9223372036854775807
1606560373,9223372036854775807
1606560376,9223372036854775807
1606560379,9223372036854775807
1606560389,9223372036854775807
1606560390,9223372036854775807
1606560391,9223372036854775807
1606560391,9223372036854775807
1606560394,9223372036854775807
1606560397,9223372036854775807
1606560400,9223372036854775807
1606560403,9223372036854775807
1606560406,9223372036854775807
1606560409,9223372036854775807
1606560412,9223372036854775807
1606560415,9223372036854775807
1606560418,9223372036854775807
1606560421,9223372036854775807
