t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1606559974,1,0.037016,0.000000,0.000000,0.000000,events/second
1606559989,1,0.030937,0.000000,0.000000,0.000000,events/second
1606559990,1,0.030398,0.000000,0.000000,0.000000,events/second
1606559990,1,0.030130,0.000000,0.000000,0.000000,events/second
1606559991,1,0.029907,0.000000,0.000000,0.000000,events/second
1606559991,1,0.029665,0.000000,0.000000,0.000000,events/second
1606559992,1,0.028882,0.000000,0.000000,0.000000,events/second
1606559995,1,0.026525,0.000000,0.000000,0.000000,events/second
1606559998,1,0.024650,0.000000,0.000000,0.000000,events/second
1606560001,1,0.022955,0.000000,0.000000,0.000000,events/second
1606560004,1,0.021525,0.000000,0.000000,0.000000,events/second
1606560007,1,0.020214,0.000000,0.000000,0.000000,events/second
1606560010,1,0.018893,0.000000,0.000000,0.000000,events/second
1606560013,1,0.018003,0.000000,0.000000,0.000000,events/second
1606560016,1,0.017000,0.000000,0.000000,0.000000,events/second
1606560019,1,0.016259,0.000000,0.000000,0.000000,events/second
1606560022,1,0.015190,0.000000,0.000000,0.000000,events/second
1606560025,1,0.014776,0.000000,0.000000,0.000000,events/second
1606560028,1,0.014178,0.000000,0.000000,0.000000,events/second
1606560031,1,0.013612,0.000000,0.000000,0.000000,events/second
1606560034,1,0.013081,0.000000,0.000000,0.000000,events/second
1606560037,1,0.012588,0.000000,0.000000,0.000000,events/second
1606560040,1,0.012086,0.000000,0.000000,0.000000,events/second
1606560043,1,0.011702,0.000000,0.000000,0.000000,events/second
1606560046,1,0.011307,0.000000,0.000000,0.000000,events/second
1606560049,1,0.010928,0.000000,0.000000,0.000000,events/second
1606560052,1,0.010569,0.000000,0.000000,0.000000,events/second
1606560055,1,0.010263,0.000000,0.000000,0.000000,events/second
1606560058,1,0.009956,0.000000,0.000000,0.000000,events/second
1606560061,1,0.009666,0.000000,0.000000,0.000000,events/second
1606560064,1,0.009393,0.000000,0.000000,0.000000,events/second
1606560067,1,0.009138,0.000000,0.000000,0.000000,events/second
1606560070,1,0.008888,0.000000,0.000000,0.000000,events/second
1606560073,1,0.008641,0.000000,0.000000,0.000000,events/second
1606560076,1,0.008434,0.000000,0.000000,0.000000,events/second
1606560079,1,0.008115,0.000000,0.000000,0.000000,events/second
1606560082,1,0.008035,0.000000,0.000000,0.000000,events/second
1606560085,1,0.007832,0.000000,0.000000,0.000000,events/second
1606560088,1,0.007626,0.000000,0.000000,0.000000,events/second
1606560091,1,0.007428,0.000000,0.000000,0.000000,events/second
1606560094,1,0.007300,0.000000,0.000000,0.000000,events/second
1606560097,1,0.007168,0.000000,0.000000,0.000000,events/second
1606560100,1,0.007021,0.000000,0.000000,0.000000,events/second
1606560103,1,0.006876,0.000000,0.000000,0.000000,events/second
