t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1606559974,49152,3235.496599,0.000000,0.000000,0.000000,events/second
1606559989,49152,2627.639857,0.000000,0.000000,0.000000,events/second
1606559990,49152,2552.218313,0.000000,0.000000,0.000000,events/second
1606559990,49152,2513.993706,0.000000,0.000000,0.000000,events/second
1606559991,49152,2483.967715,0.000000,0.000000,0.000000,events/second
1606559991,49152,2450.152260,0.000000,0.000000,0.000000,events/second
1606559992,49152,2343.432235,0.000000,0.000000,0.000000,events/second
1606559995,49152,2043.303960,0.000000,0.000000,0.000000,events/second
1606559998,49152,1825.782105,0.000000,0.000000,0.000000,events/second
1606560001,49152,1643.127881,0.000000,0.000000,0.000000,events/second
1606560004,49152,1498.119629,0.000000,0.000000,0.000000,events/second
1606560007,49152,1372.156695,0.000000,0.000000,0.000000,events/second
1606560010,49152,1251.344300,0.000000,0.000000,0.000000,events/second
1606560013,49152,1173.180736,0.000000,0.000000,0.000000,events/second
1606560016,49152,1087.881104,0.000000,0.000000,0.000000,events/second
1606560019,49152,1027.184512,0.000000,0.000000,0.000000,events/second
1606560022,49152,941.899988,0.000000,0.000000,0.000000,events/second
1606560025,49152,909.798376,0.000000,0.000000,0.000000,events/second
1606560028,49152,864.141166,0.000000,0.000000,0.000000,events/second
1606560031,49152,821.772665,0.000000,0.000000,0.000000,events/second
1606560034,49152,782.756482,0.000000,0.000000,0.000000,events/second
1606560037,49152,747.132669,0.000000,0.000000,0.000000,events/second
1606560040,49152,711.415592,0.000000,0.000000,0.000000,events/second
1606560043,49152,684.501570,0.000000,0.000000,0.000000,events/second
1606560046,49152,657.218047,0.000000,0.000000,0.000000,events/second
1606560049,49152,631.292041,0.000000,0.000000,0.000000,events/second
1606560052,49152,607.078635,0.000000,0.000000,0.000000,events/second
1606560055,49152,586.657690,0.000000,0.000000,0.000000,events/second
1606560058,49152,566.316419,0.000000,0.000000,0.000000,events/second
1606560061,49152,547.306947,0.000000,0.000000,0.000000,events/second
1606560064,49152,529.603008,0.000000,0.000000,0.000000,events/second
1606560067,49152,513.200721,0.000000,0.000000,0.000000,events/second
1606560070,49152,497.169650,0.000000,0.000000,0.000000,events/second
