t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1606559974,3325786,218887.507229,0.000000,0.000000,0.000000,events/second
1606559989,3325786,177792.719172,0.000000,0.000000,0.000000,events/second
1606559990,3325786,172691.192173,0.000000,0.000000,0.000000,events/second
1606559990,3325786,170104.062204,0.000000,0.000000,0.000000,events/second
1606559991,3325786,168073.022856,0.000000,0.000000,0.000000,events/second
1606559991,3325786,165784.567227,0.000000,0.000000,0.000000,events/second
1606559992,3325786,158564.498274,0.000000,0.000000,0.000000,events/second
1606559995,3325786,138252.311822,0.000000,0.000000,0.000000,events/second
1606559998,3325786,123538.544071,0.000000,0.000000,0.000000,events/second
1606560001,3325786,111179.371184,0.000000,0.000000,0.000000,events/second
1606560004,3325786,101367.799595,0.000000,0.000000,0.000000,events/second
1606560007,3325786,92844.284859,0.000000,0.000000,0.000000,events/second
1606560010,3325786,84670.227792,0.000000,0.000000,0.000000,events/second
1606560013,3325786,79381.099211,0.000000,0.000000,0.000000,events/second
1606560016,3325786,73609.673891,0.000000,0.000000,0.000000,events/second
1606560019,3325786,69503.074167,0.000000,0.000000,0.000000,events/second
1606560022,3325786,63732.077115,0.000000,0.000000,0.000000,events/second
1606560025,3325786,61560.270067,0.000000,0.000000,0.000000,events/second
1606560028,3325786,58470.806206,0.000000,0.000000,0.000000,events/second
1606560031,3325786,55603.916000,0.000000,0.000000,0.000000,events/second
1606560034,3325786,52964.109245,0.000000,0.000000,0.000000,events/second
1606560037,3325786,50553.518132,0.000000,0.000000,0.000000,events/second
1606560040,3325786,48136.826389,0.000000,0.000000,0.000000,events/second
1606560043,3325786,46315.577320,0.000000,0.000000,0.000000,events/second
1606560046,3325786,44469.645710,0.000000,0.000000,0.000000,events/second
1606560049,3325786,42715.369932,0.000000,0.000000,0.000000,events/second
1606560052,3325786,41076.943429,0.000000,0.000000,0.000000,events/second
1606560055,3325786,39695.239157,0.000000,0.000000,0.000000,events/second
1606560058,3325786,38318.902506,0.000000,0.000000,0.000000,events/second
1606560061,3325786,37032.648154,0.000000,0.000000,0.000000,events/second
1606560064,3325786,35834.798097,0.000000,0.000000,0.000000,events/second
1606560067,3325786,34724.938110,0.000000,0.000000,0.000000,events/second
1606560070,3325786,33640.236491,0.000000,0.000000,0.000000,events/second
1606560073,3325786,32580.243934,0.000000,0.000000,0.000000,events/second
1606560076,3325786,31699.179547,0.000000,0.000000,0.000000,events/second
1606560079,3325786,30350.069882,0.000000,0.000000,0.000000,events/second
1606560082,3325786,30014.084081,0.000000,0.000000,0.000000,events/second
1606560085,3325786,29165.304015,0.000000,0.000000,0.000000,events/second
1606560088,3325786,28310.098627,0.000000,0.000000,0.000000,events/second
1606560091,3325786,27491.411537,0.000000,0.000000,0.000000,events/second
1606560094,3325786,26958.664029,0.000000,0.000000,0.000000,events/second
1606560097,3325786,26425.110025,0.000000,0.000000,0.000000,events/second
1606560100,3325786,25824.075674,0.000000,0.000000,0.000000,events/second
1606560103,3325786,25238.099225,0.000000,0.000000,0.000000,events/second
1606560106,3325786,24666.514796,0.000000,0.000000,0.000000,events/second
1606560109,3325786,24137.644369,0.000000,0.000000,0.000000,events/second
1606560112,3325786,23617.832624,0.000000,0.000000,0.000000,events/second
1606560115,3325786,23133.904805,0.000000,0.000000,0.000000,events/second
1606560118,3325786,22648.243250,0.000000,0.000000,0.000000,events/second
1606560121,3325786,22206.248200,0.000000,0.000000,0.000000,events/second
1606560124,3325786,21767.631838,0.000000,0.000000,0.000000,events/second
1606560127,3325786,21347.335368,0.000000,0.000000,0.000000,events/second
1606560130,3325786,20948.720750,0.000000,0.000000,0.000000,events/second
1606560133,3325786,20558.308497,0.000000,0.000000,0.000000,events/second
1606560136,3325786,20183.266225,0.000000,0.000000,0.000000,events/second
1606560139,3325786,19815.124976,0.000000,0.000000,0.000000,events/second
1606560142,3325786,19472.301841,0.000000,0.000000,0.000000,events/second
1606560145,3325786,19136.883043,0.000000,0.000000,0.000000,events/second
1606560148,3325786,18811.920038,0.000000,0.000000,0.000000,events/second
1606560151,3325786,18498.934626,0.000000,0.000000,0.000000,events/second
1606560154,3325786,18192.205881,0.000000,0.000000,0.000000,events/second
1606560157,3325786,17899.211382,0.000000,0.000000,0.000000,events/second
1606560160,3325786,17615.758297,0.000000,0.000000,0.000000,events/second
1606560163,3325786,17337.225017,0.000000,0.000000,0.000000,events/second
1606560166,3325786,17074.233654,0.000000,0.000000,0.000000,events/second
1606560169,3325786,16815.828390,0.000000,0.000000,0.000000,events/second
1606560172,3325786,16537.712221,0.000000,0.000000,0.000000,events/second
1606560175,3325786,16319.818296,0.000000,0.000000,0.000000,events/second
1606560178,3325786,16081.177219,0.000000,0.000000,0.000000,events/second
1606560181,3325786,15854.642001,0.000000,0.000000,0.000000,events/second
1606560184,3325786,15631.564197,0.000000,0.000000,0.000000,events/second
1606560187,3325786,15414.661641,0.000000,0.000000,0.000000,events/second
1606560190,3325786,15200.502476,0.000000,0.000000,0.000000,events/second
1606560193,3325786,14996.534939,0.000000,0.000000,0.000000,events/second
1606560196,3325786,14794.127938,0.000000,0.000000,0.000000,events/second
1606560199,3325786,14600.565659,0.000000,0.000000,0.000000,events/second
1606560202,3325786,14411.938271,0.000000,0.000000,0.000000,events/second
1606560205,3325786,14226.026429,0.000000,0.000000,0.000000,events/second
1606560208,3325786,14045.603969,0.000000,0.000000,0.000000,events/second
1606560211,3325786,13869.148268,0.000000,0.000000,0.000000,events/second
1606560214,3325786,13697.029003,0.000000,0.000000,0.000000,events/second
1606560217,3325786,13489.569894,0.000000,0.000000,0.000000,events/second
1606560220,3325786,13368.473151,0.000000,0.000000,0.000000,events/second
1606560223,3325786,13184.279101,0.000000,0.000000,0.000000,events/second
1606560226,3325786,13053.568716,0.000000,0.000000,0.000000,events/second
1606560229,3325786,12902.343791,0.000000,0.000000,0.000000,events/second
1606560232,3325786,12753.402045,0.000000,0.000000,0.000000,events/second
1606560235,3325786,12608.912724,0.000000,0.000000,0.000000,events/second
1606560238,3325786,12465.786220,0.000000,0.000000,0.000000,events/second
1606560241,3325786,12327.358592,0.000000,0.000000,0.000000,events/second
1606560244,3325786,12191.263721,0.000000,0.000000,0.000000,events/second
1606560247,3325786,12059.196608,0.000000,0.000000,0.000000,events/second
1606560250,3325786,11927.708539,0.000000,0.000000,0.000000,events/second
1606560253,3325786,11803.537003,0.000000,0.000000,0.000000,events/second
1606560256,3325786,11676.769659,0.000000,0.000000,0.000000,events/second
1606560259,3325786,11556.572558,0.000000,0.000000,0.000000,events/second
1606560262,3325786,11438.333864,0.000000,0.000000,0.000000,events/second
1606560265,3325786,11319.967952,0.000000,0.000000,0.000000,events/second
1606560268,3325786,11205.671078,0.000000,0.000000,0.000000,events/second
1606560271,3325786,11093.538059,0.000000,0.000000,0.000000,events/second
1606560274,3325786,10982.537256,0.000000,0.000000,0.000000,events/second
1606560277,3325786,10874.079442,0.000000,0.000000,0.000000,events/second
1606560280,3325786,10770.385710,0.000000,0.000000,0.000000,events/second
1606560283,3325786,10666.492598,0.000000,0.000000,0.000000,events/second
1606560286,3325786,10564.479578,0.000000,0.000000,0.000000,events/second
1606560289,3325786,10465.314588,0.000000,0.000000,0.000000,events/second
1606560292,3325786,10368.106765,0.000000,0.000000,0.000000,events/second
1606560295,3325786,10271.528131,0.000000,0.000000,0.000000,events/second
1606560298,3325786,10168.550211,0.000000,0.000000,0.000000,events/second
1606560301,3325786,10081.265307,0.000000,0.000000,0.000000,events/second
1606560304,3325786,9993.799743,0.000000,0.000000,0.000000,events/second
1606560307,3325786,9903.451675,0.000000,0.000000,0.000000,events/second
1606560310,3325786,9816.306046,0.000000,0.000000,0.000000,events/second
1606560313,3325786,9730.837116,0.000000,0.000000,0.000000,events/second
1606560316,3325786,9646.531815,0.000000,0.000000,0.000000,events/second
1606560319,3325786,9561.728182,0.000000,0.000000,0.000000,events/second
1606560322,3325786,9480.097449,0.000000,0.000000,0.000000,events/second
1606560325,3325786,9400.846503,0.000000,0.000000,0.000000,events/second
1606560328,3325786,9320.324800,0.000000,0.000000,0.000000,events/second
1606560331,3325786,9243.529451,0.000000,0.000000,0.000000,events/second
1606560334,3325786,9166.917926,0.000000,0.000000,0.000000,events/second
1606560337,3325786,9082.517959,0.000000,0.000000,0.000000,events/second
1606560340,3325786,9017.997623,0.000000,0.000000,0.000000,events/second
1606560343,3325786,8943.034172,0.000000,0.000000,0.000000,events/second
1606560346,3325786,8867.461680,0.000000,0.000000,0.000000,events/second
1606560349,3325786,8803.159701,0.000000,0.000000,0.000000,events/second
1606560352,3325786,8733.910873,0.000000,0.000000,0.000000,events/second
1606560355,3325786,8663.820910,0.000000,0.000000,0.000000,events/second
1606560358,3325786,8597.082329,0.000000,0.000000,0.000000,events/second
1606560361,3325786,8532.877394,0.000000,0.000000,0.000000,events/second
1606560364,3325786,8467.322788,0.000000,0.000000,0.000000,events/second
1606560367,3325786,8403.229114,0.000000,0.000000,0.000000,events/second
1606560370,3325786,8340.048606,0.000000,0.000000,0.000000,events/second
1606560373,3325786,8277.649772,0.000000,0.000000,0.000000,events/second
1606560376,3325786,8215.895224,0.000000,0.000000,0.000000,events/second
1606560379,3325786,8156.052314,0.000000,0.000000,0.000000,events/second
1606560389,3325786,7930.439031,0.000000,0.000000,0.000000,events/second
1606560390,3325786,7921.415961,0.000000,0.000000,0.000000,events/second
1606560391,3325786,7914.195574,0.000000,0.000000,0.000000,events/second
1606560391,3325786,7910.106586,0.000000,0.000000,0.000000,events/second
1606560394,3325786,7862.985937,0.000000,0.000000,0.000000,events/second
