t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1606559974,406,26.021893,0.000000,0.000000,0.000000,events/second
1606559989,406,21.689781,0.000000,0.000000,0.000000,events/second
1606559990,406,21.071216,0.000000,0.000000,0.000000,events/second
1606559990,406,20.754345,0.000000,0.000000,0.000000,events/second
1606559991,406,20.507522,0.000000,0.000000,0.000000,events/second
1606559991,406,20.228595,0.000000,0.000000,0.000000,events/second
1606559992,406,19.345737,0.000000,0.000000,0.000000,events/second
1606559995,406,16.870379,0.000000,0.000000,0.000000,events/second
1606559998,406,15.074772,0.000000,0.000000,0.000000,events/second
1606560001,406,13.567896,0.000000,0.000000,0.000000,events/second
1606560004,406,12.371290,0.000000,0.000000,0.000000,events/second
1606560007,406,11.331069,0.000000,0.000000,0.000000,events/second
1606560010,406,10.333778,0.000000,0.000000,0.000000,events/second
1606560013,406,9.688365,0.000000,0.000000,0.000000,events/second
1606560016,406,8.984052,0.000000,0.000000,0.000000,events/second
1606560019,406,8.483151,0.000000,0.000000,0.000000,events/second
1606560022,406,7.777484,0.000000,0.000000,0.000000,events/second
1606560025,406,7.513776,0.000000,0.000000,0.000000,events/second
1606560028,406,7.136779,0.000000,0.000000,0.000000,events/second
1606560031,406,6.786884,0.000000,0.000000,0.000000,events/second
1606560034,406,6.464773,0.000000,0.000000,0.000000,events/second
1606560037,406,6.170506,0.000000,0.000000,0.000000,events/second
1606560040,406,5.875601,0.000000,0.000000,0.000000,events/second
1606560043,406,5.653317,0.000000,0.000000,0.000000,events/second
1606560046,406,5.428058,0.000000,0.000000,0.000000,events/second
1606560049,406,5.213934,0.000000,0.000000,0.000000,events/second
1606560052,406,5.013926,0.000000,0.000000,0.000000,events/second
1606560055,406,4.845325,0.000000,0.000000,0.000000,events/second
1606560058,406,4.677366,0.000000,0.000000,0.000000,events/second
1606560061,406,4.520361,0.000000,0.000000,0.000000,events/second
1606560064,406,4.374178,0.000000,0.000000,0.000000,events/second
1606560067,406,4.238708,0.000000,0.000000,0.000000,events/second
1606560070,406,4.106323,0.000000,0.000000,0.000000,events/second
1606560073,406,3.976922,0.000000,0.000000,0.000000,events/second
1606560076,406,3.869144,0.000000,0.000000,0.000000,events/second
1606560079,406,3.704735,0.000000,0.000000,0.000000,events/second
1606560082,406,3.663704,0.000000,0.000000,0.000000,events/second
1606560085,406,3.560116,0.000000,0.000000,0.000000,events/second
1606560088,406,3.455706,0.000000,0.000000,0.000000,events/second
1606560091,406,3.355796,0.000000,0.000000,0.000000,events/second
1606560094,406,3.290762,0.000000,0.000000,0.000000,events/second
1606560097,406,3.225652,0.000000,0.000000,0.000000,events/second
1606560100,406,3.152293,0.000000,0.000000,0.000000,events/second
1606560103,406,3.080777,0.000000,0.000000,0.000000,events/second
1606560106,406,3.011007,0.000000,0.000000,0.000000,events/second
1606560109,406,2.946451,0.000000,0.000000,0.000000,events/second
1606560112,406,2.883005,0.000000,0.000000,0.000000,events/second
1606560115,406,2.823928,0.000000,0.000000,0.000000,events/second
1606560118,406,2.764654,0.000000,0.000000,0.000000,events/second
1606560121,406,2.710698,0.000000,0.000000,0.000000,events/second
1606560124,406,2.657160,0.000000,0.000000,0.000000,events/second
1606560127,406,2.605862,0.000000,0.000000,0.000000,events/second
1606560130,406,2.557206,0.000000,0.000000,0.000000,events/second
1606560133,406,2.509551,0.000000,0.000000,0.000000,events/second
1606560136,406,2.463771,0.000000,0.000000,0.000000,events/second
1606560139,406,2.418835,0.000000,0.000000,0.000000,events/second
1606560142,406,2.376983,0.000000,0.000000,0.000000,events/second
1606560145,406,2.336042,0.000000,0.000000,0.000000,events/second
1606560148,406,2.296381,0.000000,0.000000,0.000000,events/second
1606560151,406,2.258174,0.000000,0.000000,0.000000,events/second
1606560154,406,2.220727,0.000000,0.000000,0.000000,events/second
1606560157,406,2.184965,0.000000,0.000000,0.000000,events/second
1606560160,406,2.150370,0.000000,0.000000,0.000000,events/second
1606560163,406,2.116370,0.000000,0.000000,0.000000,events/second
1606560166,406,2.084244,0.000000,0.000000,0.000000,events/second
1606560169,406,2.052727,0.000000,0.000000,0.000000,events/second
1606560172,406,2.018772,0.000000,0.000000,0.000000,events/second
1606560175,406,1.992169,0.000000,0.000000,0.000000,events/second
1606560178,406,1.963038,0.000000,0.000000,0.000000,events/second
1606560181,406,1.935393,0.000000,0.000000,0.000000,events/second
1606560184,406,1.908167,0.000000,0.000000,0.000000,events/second
1606560187,406,1.881691,0.000000,0.000000,0.000000,events/second
1606560190,406,1.855549,0.000000,0.000000,0.000000,events/second
1606560193,406,1.830652,0.000000,0.000000,0.000000,events/second
1606560196,406,1.805945,0.000000,0.000000,0.000000,events/second
1606560199,406,1.782316,0.000000,0.000000,0.000000,events/second
1606560202,406,1.759292,0.000000,0.000000,0.000000,events/second
1606560205,406,1.736594,0.000000,0.000000,0.000000,events/second
1606560208,406,1.714574,0.000000,0.000000,0.000000,events/second
1606560211,406,1.693031,0.000000,0.000000,0.000000,events/second
1606560214,406,1.672020,0.000000,0.000000,0.000000,events/second
1606560217,406,1.646698,0.000000,0.000000,0.000000,events/second
1606560220,406,1.631919,0.000000,0.000000,0.000000,events/second
1606560223,406,1.609434,0.000000,0.000000,0.000000,events/second
1606560226,406,1.593479,0.000000,0.000000,0.000000,events/second
1606560229,406,1.575016,0.000000,0.000000,0.000000,events/second
1606560232,406,1.556836,0.000000,0.000000,0.000000,events/second
1606560235,406,1.539199,0.000000,0.000000,0.000000,events/second
1606560238,406,1.521727,0.000000,0.000000,0.000000,events/second
1606560241,406,1.504832,0.000000,0.000000,0.000000,events/second
1606560244,406,1.488217,0.000000,0.000000,0.000000,events/second
1606560247,406,1.472097,0.000000,0.000000,0.000000,events/second
1606560250,406,1.456047,0.000000,0.000000,0.000000,events/second
1606560253,406,1.440889,0.000000,0.000000,0.000000,events/second
1606560256,406,1.425415,0.000000,0.000000,0.000000,events/second
1606560259,406,1.410743,0.000000,0.000000,0.000000,events/second
1606560262,406,1.396308,0.000000,0.000000,0.000000,events/second
1606560265,406,1.381860,0.000000,0.000000,0.000000,events/second
1606560268,406,1.367908,0.000000,0.000000,0.000000,events/second
1606560271,406,1.354219,0.000000,0.000000,0.000000,events/second
1606560274,406,1.340669,0.000000,0.000000,0.000000,events/second
1606560277,406,1.327428,0.000000,0.000000,0.000000,events/second
1606560280,406,1.314774,0.000000,0.000000,0.000000,events/second
1606560283,406,1.302091,0.000000,0.000000,0.000000,events/second
1606560286,406,1.289638,0.000000,0.000000,0.000000,events/second
1606560289,406,1.277532,0.000000,0.000000,0.000000,events/second
1606560292,406,1.265665,0.000000,0.000000,0.000000,events/second
1606560295,406,1.253876,0.000000,0.000000,0.000000,events/second
1606560298,406,1.241303,0.000000,0.000000,0.000000,events/second
