t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1606559974,1587,99.989839,0.000000,0.000000,0.000000,events/second
1606559989,1696,90.597372,0.000000,0.000000,0.000000,events/second
1606559990,1698,88.118262,0.000000,0.000000,0.000000,events/second
1606559990,1700,86.896266,0.000000,0.000000,0.000000,events/second
1606559991,1702,85.963127,0.000000,0.000000,0.000000,events/second
1606559991,1704,84.894527,0.000000,0.000000,0.000000,events/second
1606559992,1706,81.285447,0.000000,0.000000,0.000000,events/second
1606559995,1708,70.967554,0.000000,0.000000,0.000000,events/second
1606559998,1710,63.489319,0.000000,0.000000,0.000000,events/second
1606560001,1712,57.210003,0.000000,0.000000,0.000000,events/second
1606560004,1714,52.226015,0.000000,0.000000,0.000000,events/second
1606560007,1716,47.890266,0.000000,0.000000,0.000000,events/second
1606560010,1718,43.726371,0.000000,0.000000,0.000000,events/second
1606560013,1720,41.042824,0.000000,0.000000,0.000000,events/second
1606560016,1722,38.103801,0.000000,0.000000,0.000000,events/second
1606560019,1724,36.021330,0.000000,0.000000,0.000000,events/second
1606560022,1826,34.978279,0.000000,0.000000,0.000000,events/second
1606560025,1828,33.829693,0.000000,0.000000,0.000000,events/second
1606560028,1830,32.167613,0.000000,0.000000,0.000000,events/second
1606560031,1832,30.623983,0.000000,0.000000,0.000000,events/second
1606560034,1834,29.202488,0.000000,0.000000,0.000000,events/second
1606560037,1836,27.903575,0.000000,0.000000,0.000000,events/second
1606560040,1838,26.598873,0.000000,0.000000,0.000000,events/second
1606560043,1840,25.620534,0.000000,0.000000,0.000000,events/second
1606560046,1967,26.297660,0.000000,0.000000,0.000000,events/second
1606560049,1969,25.285938,0.000000,0.000000,0.000000,events/second
1606560052,1971,24.340668,0.000000,0.000000,0.000000,events/second
1606560055,1973,23.546062,0.000000,0.000000,0.000000,events/second
1606560058,1975,22.752947,0.000000,0.000000,0.000000,events/second
1606560061,1977,22.011451,0.000000,0.000000,0.000000,events/second
1606560064,1979,21.321206,0.000000,0.000000,0.000000,events/second
1606560067,1981,20.681749,0.000000,0.000000,0.000000,events/second
1606560070,1983,20.056061,0.000000,0.000000,0.000000,events/second
1606560073,1985,19.443611,0.000000,0.000000,0.000000,events/second
1606560076,1987,18.935744,0.000000,0.000000,0.000000,events/second
1606560079,1989,18.149393,0.000000,0.000000,0.000000,events/second
1606560082,2091,18.868779,0.000000,0.000000,0.000000,events/second
1606560085,2093,18.352841,0.000000,0.000000,0.000000,events/second
1606560088,2095,17.831611,0.000000,0.000000,0.000000,events/second
1606560091,2097,17.332625,0.000000,0.000000,0.000000,events/second
1606560094,2099,17.012892,0.000000,0.000000,0.000000,events/second
1606560097,2101,16.692209,0.000000,0.000000,0.000000,events/second
1606560100,2103,16.328126,0.000000,0.000000,0.000000,events/second
1606560103,2105,15.972883,0.000000,0.000000,0.000000,events/second
1606560106,2172,16.108034,0.000000,0.000000,0.000000,events/second
1606560109,2234,16.212628,0.000000,0.000000,0.000000,events/second
1606560112,2236,15.877724,0.000000,0.000000,0.000000,events/second
1606560115,2238,15.566262,0.000000,0.000000,0.000000,events/second
1606560118,2240,15.253168,0.000000,0.000000,0.000000,events/second
1606560121,2242,14.968836,0.000000,0.000000,0.000000,events/second
1606560124,2244,14.686263,0.000000,0.000000,0.000000,events/second
1606560127,2246,14.415592,0.000000,0.000000,0.000000,events/second
1606560130,2248,14.159028,0.000000,0.000000,0.000000,events/second
1606560133,2250,13.907531,0.000000,0.000000,0.000000,events/second
1606560136,2252,13.665963,0.000000,0.000000,0.000000,events/second
1606560139,2254,13.428632,0.000000,0.000000,0.000000,events/second
1606560142,2356,13.793450,0.000000,0.000000,0.000000,events/second
1606560145,2358,13.567373,0.000000,0.000000,0.000000,events/second
1606560148,2360,13.348350,0.000000,0.000000,0.000000,events/second
1606560151,2362,13.137387,0.000000,0.000000,0.000000,events/second
1606560154,2364,12.930462,0.000000,0.000000,0.000000,events/second
1606560157,2366,12.732012,0.000000,0.000000,0.000000,events/second
1606560160,2368,12.541999,0.000000,0.000000,0.000000,events/second
1606560163,2370,12.354117,0.000000,0.000000,0.000000,events/second
1606560166,2497,12.818498,0.000000,0.000000,0.000000,events/second
1606560169,2499,12.634826,0.000000,0.000000,0.000000,events/second
1606560172,2501,12.435739,0.000000,0.000000,0.000000,events/second
1606560175,2503,12.281711,0.000000,0.000000,0.000000,events/second
1606560178,2505,12.111778,0.000000,0.000000,0.000000,events/second
1606560181,2507,11.950760,0.000000,0.000000,0.000000,events/second
1606560184,2509,11.792035,0.000000,0.000000,0.000000,events/second
1606560187,2511,11.637697,0.000000,0.000000,0.000000,events/second
1606560190,2513,11.485162,0.000000,0.000000,0.000000,events/second
1606560193,2515,11.340075,0.000000,0.000000,0.000000,events/second
1606560196,2517,11.195924,0.000000,0.000000,0.000000,events/second
1606560199,2519,11.058216,0.000000,0.000000,0.000000,events/second
1606560202,2621,11.357355,0.000000,0.000000,0.000000,events/second
1606560205,2623,11.219371,0.000000,0.000000,0.000000,events/second
1606560208,2625,11.085566,0.000000,0.000000,0.000000,events/second
1606560211,2627,10.954609,0.000000,0.000000,0.000000,events/second
1606560214,2629,10.826896,0.000000,0.000000,0.000000,events/second
1606560217,2631,10.671039,0.000000,0.000000,0.000000,events/second
1606560220,2633,10.583313,0.000000,0.000000,0.000000,events/second
1606560223,2635,10.445425,0.000000,0.000000,0.000000,events/second
1606560226,2762,10.840326,0.000000,0.000000,0.000000,events/second
1606560229,2764,10.722471,0.000000,0.000000,0.000000,events/second
1606560232,2766,10.606384,0.000000,0.000000,0.000000,events/second
1606560235,2768,10.493805,0.000000,0.000000,0.000000,events/second
1606560238,2770,10.382184,0.000000,0.000000,0.000000,events/second
1606560241,2772,10.274333,0.000000,0.000000,0.000000,events/second
1606560244,2774,10.168224,0.000000,0.000000,0.000000,events/second
1606560247,2776,10.065341,0.000000,0.000000,0.000000,events/second
1606560250,2778,9.962768,0.000000,0.000000,0.000000,events/second
1606560253,2780,9.866156,0.000000,0.000000,0.000000,events/second
1606560256,2782,9.767221,0.000000,0.000000,0.000000,events/second
1606560259,2784,9.673632,0.000000,0.000000,0.000000,events/second
1606560262,2886,9.925443,0.000000,0.000000,0.000000,events/second
1606560265,2888,9.829556,0.000000,0.000000,0.000000,events/second
1606560268,2890,9.737051,0.000000,0.000000,0.000000,events/second
1606560271,2892,9.646273,0.000000,0.000000,0.000000,events/second
1606560274,2894,9.556363,0.000000,0.000000,0.000000,events/second
1606560277,2896,9.468512,0.000000,0.000000,0.000000,events/second
1606560280,2898,9.384735,0.000000,0.000000,0.000000,events/second
1606560283,2900,9.300623,0.000000,0.000000,0.000000,events/second
1606560286,3027,9.615083,0.000000,0.000000,0.000000,events/second
1606560289,3029,9.531115,0.000000,0.000000,0.000000,events/second
1606560292,3031,9.448812,0.000000,0.000000,0.000000,events/second
1606560295,3033,9.366981,0.000000,0.000000,0.000000,events/second
1606560298,3035,9.279162,0.000000,0.000000,0.000000,events/second
1606560301,3037,9.205595,0.000000,0.000000,0.000000,events/second
1606560304,3039,9.131736,0.000000,0.000000,0.000000,events/second
1606560307,3041,9.055165,0.000000,0.000000,0.000000,events/second
1606560310,3043,8.981375,0.000000,0.000000,0.000000,events/second
1606560313,3045,8.909032,0.000000,0.000000,0.000000,events/second
1606560316,3047,8.837659,0.000000,0.000000,0.000000,events/second
1606560319,3049,8.765685,0.000000,0.000000,0.000000,events/second
1606560322,3151,8.981619,0.000000,0.000000,0.000000,events/second
1606560325,3153,8.912200,0.000000,0.000000,0.000000,events/second
1606560328,3155,8.841469,0.000000,0.000000,0.000000,events/second
1606560331,3157,8.774170,0.000000,0.000000,0.000000,events/second
1606560334,3159,8.706974,0.000000,0.000000,0.000000,events/second
1606560337,3161,8.632267,0.000000,0.000000,0.000000,events/second
1606560340,3163,8.576364,0.000000,0.000000,0.000000,events/second
1606560343,3165,8.510438,0.000000,0.000000,0.000000,events/second
1606560346,3292,8.777153,0.000000,0.000000,0.000000,events/second
1606560349,3294,8.718800,0.000000,0.000000,0.000000,events/second
1606560352,3296,8.655460,0.000000,0.000000,0.000000,events/second
1606560355,3298,8.591209,0.000000,0.000000,0.000000,events/second
1606560358,3300,8.530213,0.000000,0.000000,0.000000,events/second
1606560361,3302,8.471642,0.000000,0.000000,0.000000,events/second
1606560364,3304,8.411651,0.000000,0.000000,0.000000,events/second
1606560367,3306,8.353035,0.000000,0.000000,0.000000,events/second
1606560370,3308,8.295248,0.000000,0.000000,0.000000,events/second
1606560373,3310,8.238165,0.000000,0.000000,0.000000,events/second
1606560376,3312,8.181644,0.000000,0.000000,0.000000,events/second
1606560379,3314,8.126958,0.000000,0.000000,0.000000,events/second
1606560389,3316,7.906924,0.000000,0.000000,0.000000,events/second
1606560390,3318,7.902690,0.000000,0.000000,0.000000,events/second
1606560391,3326,7.914525,0.000000,0.000000,0.000000,events/second
1606560391,3349,7.965136,0.000000,0.000000,0.000000,events/second
1606560394,3424,8.094987,0.000000,0.000000,0.000000,events/second
1606560397,3426,8.046614,0.000000,0.000000,0.000000,events/second
1606560400,3428,7.994759,0.000000,0.000000,0.000000,events/second
1606560403,3430,7.944284,0.000000,0.000000,0.000000,events/second
1606560406,3557,8.180529,0.000000,0.000000,0.000000,events/second
1606560409,3559,8.129269,0.000000,0.000000,0.000000,events/second
