t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1606559974,66,4.156985,0.000000,0.000000,0.000000,events/second
1606559989,66,3.524916,0.000000,0.000000,0.000000,events/second
1606559990,66,3.424544,0.000000,0.000000,0.000000,events/second
1606559990,66,3.373108,0.000000,0.000000,0.000000,events/second
1606559991,66,3.332773,0.000000,0.000000,0.000000,events/second
1606559991,66,3.287677,0.000000,0.000000,0.000000,events/second
1606559992,66,3.144256,0.000000,0.000000,0.000000,events/second
1606559995,66,2.741941,0.000000,0.000000,0.000000,events/second
1606559998,66,2.450202,0.000000,0.000000,0.000000,events/second
1606560001,66,2.205310,0.000000,0.000000,0.000000,events/second
1606560004,66,2.010875,0.000000,0.000000,0.000000,events/second
1606560007,66,1.841779,0.000000,0.000000,0.000000,events/second
1606560010,66,1.679704,0.000000,0.000000,0.000000,events/second
1606560013,66,1.574789,0.000000,0.000000,0.000000,events/second
1606560016,66,1.460334,0.000000,0.000000,0.000000,events/second
1606560019,66,1.378930,0.000000,0.000000,0.000000,events/second
1606560022,66,1.264201,0.000000,0.000000,0.000000,events/second
1606560025,66,1.221356,0.000000,0.000000,0.000000,events/second
1606560028,66,1.160087,0.000000,0.000000,0.000000,events/second
1606560031,66,1.103214,0.000000,0.000000,0.000000,events/second
1606560034,66,1.050863,0.000000,0.000000,0.000000,events/second
1606560037,66,1.003027,0.000000,0.000000,0.000000,events/second
1606560040,66,0.955088,0.000000,0.000000,0.000000,events/second
1606560043,66,0.918961,0.000000,0.000000,0.000000,events/second
1606560046,66,0.882351,0.000000,0.000000,0.000000,events/second
1606560049,66,0.847543,0.000000,0.000000,0.000000,events/second
1606560052,66,0.815033,0.000000,0.000000,0.000000,events/second
1606560055,66,0.787627,0.000000,0.000000,0.000000,events/second
1606560058,66,0.760328,0.000000,0.000000,0.000000,events/second
1606560061,66,0.734806,0.000000,0.000000,0.000000,events/second
1606560064,66,0.711046,0.000000,0.000000,0.000000,events/second
1606560067,66,0.689024,0.000000,0.000000,0.000000,events/second
1606560070,66,0.667506,0.000000,0.000000,0.000000,events/second
1606560073,66,0.646469,0.000000,0.000000,0.000000,events/second
1606560076,66,0.628951,0.000000,0.000000,0.000000,events/second
1606560079,66,0.602226,0.000000,0.000000,0.000000,events/second
1606560082,66,0.595556,0.000000,0.000000,0.000000,events/second
1606560085,66,0.578719,0.000000,0.000000,0.000000,events/second
1606560088,66,0.561746,0.000000,0.000000,0.000000,events/second
1606560091,66,0.545507,0.000000,0.000000,0.000000,events/second
1606560094,66,0.534932,0.000000,0.000000,0.000000,events/second
1606560097,66,0.524351,0.000000,0.000000,0.000000,events/second
1606560100,66,0.512427,0.000000,0.000000,0.000000,events/second
1606560103,66,0.500803,0.000000,0.000000,0.000000,events/second
1606560106,66,0.489461,0.000000,0.000000,0.000000,events/second
