t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1606559974,1659,104.468090,0.000000,0.000000,0.000000,events/second
1606559989,1762,94.106569,0.000000,0.000000,0.000000,events/second
1606559990,1764,91.529121,0.000000,0.000000,0.000000,events/second
1606559990,1766,90.258639,0.000000,0.000000,0.000000,events/second
1606559991,1768,89.279445,0.000000,0.000000,0.000000,events/second
1606559991,1770,88.162059,0.000000,0.000000,0.000000,events/second
1606559992,1772,84.421094,0.000000,0.000000,0.000000,events/second
1606559995,1774,73.700772,0.000000,0.000000,0.000000,events/second
1606559998,1776,65.934142,0.000000,0.000000,0.000000,events/second
1606560001,1778,59.410827,0.000000,0.000000,0.000000,events/second
1606560004,1780,54.233974,0.000000,0.000000,0.000000,events/second
1606560007,1782,49.728827,0.000000,0.000000,0.000000,events/second
1606560010,1784,45.403325,0.000000,0.000000,0.000000,events/second
1606560013,1786,42.615281,0.000000,0.000000,0.000000,events/second
1606560016,1788,39.562362,0.000000,0.000000,0.000000,events/second
1606560019,1790,37.398914,0.000000,0.000000,0.000000,events/second
1606560022,1892,36.240778,0.000000,0.000000,0.000000,events/second
1606560025,1894,35.049546,0.000000,0.000000,0.000000,events/second
1606560028,1896,33.326548,0.000000,0.000000,0.000000,events/second
1606560031,1898,31.726111,0.000000,0.000000,0.000000,events/second
1606560034,1900,30.252505,0.000000,0.000000,0.000000,events/second
1606560037,1902,28.905682,0.000000,0.000000,0.000000,events/second
1606560040,1904,27.553131,0.000000,0.000000,0.000000,events/second
1606560043,1906,26.538717,0.000000,0.000000,0.000000,events/second
1606560046,2033,27.179267,0.000000,0.000000,0.000000,events/second
1606560049,2035,26.132817,0.000000,0.000000,0.000000,events/second
1606560052,2037,25.155135,0.000000,0.000000,0.000000,events/second
1606560055,2039,24.333112,0.000000,0.000000,0.000000,events/second
1606560058,2041,23.512809,0.000000,0.000000,0.000000,events/second
1606560061,2043,22.745760,0.000000,0.000000,0.000000,events/second
1606560064,2045,22.031847,0.000000,0.000000,0.000000,events/second
1606560067,2047,21.370379,0.000000,0.000000,0.000000,events/second
1606560070,2049,20.723217,0.000000,0.000000,0.000000,events/second
1606560073,2051,20.089632,0.000000,0.000000,0.000000,events/second
1606560076,2053,19.564339,0.000000,0.000000,0.000000,events/second
1606560079,2055,18.751222,0.000000,0.000000,0.000000,events/second
1606560082,2157,19.463957,0.000000,0.000000,0.000000,events/second
1606560085,2159,18.931242,0.000000,0.000000,0.000000,events/second
1606560088,2161,18.393012,0.000000,0.000000,0.000000,events/second
1606560091,2163,17.877869,0.000000,0.000000,0.000000,events/second
1606560094,2165,17.547299,0.000000,0.000000,0.000000,events/second
1606560097,2167,17.216292,0.000000,0.000000,0.000000,events/second
1606560100,2169,16.840311,0.000000,0.000000,0.000000,events/second
1606560103,2171,16.473477,0.000000,0.000000,0.000000,events/second
1606560106,2238,16.597285,0.000000,0.000000,0.000000,events/second
1606560109,2300,16.691380,0.000000,0.000000,0.000000,events/second
1606560112,2302,16.346183,0.000000,0.000000,0.000000,events/second
1606560115,2304,16.025092,0.000000,0.000000,0.000000,events/second
1606560118,2306,15.702398,0.000000,0.000000,0.000000,events/second
1606560121,2308,15.409301,0.000000,0.000000,0.000000,events/second
1606560124,2310,15.117998,0.000000,0.000000,0.000000,events/second
1606560127,2312,14.839033,0.000000,0.000000,0.000000,events/second
1606560130,2314,14.574566,0.000000,0.000000,0.000000,events/second
1606560133,2316,14.315328,0.000000,0.000000,0.000000,events/second
1606560136,2318,14.066314,0.000000,0.000000,0.000000,events/second
1606560139,2320,13.821690,0.000000,0.000000,0.000000,events/second
1606560142,2422,14.179704,0.000000,0.000000,0.000000,events/second
1606560145,2424,13.946962,0.000000,0.000000,0.000000,events/second
1606560148,2426,13.721517,0.000000,0.000000,0.000000,events/second
1606560151,2428,13.484337,0.000000,0.000000,0.000000,events/second
1606560154,2430,13.291303,0.000000,0.000000,0.000000,events/second
1606560157,2432,13.087010,0.000000,0.000000,0.000000,events/second
1606560160,2434,12.891416,0.000000,0.000000,0.000000,events/second
1606560163,2436,12.698025,0.000000,0.000000,0.000000,events/second
1606560166,2563,13.157091,0.000000,0.000000,0.000000,events/second
1606560169,2565,12.968372,0.000000,0.000000,0.000000,events/second
1606560172,2567,12.763761,0.000000,0.000000,0.000000,events/second
1606560175,2569,12.605423,0.000000,0.000000,0.000000,events/second
1606560178,2571,12.430679,0.000000,0.000000,0.000000,events/second
1606560181,2573,12.265263,0.000000,0.000000,0.000000,events/second
1606560184,2575,12.102115,0.000000,0.000000,0.000000,events/second
1606560187,2577,11.943485,0.000000,0.000000,0.000000,events/second
1606560190,2579,11.786704,0.000000,0.000000,0.000000,events/second
1606560193,2581,11.637573,0.000000,0.000000,0.000000,events/second
1606560196,2583,11.489406,0.000000,0.000000,0.000000,events/second
1606560199,2585,11.347863,0.000000,0.000000,0.000000,events/second
1606560202,2687,11.643259,0.000000,0.000000,0.000000,events/second
1606560205,2689,11.501556,0.000000,0.000000,0.000000,events/second
1606560208,2691,11.364202,0.000000,0.000000,0.000000,events/second
1606560211,2693,11.229726,0.000000,0.000000,0.000000,events/second
1606560214,2695,11.098588,0.000000,0.000000,0.000000,events/second
1606560217,2697,10.938613,0.000000,0.000000,0.000000,events/second
1606560220,2699,10.848519,0.000000,0.000000,0.000000,events/second
1606560223,2701,10.706974,0.000000,0.000000,0.000000,events/second
1606560226,2828,11.099286,0.000000,0.000000,0.000000,events/second
1606560229,2830,10.978407,0.000000,0.000000,0.000000,events/second
1606560232,2832,10.859386,0.000000,0.000000,0.000000,events/second
1606560235,2834,10.743916,0.000000,0.000000,0.000000,events/second
1606560238,2836,10.629476,0.000000,0.000000,0.000000,events/second
1606560241,2838,10.518888,0.000000,0.000000,0.000000,events/second
1606560244,2840,10.410072,0.000000,0.000000,0.000000,events/second
1606560247,2842,10.304578,0.000000,0.000000,0.000000,events/second
1606560250,2844,10.199398,0.000000,0.000000,0.000000,events/second
1606560253,2846,10.100324,0.000000,0.000000,0.000000,events/second
1606560256,2848,9.998876,0.000000,0.000000,0.000000,events/second
1606560259,2850,9.902903,0.000000,0.000000,0.000000,events/second
1606560262,2952,10.152365,0.000000,0.000000,0.000000,events/second
1606560265,2954,10.054105,0.000000,0.000000,0.000000,events/second
1606560268,2956,9.959359,0.000000,0.000000,0.000000,events/second
1606560271,2958,9.866351,0.000000,0.000000,0.000000,events/second
1606560274,2960,9.774233,0.000000,0.000000,0.000000,events/second
1606560277,2962,9.683985,0.000000,0.000000,0.000000,events/second
1606560280,2964,9.598411,0.000000,0.000000,0.000000,events/second
1606560283,2966,9.512237,0.000000,0.000000,0.000000,events/second
1606560286,3093,9.824672,0.000000,0.000000,0.000000,events/second
1606560289,3095,9.738731,0.000000,0.000000,0.000000,events/second
1606560292,3097,9.654505,0.000000,0.000000,0.000000,events/second
1606560295,3099,9.570754,0.000000,0.000000,0.000000,events/second
1606560298,3101,9.480879,0.000000,0.000000,0.000000,events/second
1606560301,3103,9.405591,0.000000,0.000000,0.000000,events/second
1606560304,3105,9.329993,0.000000,0.000000,0.000000,events/second
1606560307,3107,9.251643,0.000000,0.000000,0.000000,events/second
1606560310,3109,9.176119,0.000000,0.000000,0.000000,events/second
1606560313,3111,9.102085,0.000000,0.000000,0.000000,events/second
1606560316,3113,9.029038,0.000000,0.000000,0.000000,events/second
1606560319,3115,8.955375,0.000000,0.000000,0.000000,events/second
1606560322,3217,9.169694,0.000000,0.000000,0.000000,events/second
1606560325,3219,9.098708,0.000000,0.000000,0.000000,events/second
1606560328,3221,9.026381,0.000000,0.000000,0.000000,events/second
1606560331,3223,8.957553,0.000000,0.000000,0.000000,events/second
1606560334,3225,8.888839,0.000000,0.000000,0.000000,events/second
1606560337,3227,8.812459,0.000000,0.000000,0.000000,events/second
1606560340,3229,8.755275,0.000000,0.000000,0.000000,events/second
1606560343,3231,8.687865,0.000000,0.000000,0.000000,events/second
1606560346,3358,8.953079,0.000000,0.000000,0.000000,events/second
1606560349,3360,8.893449,0.000000,0.000000,0.000000,events/second
1606560352,3362,8.828736,0.000000,0.000000,0.000000,events/second
1606560355,3364,8.763095,0.000000,0.000000,0.000000,events/second
1606560358,3366,8.700778,0.000000,0.000000,0.000000,events/second
1606560361,3368,8.640933,0.000000,0.000000,0.000000,events/second
1606560364,3370,8.579641,0.000000,0.000000,0.000000,events/second
1606560367,3372,8.519753,0.000000,0.000000,0.000000,events/second
1606560370,3374,8.460714,0.000000,0.000000,0.000000,events/second
1606560373,3376,8.402394,0.000000,0.000000,0.000000,events/second
1606560376,3378,8.344639,0.000000,0.000000,0.000000,events/second
1606560379,3380,8.288775,0.000000,0.000000,0.000000,events/second
1606560389,3382,8.064263,0.000000,0.000000,0.000000,events/second
1606560390,3384,8.059852,0.000000,0.000000,0.000000,events/second
1606560391,3392,8.071544,0.000000,0.000000,0.000000,events/second
1606560391,3415,8.122072,0.000000,0.000000,0.000000,events/second
1606560394,3490,8.250983,0.000000,0.000000,0.000000,events/second
1606560397,3492,8.201593,0.000000,0.000000,0.000000,events/second
1606560400,3494,8.148645,0.000000,0.000000,0.000000,events/second
1606560403,3496,8.097113,0.000000,0.000000,0.000000,events/second
