t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1606559974,1670,104.990300,0.000000,0.000000,0.000000,events/second
1606559989,1761,94.048053,0.000000,0.000000,0.000000,events/second
1606559990,1763,91.466982,0.000000,0.000000,0.000000,events/second
1606559990,1765,90.207232,0.000000,0.000000,0.000000,events/second
1606559991,1767,89.228296,0.000000,0.000000,0.000000,events/second
1606559991,1769,88.106738,0.000000,0.000000,0.000000,events/second
1606559992,1771,84.373638,0.000000,0.000000,0.000000,events/second
1606559995,1773,73.655375,0.000000,0.000000,0.000000,events/second
1606559998,1775,65.896862,0.000000,0.000000,0.000000,events/second
1606560001,1777,59.377470,0.000000,0.000000,0.000000,events/second
1606560004,1779,54.203801,0.000000,0.000000,0.000000,events/second
1606560007,1781,49.700795,0.000000,0.000000,0.000000,events/second
1606560010,1783,45.377700,0.000000,0.000000,0.000000,events/second
1606560013,1785,42.591217,0.000000,0.000000,0.000000,events/second
1606560016,1787,39.540280,0.000000,0.000000,0.000000,events/second
1606560019,1789,37.378194,0.000000,0.000000,0.000000,events/second
1606560022,1891,36.221216,0.000000,0.000000,0.000000,events/second
1606560025,1893,35.030956,0.000000,0.000000,0.000000,events/second
1606560028,1895,33.309031,0.000000,0.000000,0.000000,events/second
1606560031,1897,31.709428,0.000000,0.000000,0.000000,events/second
1606560034,1899,30.236682,0.000000,0.000000,0.000000,events/second
1606560037,1901,28.890540,0.000000,0.000000,0.000000,events/second
1606560040,1903,27.538463,0.000000,0.000000,0.000000,events/second
1606560043,1905,26.524798,0.000000,0.000000,0.000000,events/second
1606560046,2032,27.165776,0.000000,0.000000,0.000000,events/second
1606560049,2034,26.120000,0.000000,0.000000,0.000000,events/second
1606560052,2036,25.142848,0.000000,0.000000,0.000000,events/second
1606560055,2038,24.321202,0.000000,0.000000,0.000000,events/second
1606560058,2040,23.501353,0.000000,0.000000,0.000000,events/second
1606560061,2042,22.734672,0.000000,0.000000,0.000000,events/second
1606560064,2044,22.021129,0.000000,0.000000,0.000000,events/second
1606560067,2046,21.359987,0.000000,0.000000,0.000000,events/second
1606560070,2048,20.713149,0.000000,0.000000,0.000000,events/second
1606560073,2050,20.079839,0.000000,0.000000,0.000000,events/second
1606560076,2052,19.554809,0.000000,0.000000,0.000000,events/second
1606560079,2054,18.742095,0.000000,0.000000,0.000000,events/second
1606560082,2156,19.454925,0.000000,0.000000,0.000000,events/second
1606560085,2158,18.922495,0.000000,0.000000,0.000000,events/second
1606560088,2160,18.384498,0.000000,0.000000,0.000000,events/second
1606560091,2162,17.869631,0.000000,0.000000,0.000000,events/second
1606560094,2164,17.539172,0.000000,0.000000,0.000000,events/second
1606560097,2166,17.208356,0.000000,0.000000,0.000000,events/second
1606560100,2168,16.832568,0.000000,0.000000,0.000000,events/second
1606560103,2170,16.465922,0.000000,0.000000,0.000000,events/second
1606560106,2237,16.589896,0.000000,0.000000,0.000000,events/second
1606560109,2299,16.684150,0.000000,0.000000,0.000000,events/second
1606560112,2301,16.339112,0.000000,0.000000,0.000000,events/second
1606560115,2303,16.018148,0.000000,0.000000,0.000000,events/second
1606560118,2305,15.695615,0.000000,0.000000,0.000000,events/second
1606560121,2307,15.402648,0.000000,0.000000,0.000000,events/second
1606560124,2309,15.111473,0.000000,0.000000,0.000000,events/second
1606560127,2311,14.832637,0.000000,0.000000,0.000000,events/second
1606560130,2313,14.568290,0.000000,0.000000,0.000000,events/second
1606560133,2315,14.309169,0.000000,0.000000,0.000000,events/second
1606560136,2317,14.060267,0.000000,0.000000,0.000000,events/second
1606560139,2319,13.815753,0.000000,0.000000,0.000000,events/second
1606560142,2421,14.173869,0.000000,0.000000,0.000000,events/second
1606560145,2423,13.941220,0.000000,0.000000,0.000000,events/second
1606560148,2425,13.715856,0.000000,0.000000,0.000000,events/second
1606560151,2427,13.478653,0.000000,0.000000,0.000000,events/second
1606560154,2429,13.285834,0.000000,0.000000,0.000000,events/second
1606560157,2431,13.081639,0.000000,0.000000,0.000000,events/second
1606560160,2433,12.886115,0.000000,0.000000,0.000000,events/second
1606560163,2435,12.692828,0.000000,0.000000,0.000000,events/second
1606560166,2562,13.151885,0.000000,0.000000,0.000000,events/second
1606560169,2564,12.963302,0.000000,0.000000,0.000000,events/second
1606560172,2566,12.758792,0.000000,0.000000,0.000000,events/second
1606560175,2568,12.600528,0.000000,0.000000,0.000000,events/second
1606560178,2570,12.425843,0.000000,0.000000,0.000000,events/second
1606560181,2572,12.260504,0.000000,0.000000,0.000000,events/second
