t,value
1606559974,-1
1606559989,8
1606559990,8
1606559990,8
1606559991,8
1606559991,8
1606559992,8
1606559995,8
1606559998,8
1606560001,8
1606560004,8
1606560007,8
1606560010,8
1606560013,8
1606560016,8
1606560019,8
1606560022,8
1606560025,8
1606560028,8
1606560031,8
1606560034,8
1606560037,8
1606560040,8
1606560043,8
1606560046,8
1606560049,8
1606560052,8
1606560055,8
1606560058,8
1606560061,8
1606560064,8
1606560067,8
1606560070,8
1606560073,8
1606560076,8
1606560079,8
1606560082,8
1606560085,8
1606560088,8
1606560091,8
1606560094,8
1606560097,8
1606560100,8
1606560103,8
1606560106,8
1606560109,8
1606560112,8
1606560115,8
1606560118,8
1606560121,8
1606560124,8
1606560127,8
1606560130,8
1606560133,8
1606560136,8
1606560139,8
1606560142,8
1606560145,8
1606560148,8
1606560151,8
1606560154,8
1606560157,8
1606560160,8
1606560163,8
1606560166,8
1606560169,8
1606560172,8
1606560175,8
1606560178,8
1606560181,8
1606560184,8
1606560187,8
1606560190,8
1606560193,8
1606560196,8
1606560199,8
1606560202,8
1606560205,8
1606560208,8
1606560211,8
1606560214,8
1606560217,8
1606560220,8
1606560223,8
1606560226,8
1606560229,8
1606560232,8
1606560235,8
1606560238,8
1606560241,8
1606560244,8
1606560247,8
1606560250,8
1606560253,8
1606560256,8
1606560259,8
1606560262,8
1606560265,8
1606560268,8
1606560271,8
1606560274,8
1606560277,8
1606560280,8
1606560283,8
1606560286,8
1606560289,8
1606560292,8
1606560295,8
1606560298,8
1606560301,8
1606560304,8
1606560307,8
1606560310,8
1606560313,8
1606560316,8
1606560319,8
1606560322,8
1606560325,8
1606560328,8
1606560331,8
1606560334,8
1606560337,8
1606560340,8
1606560343,8
1606560346,8
1606560349,8
1606560352,8
1606560355,8
1606560358,8
1606560361,8
1606560364,8
1606560367,8
1606560370,8
1606560373,8
1606560376,8
1606560379,8
1606560389,8
1606560390,8
1606560391,8
1606560391,8
1606560394,8
1606560397,8
1606560400,8
1606560403,8
1606560406,8
1606560409,8
1606560412,8
1606560415,8
1606560418,8
1606560421,8
1606560424,8
1606560427,8
1606560430,8
1606560433,8
1606560436,8
1606560439,8
1606560442,8
1606560445,8
1606560448,8
1606560451,8
1606560454,8
1606560457,8
1606560460,8
1606560463,8
1606560466,8
1606560469,8
1606560472,8
1606560475,8
1606560478,8
1606560481,8
1606560484,8
1606560487,8
1606560490,8
1606560493,8
1606560496,8
1606560499,8
1606560502,8
1606560505,8
1606560508,8
1606560511,8
1606560514,8
1606560517,8
1606560520,8
1606560523,8
1606560526,8
1606560529,8
1606560532,8
1606560535,8
1606560538,8
1606560541,8
1606560544,8
1606560547,8
1606560550,8
1606560553,8
1606560556,8
1606560559,8
1606560562,8
1606560565,8
1606560568,8
1606560571,8
1606560574,8
1606560577,8
1606560580,8
1606560583,8
1606560586,8
1606560589,8
1606560592,8
1606560595,8
1606560598,8
1606560601,8
1606560604,8
1606560607,8
1606560610,8
1606560613,8
1606560616,8
1606560619,8
1606560622,8
1606560625,8
1606560628,8
1606560631,8
1606560634,8
1606560637,8
1606560640,8
1606560643,8
1606560646,8
1606560649,8
1606560652,8
1606560655,8
1606560658,8
1606560661,8
1606560664,8
1606560667,8
1606560670,8
1606560673,8
1606560676,8
1606560679,8
1606560682,8
1606560685,8
1606560688,8
1606560691,8
1606560694,8
1606560697,8
1606560700,8
1606560703,8
1606560706,8
1606560709,8
1606560712,8
1606560715,8
1606560718,8
1606560721,8
1606560724,8
1606560727,8
1606560730,8
1606560733,8
1606560736,8
1606560739,8
1606560742,8
1606560745,8
1606560748,8
1606560751,8
1606560754,8
1606560757,8
1606560760,8
1606560763,8
1606560766,8
1606560769,8
1606560772,8
1606560775,8
1606560778,8
1606560781,8
1606560784,8
1606560787,8
1606560790,8
1606560793,8
1606560796,8
1606560799,8
1606560802,8
1606560805,8
1606560808,8
1606560811,8
1606560814,8
1606560817,8
1606560820,8
1606560823,8
1606560826,8
1606560829,8
1606560832,8
1606560835,8
1606560838,8
1606560841,8
1606560844,8
1606560847,8
1606560850,8
1606560853,8
1606560856,8
1606560859,8
1606560862,8
1606560865,8
1606560868,8
1606560871,8
1606560874,8
1606560877,8
1606560880,8
1606560883,8
1606560886,8
1606560889,8
1606560892,8
1606560895,8
1606560898,8
1606560901,8
1606560904,8
1606560907,8
1606560910,8
1606560913,8
1606560916,8
1606560919,8
1606560922,8
1606560925,8
1606560928,8
1606560931,8
1606560934,8
1606560937,8
1606560940,8
1606560943,8
1606560946,8
1606560949,8
1606560952,8
1606560955,8
1606560958,8
1606560961,8
1606560964,8
1606560967,8
1606560970,8
1606560973,8
1606560976,8
1606560979,8
1606560982,8
1606560985,8
1606560988,8
1606560991,8
1606560994,8
1606560997,8
1606561000,8
1606561003,8
1606561006,8
1606561009,8
1606561012,8
1606561015,8
1606561018,8
1606561021,8
1606561024,8
1606561027,8
1606561030,8
1606561033,8
1606561036,8
1606561039,8
1606561042,8
1606561045,8
1606561048,8
1606561051,8
1606561054,8
1606561057,8
1606561060,8
1606561063,8
1606561066,8
1606561069,8
1606561072,8
1606561075,8
1606561078,8
1606561081,8
1606561084,8
1606561087,8
1606561090,8
1606561093,8
1606561096,8
1606561099,8
1606561102,8
1606561105,8
1606561108,8
1606561111,8
1606561114,8
1606561117,8
1606561120,8
1606561123,8
1606561129,8
1606561135,8
1606561142,8
1606561144,8
1606561146,8
1606561148,8
1606561151,8
1606561154,8
1606561154,8
1606561155,8
1606561158,8
1606561159,8
1606561173,8
1606561175,8
1606561178,8
1606561180,8
1606561180,8
1606561181,8
1606561182,8
1606561183,8
1606561186,8
1606561189,8
1606561192,8
1606561195,8
1606561198,8
1606561201,8
1606561204,8
1606561207,8
t,value
1606561529,-1
1606561532,-1
1606561535,0
1606561538,8
1606561541,8
1606561544,8
1606561547,8
1606561550,8
1606561553,8
1606561556,8
1606561559,8
1606561562,8
1606561565,8
1606561568,8
1606561571,8
1606561574,8
1606561577,8
1606561580,8
1606561583,8
1606561586,8
1606561589,8
1606561592,8
1606561595,8
1606561598,8
1606561601,8
1606561604,8
1606561607,8
1606561610,8
1606561613,8
1606561616,8
1606561619,8
1606561622,8
1606561625,8
1606561628,8
1606561631,8
1606561634,8
1606561637,8
1606561640,8
1606561643,8
1606561646,8
1606561649,8
1606561652,8
1606561655,8
1606561658,8
1606561661,8
1606561664,8
1606561667,8
1606561670,8
1606561673,8
1606561676,8
1606561679,8
1606561682,8
1606561685,8
1606561688,8
1606561691,8
1606561694,8
1606561697,8
1606561700,8
1606561703,8
1606561706,8
1606561709,8
1606561712,8
1606561715,8
1606561718,8
1606561721,8
1606561724,8
1606561727,8
1606561730,8
1606561733,8
1606561736,8
1606561739,8
1606561742,8
1606561745,8
1606561748,8
1606561751,8
1606561754,8
1606561757,8
1606561760,8
1606561763,8
1606561766,8
1606561769,8
1606561772,8
1606561775,8
1606561778,8
1606561781,8
1606561784,8
1606561787,8
1606561790,8
1606561793,8
1606561796,8
1606561799,8
1606561802,8
1606561805,8
1606561808,8
t,value
1606561865,8
1606561868,8
1606561871,8
1606561874,8
1606561877,8
1606561880,8
1606561883,8
1606561886,8
1606561889,8
1606561892,8
1606561895,8
1606561898,8
1606561901,8
1606561904,8
1606561907,8
1606561910,8
1606561913,8
1606561916,8
1606561919,8
1606561922,8
1606561925,8
1606561928,8
1606561931,8
1606561934,8
1606561937,8
1606561940,8
1606561943,8
1606561946,8
1606561949,8
1606561952,8
1606561955,8
1606561958,8
1606561961,8
1606561964,8
1606561967,8
1606561970,8
1606561973,8
1606561976,8
1606561979,8
1606561982,8
1606561985,8
1606561988,8
1606561991,8
1606561994,8
1606561997,8
1606562000,8
