t,value
1606559974,-1
1606559989,8
1606559990,8
1606559990,8
1606559991,8
1606559991,8
1606559992,8
1606559995,8
1606559998,8
1606560001,5
1606560004,5
1606560007,5
1606560010,5
1606560013,5
1606560016,5
1606560019,5
1606560022,5
1606560025,5
1606560028,5
1606560031,5
1606560034,5
1606560037,5
1606560040,5
1606560043,5
1606560046,5
1606560049,5
1606560052,5
1606560055,5
1606560058,5
1606560061,5
1606560064,5
1606560067,5
1606560070,5
1606560073,5
1606560076,5
1606560079,5
1606560082,5
1606560085,5
1606560088,5
1606560091,5
1606560094,5
1606560097,5
1606560100,5
1606560103,5
1606560106,5
1606560109,5
1606560112,5
1606560115,5
1606560118,5
1606560121,5
1606560124,5
1606560127,5
1606560130,5
1606560133,5
1606560136,5
1606560139,5
1606560142,5
1606560145,5
1606560148,5
1606560151,5
1606560154,5
1606560157,5
1606560160,5
1606560163,5
1606560166,5
1606560169,5
1606560172,5
1606560175,5
1606560178,5
1606560181,5
1606560184,5
1606560187,5
1606560190,5
1606560193,5
1606560196,5
1606560199,5
1606560202,5
1606560205,5
1606560208,5
1606560211,5
1606560214,5
1606560217,5
1606560220,5
1606560223,5
1606560226,5
1606560229,5
1606560232,5
1606560235,5
1606560238,5
1606560241,5
1606560244,5
1606560247,5
1606560250,5
1606560253,5
1606560256,5
1606560259,5
1606560262,5
1606560265,5
1606560268,5
1606560271,5
1606560274,5
1606560277,5
1606560280,5
1606560283,5
1606560286,5
1606560289,5
1606560292,5
1606560295,5
1606560298,5
1606560301,5
1606560304,5
1606560307,5
1606560310,5
1606560313,5
1606560316,5
1606560319,5
1606560322,5
1606560325,5
1606560328,5
1606560331,5
1606560334,5
1606560337,5
1606560340,5
1606560343,5
1606560346,5
1606560349,5
1606560352,5
1606560355,5
1606560358,5
1606560361,5
1606560364,5
1606560367,5
1606560370,5
1606560373,5
1606560376,5
1606560379,5
1606560389,5
1606560390,5
1606560391,5
1606560391,5
1606560394,5
1606560397,5
1606560400,5
1606560403,5
1606560406,5
1606560409,5
1606560412,5
1606560415,5
1606560418,5
1606560421,5
1606560424,5
1606560427,5
1606560430,5
1606560433,5
1606560436,5
1606560439,5
1606560442,5
1606560445,5
1606560448,5
1606560451,5
1606560454,5
1606560457,5
1606560460,5
1606560463,5
1606560466,5
1606560469,5
1606560472,5
1606560475,5
1606560478,5
1606560481,5
1606560484,5
1606560487,5
1606560490,5
1606560493,5
1606560496,5
1606560499,5
1606560502,5
1606560505,5
1606560508,5
1606560511,5
1606560514,5
1606560517,5
1606560520,5
1606560523,5
1606560526,5
1606560529,5
1606560532,5
1606560535,5
1606560538,5
1606560541,5
1606560544,5
1606560547,5
1606560550,5
1606560553,5
1606560556,5
1606560559,5
1606560562,5
1606560565,5
1606560568,5
1606560571,5
1606560574,5
1606560577,5
1606560580,5
1606560583,5
1606560586,5
1606560589,5
1606560592,5
1606560595,5
1606560598,5
1606560601,5
1606560604,5
1606560607,5
1606560610,5
1606560613,5
1606560616,5
1606560619,5
1606560622,5
1606560625,5
1606560628,5
1606560631,5
1606560634,5
1606560637,5
1606560640,5
1606560643,5
1606560646,5
1606560649,5
1606560652,5
1606560655,5
1606560658,5
1606560661,5
1606560664,5
1606560667,5
1606560670,5
1606560673,5
1606560676,5
1606560679,5
1606560682,5
1606560685,5
1606560688,5
1606560691,5
1606560694,5
1606560697,5
1606560700,5
1606560703,5
1606560706,5
1606560709,5
1606560712,5
1606560715,5
1606560718,5
1606560721,5
1606560724,5
1606560727,5
1606560730,5
1606560733,5
1606560736,5
1606560739,5
1606560742,5
1606560745,5
1606560748,5
1606560751,5
1606560754,5
1606560757,5
1606560760,5
1606560763,5
1606560766,5
1606560769,5
1606560772,5
1606560775,5
1606560778,5
1606560781,5
1606560784,5
1606560787,5
1606560790,5
1606560793,5
1606560796,5
1606560799,5
1606560802,5
1606560805,5
1606560808,5
1606560811,5
1606560814,5
1606560817,5
1606560820,5
1606560823,5
1606560826,5
1606560829,5
1606560832,5
1606560835,5
1606560838,5
1606560841,5
1606560844,5
1606560847,5
1606560850,5
1606560853,5
1606560856,5
1606560859,5
1606560862,5
1606560865,5
1606560868,5
1606560871,5
1606560874,5
1606560877,5
1606560880,5
1606560883,5
1606560886,5
1606560889,5
1606560892,5
1606560895,5
1606560898,5
1606560901,5
1606560904,5
1606560907,5
1606560910,5
1606560913,5
1606560916,5
1606560919,5
1606560922,5
1606560925,5
1606560928,5
1606560931,5
1606560934,5
1606560937,5
1606560940,5
1606560943,5
1606560946,5
1606560949,5
1606560952,5
1606560955,5
1606560958,5
1606560961,5
1606560964,5
1606560967,5
1606560970,5
1606560973,5
1606560976,5
1606560979,5
1606560982,5
1606560985,5
1606560988,5
1606560991,5
1606560994,5
1606560997,5
1606561000,5
1606561003,5
1606561006,5
1606561009,5
1606561012,5
1606561015,5
1606561018,5
1606561021,5
1606561024,5
1606561027,5
1606561030,5
1606561033,5
1606561036,5
1606561039,5
1606561042,5
1606561045,5
1606561048,5
1606561051,5
1606561054,5
1606561057,5
1606561060,5
1606561063,5
1606561066,5
1606561069,5
1606561072,5
1606561075,5
1606561078,5
1606561081,5
1606561084,5
1606561087,5
1606561090,5
1606561093,5
1606561096,5
1606561099,5
1606561102,5
1606561105,5
1606561108,5
1606561111,5
1606561114,5
1606561117,5
1606561120,5
1606561123,5
1606561129,5
1606561135,5
1606561142,5
1606561144,5
1606561146,5
1606561148,5
1606561151,5
1606561154,5
1606561154,5
1606561155,5
1606561158,5
1606561159,5
1606561173,5
1606561175,5
1606561178,5
1606561180,5
1606561180,5
1606561181,5
1606561182,5
1606561183,5
1606561186,5
1606561189,5
1606561192,5
1606561195,5
1606561198,5
1606561201,5
1606561204,5
1606561207,5
t,value
1606561529,-1
1606561532,-1
1606561535,0
1606561538,8
1606561541,8
1606561544,4
1606561547,4
1606561550,4
1606561553,4
1606561556,4
1606561559,4
1606561562,4
1606561565,4
1606561568,4
1606561571,4
1606561574,4
1606561577,4
1606561580,4
1606561583,4
1606561586,4
1606561589,4
1606561592,4
1606561595,4
1606561598,4
1606561601,4
1606561604,5
1606561607,5
1606561610,5
1606561613,5
1606561616,5
1606561619,5
1606561622,5
1606561625,5
1606561628,5
1606561631,5
1606561634,5
1606561637,5
1606561640,5
1606561643,5
1606561646,5
1606561649,5
1606561652,5
1606561655,5
1606561658,5
1606561661,5
1606561664,5
1606561667,5
1606561670,5
1606561673,5
1606561676,5
1606561679,5
1606561682,5
1606561685,5
1606561688,5
1606561691,5
1606561694,5
1606561697,5
1606561700,5
1606561703,5
1606561706,5
1606561709,5
1606561712,5
1606561715,5
1606561718,5
1606561721,5
1606561724,5
1606561727,5
1606561730,5
1606561733,5
1606561736,5
1606561739,5
1606561742,5
1606561745,5
1606561748,5
1606561751,5
1606561754,5
1606561757,5
1606561760,5
1606561763,5
1606561766,5
1606561769,5
1606561772,5
1606561775,5
1606561778,5
1606561781,5
1606561784,5
1606561787,5
1606561790,5
1606561793,5
1606561796,5
1606561799,5
1606561802,5
1606561805,5
1606561808,5
t,value
1606561865,8
1606561868,4
1606561871,4
1606561874,4
1606561877,4
1606561880,4
1606561883,4
1606561886,4
1606561889,4
1606561892,4
1606561895,4
1606561898,4
1606561901,4
1606561904,4
1606561907,4
1606561910,4
1606561913,4
1606561916,4
1606561919,4
1606561922,4
1606561925,4
1606561928,5
1606561931,5
1606561934,5
1606561937,5
1606561940,5
1606561943,5
1606561946,5
1606561949,5
1606561952,5
1606561955,5
1606561958,5
1606561961,5
1606561964,5
1606561967,5
1606561970,5
1606561973,5
1606561976,5
1606561979,5
1606561982,5
1606561985,5
1606561988,5
1606561991,5
1606561994,5
1606561997,5
1606562000,5
