t,value
1606559974,80
1606559989,80
1606559990,80
1606559990,80
1606559991,80
1606559991,80
1606559992,80
1606559995,80
1606559998,80
1606560001,80
1606560004,80
1606560007,80
1606560010,80
1606560013,80
1606560016,80
1606560019,80
1606560022,80
1606560025,80
1606560028,80
1606560031,80
1606560034,80
1606560037,80
1606560040,80
1606560043,80
1606560046,80
1606560049,80
1606560052,80
1606560055,80
1606560058,80
1606560061,80
1606560064,80
1606560067,80
1606560070,80
1606560073,80
1606560076,80
1606560079,80
1606560082,80
1606560085,80
1606560088,80
1606560091,80
1606560094,80
1606560097,80
1606560100,80
1606560103,80
1606560106,80
1606560109,80
1606560112,80
1606560115,80
1606560118,80
1606560121,80
1606560124,80
1606560127,80
1606560130,80
1606560133,80
1606560136,80
1606560139,80
1606560142,80
1606560145,80
1606560148,80
1606560151,80
1606560154,80
1606560157,80
1606560160,80
1606560163,80
1606560166,80
1606560169,80
1606560172,80
1606560175,80
1606560178,80
1606560181,80
1606560184,80
1606560187,80
1606560190,80
1606560193,80
1606560196,80
1606560199,80
1606560202,80
1606560205,80
1606560208,80
1606560211,80
1606560214,80
1606560217,80
1606560220,80
1606560223,80
1606560226,80
1606560229,80
1606560232,80
1606560235,80
1606560238,80
1606560241,80
1606560244,80
1606560247,80
1606560250,80
1606560253,80
1606560256,80
1606560259,80
1606560262,80
1606560265,80
1606560268,80
1606560271,80
1606560274,80
1606560277,80
1606560280,80
1606560283,80
1606560286,80
1606560289,80
1606560292,80
1606560295,80
1606560298,80
1606560301,80
1606560304,80
1606560307,80
1606560310,80
1606560313,80
1606560316,80
1606560319,80
1606560322,80
1606560325,80
1606560328,80
1606560331,80
1606560334,80
1606560337,80
1606560340,80
1606560343,80
1606560346,80
1606560349,80
1606560352,80
1606560355,80
1606560358,80
1606560361,80
1606560364,80
1606560367,80
1606560370,80
1606560373,80
1606560376,80
1606560379,80
1606560389,80
1606560390,80
1606560391,80
1606560391,80
1606560394,80
1606560397,80
1606560400,80
1606560403,80
1606560406,80
1606560409,80
1606560412,80
1606560415,80
1606560418,80
1606560421,80
1606560424,80
1606560427,80
1606560430,80
1606560433,80
1606560436,80
1606560439,80
1606560442,80
1606560445,80
1606560448,80
1606560451,80
1606560454,80
1606560457,80
1606560460,80
1606560463,80
1606560466,80
1606560469,80
1606560472,80
1606560475,80
1606560478,80
1606560481,80
1606560484,80
1606560487,80
1606560490,80
1606560493,80
1606560496,80
1606560499,80
1606560502,80
1606560505,80
1606560508,80
1606560511,80
1606560514,80
1606560517,80
1606560520,80
1606560523,80
1606560526,80
1606560529,80
1606560532,80
1606560535,80
1606560538,80
1606560541,80
1606560544,80
1606560547,80
1606560550,80
1606560553,80
1606560556,80
1606560559,80
1606560562,80
1606560565,80
1606560568,80
1606560571,80
1606560574,80
1606560577,80
1606560580,80
1606560583,80
1606560586,80
1606560589,80
1606560592,80
1606560595,80
1606560598,80
1606560601,80
1606560604,80
1606560607,80
1606560610,80
1606560613,80
1606560616,80
1606560619,80
1606560622,80
1606560625,80
1606560628,80
1606560631,80
1606560634,80
1606560637,80
1606560640,80
1606560643,80
1606560646,80
1606560649,80
1606560652,80
1606560655,80
1606560658,80
1606560661,80
1606560664,80
1606560667,80
1606560670,80
1606560673,80
1606560676,80
1606560679,80
1606560682,80
1606560685,80
1606560688,80
1606560691,80
1606560694,80
1606560697,80
1606560700,80
1606560703,80
1606560706,80
1606560709,80
1606560712,80
1606560715,80
1606560718,80
1606560721,80
1606560724,80
1606560727,80
1606560730,80
1606560733,80
1606560736,80
1606560739,80
1606560742,80
1606560745,80
1606560748,80
1606560751,80
1606560754,80
1606560757,80
1606560760,80
1606560763,80
1606560766,80
1606560769,80
1606560772,80
1606560775,80
1606560778,80
1606560781,80
1606560784,80
1606560787,80
1606560790,80
1606560793,80
1606560796,80
1606560799,80
1606560802,80
1606560805,80
1606560808,80
1606560811,80
1606560814,80
1606560817,80
1606560820,80
1606560823,80
1606560826,80
1606560829,80
1606560832,80
1606560835,80
1606560838,80
1606560841,80
1606560844,80
1606560847,80
1606560850,80
1606560853,80
1606560856,80
1606560859,80
1606560862,80
1606560865,80
1606560868,80
1606560871,80
1606560874,80
1606560877,80
1606560880,80
1606560883,80
1606560886,80
1606560889,80
1606560892,80
1606560895,80
1606560898,80
1606560901,80
1606560904,80
1606560907,80
1606560910,80
1606560913,80
1606560916,80
1606560919,80
1606560922,80
1606560925,80
1606560928,80
1606560931,80
1606560934,80
1606560937,80
1606560940,80
1606560943,80
1606560946,80
1606560949,80
1606560952,80
1606560955,80
1606560958,80
1606560961,80
1606560964,80
1606560967,80
1606560970,80
1606560973,80
1606560976,80
1606560979,80
1606560982,80
1606560985,80
1606560988,80
1606560991,80
1606560994,80
1606560997,80
1606561000,80
1606561003,80
1606561006,80
1606561009,80
1606561012,80
1606561015,80
1606561018,80
1606561021,80
1606561024,80
1606561027,80
1606561030,80
1606561033,80
1606561036,80
1606561039,80
1606561042,80
1606561045,80
1606561048,80
1606561051,80
1606561054,80
1606561057,80
1606561060,80
1606561063,80
1606561066,80
1606561069,80
1606561072,80
1606561075,80
1606561078,80
1606561081,80
1606561084,80
1606561087,80
1606561090,80
1606561093,80
1606561096,80
1606561099,80
1606561102,80
1606561105,80
1606561108,80
1606561111,80
1606561114,80
1606561117,80
1606561120,80
1606561123,80
1606561129,80
1606561135,80
1606561142,80
1606561144,80
1606561146,80
1606561148,80
1606561151,80
1606561154,80
1606561154,80
1606561155,80
1606561158,80
1606561159,80
1606561173,80
1606561175,80
1606561178,80
1606561180,80
1606561180,80
1606561181,80
1606561182,80
1606561183,80
1606561186,80
1606561189,80
1606561192,80
1606561195,80
1606561198,80
1606561201,80
1606561204,80
1606561207,80
t,value
1606561529,80
1606561532,80
1606561535,80
1606561538,80
1606561541,80
1606561544,80
1606561547,80
1606561550,80
1606561553,80
1606561556,80
1606561559,80
1606561562,80
1606561565,80
1606561568,80
1606561571,80
1606561574,80
1606561577,80
1606561580,80
1606561583,80
1606561586,80
1606561589,80
1606561592,80
1606561595,80
1606561598,80
1606561601,80
1606561604,80
1606561607,80
1606561610,80
1606561613,80
1606561616,80
1606561619,80
1606561622,80
1606561625,80
1606561628,80
1606561631,80
1606561634,80
1606561637,80
1606561640,80
1606561643,80
1606561646,80
1606561649,80
1606561652,80
1606561655,80
1606561658,80
1606561661,80
1606561664,80
1606561667,80
1606561670,80
1606561673,80
1606561676,80
1606561679,80
1606561682,80
1606561685,80
1606561688,80
1606561691,80
1606561694,80
1606561697,80
1606561700,80
1606561703,80
1606561706,80
1606561709,80
1606561712,80
1606561715,80
1606561718,80
1606561721,80
1606561724,80
1606561727,80
1606561730,80
1606561733,80
1606561736,80
1606561739,80
1606561742,80
1606561745,80
1606561748,80
1606561751,80
1606561754,80
1606561757,80
1606561760,80
1606561763,80
1606561766,80
1606561769,80
1606561772,80
1606561775,80
1606561778,80
1606561781,80
1606561784,80
1606561787,80
1606561790,80
1606561793,80
1606561796,80
1606561799,80
1606561802,80
1606561805,80
1606561808,80
t,value
1606561865,80
1606561868,80
1606561871,80
1606561874,80
1606561877,80
1606561880,80
1606561883,80
1606561886,80
1606561889,80
1606561892,80
1606561895,80
1606561898,80
1606561901,80
1606561904,80
1606561907,80
1606561910,80
1606561913,80
1606561916,80
1606561919,80
1606561922,80
1606561925,80
1606561928,80
1606561931,80
1606561934,80
1606561937,80
1606561940,80
1606561943,80
1606561946,80
1606561949,80
1606561952,80
1606561955,80
1606561958,80
1606561961,80
1606561964,80
1606561967,80
1606561970,80
1606561973,80
1606561976,80
1606561979,80
1606561982,80
1606561985,80
1606561988,80
1606561991,80
1606561994,80
1606561997,80
1606562000,80
1606562003,80
1606562006,80
1606562009,80
1606562012,80
1606562015,80
1606562018,80
1606562021,80
1606562024,80
1606562027,80
1606562030,80
1606562033,80
1606562036,80
1606562039,80
1606562042,80
1606562045,80
1606562048,80
1606562051,80
1606562054,80
1606562057,80
1606562060,80
1606562063,80
1606562066,80
1606562069,80
1606562072,80
1606562075,80
1606562078,80
1606562081,80
1606562084,80
1606562087,80
1606562090,80
1606562093,80
1606562096,80
1606562099,80
1606562102,80
1606562105,80
1606562108,80
1606562111,80
1606562114,80
1606562117,80
1606562120,80
1606562123,80
1606562126,80
1606562129,80
1606562132,80
1606562135,80
1606562138,80
1606562141,80
1606562144,80
1606562147,80
1606562150,80
1606562153,80
1606562156,80
1606562159,80
1606562162,80
1606562165,80
1606562168,80
1606562171,80
1606562174,80
1606562177,80
1606562180,80
1606562183,80
1606562186,80
1606562189,80
1606562192,80
1606562195,80
1606562198,80
1606562201,80
1606562204,80
1606562207,80
1606562210,80
1606562213,80
1606562216,80
1606562219,80
1606562222,80
1606562225,80
1606562228,80
1606562231,80
1606562234,80
1606562237,80
1606562240,80
1606562243,80
1606562246,80
1606562249,80
1606562252,80
1606562255,80
1606562258,80
1606562261,80
1606562264,80
1606562267,80
1606562270,80
1606562273,80
1606562276,80
1606562279,80
1606562282,80
1606562285,80
1606562288,80
1606562291,80
1606562294,80
1606562297,80
1606562300,80
1606562303,80
1606562306,80
1606562309,80
1606562312,80
1606562315,80
1606562318,80
1606562321,80
1606562324,80
1606562327,80
1606562330,80
1606562333,80
1606562336,80
1606562339,80
1606562342,80
1606562345,80
1606562348,80
1606562351,80
1606562354,80
1606562357,80
1606562360,80
1606562363,80
1606562366,80
1606562369,80
1606562372,80
1606562375,80
1606562378,80
1606562381,80
1606562384,80
1606562387,80
1606562390,80
1606562393,80
1606562396,80
1606562399,80
1606562402,80
1606562405,80
1606562408,80
1606562411,80
1606562414,80
1606562417,80
1606562420,80
1606562423,80
1606562426,80
1606562429,80
1606562432,80
1606562435,80
1606562438,80
1606562441,80
1606562444,80
1606562447,80
1606562450,80
1606562453,80
1606562456,80
1606562459,80
