t,value
1606559974,6
1606559989,6
1606559990,6
1606559990,6
1606559991,6
1606559991,6
1606559992,6
1606559995,6
1606559998,6
1606560001,6
1606560004,6
1606560007,6
1606560010,6
1606560013,6
1606560016,6
1606560019,6
1606560022,6
1606560025,6
1606560028,6
1606560031,6
1606560034,6
1606560037,6
1606560040,6
1606560043,6
1606560046,6
1606560049,6
1606560052,6
1606560055,6
1606560058,6
1606560061,6
1606560064,6
1606560067,6
1606560070,6
1606560073,6
1606560076,6
1606560079,6
1606560082,6
1606560085,6
1606560088,6
1606560091,6
1606560094,6
1606560097,6
1606560100,6
1606560103,6
1606560106,6
1606560109,6
1606560112,6
1606560115,6
1606560118,6
1606560121,6
1606560124,6
1606560127,6
1606560130,6
1606560133,6
1606560136,6
1606560139,6
1606560142,6
1606560145,6
1606560148,6
1606560151,6
1606560154,6
1606560157,6
1606560160,6
1606560163,6
1606560166,6
1606560169,6
1606560172,6
1606560175,6
1606560178,6
1606560181,6
1606560184,6
1606560187,6
1606560190,6
1606560193,6
1606560196,6
1606560199,6
1606560202,6
1606560205,6
1606560208,6
1606560211,6
1606560214,6
1606560217,6
1606560220,6
1606560223,6
1606560226,6
1606560229,6
1606560232,6
1606560235,6
1606560238,6
1606560241,6
1606560244,6
1606560247,6
1606560250,6
1606560253,6
1606560256,6
1606560259,6
1606560262,6
1606560265,6
1606560268,6
1606560271,6
1606560274,6
1606560277,6
1606560280,6
1606560283,6
1606560286,6
1606560289,6
1606560292,6
1606560295,6
1606560298,6
1606560301,6
1606560304,6
1606560307,6
1606560310,6
1606560313,6
1606560316,6
1606560319,6
1606560322,6
1606560325,6
1606560328,6
1606560331,6
1606560334,6
1606560337,6
1606560340,6
1606560343,6
1606560346,6
1606560349,6
1606560352,6
1606560355,6
1606560358,6
1606560361,6
1606560364,6
1606560367,6
1606560370,6
1606560373,6
1606560376,6
1606560379,6
1606560389,6
1606560390,6
1606560391,6
1606560391,6
1606560394,6
1606560397,6
1606560400,6
1606560403,6
1606560406,6
1606560409,6
1606560412,6
1606560415,6
1606560418,6
1606560421,6
1606560424,6
1606560427,6
1606560430,6
1606560433,6
1606560436,6
1606560439,6
1606560442,6
1606560445,6
1606560448,6
1606560451,6
1606560454,6
1606560457,6
1606560460,6
1606560463,6
1606560466,6
1606560469,6
1606560472,6
1606560475,6
1606560478,6
1606560481,6
1606560484,6
1606560487,6
1606560490,6
1606560493,6
1606560496,6
1606560499,6
1606560502,6
1606560505,6
1606560508,6
1606560511,6
1606560514,6
1606560517,6
1606560520,6
1606560523,6
1606560526,6
1606560529,6
1606560532,6
1606560535,6
1606560538,6
1606560541,6
1606560544,6
1606560547,6
1606560550,6
1606560553,6
1606560556,6
1606560559,6
1606560562,6
1606560565,6
1606560568,6
1606560571,6
1606560574,6
1606560577,6
1606560580,6
1606560583,6
1606560586,6
1606560589,6
1606560592,6
1606560595,6
1606560598,6
1606560601,6
1606560604,6
1606560607,6
1606560610,6
1606560613,6
1606560616,6
1606560619,6
1606560622,6
1606560625,6
1606560628,6
1606560631,6
1606560634,6
1606560637,6
1606560640,6
1606560643,6
1606560646,6
1606560649,6
1606560652,6
1606560655,6
1606560658,6
1606560661,6
1606560664,6
1606560667,6
1606560670,6
1606560673,6
1606560676,6
1606560679,6
1606560682,6
1606560685,6
1606560688,6
1606560691,6
1606560694,6
1606560697,6
1606560700,6
1606560703,6
1606560706,6
1606560709,6
1606560712,6
1606560715,6
1606560718,6
1606560721,6
1606560724,6
1606560727,6
1606560730,6
1606560733,6
1606560736,6
1606560739,6
1606560742,6
1606560745,6
1606560748,6
1606560751,6
1606560754,6
1606560757,6
1606560760,6
1606560763,6
1606560766,6
1606560769,6
1606560772,6
1606560775,6
1606560778,6
1606560781,6
1606560784,6
1606560787,6
1606560790,6
1606560793,6
1606560796,6
1606560799,6
1606560802,6
1606560805,6
1606560808,6
1606560811,6
1606560814,6
1606560817,6
1606560820,6
1606560823,6
1606560826,6
1606560829,6
1606560832,6
1606560835,6
1606560838,6
1606560841,6
1606560844,6
1606560847,6
1606560850,6
1606560853,6
1606560856,6
1606560859,6
1606560862,6
1606560865,6
1606560868,6
1606560871,6
1606560874,6
1606560877,6
1606560880,6
1606560883,6
1606560886,6
1606560889,6
1606560892,6
1606560895,6
1606560898,6
1606560901,6
1606560904,6
1606560907,6
1606560910,6
1606560913,6
1606560916,6
1606560919,6
1606560922,6
1606560925,6
1606560928,6
1606560931,6
1606560934,6
1606560937,6
1606560940,6
1606560943,6
1606560946,6
1606560949,6
1606560952,6
1606560955,6
1606560958,6
1606560961,6
1606560964,6
1606560967,6
1606560970,6
1606560973,6
1606560976,6
1606560979,6
1606560982,6
1606560985,6
1606560988,6
1606560991,6
1606560994,6
1606560997,6
1606561000,6
1606561003,6
1606561006,6
1606561009,6
1606561012,6
1606561015,6
1606561018,6
1606561021,6
1606561024,6
1606561027,6
1606561030,6
1606561033,6
1606561036,6
1606561039,6
1606561042,6
1606561045,6
1606561048,6
1606561051,6
1606561054,6
1606561057,6
1606561060,6
1606561063,6
1606561066,6
1606561069,6
1606561072,6
1606561075,6
1606561078,6
1606561081,6
1606561084,6
1606561087,6
1606561090,6
1606561093,6
1606561096,6
1606561099,6
1606561102,6
1606561105,6
1606561108,6
1606561111,6
1606561114,6
1606561117,6
1606561120,6
1606561123,6
1606561129,6
1606561135,6
1606561142,6
1606561144,6
1606561146,6
1606561148,6
1606561151,6
1606561154,6
1606561154,6
1606561155,6
1606561158,6
1606561159,6
1606561173,6
1606561175,6
1606561178,6
1606561180,6
1606561180,6
1606561181,6
1606561182,6
1606561183,6
1606561186,6
1606561189,6
1606561192,6
1606561195,6
1606561198,6
1606561201,6
1606561204,6
1606561207,6
t,value
1606561529,6
1606561532,6
1606561535,6
1606561538,6
1606561541,6
1606561544,6
1606561547,6
1606561550,6
1606561553,6
1606561556,6
1606561559,6
1606561562,6
1606561565,6
1606561568,6
1606561571,6
1606561574,6
1606561577,6
1606561580,6
1606561583,6
1606561586,6
1606561589,6
1606561592,6
1606561595,6
1606561598,6
1606561601,6
1606561604,6
1606561607,6
1606561610,6
1606561613,6
1606561616,6
1606561619,6
1606561622,6
1606561625,6
1606561628,6
1606561631,6
1606561634,6
1606561637,6
1606561640,6
1606561643,6
1606561646,6
1606561649,6
1606561652,6
1606561655,6
1606561658,6
1606561661,6
1606561664,6
1606561667,6
1606561670,6
1606561673,6
1606561676,6
1606561679,6
1606561682,6
1606561685,6
1606561688,6
1606561691,6
1606561694,6
1606561697,6
1606561700,6
1606561703,6
1606561706,6
1606561709,6
1606561712,6
1606561715,6
1606561718,6
1606561721,6
1606561724,6
1606561727,6
1606561730,6
1606561733,6
1606561736,6
1606561739,6
1606561742,6
1606561745,6
1606561748,6
1606561751,6
1606561754,6
1606561757,6
1606561760,6
1606561763,6
1606561766,6
1606561769,6
1606561772,6
1606561775,6
1606561778,6
1606561781,6
1606561784,6
1606561787,6
1606561790,6
1606561793,6
1606561796,6
1606561799,6
1606561802,6
1606561805,6
1606561808,6
t,value
1606561865,6
1606561868,6
1606561871,6
1606561874,6
1606561877,6
1606561880,6
1606561883,6
1606561886,6
1606561889,6
1606561892,6
1606561895,6
1606561898,6
1606561901,6
1606561904,6
1606561907,6
1606561910,6
1606561913,6
1606561916,6
1606561919,6
1606561922,6
1606561925,6
1606561928,6
1606561931,6
1606561934,6
1606561937,6
1606561940,6
1606561943,6
1606561946,6
1606561949,6
1606561952,6
1606561955,6
1606561958,6
1606561961,6
1606561964,6
1606561967,6
1606561970,6
1606561973,6
1606561976,6
1606561979,6
1606561982,6
1606561985,6
1606561988,6
1606561991,6
1606561994,6
1606561997,6
1606562000,6
1606562003,6
1606562006,6
1606562009,6
1606562012,6
1606562015,6
1606562018,6
1606562021,6
1606562024,6
1606562027,6
1606562030,6
1606562033,6
1606562036,6
1606562039,6
1606562042,6
1606562045,6
1606562048,6
1606562051,6
1606562054,6
1606562057,6
1606562060,6
1606562063,6
1606562066,6
1606562069,6
1606562072,6
1606562075,6
1606562078,6
1606562081,6
1606562084,6
1606562087,6
1606562090,6
1606562093,6
1606562096,6
1606562099,6
1606562102,6
1606562105,6
1606562108,6
1606562111,6
1606562114,6
1606562117,6
1606562120,6
1606562123,6
1606562126,6
1606562129,6
1606562132,6
1606562135,6
1606562138,6
1606562141,6
1606562144,6
1606562147,6
1606562150,6
1606562153,6
1606562156,6
1606562159,6
1606562162,6
1606562165,6
1606562168,6
1606562171,6
1606562174,6
1606562177,6
1606562180,6
1606562183,6
1606562186,6
1606562189,6
1606562192,6
1606562195,6
1606562198,6
1606562201,6
1606562204,6
1606562207,6
1606562210,6
1606562213,6
1606562216,6
1606562219,6
1606562222,6
1606562225,6
1606562228,6
1606562231,6
1606562234,6
1606562237,6
1606562240,6
1606562243,6
1606562246,6
1606562249,6
1606562252,6
1606562255,6
1606562258,6
1606562261,6
1606562264,6
1606562267,6
1606562270,6
1606562273,6
1606562276,6
1606562279,6
1606562282,6
1606562285,6
1606562288,6
1606562291,6
1606562294,6
1606562297,6
1606562300,6
1606562303,6
1606562306,6
