t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1606559974,32466,451.562861,0.000000,0.000000,0.000000,events/second
1606559989,32466,435.284693,0.000000,0.000000,0.000000,events/second
1606559990,32466,432.298246,0.000000,0.000000,0.000000,events/second
1606559990,32466,430.637154,0.000000,0.000000,0.000000,events/second
1606559991,32466,429.216779,0.000000,0.000000,0.000000,events/second
1606559991,32466,427.730183,0.000000,0.000000,0.000000,events/second
1606559992,32466,422.647131,0.000000,0.000000,0.000000,events/second
1606559995,32466,406.340410,0.000000,0.000000,0.000000,events/second
1606559998,32466,392.289597,0.000000,0.000000,0.000000,events/second
1606560001,32466,378.606325,0.000000,0.000000,0.000000,events/second
1606560004,32466,366.252083,0.000000,0.000000,0.000000,events/second
1606560007,32466,354.203210,0.000000,0.000000,0.000000,events/second
1606560010,32466,341.326929,0.000000,0.000000,0.000000,events/second
1606560013,32466,332.178056,0.000000,0.000000,0.000000,events/second
1606560016,32466,321.386681,0.000000,0.000000,0.000000,events/second
1606560019,32466,313.120384,0.000000,0.000000,0.000000,events/second
1606560022,32466,300.520938,0.000000,0.000000,0.000000,events/second
1606560025,32466,295.511610,0.000000,0.000000,0.000000,events/second
1606560028,32466,288.035304,0.000000,0.000000,0.000000,events/second
1606560031,32466,280.729831,0.000000,0.000000,0.000000,events/second
1606560034,32466,273.679637,0.000000,0.000000,0.000000,events/second
1606560037,32466,266.937519,0.000000,0.000000,0.000000,events/second
1606560040,32466,259.871834,0.000000,0.000000,0.000000,events/second
1606560043,32466,254.349461,0.000000,0.000000,0.000000,events/second
1606560046,32466,248.545473,0.000000,0.000000,0.000000,events/second
1606560049,32466,242.835875,0.000000,0.000000,0.000000,events/second
1606560052,32466,237.323115,0.000000,0.000000,0.000000,events/second
1606560055,32466,232.530724,0.000000,0.000000,0.000000,events/second
1606560058,32466,227.629225,0.000000,0.000000,0.000000,events/second
1606560061,32466,222.916589,0.000000,0.000000,0.000000,events/second
1606560064,32466,218.415806,0.000000,0.000000,0.000000,events/second
1606560067,32466,214.141351,0.000000,0.000000,0.000000,events/second
1606560070,32466,209.867660,0.000000,0.000000,0.000000,events/second
1606560073,32466,205.583278,0.000000,0.000000,0.000000,events/second
1606560076,32466,201.953146,0.000000,0.000000,0.000000,events/second
1606560079,32466,196.267788,0.000000,0.000000,0.000000,events/second
1606560082,32466,194.822454,0.000000,0.000000,0.000000,events/second
1606560085,32466,191.125006,0.000000,0.000000,0.000000,events/second
1606560088,32466,187.324069,0.000000,0.000000,0.000000,events/second
1606560091,32466,183.620099,0.000000,0.000000,0.000000,events/second
1606560094,32466,181.119397,0.000000,0.000000,0.000000,events/second
1606560097,32466,178.685949,0.000000,0.000000,0.000000,events/second
1606560100,32466,175.851601,0.000000,0.000000,0.000000,events/second
1606560103,32466,173.050139,0.000000,0.000000,0.000000,events/second
1606560106,32466,170.278148,0.000000,0.000000,0.000000,events/second
1606560109,32466,167.679864,0.000000,0.000000,0.000000,events/second
1606560112,32466,165.094663,0.000000,0.000000,0.000000,events/second
1606560115,32466,162.656686,0.000000,0.000000,0.000000,events/second
1606560118,32466,160.183911,0.000000,0.000000,0.000000,events/second
1606560121,32466,157.906554,0.000000,0.000000,0.000000,events/second
1606560124,32466,155.621500,0.000000,0.000000,0.000000,events/second
1606560127,32466,153.410550,0.000000,0.000000,0.000000,events/second
1606560130,32466,151.291312,0.000000,0.000000,0.000000,events/second
1606560133,32466,149.195238,0.000000,0.000000,0.000000,events/second
1606560136,32466,147.162180,0.000000,0.000000,0.000000,events/second
1606560139,32466,145.146955,0.000000,0.000000,0.000000,events/second
1606560142,32466,143.254945,0.000000,0.000000,0.000000,events/second
1606560145,32466,141.387194,0.000000,0.000000,0.000000,events/second
1606560148,32466,139.563219,0.000000,0.000000,0.000000,events/second
1606560151,32466,137.630438,0.000000,0.000000,0.000000,events/second
1606560154,32466,136.040000,0.000000,0.000000,0.000000,events/second
1606560157,32466,134.347845,0.000000,0.000000,0.000000,events/second
1606560160,32466,132.713511,0.000000,0.000000,0.000000,events/second
1606560163,32466,131.088421,0.000000,0.000000,0.000000,events/second
1606560166,32466,129.532596,0.000000,0.000000,0.000000,events/second
1606560169,32466,128.013595,0.000000,0.000000,0.000000,events/second
1606560172,32466,126.356132,0.000000,0.000000,0.000000,events/second
1606560175,32466,125.049739,0.000000,0.000000,0.000000,events/second
1606560178,32466,123.608235,0.000000,0.000000,0.000000,events/second
1606560181,32466,122.235082,0.000000,0.000000,0.000000,events/second
1606560184,32466,120.872724,0.000000,0.000000,0.000000,events/second
1606560187,32466,119.540890,0.000000,0.000000,0.000000,events/second
1606560190,32466,118.217750,0.000000,0.000000,0.000000,events/second
1606560193,32466,116.950427,0.000000,0.000000,0.000000,events/second
1606560196,32466,115.686149,0.000000,0.000000,0.000000,events/second
1606560199,32466,114.470464,0.000000,0.000000,0.000000,events/second
1606560202,32466,113.279745,0.000000,0.000000,0.000000,events/second
1606560205,32466,112.098689,0.000000,0.000000,0.000000,events/second
1606560208,32466,110.949676,0.000000,0.000000,0.000000,events/second
1606560211,32466,109.818237,0.000000,0.000000,0.000000,events/second
1606560214,32466,108.690307,0.000000,0.000000,0.000000,events/second
1606560217,32466,107.366954,0.000000,0.000000,0.000000,events/second
1606560220,32466,106.581149,0.000000,0.000000,0.000000,events/second
1606560223,32466,105.378764,0.000000,0.000000,0.000000,events/second
1606560226,32466,104.521857,0.000000,0.000000,0.000000,events/second
1606560229,32466,103.525883,0.000000,0.000000,0.000000,events/second
1606560232,32466,102.541895,0.000000,0.000000,0.000000,events/second
1606560235,32466,101.583182,0.000000,0.000000,0.000000,events/second
1606560238,32466,100.629625,0.000000,0.000000,0.000000,events/second
1606560241,32466,99.704059,0.000000,0.000000,0.000000,events/second
1606560244,32466,98.789342,0.000000,0.000000,0.000000,events/second
1606560247,32466,97.900415,0.000000,0.000000,0.000000,events/second
1606560250,32466,97.011053,0.000000,0.000000,0.000000,events/second
1606560253,32466,96.168168,0.000000,0.000000,0.000000,events/second
1606560256,32466,95.304660,0.000000,0.000000,0.000000,events/second
1606560259,32466,94.483018,0.000000,0.000000,0.000000,events/second
1606560262,32466,93.671928,0.000000,0.000000,0.000000,events/second
1606560265,32466,92.857144,0.000000,0.000000,0.000000,events/second
1606560268,32466,92.068396,0.000000,0.000000,0.000000,events/second
1606560271,32466,91.291384,0.000000,0.000000,0.000000,events/second
1606560274,32466,90.520161,0.000000,0.000000,0.000000,events/second
1606560277,32466,89.754389,0.000000,0.000000,0.000000,events/second
1606560280,32466,89.039676,0.000000,0.000000,0.000000,events/second
1606560283,32466,88.311193,0.000000,0.000000,0.000000,events/second
1606560286,32466,87.593824,0.000000,0.000000,0.000000,events/second
1606560289,32466,86.894137,0.000000,0.000000,0.000000,events/second
