t,value
1606559974,32
1606559989,32
1606559990,32
1606559990,32
1606559991,32
1606559991,32
1606559992,32
1606559995,32
1606559998,32
1606560001,32
1606560004,32
1606560007,32
1606560010,32
1606560013,32
1606560016,32
1606560019,32
1606560022,32
1606560025,32
1606560028,32
1606560031,32
1606560034,32
1606560037,32
1606560040,32
1606560043,32
1606560046,32
1606560049,32
1606560052,32
1606560055,32
1606560058,32
1606560061,32
1606560064,32
1606560067,32
1606560070,32
1606560073,32
1606560076,32
1606560079,32
1606560082,32
1606560085,32
1606560088,32
1606560091,32
1606560094,32
1606560097,32
1606560100,32
1606560103,32
1606560106,32
1606560109,32
1606560112,32
1606560115,32
1606560118,32
1606560121,32
1606560124,32
1606560127,32
1606560130,32
1606560133,32
1606560136,32
1606560139,32
1606560142,32
1606560145,32
1606560148,32
1606560151,32
1606560154,32
1606560157,32
1606560160,32
1606560163,32
1606560166,32
1606560169,32
1606560172,32
1606560175,32
1606560178,32
1606560181,32
1606560184,32
1606560187,32
1606560190,32
1606560193,32
1606560196,32
1606560199,32
1606560202,32
1606560205,32
1606560208,32
1606560211,32
1606560214,32
1606560217,32
1606560220,32
1606560223,32
1606560226,32
1606560229,32
1606560232,32
1606560235,32
1606560238,32
1606560241,32
1606560244,32
1606560247,32
1606560250,32
1606560253,32
1606560256,32
1606560259,32
1606560262,32
1606560265,32
1606560268,32
1606560271,32
1606560274,32
1606560277,32
1606560280,32
1606560283,32
1606560286,32
1606560289,32
1606560292,32
1606560295,32
1606560298,32
1606560301,32
1606560304,32
1606560307,32
1606560310,32
1606560313,32
1606560316,32
1606560319,32
1606560322,32
1606560325,32
1606560328,32
1606560331,32
1606560334,32
1606560337,32
1606560340,32
1606560343,32
1606560346,32
1606560349,32
1606560352,32
1606560355,32
1606560358,32
1606560361,32
1606560364,32
1606560367,32
1606560370,32
1606560373,32
1606560376,32
1606560379,32
1606560389,32
1606560390,32
1606560391,32
1606560391,32
1606560394,32
1606560397,32
1606560400,32
1606560403,32
1606560406,32
1606560409,32
1606560412,32
1606560415,32
1606560418,32
1606560421,32
1606560424,32
1606560427,32
1606560430,32
1606560433,32
1606560436,32
1606560439,32
1606560442,32
1606560445,32
1606560448,32
1606560451,32
1606560454,32
1606560457,32
1606560460,32
1606560463,32
1606560466,32
1606560469,32
1606560472,32
1606560475,32
1606560478,32
1606560481,32
1606560484,32
1606560487,32
1606560490,32
1606560493,32
1606560496,32
1606560499,32
1606560502,32
1606560505,32
1606560508,32
1606560511,32
1606560514,32
1606560517,32
1606560520,32
1606560523,32
1606560526,32
1606560529,32
1606560532,32
1606560535,32
1606560538,32
1606560541,32
1606560544,32
1606560547,32
1606560550,32
1606560553,32
1606560556,32
1606560559,32
1606560562,32
1606560565,32
1606560568,32
1606560571,32
1606560574,32
1606560577,32
1606560580,32
1606560583,32
1606560586,32
1606560589,32
1606560592,32
1606560595,32
1606560598,32
1606560601,32
1606560604,32
1606560607,32
1606560610,32
1606560613,32
1606560616,32
1606560619,32
1606560622,32
1606560625,32
1606560628,32
1606560631,32
1606560634,32
1606560637,32
1606560640,32
1606560643,32
1606560646,32
1606560649,32
1606560652,32
1606560655,32
1606560658,32
1606560661,32
1606560664,32
1606560667,32
1606560670,32
1606560673,32
1606560676,32
1606560679,32
1606560682,32
1606560685,32
1606560688,32
1606560691,32
1606560694,32
1606560697,32
1606560700,32
1606560703,32
1606560706,32
1606560709,32
1606560712,32
1606560715,32
1606560718,32
1606560721,32
1606560724,32
1606560727,32
1606560730,32
1606560733,32
1606560736,32
1606560739,32
1606560742,32
1606560745,32
1606560748,32
1606560751,32
1606560754,32
1606560757,32
1606560760,32
1606560763,32
1606560766,32
1606560769,32
1606560772,32
1606560775,32
1606560778,32
1606560781,32
1606560784,32
1606560787,32
1606560790,32
1606560793,32
1606560796,32
1606560799,32
1606560802,32
1606560805,32
1606560808,32
1606560811,32
1606560814,32
1606560817,32
1606560820,32
1606560823,32
1606560826,32
1606560829,32
1606560832,32
1606560835,32
1606560838,32
1606560841,32
1606560844,32
1606560847,32
1606560850,32
1606560853,32
1606560856,32
1606560859,32
1606560862,32
1606560865,32
1606560868,32
1606560871,32
1606560874,32
1606560877,32
1606560880,32
1606560883,32
1606560886,32
1606560889,32
1606560892,32
1606560895,32
1606560898,32
1606560901,32
1606560904,32
1606560907,32
1606560910,32
1606560913,32
1606560916,32
1606560919,32
1606560922,32
1606560925,32
1606560928,32
1606560931,32
1606560934,32
1606560937,32
1606560940,32
1606560943,32
1606560946,32
1606560949,32
1606560952,32
1606560955,32
1606560958,32
1606560961,32
1606560964,32
1606560967,32
1606560970,32
1606560973,32
1606560976,32
1606560979,32
1606560982,32
1606560985,32
1606560988,32
1606560991,32
1606560994,32
1606560997,32
1606561000,32
1606561003,32
1606561006,32
1606561009,32
1606561012,32
1606561015,32
1606561018,32
1606561021,32
1606561024,32
1606561027,32
1606561030,32
1606561033,32
1606561036,32
1606561039,32
1606561042,32
1606561045,32
1606561048,32
1606561051,32
1606561054,32
1606561057,32
1606561060,32
1606561063,32
1606561066,32
1606561069,32
1606561072,32
1606561075,32
1606561078,32
1606561081,32
1606561084,32
1606561087,32
1606561090,32
1606561093,32
1606561096,32
1606561099,32
1606561102,32
1606561105,32
1606561108,32
1606561111,32
1606561114,32
1606561117,32
1606561120,32
1606561123,32
1606561129,32
1606561135,32
1606561142,32
1606561144,32
1606561146,32
1606561148,32
1606561151,32
1606561154,32
1606561154,32
1606561155,32
1606561158,32
1606561159,32
1606561173,32
1606561175,32
1606561178,32
1606561180,32
1606561180,32
1606561181,32
1606561182,32
1606561183,32
1606561186,32
1606561189,32
1606561192,32
1606561195,32
1606561198,32
1606561201,32
1606561204,32
1606561207,32
t,value
1606561529,32
1606561532,32
1606561535,32
1606561538,32
1606561541,32
1606561544,32
1606561547,32
1606561550,32
1606561553,32
1606561556,32
1606561559,32
1606561562,32
1606561565,32
1606561568,32
1606561571,32
1606561574,32
1606561577,32
1606561580,32
1606561583,32
1606561586,32
1606561589,32
1606561592,32
1606561595,32
1606561598,32
1606561601,32
1606561604,32
1606561607,32
1606561610,32
1606561613,32
1606561616,32
1606561619,32
1606561622,32
1606561625,32
1606561628,32
1606561631,32
1606561634,32
1606561637,32
1606561640,32
1606561643,32
1606561646,32
1606561649,32
1606561652,32
1606561655,32
1606561658,32
1606561661,32
1606561664,32
1606561667,32
1606561670,32
1606561673,32
1606561676,32
1606561679,32
1606561682,32
1606561685,32
1606561688,32
1606561691,32
1606561694,32
1606561697,32
1606561700,32
1606561703,32
1606561706,32
1606561709,32
1606561712,32
1606561715,32
1606561718,32
1606561721,32
1606561724,32
1606561727,32
1606561730,32
1606561733,32
1606561736,32
1606561739,32
1606561742,32
1606561745,32
1606561748,32
1606561751,32
1606561754,32
1606561757,32
1606561760,32
1606561763,32
1606561766,32
1606561769,32
1606561772,32
1606561775,32
1606561778,32
1606561781,32
1606561784,32
1606561787,32
1606561790,32
1606561793,32
1606561796,32
1606561799,32
1606561802,32
1606561805,32
1606561808,32
t,value
1606561865,32
1606561868,32
1606561871,32
1606561874,32
1606561877,32
1606561880,32
1606561883,32
1606561886,32
1606561889,32
1606561892,32
1606561895,32
1606561898,32
1606561901,32
1606561904,32
1606561907,32
1606561910,32
1606561913,32
1606561916,32
1606561919,32
1606561922,32
1606561925,32
1606561928,32
1606561931,32
1606561934,32
1606561937,32
1606561940,32
1606561943,32
1606561946,32
1606561949,32
1606561952,32
1606561955,32
1606561958,32
1606561961,32
1606561964,32
1606561967,32
1606561970,32
1606561973,32
1606561976,32
1606561979,32
1606561982,32
1606561985,32
1606561988,32
1606561991,32
1606561994,32
1606561997,32
1606562000,32
1606562003,32
1606562006,32
1606562009,32
1606562012,32
1606562015,32
1606562018,32
1606562021,32
1606562024,32
1606562027,32
1606562030,32
1606562033,32
1606562036,32
1606562039,32
1606562042,32
1606562045,32
1606562048,32
1606562051,32
1606562054,32
1606562057,32
1606562060,32
1606562063,32
1606562066,32
1606562069,32
1606562072,32
1606562075,32
1606562078,32
1606562081,32
1606562084,32
1606562087,32
1606562090,32
1606562093,32
1606562096,32
1606562099,32
1606562102,32
1606562105,32
1606562108,32
1606562111,32
1606562114,32
1606562117,32
1606562120,32
1606562123,32
1606562126,32
1606562129,32
1606562132,32
1606562135,32
1606562138,32
1606562141,32
1606562144,32
1606562147,32
1606562150,32
1606562153,32
1606562156,32
1606562159,32
1606562162,32
1606562165,32
1606562168,32
1606562171,32
1606562174,32
1606562177,32
1606562180,32
1606562183,32
1606562186,32
1606562189,32
1606562192,32
1606562195,32
1606562198,32
1606562201,32
1606562204,32
1606562207,32
1606562210,32
1606562213,32
1606562216,32
1606562219,32
1606562222,32
1606562225,32
1606562228,32
1606562231,32
1606562234,32
1606562237,32
1606562240,32
1606562243,32
1606562246,32
1606562249,32
1606562252,32
1606562255,32
1606562258,32
1606562261,32
1606562264,32
1606562267,32
1606562270,32
1606562273,32
1606562276,32
1606562279,32
1606562282,32
1606562285,32
1606562288,32
1606562291,32
1606562294,32
1606562297,32
1606562300,32
1606562303,32
1606562306,32
1606562309,32
1606562312,32
1606562315,32
1606562318,32
1606562321,32
1606562324,32
1606562327,32
1606562330,32
1606562333,32
1606562336,32
1606562339,32
1606562342,32
1606562345,32
1606562348,32
1606562351,32
1606562354,32
1606562357,32
1606562360,32
1606562363,32
1606562366,32
1606562369,32
1606562372,32
1606562375,32
1606562378,32
1606562381,32
1606562384,32
1606562387,32
1606562390,32
1606562393,32
1606562396,32
1606562399,32
1606562402,32
1606562405,32
1606562408,32
1606562411,32
1606562414,32
1606562417,32
1606562420,32
1606562423,32
1606562426,32
1606562429,32
1606562432,32
1606562435,32
1606562438,32
1606562441,32
1606562444,32
1606562447,32
1606562450,32
1606562453,32
1606562456,32
1606562459,32
1606562462,32
1606562465,32
1606562468,32
1606562471,32
1606562474,32
1606562477,32
1606562480,32
1606562483,32
1606562486,32
1606562489,32
1606562492,32
1606562495,32
1606562498,32
1606562501,32
1606562504,32
1606562507,32
1606562510,32
1606562513,32
1606562516,32
1606562519,32
1606562522,32
1606562525,32
1606562528,32
1606562531,32
1606562534,32
1606562537,32
1606562540,32
1606562543,32
1606562546,32
1606562549,32
1606562552,32
1606562555,32
1606562558,32
1606562561,32
1606562564,32
1606562567,32
1606562570,32
1606562573,32
1606562576,32
1606562579,32
1606562582,32
1606562585,32
1606562588,32
1606562591,32
1606562594,32
1606562597,32
1606562600,32
1606562603,32
1606562606,32
1606562609,32
1606562612,32
1606562615,32
1606562618,32
1606562621,32
1606562624,32
1606562627,32
1606562630,32
1606562633,32
1606562636,32
1606562639,32
1606562642,32
1606562645,32
1606562648,32
1606562651,32
1606562654,32
1606562657,32
1606562660,32
1606562663,32
1606562666,32
1606562669,32
1606562672,32
1606562675,32
1606562678,32
1606562681,32
1606562684,32
1606562687,32
1606562690,32
1606562693,32
1606562696,32
1606562699,32
1606562702,32
1606562705,32
1606562708,32
1606562711,32
1606562714,32
1606562717,32
1606562720,32
1606562723,32
1606562726,32
1606562729,32
1606562732,32
1606562735,32
1606562738,32
1606562741,32
1606562744,32
1606562747,32
1606562750,32
1606562753,32
1606562756,32
1606562759,32
1606562762,32
1606562765,32
1606562768,32
1606562771,32
1606562774,32
1606562777,32
1606562780,32
1606562783,32
1606562786,32
1606562789,32
1606562792,32
1606562795,32
1606562798,32
1606562801,32
1606562804,32
1606562807,32
1606562810,32
1606562813,32
1606562816,32
1606562819,32
1606562822,32
1606562825,32
1606562828,32
1606562831,32
1606562834,32
1606562837,32
1606562840,32
1606562843,32
1606562846,32
1606562849,32
1606562852,32
1606562855,32
1606562858,32
1606562861,32
1606562864,32
1606562867,32
1606562870,32
1606562873,32
1606562876,32
1606562879,32
1606562882,32
1606562885,32
1606562888,32
1606562891,32
1606562894,32
1606562897,32
1606562900,32
1606562903,32
1606562906,32
1606562909,32
1606562912,32
1606562915,32
1606562918,32
1606562921,32
1606562924,32
1606562927,32
1606562930,32
1606562933,32
1606562936,32
1606562939,32
1606562942,32
1606562945,32
1606562948,32
1606562951,32
1606562954,32
1606562957,32
1606562960,32
1606562963,32
1606562966,32
1606562969,32
1606562972,32
1606562975,32
1606562978,32
1606562981,32
1606562984,32
1606562987,32
1606562990,32
1606562993,32
1606562996,32
1606562999,32
1606563002,32
1606563005,32
1606563008,32
1606563011,32
1606563014,32
1606563017,32
1606563020,32
1606563023,32
1606563026,32
1606563029,32
1606563032,32
1606563035,32
1606563038,32
1606563041,32
1606563044,32
1606563047,32
1606563050,32
1606563053,32
1606563056,32
1606563059,32
1606563062,32
1606563065,32
1606563068,32
1606563071,32
1606563074,32
1606563077,32
1606563080,32
1606563083,32
1606563086,32
1606563089,32
1606563092,32
1606563095,32
1606563098,32
1606563101,32
1606563104,32
1606563107,32
1606563110,32
1606563113,32
1606563116,32
1606563119,32
1606563122,32
1606563125,32
1606563128,32
1606563131,32
1606563134,32
1606563137,32
1606563140,32
1606563143,32
1606563146,32
