t,value
1606559974,61
1606559989,61
1606559990,61
1606559990,61
1606559991,61
1606559991,61
1606559992,61
1606559995,61
1606559998,61
1606560001,61
1606560004,61
1606560007,61
1606560010,61
1606560013,61
1606560016,61
1606560019,61
1606560022,61
1606560025,61
1606560028,61
1606560031,61
1606560034,61
1606560037,61
1606560040,61
1606560043,61
1606560046,61
1606560049,61
1606560052,61
1606560055,61
1606560058,61
1606560061,61
1606560064,61
1606560067,61
1606560070,61
1606560073,61
1606560076,61
1606560079,61
1606560082,61
1606560085,61
1606560088,61
1606560091,61
1606560094,61
1606560097,61
1606560100,61
1606560103,61
1606560106,61
1606560109,61
1606560112,61
1606560115,61
1606560118,61
1606560121,61
1606560124,61
1606560127,61
1606560130,61
1606560133,61
1606560136,61
1606560139,61
1606560142,61
1606560145,61
1606560148,61
1606560151,61
1606560154,61
1606560157,61
1606560160,61
1606560163,61
1606560166,61
1606560169,61
1606560172,61
1606560175,61
1606560178,61
1606560181,61
1606560184,61
1606560187,61
1606560190,61
1606560193,61
1606560196,61
1606560199,61
1606560202,61
1606560205,61
1606560208,61
1606560211,61
1606560214,61
1606560217,61
1606560220,61
1606560223,61
1606560226,61
1606560229,61
1606560232,61
1606560235,61
1606560238,61
1606560241,61
1606560244,61
1606560247,61
1606560250,61
1606560253,61
1606560256,61
1606560259,61
1606560262,61
1606560265,61
1606560268,61
1606560271,61
1606560274,61
1606560277,61
1606560280,61
1606560283,61
1606560286,61
1606560289,61
1606560292,61
1606560295,61
1606560298,61
1606560301,61
1606560304,61
1606560307,61
1606560310,61
1606560313,61
1606560316,61
1606560319,61
1606560322,61
1606560325,61
1606560328,61
1606560331,61
1606560334,61
1606560337,61
1606560340,61
1606560343,61
1606560346,61
1606560349,61
1606560352,61
1606560355,61
1606560358,61
1606560361,61
1606560364,61
1606560367,61
1606560370,61
1606560373,61
1606560376,61
1606560379,61
1606560389,61
1606560390,61
1606560391,61
1606560391,61
1606560394,61
1606560397,61
1606560400,61
1606560403,61
1606560406,61
1606560409,61
1606560412,61
1606560415,61
1606560418,61
1606560421,61
1606560424,61
1606560427,61
1606560430,61
1606560433,61
1606560436,61
1606560439,61
1606560442,61
1606560445,61
1606560448,61
1606560451,61
1606560454,61
1606560457,61
1606560460,61
1606560463,61
1606560466,61
1606560469,61
1606560472,61
1606560475,61
1606560478,61
1606560481,61
1606560484,61
1606560487,61
1606560490,61
1606560493,61
1606560496,61
1606560499,61
1606560502,61
1606560505,61
1606560508,61
1606560511,61
1606560514,61
1606560517,61
1606560520,61
1606560523,61
1606560526,61
1606560529,61
1606560532,61
1606560535,61
1606560538,61
1606560541,61
1606560544,61
1606560547,61
1606560550,61
1606560553,61
1606560556,61
1606560559,61
1606560562,61
1606560565,61
1606560568,61
1606560571,61
1606560574,61
1606560577,61
1606560580,61
1606560583,61
1606560586,61
1606560589,61
1606560592,61
1606560595,61
1606560598,61
1606560601,61
1606560604,61
1606560607,61
1606560610,61
1606560613,61
1606560616,61
1606560619,61
1606560622,61
1606560625,61
1606560628,61
1606560631,61
1606560634,61
1606560637,61
1606560640,61
1606560643,61
1606560646,61
1606560649,61
1606560652,61
1606560655,61
1606560658,61
1606560661,61
1606560664,61
1606560667,61
1606560670,61
1606560673,61
1606560676,61
1606560679,61
1606560682,61
1606560685,61
1606560688,61
1606560691,61
1606560694,61
1606560697,61
1606560700,61
1606560703,61
1606560706,61
1606560709,61
1606560712,61
1606560715,61
1606560718,61
1606560721,61
1606560724,61
1606560727,61
1606560730,61
1606560733,61
1606560736,61
1606560739,61
1606560742,61
1606560745,61
1606560748,61
1606560751,61
1606560754,61
1606560757,61
1606560760,61
1606560763,61
1606560766,61
1606560769,61
1606560772,61
1606560775,61
1606560778,61
1606560781,61
1606560784,61
1606560787,61
1606560790,61
1606560793,61
1606560796,61
1606560799,61
1606560802,61
1606560805,61
1606560808,61
1606560811,61
1606560814,61
1606560817,61
1606560820,61
1606560823,61
1606560826,61
1606560829,61
1606560832,61
1606560835,61
1606560838,61
1606560841,61
1606560844,61
1606560847,61
1606560850,61
1606560853,61
1606560856,61
1606560859,61
1606560862,61
1606560865,61
1606560868,61
1606560871,61
1606560874,61
1606560877,61
1606560880,61
1606560883,61
1606560886,61
1606560889,61
1606560892,61
1606560895,61
1606560898,61
1606560901,61
1606560904,61
1606560907,61
1606560910,61
1606560913,61
1606560916,61
1606560919,61
1606560922,61
1606560925,61
1606560928,61
1606560931,61
1606560934,61
1606560937,61
1606560940,61
1606560943,61
1606560946,61
1606560949,61
1606560952,61
1606560955,61
1606560958,61
1606560961,61
1606560964,61
1606560967,61
1606560970,61
1606560973,61
1606560976,61
1606560979,61
1606560982,61
1606560985,61
1606560988,61
1606560991,61
1606560994,61
1606560997,61
1606561000,61
1606561003,61
1606561006,61
1606561009,61
1606561012,61
1606561015,61
1606561018,61
1606561021,61
1606561024,61
1606561027,61
1606561030,61
1606561033,61
1606561036,61
1606561039,61
1606561042,61
1606561045,61
1606561048,61
1606561051,61
1606561054,61
1606561057,61
1606561060,61
1606561063,61
1606561066,61
1606561069,61
1606561072,61
1606561075,61
1606561078,61
1606561081,61
1606561084,61
1606561087,61
1606561090,61
1606561093,61
1606561096,61
1606561099,61
1606561102,61
1606561105,61
1606561108,61
1606561111,61
1606561114,61
1606561117,61
1606561120,61
1606561123,61
1606561129,61
1606561135,61
1606561142,61
1606561144,61
1606561146,61
1606561148,61
1606561151,61
1606561154,61
1606561154,61
1606561155,61
1606561158,61
1606561159,61
1606561173,61
1606561175,61
1606561178,61
1606561180,61
1606561180,61
1606561181,61
1606561182,61
1606561183,61
1606561186,61
1606561189,61
1606561192,61
1606561195,61
1606561198,61
1606561201,61
1606561204,61
1606561207,61
t,value
1606561529,61
1606561532,61
1606561535,61
1606561538,61
1606561541,61
1606561544,61
1606561547,61
1606561550,61
1606561553,61
1606561556,61
1606561559,61
1606561562,61
1606561565,61
1606561568,61
1606561571,61
1606561574,61
1606561577,61
1606561580,61
1606561583,61
1606561586,61
1606561589,61
1606561592,61
1606561595,61
1606561598,61
1606561601,61
1606561604,61
1606561607,61
1606561610,61
1606561613,61
1606561616,61
1606561619,61
1606561622,61
1606561625,61
1606561628,61
1606561631,61
1606561634,61
1606561637,61
1606561640,61
1606561643,61
1606561646,61
1606561649,61
1606561652,61
1606561655,61
1606561658,61
1606561661,61
1606561664,61
1606561667,61
1606561670,61
1606561673,61
1606561676,61
1606561679,61
1606561682,61
1606561685,61
1606561688,61
1606561691,61
1606561694,61
1606561697,61
1606561700,61
1606561703,61
1606561706,61
1606561709,61
1606561712,61
1606561715,61
1606561718,61
1606561721,61
1606561724,61
1606561727,61
1606561730,61
1606561733,61
1606561736,61
1606561739,61
1606561742,61
1606561745,61
1606561748,61
1606561751,61
1606561754,61
1606561757,61
1606561760,61
1606561763,61
1606561766,61
1606561769,61
1606561772,61
1606561775,61
1606561778,61
1606561781,61
1606561784,61
1606561787,61
1606561790,61
1606561793,61
1606561796,61
1606561799,61
1606561802,61
1606561805,61
1606561808,61
t,value
1606561865,61
1606561868,61
1606561871,61
1606561874,61
1606561877,61
1606561880,61
1606561883,61
1606561886,61
1606561889,61
1606561892,61
1606561895,61
1606561898,61
1606561901,61
1606561904,61
1606561907,61
1606561910,61
1606561913,61
1606561916,61
1606561919,61
1606561922,61
1606561925,61
1606561928,61
1606561931,61
1606561934,61
1606561937,61
1606561940,61
1606561943,61
1606561946,61
1606561949,61
1606561952,61
1606561955,61
1606561958,61
1606561961,61
1606561964,61
1606561967,61
1606561970,61
1606561973,61
1606561976,61
1606561979,61
1606561982,61
1606561985,61
1606561988,61
1606561991,61
1606561994,61
1606561997,61
1606562000,61
1606562003,61
1606562006,61
1606562009,61
1606562012,61
1606562015,61
1606562018,61
1606562021,61
1606562024,61
1606562027,61
1606562030,61
1606562033,61
1606562036,61
1606562039,61
1606562042,61
1606562045,61
1606562048,61
1606562051,61
1606562054,61
1606562057,61
1606562060,61
1606562063,61
1606562066,61
1606562069,61
1606562072,61
1606562075,61
1606562078,61
1606562081,61
1606562084,61
1606562087,61
1606562090,61
1606562093,61
1606562096,61
1606562099,61
1606562102,61
1606562105,61
1606562108,61
1606562111,61
1606562114,61
1606562117,61
1606562120,61
1606562123,61
1606562126,61
1606562129,61
1606562132,61
1606562135,61
1606562138,61
1606562141,61
1606562144,61
1606562147,61
1606562150,61
1606562153,61
1606562156,61
1606562159,61
1606562162,61
1606562165,61
1606562168,61
1606562171,61
1606562174,61
1606562177,61
1606562180,61
1606562183,61
1606562186,61
1606562189,61
1606562192,61
1606562195,61
1606562198,61
1606562201,61
1606562204,61
1606562207,61
1606562210,61
1606562213,61
1606562216,61
1606562219,61
1606562222,61
1606562225,61
1606562228,61
1606562231,61
1606562234,61
1606562237,61
1606562240,61
1606562243,61
1606562246,61
1606562249,61
1606562252,61
1606562255,61
1606562258,61
1606562261,61
1606562264,61
1606562267,61
1606562270,61
1606562273,61
1606562276,61
1606562279,61
1606562282,61
1606562285,61
1606562288,61
1606562291,61
1606562294,61
1606562297,61
1606562300,61
1606562303,61
1606562306,61
1606562309,61
1606562312,61
1606562315,61
1606562318,61
1606562321,61
1606562324,61
1606562327,61
1606562330,61
1606562333,61
1606562336,61
1606562339,61
1606562342,61
1606562345,61
1606562348,61
1606562351,61
1606562354,61
1606562357,61
1606562360,61
1606562363,61
1606562366,61
1606562369,61
1606562372,61
1606562375,61
1606562378,61
1606562381,61
1606562384,61
1606562387,61
1606562390,61
1606562393,61
1606562396,61
1606562399,61
1606562402,61
1606562405,61
1606562408,61
1606562411,61
1606562414,61
1606562417,61
1606562420,61
1606562423,61
1606562426,61
1606562429,61
1606562432,61
1606562435,61
1606562438,61
1606562441,61
1606562444,61
1606562447,61
1606562450,61
1606562453,61
1606562456,61
1606562459,61
1606562462,61
1606562465,61
1606562468,61
1606562471,61
1606562474,61
1606562477,61
1606562480,61
1606562483,61
1606562486,61
1606562489,61
1606562492,61
1606562495,61
1606562498,61
1606562501,61
1606562504,61
1606562507,61
1606562510,61
1606562513,61
1606562516,61
1606562519,61
1606562522,61
1606562525,61
1606562528,61
1606562531,61
1606562534,61
1606562537,61
1606562540,61
1606562543,61
1606562546,61
1606562549,61
1606562552,61
1606562555,61
1606562558,61
1606562561,61
1606562564,61
1606562567,61
1606562570,61
1606562573,61
1606562576,61
1606562579,61
1606562582,61
1606562585,61
1606562588,61
1606562591,61
1606562594,61
1606562597,61
1606562600,61
1606562603,61
1606562606,61
1606562609,61
1606562612,61
1606562615,61
1606562618,61
1606562621,61
1606562624,61
1606562627,61
1606562630,61
1606562633,61
1606562636,61
1606562639,61
1606562642,61
1606562645,61
1606562648,61
1606562651,61
1606562654,61
1606562657,61
1606562660,61
1606562663,61
1606562666,61
1606562669,61
1606562672,61
1606562675,61
1606562678,61
1606562681,61
1606562684,61
1606562687,61
1606562690,61
1606562693,61
1606562696,61
1606562699,61
1606562702,61
1606562705,61
1606562708,61
1606562711,61
1606562714,61
1606562717,61
1606562720,61
1606562723,61
1606562726,61
1606562729,61
1606562732,61
1606562735,61
1606562738,61
1606562741,61
1606562744,61
1606562747,61
1606562750,61
1606562753,61
1606562756,61
1606562759,61
1606562762,61
1606562765,61
1606562768,61
1606562771,61
1606562774,61
1606562777,61
1606562780,61
1606562783,61
1606562786,61
1606562789,61
1606562792,61
1606562795,61
1606562798,61
1606562801,61
1606562804,61
1606562807,61
1606562810,61
1606562813,61
1606562816,61
1606562819,61
1606562822,61
1606562825,61
1606562828,61
1606562831,61
1606562834,61
1606562837,61
1606562840,61
1606562843,61
1606562846,61
1606562849,61
1606562852,61
1606562855,61
1606562858,61
1606562861,61
1606562864,61
1606562867,61
1606562870,61
1606562873,61
1606562876,61
1606562879,61
1606562882,61
1606562885,61
1606562888,61
1606562891,61
1606562894,61
1606562897,61
1606562900,61
1606562903,61
1606562906,61
1606562909,61
1606562912,61
1606562915,61
1606562918,61
1606562921,61
1606562924,61
1606562927,61
1606562930,61
1606562933,61
1606562936,61
1606562939,61
1606562942,61
1606562945,61
1606562948,61
1606562951,61
1606562954,61
1606562957,61
1606562960,61
1606562963,61
1606562966,61
1606562969,61
1606562972,61
1606562975,61
1606562978,61
1606562981,61
1606562984,61
1606562987,61
1606562990,61
1606562993,61
1606562996,61
1606562999,61
1606563002,61
1606563005,61
1606563008,61
1606563011,61
1606563014,61
1606563017,61
1606563020,61
1606563023,61
1606563026,61
1606563029,61
1606563032,61
1606563035,61
1606563038,61
1606563041,61
1606563044,61
1606563047,61
1606563050,61
1606563053,61
1606563056,61
1606563059,61
1606563062,61
1606563065,61
1606563068,61
1606563071,61
1606563074,61
1606563077,61
1606563080,61
1606563083,61
1606563086,61
1606563089,61
1606563092,61
1606563095,61
1606563098,61
1606563101,61
1606563104,61
1606563107,61
1606563110,61
1606563113,61
1606563116,61
1606563119,61
1606563122,61
1606563125,61
1606563128,61
1606563131,61
1606563134,61
1606563137,61
1606563140,61
1606563143,61
1606563146,61
1606563149,61
1606563152,61
1606563155,61
1606563158,61
1606563161,61
1606563164,61
1606563167,61
1606563170,61
1606563173,61
1606563176,61
1606563179,61
1606563182,61
1606563185,61
1606563188,61
1606563191,61
1606563194,61
1606563197,61
1606563200,61
1606563203,61
1606563206,61
1606563209,61
1606563212,61
1606563215,61
1606563218,61
1606563221,61
1606563224,61
1606563227,61
1606563230,61
1606563233,61
1606563236,61
1606563239,61
1606563242,61
1606563245,61
1606563248,61
1606563251,61
1606563254,61
1606563257,61
1606563260,61
1606563263,61
1606563266,61
1606563269,61
1606563272,61
1606563275,61
1606563278,61
1606563281,61
1606563284,61
1606563287,61
1606563290,61
1606563293,61
1606563296,61
1606563299,61
1606563302,61
1606563305,61
1606563308,61
1606563311,61
1606563314,61
1606563317,61
1606563320,61
1606563323,61
1606563326,61
1606563329,61
1606563332,61
1606563335,61
1606563338,61
1606563341,61
1606563344,61
1606563347,61
1606563350,61
1606563353,61
1606563356,61
1606563359,61
1606563362,61
1606563365,61
1606563368,61
1606563371,61
1606563374,61
1606563377,61
1606563380,61
1606563383,61
1606563386,61
1606563389,61
1606563392,61
1606563395,61
1606563398,61
1606563401,61
1606563404,61
1606563407,61
1606563410,61
1606563413,61
1606563416,61
1606563419,61
1606563422,61
1606563425,61
1606563428,61
1606563431,61
1606563434,61
1606563437,61
1606563440,61
1606563443,61
1606563446,61
1606563449,61
1606563452,61
1606563455,61
1606563458,61
1606563461,61
1606563464,61
1606563467,61
1606563470,61
1606563473,61
1606563476,61
1606563479,61
1606563482,61
1606563485,61
1606563488,61
1606563491,61
1606563494,61
1606563497,61
1606563500,61
1606563503,61
1606563506,61
1606563509,61
1606563512,61
1606563515,61
1606563518,61
1606563521,61
1606563524,61
1606563527,61
1606563530,61
1606563533,61
1606563536,61
1606563539,61
1606563542,61
1606563545,61
1606563548,61
1606563551,61
1606563554,61
1606563557,61
1606563560,61
1606563563,61
1606563566,61
1606563569,61
1606563572,61
1606563575,61
1606563578,61
1606563581,61
1606563584,61
1606563587,61
1606563590,61
1606563593,61
1606563596,61
1606563599,61
1606563602,61
1606563605,61
1606563608,61
1606563611,61
1606563614,61
1606563617,61
1606563620,61
1606563623,61
1606563626,61
1606563629,61
1606563632,61
1606563635,61
1606563638,61
1606563641,61
1606563644,61
1606563647,61
1606563650,61
1606563653,61
1606563656,61
1606563659,61
1606563662,61
1606563665,61
1606563668,61
1606563671,61
1606563674,61
1606563677,61
1606563680,61
1606563683,61
1606563686,61
1606563689,61
1606563692,61
1606563695,61
1606563698,61
1606563701,61
1606563704,61
1606563707,61
1606563710,61
1606563713,61
1606563716,61
1606563719,61
1606563722,61
1606563725,61
1606563728,61
1606563731,61
1606563734,61
1606563737,61
1606563740,61
1606563743,61
1606563746,61
1606563749,61
1606563752,61
1606563755,61
1606563758,61
1606563761,61
1606563764,61
1606563767,61
1606563770,61
1606563773,61
1606563776,61
1606563779,61
1606563782,61
1606563785,61
1606563788,61
1606563791,61
1606563794,61
1606563797,61
1606563800,61
1606563803,61
1606563806,61
1606563809,61
1606563812,61
1606563815,61
1606563818,61
1606563821,61
1606563824,61
1606563827,61
1606563831,61
1606563833,61
1606563836,61
1606563839,61
1606563842,61
1606563845,61
1606563848,61
1606563851,61
1606563854,61
1606563857,61
1606563860,61
1606563863,61
1606563866,61
1606563869,61
1606563872,61
1606563875,61
1606563878,61
1606563881,61
1606563884,61
1606563887,61
1606563890,61
1606563893,61
1606563896,61
1606563899,61
1606563902,61
1606563905,61
1606563908,61
1606563911,61
1606563914,61
1606563917,61
1606563920,61
1606563923,61
1606563926,61
1606563929,61
1606563932,61
1606563935,61
1606563938,61
1606563941,61
1606563944,61
1606563947,61
1606563950,61
1606563953,61
1606563956,61
1606563959,61
1606563962,61
1606563965,61
1606563968,61
1606563971,61
1606563974,61
1606563977,61
1606563980,61
1606563983,61
1606563986,61
1606563989,61
1606563992,61
1606563995,61
1606563998,61
1606564001,61
1606564004,61
1606564007,61
1606564010,61
1606564013,61
1606564016,61
1606564019,61
1606564022,61
1606564025,61
1606564028,61
1606564031,61
1606564034,61
1606564037,61
1606564040,61
1606564043,61
1606564046,61
1606564049,61
1606564052,61
1606564055,61
1606564058,61
1606564061,61
1606564064,61
1606564067,61
1606564070,61
1606564073,61
1606564076,61
1606564079,61
1606564082,61
1606564085,61
1606564088,61
1606564091,61
1606564094,61
1606564097,61
1606564100,61
1606564103,61
1606564106,61
1606564109,61
1606564112,61
1606564115,61
1606564118,61
1606564121,61
1606564124,61
1606564127,61
1606564130,61
1606564133,61
1606564136,61
1606564139,61
1606564142,61
1606564145,61
1606564148,61
1606564151,61
1606564154,61
1606564157,61
1606564160,61
1606564163,61
1606564166,61
1606564169,61
1606564172,61
1606564175,61
1606564178,61
1606564181,61
1606564184,61
1606564187,61
1606564190,61
1606564193,61
1606564196,61
1606564199,61
1606564202,61
1606564205,61
1606564208,61
1606564211,61
1606564214,61
1606564217,61
1606564220,61
1606564223,61
1606564226,61
1606564229,61
1606564232,61
1606564235,61
1606564238,61
1606564241,61
1606564244,61
1606564247,61
1606564250,61
1606564253,61
1606564256,61
1606564259,61
1606564262,61
1606564265,61
1606564268,61
1606564271,61
1606564274,61
1606564277,61
1606564280,61
1606564283,61
1606564286,61
1606564289,61
1606564292,61
1606564295,61
1606564298,61
1606564301,61
1606564304,61
1606564307,61
1606564310,61
1606564313,61
1606564316,61
1606564319,61
1606564322,61
1606564325,61
1606564328,61
1606564331,61
1606564334,61
1606564337,61
1606564340,61
1606564343,61
1606564346,61
1606564349,61
1606564352,61
1606564355,61
1606564358,61
1606564361,61
1606564364,61
1606564367,61
1606564370,61
1606564373,61
1606564376,61
1606564379,61
1606564382,61
1606564385,61
1606564388,61
1606564391,61
1606564394,61
1606564397,61
1606564400,61
1606564403,61
1606564406,61
1606564409,61
1606564412,61
1606564415,61
1606564418,61
1606564421,61
1606564424,61
1606564427,61
1606564430,61
1606564433,61
1606564436,61
1606564439,61
1606564442,61
1606564445,61
1606564448,61
1606564451,61
1606564454,61
1606564457,61
1606564460,61
1606564463,61
1606564466,61
1606564469,61
1606564472,61
1606564475,61
1606564478,61
1606564481,61
1606564484,61
1606564487,61
1606564490,61
1606564493,61
1606564496,61
1606564499,61
1606564502,61
1606564505,61
1606564508,61
1606564511,61
1606564514,61
1606564517,61
1606564520,61
1606564523,61
1606564526,61
1606564529,61
1606564532,61
1606564535,61
1606564538,61
1606564541,61
1606564544,61
1606564547,61
1606564550,61
1606564553,61
1606564556,61
1606564559,61
1606564562,61
1606564565,61
1606564568,61
1606564571,61
1606564574,61
1606564577,61
1606564580,61
1606564583,61
1606564586,61
1606564589,61
1606564592,61
1606564595,61
1606564598,61
1606564601,61
1606564604,61
1606564607,61
1606564610,61
1606564613,61
1606564616,61
1606564619,61
1606564622,61
1606564625,61
1606564628,61
1606564631,61
1606564634,61
1606564637,61
1606564640,61
1606564643,61
1606564646,61
1606564649,61
1606564652,61
1606564655,61
1606564658,61
1606564661,61
1606564664,61
1606564667,61
1606564670,61
1606564673,61
1606564676,61
1606564679,61
1606564682,61
1606564685,61
1606564688,61
1606564691,61
1606564694,61
1606564697,61
1606564700,61
1606564703,61
1606564706,61
1606564709,61
1606564712,61
1606564715,61
1606564718,61
1606564721,61
1606564724,61
1606564727,61
1606564730,61
1606564733,61
1606564736,61
1606564739,61
1606564742,61
1606564745,61
1606564748,61
1606564751,61
1606564754,61
1606564757,61
1606564760,61
1606564763,61
1606564766,61
1606564769,61
1606564772,61
1606564775,61
1606564778,61
1606564781,61
1606564784,61
1606564787,61
1606564790,61
1606564793,61
1606564796,61
1606564799,61
1606564802,61
1606564805,61
1606564808,61
1606564811,61
1606564814,61
1606564817,61
1606564820,61
1606564823,61
1606564826,61
1606564829,61
1606564832,61
1606564835,61
1606564838,61
1606564841,61
1606564844,61
1606564847,61
1606564850,61
1606564853,61
1606564856,61
1606564859,61
1606564862,61
1606564865,61
1606564868,61
1606564871,61
1606564874,61
1606564877,61
1606564880,61
1606564883,61
1606564886,61
1606564889,61
1606564892,61
1606564895,61
1606564898,61
1606564901,61
1606564904,61
