t,value
1606559974,1048576
1606559989,1048576
1606559990,1048576
1606559990,1048576
1606559991,1048576
1606559991,1048576
1606559992,1048576
1606559995,1048576
1606559998,1048576
1606560001,1048576
1606560004,1048576
1606560007,1048576
1606560010,1048576
1606560013,1048576
1606560016,1048576
1606560019,1048576
1606560022,1048576
1606560025,1048576
1606560028,1048576
1606560031,1048576
1606560034,1048576
1606560037,1048576
1606560040,1048576
1606560043,1048576
1606560046,1048576
1606560049,1048576
1606560052,1048576
1606560055,1048576
1606560058,1048576
1606560061,1048576
1606560064,1048576
1606560067,1048576
1606560070,1048576
1606560073,1048576
1606560076,1048576
1606560079,1048576
1606560082,1048576
1606560085,1048576
1606560088,1048576
1606560091,1048576
1606560094,1048576
1606560097,1048576
1606560100,1048576
1606560103,1048576
1606560106,1048576
1606560109,1048576
1606560112,1048576
1606560115,1048576
1606560118,1048576
1606560121,1048576
1606560124,1048576
1606560127,1048576
1606560130,1048576
1606560133,1048576
1606560136,1048576
1606560139,1048576
1606560142,1048576
1606560145,1048576
1606560148,1048576
1606560151,1048576
1606560154,1048576
1606560157,1048576
1606560160,1048576
1606560163,1048576
1606560166,1048576
1606560169,1048576
1606560172,1048576
1606560175,1048576
1606560178,1048576
1606560181,1048576
1606560184,1048576
1606560187,1048576
1606560190,1048576
1606560193,1048576
1606560196,1048576
1606560199,1048576
1606560202,1048576
1606560205,1048576
1606560208,1048576
1606560211,1048576
1606560214,1048576
1606560217,1048576
1606560220,1048576
1606560223,1048576
1606560226,1048576
1606560229,1048576
1606560232,1048576
1606560235,1048576
1606560238,1048576
1606560241,1048576
1606560244,1048576
1606560247,1048576
1606560250,1048576
1606560253,1048576
1606560256,1048576
1606560259,1048576
1606560262,1048576
1606560265,1048576
1606560268,1048576
1606560271,1048576
1606560274,1048576
1606560277,1048576
1606560280,1048576
1606560283,1048576
1606560286,1048576
1606560289,1048576
1606560292,1048576
1606560295,1048576
1606560298,1048576
1606560301,1048576
1606560304,1048576
1606560307,1048576
1606560310,1048576
1606560313,1048576
1606560316,1048576
1606560319,1048576
1606560322,1048576
1606560325,1048576
1606560328,1048576
1606560331,1048576
1606560334,1048576
1606560337,1048576
1606560340,1048576
1606560343,1048576
1606560346,1048576
1606560349,1048576
1606560352,1048576
1606560355,1048576
1606560358,1048576
1606560361,1048576
1606560364,1048576
1606560367,1048576
1606560370,1048576
1606560373,1048576
1606560376,1048576
1606560379,1048576
1606560389,1048576
1606560390,1048576
1606560391,1048576
1606560391,1048576
1606560394,1048576
1606560397,1048576
1606560400,1048576
1606560403,1048576
1606560406,1048576
1606560409,1048576
1606560412,1048576
1606560415,1048576
1606560418,1048576
1606560421,1048576
1606560424,1048576
1606560427,1048576
1606560430,1048576
1606560433,1048576
1606560436,1048576
1606560439,1048576
1606560442,1048576
1606560445,1048576
1606560448,1048576
1606560451,1048576
1606560454,1048576
1606560457,1048576
1606560460,1048576
