t,value
1606559974,810925
1606559989,810925
1606559990,810925
1606559990,810925
1606559991,810925
1606559991,810925
1606559992,810925
1606559995,810925
1606559998,810925
1606560001,810925
1606560004,810925
1606560007,810925
1606560010,810925
1606560013,810925
1606560016,810925
1606560019,810925
1606560022,810925
1606560025,810925
1606560028,810925
1606560031,810925
1606560034,810925
1606560037,810925
1606560040,810925
1606560043,810925
1606560046,810925
1606560049,810925
1606560052,810925
1606560055,810925
1606560058,810925
1606560061,810925
1606560064,810925
1606560067,810925
1606560070,810925
1606560073,810925
1606560076,810925
1606560079,810925
1606560082,810925
1606560085,810925
1606560088,810925
1606560091,810925
1606560094,810925
1606560097,810925
1606560100,810925
1606560103,810925
1606560106,810925
1606560109,810925
1606560112,810925
1606560115,810925
1606560118,810925
1606560121,810925
1606560124,810925
1606560127,810925
1606560130,810925
1606560133,810925
1606560136,810925
1606560139,810925
1606560142,810925
1606560145,810925
1606560148,810925
1606560151,810925
1606560154,810925
1606560157,810925
1606560160,810925
1606560163,810925
1606560166,810925
1606560169,810925
1606560172,810925
1606560175,810925
1606560178,810925
1606560181,810925
1606560184,810925
1606560187,810925
1606560190,810925
1606560193,810925
1606560196,810925
1606560199,810925
1606560202,810925
1606560205,810925
1606560208,810925
1606560211,810925
1606560214,810925
1606560217,810925
1606560220,810925
1606560223,810925
1606560226,810925
1606560229,810925
1606560232,810925
1606560235,810925
1606560238,810925
1606560241,810925
1606560244,810925
1606560247,810925
1606560250,810925
1606560253,810925
1606560256,810925
1606560259,810925
1606560262,810925
1606560265,810925
1606560268,810925
1606560271,810925
1606560274,810925
1606560277,810925
1606560280,810925
1606560283,810925
1606560286,810925
1606560289,810925
1606560292,810925
1606560295,810925
1606560298,810925
1606560301,810925
1606560304,810925
1606560307,810925
1606560310,810925
1606560313,810925
1606560316,810925
1606560319,810925
1606560322,810925
1606560325,810925
1606560328,810925
1606560331,810925
1606560334,810925
1606560337,810925
1606560340,810925
1606560343,810925
1606560346,810925
1606560349,810925
1606560352,810925
1606560355,810925
1606560358,810925
1606560361,810925
1606560364,810925
1606560367,810925
1606560370,810925
1606560373,810925
1606560376,810925
1606560379,810925
1606560389,810925
1606560390,810925
1606560391,810925
1606560391,810925
1606560394,810925
1606560397,810925
1606560400,810925
1606560403,810925
1606560406,810925
1606560409,810925
1606560412,810925
1606560415,810925
1606560418,810925
1606560421,810925
1606560424,810925
1606560427,810925
1606560430,810925
1606560433,810925
1606560436,810925
1606560439,810925
1606560442,810925
1606560445,810925
1606560448,810925
1606560451,810925
1606560454,810925
1606560457,810925
1606560460,810925
1606560463,810925
1606560466,810925
1606560469,810925
1606560472,810925
1606560475,810925
1606560478,810925
1606560481,810925
1606560484,810925
1606560487,810925
1606560490,810925
1606560493,810925
1606560496,810925
1606560499,810925
1606560502,810925
1606560505,810925
1606560508,810925
1606560511,810925
1606560514,810925
1606560517,942753
1606560520,942753
1606560523,942753
1606560526,942753
1606560529,942753
1606560532,942753
1606560535,942753
1606560538,942753
1606560541,942753
1606560544,942753
1606560547,942753
1606560550,942753
1606560553,942753
1606560556,942753
1606560559,942753
1606560562,942753
1606560565,942753
1606560568,942753
1606560571,942753
1606560574,942753
1606560577,942753
1606560580,942753
1606560583,942753
1606560586,942753
1606560589,942753
1606560592,942753
1606560595,942753
1606560598,942753
1606560601,942753
1606560604,942753
1606560607,942753
1606560610,942753
1606560613,942753
1606560616,942753
1606560619,942753
1606560622,942753
1606560625,942753
1606560628,942753
1606560631,942753
1606560634,942753
1606560637,942753
1606560640,942753
1606560643,942753
1606560646,942753
1606560649,942753
1606560652,942753
1606560655,942753
1606560658,942753
1606560661,942753
1606560664,942753
1606560667,942753
1606560670,942753
1606560673,942753
1606560676,942753
1606560679,942753
1606560682,942753
1606560685,942753
1606560688,942753
1606560691,942753
1606560694,942753
1606560697,942753
1606560700,942753
1606560703,942753
1606560706,942753
1606560709,942753
1606560712,942753
1606560715,942753
1606560718,942753
1606560721,942753
1606560724,942753
1606560727,942753
1606560730,942753
1606560733,942753
1606560736,942753
1606560739,942753
1606560742,942753
1606560745,942753
1606560748,942753
1606560751,942753
1606560754,942753
1606560757,942753
1606560760,942753
1606560763,942753
1606560766,942753
1606560769,942753
1606560772,942753
1606560775,942753
1606560778,942753
1606560781,942753
1606560784,942753
1606560787,942753
1606560790,942753
1606560793,942753
1606560796,942753
1606560799,942753
1606560802,942753
1606560805,942753
1606560808,942753
1606560811,942753
1606560814,942753
1606560817,942753
1606560820,942753
1606560823,942753
1606560826,942753
1606560829,942753
1606560832,942753
1606560835,942753
1606560838,942753
1606560841,942753
1606560844,942753
1606560847,942753
1606560850,942753
1606560853,942753
1606560856,942753
1606560859,942753
1606560862,942753
1606560865,942753
1606560868,942753
1606560871,942753
1606560874,942753
1606560877,942753
1606560880,942753
1606560883,942753
1606560886,942753
1606560889,942753
1606560892,942753
1606560895,942753
1606560898,942753
1606560901,942753
1606560904,942753
1606560907,942753
1606560910,942753
1606560913,942753
1606560916,942753
1606560919,942753
1606560922,942753
1606560925,942753
1606560928,942753
1606560931,942753
1606560934,942753
1606560937,942753
1606560940,942753
1606560943,942753
1606560946,942753
1606560949,942753
1606560952,942753
1606560955,942753
1606560958,942753
1606560961,942753
1606560964,942753
1606560967,942753
1606560970,942753
1606560973,942753
1606560976,942753
1606560979,942753
1606560982,942753
1606560985,942753
1606560988,942753
1606560991,942753
1606560994,942753
1606560997,942753
1606561000,942753
1606561003,942753
1606561006,942753
1606561009,942753
1606561012,942753
1606561015,942753
1606561018,942753
1606561021,942753
1606561024,942753
1606561027,942753
1606561030,942753
1606561033,942753
1606561036,942753
1606561039,942753
1606561042,942753
1606561045,942753
1606561048,942753
1606561051,942753
1606561054,942753
1606561057,942753
1606561060,942753
1606561063,942753
1606561066,942753
1606561069,942753
1606561072,942753
1606561075,942753
1606561078,942753
1606561081,942753
1606561084,942753
1606561087,942753
1606561090,942753
1606561093,942753
1606561096,942753
1606561099,942753
1606561102,942753
1606561105,942753
1606561108,942753
1606561111,942753
1606561114,942753
1606561117,942753
1606561120,942753
1606561123,942753
1606561129,942753
1606561135,942753
1606561142,942753
1606561144,942753
1606561146,942753
1606561148,942753
1606561151,942753
1606561154,942753
1606561154,942753
1606561155,942753
1606561158,942753
1606561159,942753
1606561173,942753
1606561175,942753
1606561178,942753
1606561180,942753
1606561180,942753
1606561181,942753
1606561182,942753
1606561183,942753
1606561186,942753
1606561189,942753
1606561192,942753
1606561195,942753
1606561198,942753
1606561201,942753
1606561204,942753
1606561207,942753
t,value
1606561529,1032792
1606561532,1032792
1606561535,1032792
1606561538,1032792
1606561541,1032792
1606561544,1032792
1606561547,1032792
1606561550,1032792
1606561553,1032792
1606561556,1032792
1606561559,1032792
1606561562,1032792
1606561565,1032792
1606561568,1032792
1606561571,1032792
1606561574,1032792
1606561577,1032792
1606561580,1032792
1606561583,1032792
1606561586,1032792
1606561589,1032792
1606561592,1032792
1606561595,1032792
1606561598,1032792
1606561601,1032792
1606561604,1032792
1606561607,1032792
1606561610,1032792
1606561613,1032792
1606561616,1032792
1606561619,1032792
1606561622,1032792
1606561625,1032792
1606561628,1032792
1606561631,1032792
1606561634,1032792
1606561637,1032792
1606561640,1032792
1606561643,1032792
1606561646,1032792
1606561649,1032792
1606561652,1032792
1606561655,1032792
1606561658,1032792
1606561661,1032792
1606561664,1032792
1606561667,1032792
1606561670,1032792
1606561673,1032792
1606561676,1032792
1606561679,1032792
1606561682,1032792
1606561685,1032792
1606561688,1032792
1606561691,1032792
1606561694,1032792
