t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1606559974,140,1.941443,0.000000,0.000000,0.000000,events/second
1606559989,140,1.876289,0.000000,0.000000,0.000000,events/second
1606559990,140,1.863852,0.000000,0.000000,0.000000,events/second
1606559990,140,1.856735,0.000000,0.000000,0.000000,events/second
1606559991,140,1.850600,0.000000,0.000000,0.000000,events/second
1606559991,140,1.844203,0.000000,0.000000,0.000000,events/second
1606559992,140,1.820687,0.000000,0.000000,0.000000,events/second
1606559995,140,1.751970,0.000000,0.000000,0.000000,events/second
1606559998,140,1.691421,0.000000,0.000000,0.000000,events/second
1606560001,140,1.632428,0.000000,0.000000,0.000000,events/second
1606560004,140,1.579180,0.000000,0.000000,0.000000,events/second
1606560007,140,1.527183,0.000000,0.000000,0.000000,events/second
1606560010,140,1.471714,0.000000,0.000000,0.000000,events/second
1606560013,140,1.432250,0.000000,0.000000,0.000000,events/second
1606560016,140,1.385745,0.000000,0.000000,0.000000,events/second
1606560019,140,1.350112,0.000000,0.000000,0.000000,events/second
1606560022,140,1.295783,0.000000,0.000000,0.000000,events/second
1606560025,140,1.274186,0.000000,0.000000,0.000000,events/second
1606560028,140,1.241955,0.000000,0.000000,0.000000,events/second
1606560031,140,1.210457,0.000000,0.000000,0.000000,events/second
1606560034,140,1.180066,0.000000,0.000000,0.000000,events/second
1606560037,140,1.150996,0.000000,0.000000,0.000000,events/second
1606560040,140,1.120527,0.000000,0.000000,0.000000,events/second
1606560043,140,1.096723,0.000000,0.000000,0.000000,events/second
1606560046,140,1.071697,0.000000,0.000000,0.000000,events/second
1606560049,140,1.047078,0.000000,0.000000,0.000000,events/second
1606560052,140,1.023312,0.000000,0.000000,0.000000,events/second
1606560055,140,1.002646,0.000000,0.000000,0.000000,events/second
1606560058,140,0.981517,0.000000,0.000000,0.000000,events/second
1606560061,140,0.961198,0.000000,0.000000,0.000000,events/second
1606560064,140,0.941792,0.000000,0.000000,0.000000,events/second
1606560067,140,0.923361,0.000000,0.000000,0.000000,events/second
1606560070,140,0.904935,0.000000,0.000000,0.000000,events/second
1606560073,140,0.886454,0.000000,0.000000,0.000000,events/second
1606560076,140,0.870807,0.000000,0.000000,0.000000,events/second
1606560079,140,0.846297,0.000000,0.000000,0.000000,events/second
1606560082,140,0.840062,0.000000,0.000000,0.000000,events/second
1606560085,140,0.824121,0.000000,0.000000,0.000000,events/second
1606560088,140,0.807731,0.000000,0.000000,0.000000,events/second
1606560091,140,0.791764,0.000000,0.000000,0.000000,events/second
1606560094,140,0.780976,0.000000,0.000000,0.000000,events/second
1606560097,140,0.770487,0.000000,0.000000,0.000000,events/second
1606560100,140,0.758267,0.000000,0.000000,0.000000,events/second
1606560103,140,0.746189,0.000000,0.000000,0.000000,events/second
1606560106,140,0.734236,0.000000,0.000000,0.000000,events/second
1606560109,140,0.723033,0.000000,0.000000,0.000000,events/second
1606560112,140,0.711887,0.000000,0.000000,0.000000,events/second
1606560115,140,0.701373,0.000000,0.000000,0.000000,events/second
1606560118,140,0.690712,0.000000,0.000000,0.000000,events/second
1606560121,140,0.680893,0.000000,0.000000,0.000000,events/second
1606560124,140,0.671039,0.000000,0.000000,0.000000,events/second
1606560127,140,0.661507,0.000000,0.000000,0.000000,events/second
1606560130,140,0.652368,0.000000,0.000000,0.000000,events/second
1606560133,140,0.643332,0.000000,0.000000,0.000000,events/second
1606560136,140,0.634566,0.000000,0.000000,0.000000,events/second
1606560139,140,0.625874,0.000000,0.000000,0.000000,events/second
1606560142,140,0.617718,0.000000,0.000000,0.000000,events/second
1606560145,140,0.609664,0.000000,0.000000,0.000000,events/second
1606560148,140,0.601800,0.000000,0.000000,0.000000,events/second
1606560151,140,0.593462,0.000000,0.000000,0.000000,events/second
1606560154,140,0.586607,0.000000,0.000000,0.000000,events/second
1606560157,140,0.579312,0.000000,0.000000,0.000000,events/second
1606560160,140,0.572263,0.000000,0.000000,0.000000,events/second
1606560163,140,0.565257,0.000000,0.000000,0.000000,events/second
1606560166,140,0.558548,0.000000,0.000000,0.000000,events/second
1606560169,140,0.551999,0.000000,0.000000,0.000000,events/second
1606560172,140,0.544852,0.000000,0.000000,0.000000,events/second
1606560175,140,0.539217,0.000000,0.000000,0.000000,events/second
1606560178,140,0.533001,0.000000,0.000000,0.000000,events/second
1606560181,140,0.527083,0.000000,0.000000,0.000000,events/second
1606560184,140,0.521208,0.000000,0.000000,0.000000,events/second
1606560187,140,0.515466,0.000000,0.000000,0.000000,events/second
1606560190,140,0.509761,0.000000,0.000000,0.000000,events/second
1606560193,140,0.504296,0.000000,0.000000,0.000000,events/second
1606560196,140,0.498845,0.000000,0.000000,0.000000,events/second
1606560199,140,0.493603,0.000000,0.000000,0.000000,events/second
1606560202,140,0.488469,0.000000,0.000000,0.000000,events/second
1606560205,140,0.483376,0.000000,0.000000,0.000000,events/second
1606560208,140,0.478422,0.000000,0.000000,0.000000,events/second
1606560211,140,0.473542,0.000000,0.000000,0.000000,events/second
1606560214,140,0.468678,0.000000,0.000000,0.000000,events/second
1606560217,140,0.462973,0.000000,0.000000,0.000000,events/second
1606560220,140,0.459579,0.000000,0.000000,0.000000,events/second
1606560223,140,0.454400,0.000000,0.000000,0.000000,events/second
1606560226,140,0.450705,0.000000,0.000000,0.000000,events/second
1606560229,140,0.446410,0.000000,0.000000,0.000000,events/second
1606560232,140,0.442167,0.000000,0.000000,0.000000,events/second
1606560235,140,0.438033,0.000000,0.000000,0.000000,events/second
1606560238,140,0.433922,0.000000,0.000000,0.000000,events/second
1606560241,140,0.429930,0.000000,0.000000,0.000000,events/second
1606560244,140,0.425987,0.000000,0.000000,0.000000,events/second
1606560247,140,0.422154,0.000000,0.000000,0.000000,events/second
1606560250,140,0.418319,0.000000,0.000000,0.000000,events/second
1606560253,140,0.414684,0.000000,0.000000,0.000000,events/second
1606560256,140,0.410961,0.000000,0.000000,0.000000,events/second
1606560259,140,0.407419,0.000000,0.000000,0.000000,events/second
1606560262,140,0.403921,0.000000,0.000000,0.000000,events/second
1606560265,140,0.400408,0.000000,0.000000,0.000000,events/second
1606560268,140,0.397007,0.000000,0.000000,0.000000,events/second
1606560271,140,0.393656,0.000000,0.000000,0.000000,events/second
1606560274,140,0.390331,0.000000,0.000000,0.000000,events/second
1606560277,140,0.387028,0.000000,0.000000,0.000000,events/second
1606560280,140,0.383947,0.000000,0.000000,0.000000,events/second
1606560283,140,0.380806,0.000000,0.000000,0.000000,events/second
1606560286,140,0.377713,0.000000,0.000000,0.000000,events/second
1606560289,140,0.374695,0.000000,0.000000,0.000000,events/second
1606560292,140,0.371732,0.000000,0.000000,0.000000,events/second
1606560295,140,0.368778,0.000000,0.000000,0.000000,events/second
1606560298,140,0.365617,0.000000,0.000000,0.000000,events/second
1606560301,140,0.362934,0.000000,0.000000,0.000000,events/second
1606560304,140,0.360238,0.000000,0.000000,0.000000,events/second
1606560307,140,0.357446,0.000000,0.000000,0.000000,events/second
1606560310,140,0.354747,0.000000,0.000000,0.000000,events/second
1606560313,140,0.352093,0.000000,0.000000,0.000000,events/second
1606560316,140,0.349468,0.000000,0.000000,0.000000,events/second
1606560319,140,0.346819,0.000000,0.000000,0.000000,events/second
1606560322,140,0.344265,0.000000,0.000000,0.000000,events/second
1606560325,140,0.341781,0.000000,0.000000,0.000000,events/second
1606560328,140,0.339249,0.000000,0.000000,0.000000,events/second
1606560331,140,0.336827,0.000000,0.000000,0.000000,events/second
1606560334,140,0.334410,0.000000,0.000000,0.000000,events/second
1606560337,140,0.331738,0.000000,0.000000,0.000000,events/second
1606560340,140,0.329692,0.000000,0.000000,0.000000,events/second
1606560343,140,0.327309,0.000000,0.000000,0.000000,events/second
1606560346,140,0.324902,0.000000,0.000000,0.000000,events/second
1606560349,140,0.322849,0.000000,0.000000,0.000000,events/second
1606560352,140,0.320634,0.000000,0.000000,0.000000,events/second
1606560355,140,0.318387,0.000000,0.000000,0.000000,events/second
1606560358,140,0.316245,0.000000,0.000000,0.000000,events/second
1606560361,140,0.314179,0.000000,0.000000,0.000000,events/second
1606560364,140,0.312065,0.000000,0.000000,0.000000,events/second
1606560367,140,0.309996,0.000000,0.000000,0.000000,events/second
1606560370,140,0.307952,0.000000,0.000000,0.000000,events/second
1606560373,140,0.305929,0.000000,0.000000,0.000000,events/second
1606560376,140,0.303923,0.000000,0.000000,0.000000,events/second
1606560379,140,0.301976,0.000000,0.000000,0.000000,events/second
1606560389,140,0.294604,0.000000,0.000000,0.000000,events/second
1606560390,140,0.294308,0.000000,0.000000,0.000000,events/second
1606560391,140,0.294072,0.000000,0.000000,0.000000,events/second
1606560391,140,0.293936,0.000000,0.000000,0.000000,events/second
1606560394,140,0.292389,0.000000,0.000000,0.000000,events/second
1606560397,140,0.290696,0.000000,0.000000,0.000000,events/second
1606560400,140,0.288888,0.000000,0.000000,0.000000,events/second
1606560403,140,0.287125,0.000000,0.000000,0.000000,events/second
1606560406,140,0.285337,0.000000,0.000000,0.000000,events/second
1606560409,140,0.283610,0.000000,0.000000,0.000000,events/second
1606560412,140,0.281912,0.000000,0.000000,0.000000,events/second
1606560415,140,0.280205,0.000000,0.000000,0.000000,events/second
1606560418,140,0.278475,0.000000,0.000000,0.000000,events/second
1606560421,140,0.276846,0.000000,0.000000,0.000000,events/second
1606560424,140,0.275236,0.000000,0.000000,0.000000,events/second
1606560427,140,0.273628,0.000000,0.000000,0.000000,events/second
1606560430,140,0.272043,0.000000,0.000000,0.000000,events/second
1606560433,140,0.270477,0.000000,0.000000,0.000000,events/second
1606560436,140,0.268916,0.000000,0.000000,0.000000,events/second
1606560439,140,0.267378,0.000000,0.000000,0.000000,events/second
1606560442,140,0.265822,0.000000,0.000000,0.000000,events/second
1606560445,140,0.264350,0.000000,0.000000,0.000000,events/second
1606560448,140,0.262833,0.000000,0.000000,0.000000,events/second
1606560451,140,0.261387,0.000000,0.000000,0.000000,events/second
1606560454,140,0.259914,0.000000,0.000000,0.000000,events/second
1606560457,140,0.258485,0.000000,0.000000,0.000000,events/second
1606560460,140,0.257045,0.000000,0.000000,0.000000,events/second
1606560463,140,0.255661,0.000000,0.000000,0.000000,events/second
1606560466,140,0.254247,0.000000,0.000000,0.000000,events/second
1606560469,140,0.252877,0.000000,0.000000,0.000000,events/second
1606560472,140,0.251501,0.000000,0.000000,0.000000,events/second
1606560475,140,0.250170,0.000000,0.000000,0.000000,events/second
1606560478,140,0.248180,0.000000,0.000000,0.000000,events/second
1606560481,140,0.247516,0.000000,0.000000,0.000000,events/second
1606560484,140,0.246208,0.000000,0.000000,0.000000,events/second
1606560487,140,0.244918,0.000000,0.000000,0.000000,events/second
1606560490,140,0.243636,0.000000,0.000000,0.000000,events/second
1606560493,140,0.242372,0.000000,0.000000,0.000000,events/second
1606560496,140,0.241118,0.000000,0.000000,0.000000,events/second
1606560499,140,0.239881,0.000000,0.000000,0.000000,events/second
1606560502,140,0.238658,0.000000,0.000000,0.000000,events/second
1606560505,140,0.237426,0.000000,0.000000,0.000000,events/second
1606560508,140,0.236201,0.000000,0.000000,0.000000,events/second
1606560511,140,0.235038,0.000000,0.000000,0.000000,events/second
1606560514,140,0.233873,0.000000,0.000000,0.000000,events/second
1606560517,140,0.232712,0.000000,0.000000,0.000000,events/second
1606560520,140,0.231535,0.000000,0.000000,0.000000,events/second
1606560523,140,0.230417,0.000000,0.000000,0.000000,events/second
1606560526,140,0.229275,0.000000,0.000000,0.000000,events/second
1606560529,140,0.228152,0.000000,0.000000,0.000000,events/second
1606560532,140,0.227036,0.000000,0.000000,0.000000,events/second
1606560535,140,0.225899,0.000000,0.000000,0.000000,events/second
1606560538,140,0.224849,0.000000,0.000000,0.000000,events/second
1606560541,140,0.223772,0.000000,0.000000,0.000000,events/second
1606560544,140,0.222715,0.000000,0.000000,0.000000,events/second
1606560547,140,0.221645,0.000000,0.000000,0.000000,events/second
1606560550,140,0.220600,0.000000,0.000000,0.000000,events/second
1606560553,140,0.219570,0.000000,0.000000,0.000000,events/second
1606560556,140,0.218533,0.000000,0.000000,0.000000,events/second
1606560559,140,0.217517,0.000000,0.000000,0.000000,events/second
1606560562,140,0.216504,0.000000,0.000000,0.000000,events/second
1606560565,140,0.215510,0.000000,0.000000,0.000000,events/second
1606560568,140,0.214515,0.000000,0.000000,0.000000,events/second
1606560571,140,0.213546,0.000000,0.000000,0.000000,events/second
1606560574,140,0.212569,0.000000,0.000000,0.000000,events/second
1606560577,140,0.211610,0.000000,0.000000,0.000000,events/second
1606560580,140,0.210648,0.000000,0.000000,0.000000,events/second
1606560583,140,0.209701,0.000000,0.000000,0.000000,events/second
1606560586,140,0.208653,0.000000,0.000000,0.000000,events/second
1606560589,140,0.207762,0.000000,0.000000,0.000000,events/second
1606560592,140,0.206900,0.000000,0.000000,0.000000,events/second
1606560595,140,0.205995,0.000000,0.000000,0.000000,events/second
1606560598,140,0.205088,0.000000,0.000000,0.000000,events/second
1606560601,140,0.204196,0.000000,0.000000,0.000000,events/second
1606560604,140,0.203312,0.000000,0.000000,0.000000,events/second
1606560607,140,0.202378,0.000000,0.000000,0.000000,events/second
1606560610,140,0.201275,0.000000,0.000000,0.000000,events/second
1606560613,140,0.200653,0.000000,0.000000,0.000000,events/second
1606560616,140,0.199700,0.000000,0.000000,0.000000,events/second
1606560619,140,0.198735,0.000000,0.000000,0.000000,events/second
1606560622,140,0.197980,0.000000,0.000000,0.000000,events/second
1606560625,140,0.197275,0.000000,0.000000,0.000000,events/second
1606560628,140,0.196454,0.000000,0.000000,0.000000,events/second
1606560631,140,0.195635,0.000000,0.000000,0.000000,events/second
1606560634,140,0.194818,0.000000,0.000000,0.000000,events/second
1606560637,140,0.193999,0.000000,0.000000,0.000000,events/second
1606560640,140,0.193205,0.000000,0.000000,0.000000,events/second
1606560643,140,0.192414,0.000000,0.000000,0.000000,events/second
1606560646,140,0.191615,0.000000,0.000000,0.000000,events/second
1606560649,140,0.190833,0.000000,0.000000,0.000000,events/second
1606560652,140,0.190053,0.000000,0.000000,0.000000,events/second
1606560655,140,0.189284,0.000000,0.000000,0.000000,events/second
1606560658,140,0.188519,0.000000,0.000000,0.000000,events/second
1606560661,140,0.187655,0.000000,0.000000,0.000000,events/second
1606560664,140,0.187005,0.000000,0.000000,0.000000,events/second
1606560667,140,0.186262,0.000000,0.000000,0.000000,events/second
1606560670,140,0.185522,0.000000,0.000000,0.000000,events/second
1606560673,140,0.184792,0.000000,0.000000,0.000000,events/second
1606560676,140,0.184062,0.000000,0.000000,0.000000,events/second
1606560679,140,0.183298,0.000000,0.000000,0.000000,events/second
1606560682,140,0.182607,0.000000,0.000000,0.000000,events/second
1606560685,140,0.181909,0.000000,0.000000,0.000000,events/second
1606560688,140,0.181177,0.000000,0.000000,0.000000,events/second
1606560691,140,0.180496,0.000000,0.000000,0.000000,events/second
1606560694,140,0.179798,0.000000,0.000000,0.000000,events/second
1606560697,140,0.179115,0.000000,0.000000,0.000000,events/second
1606560700,140,0.178380,0.000000,0.000000,0.000000,events/second
1606560703,140,0.177747,0.000000,0.000000,0.000000,events/second
1606560706,140,0.177070,0.000000,0.000000,0.000000,events/second
1606560709,140,0.176409,0.000000,0.000000,0.000000,events/second
1606560712,140,0.175744,0.000000,0.000000,0.000000,events/second
1606560715,140,0.175002,0.000000,0.000000,0.000000,events/second
1606560718,140,0.174423,0.000000,0.000000,0.000000,events/second
1606560721,140,0.173776,0.000000,0.000000,0.000000,events/second
1606560724,140,0.173133,0.000000,0.000000,0.000000,events/second
1606560727,140,0.172484,0.000000,0.000000,0.000000,events/second
1606560730,140,0.171859,0.000000,0.000000,0.000000,events/second
1606560733,140,0.171228,0.000000,0.000000,0.000000,events/second
1606560736,140,0.170597,0.000000,0.000000,0.000000,events/second
1606560739,140,0.169631,0.000000,0.000000,0.000000,events/second
1606560742,140,0.169368,0.000000,0.000000,0.000000,events/second
1606560745,140,0.168747,0.000000,0.000000,0.000000,events/second
1606560748,140,0.168144,0.000000,0.000000,0.000000,events/second
1606560751,140,0.167541,0.000000,0.000000,0.000000,events/second
1606560754,140,0.166942,0.000000,0.000000,0.000000,events/second
1606560757,140,0.166338,0.000000,0.000000,0.000000,events/second
1606560760,140,0.165758,0.000000,0.000000,0.000000,events/second
1606560763,140,0.165169,0.000000,0.000000,0.000000,events/second
1606560766,140,0.164587,0.000000,0.000000,0.000000,events/second
1606560769,140,0.164007,0.000000,0.000000,0.000000,events/second
1606560772,140,0.163433,0.000000,0.000000,0.000000,events/second
1606560775,140,0.162827,0.000000,0.000000,0.000000,events/second
1606560778,140,0.162293,0.000000,0.000000,0.000000,events/second
1606560781,140,0.161735,0.000000,0.000000,0.000000,events/second
1606560784,140,0.161177,0.000000,0.000000,0.000000,events/second
1606560787,140,0.160623,0.000000,0.000000,0.000000,events/second
1606560790,140,0.160051,0.000000,0.000000,0.000000,events/second
1606560793,140,0.159521,0.000000,0.000000,0.000000,events/second
1606560796,140,0.158983,0.000000,0.000000,0.000000,events/second
1606560799,140,0.158439,0.000000,0.000000,0.000000,events/second
1606560802,140,0.157901,0.000000,0.000000,0.000000,events/second
1606560805,140,0.157189,0.000000,0.000000,0.000000,events/second
1606560808,140,0.156836,0.000000,0.000000,0.000000,events/second
1606560811,140,0.156313,0.000000,0.000000,0.000000,events/second
1606560814,140,0.155791,0.000000,0.000000,0.000000,events/second
1606560817,140,0.155275,0.000000,0.000000,0.000000,events/second
1606560820,140,0.154763,0.000000,0.000000,0.000000,events/second
1606560823,140,0.154251,0.000000,0.000000,0.000000,events/second
1606560826,140,0.153741,0.000000,0.000000,0.000000,events/second
1606560829,140,0.153235,0.000000,0.000000,0.000000,events/second
1606560832,140,0.152734,0.000000,0.000000,0.000000,events/second
1606560835,140,0.152233,0.000000,0.000000,0.000000,events/second
1606560838,140,0.151736,0.000000,0.000000,0.000000,events/second
1606560841,140,0.151245,0.000000,0.000000,0.000000,events/second
1606560844,140,0.150753,0.000000,0.000000,0.000000,events/second
1606560847,140,0.150218,0.000000,0.000000,0.000000,events/second
1606560850,140,0.149794,0.000000,0.000000,0.000000,events/second
1606560853,140,0.149318,0.000000,0.000000,0.000000,events/second
1606560856,140,0.148820,0.000000,0.000000,0.000000,events/second
1606560859,140,0.148358,0.000000,0.000000,0.000000,events/second
1606560862,140,0.147835,0.000000,0.000000,0.000000,events/second
1606560865,140,0.147426,0.000000,0.000000,0.000000,events/second
1606560868,140,0.146961,0.000000,0.000000,0.000000,events/second
1606560871,140,0.146502,0.000000,0.000000,0.000000,events/second
1606560874,140,0.146040,0.000000,0.000000,0.000000,events/second
1606560877,140,0.145574,0.000000,0.000000,0.000000,events/second
1606560880,140,0.145135,0.000000,0.000000,0.000000,events/second
1606560883,140,0.144688,0.000000,0.000000,0.000000,events/second
1606560886,140,0.144239,0.000000,0.000000,0.000000,events/second
1606560889,140,0.143792,0.000000,0.000000,0.000000,events/second
1606560892,140,0.143347,0.000000,0.000000,0.000000,events/second
1606560895,140,0.142913,0.000000,0.000000,0.000000,events/second
1606560898,140,0.142470,0.000000,0.000000,0.000000,events/second
1606560901,140,0.142041,0.000000,0.000000,0.000000,events/second
1606560904,140,0.141611,0.000000,0.000000,0.000000,events/second
1606560907,140,0.141175,0.000000,0.000000,0.000000,events/second
1606560910,140,0.140758,0.000000,0.000000,0.000000,events/second
1606560913,140,0.140334,0.000000,0.000000,0.000000,events/second
1606560916,140,0.139911,0.000000,0.000000,0.000000,events/second
1606560919,140,0.139494,0.000000,0.000000,0.000000,events/second
1606560922,140,0.139075,0.000000,0.000000,0.000000,events/second
1606560925,140,0.138663,0.000000,0.000000,0.000000,events/second
1606560928,140,0.138255,0.000000,0.000000,0.000000,events/second
1606560931,140,0.137734,0.000000,0.000000,0.000000,events/second
1606560934,140,0.137436,0.000000,0.000000,0.000000,events/second
1606560937,140,0.137040,0.000000,0.000000,0.000000,events/second
1606560940,140,0.136639,0.000000,0.000000,0.000000,events/second
1606560943,140,0.136235,0.000000,0.000000,0.000000,events/second
1606560946,140,0.135836,0.000000,0.000000,0.000000,events/second
1606560949,140,0.135444,0.000000,0.000000,0.000000,events/second
1606560952,140,0.135054,0.000000,0.000000,0.000000,events/second
1606560955,140,0.134664,0.000000,0.000000,0.000000,events/second
1606560958,140,0.134264,0.000000,0.000000,0.000000,events/second
1606560961,140,0.133890,0.000000,0.000000,0.000000,events/second
1606560964,140,0.133508,0.000000,0.000000,0.000000,events/second
1606560967,140,0.133052,0.000000,0.000000,0.000000,events/second
1606560970,140,0.132667,0.000000,0.000000,0.000000,events/second
1606560973,140,0.132375,0.000000,0.000000,0.000000,events/second
1606560976,140,0.131996,0.000000,0.000000,0.000000,events/second
1606560979,140,0.131621,0.000000,0.000000,0.000000,events/second
1606560982,140,0.131252,0.000000,0.000000,0.000000,events/second
1606560985,140,0.130887,0.000000,0.000000,0.000000,events/second
1606560988,140,0.130407,0.000000,0.000000,0.000000,events/second
1606560991,140,0.130154,0.000000,0.000000,0.000000,events/second
1606560994,140,0.129795,0.000000,0.000000,0.000000,events/second
1606560997,140,0.129433,0.000000,0.000000,0.000000,events/second
1606561000,140,0.129078,0.000000,0.000000,0.000000,events/second
1606561003,140,0.128719,0.000000,0.000000,0.000000,events/second
1606561006,140,0.128365,0.000000,0.000000,0.000000,events/second
1606561009,140,0.127984,0.000000,0.000000,0.000000,events/second
1606561012,140,0.127665,0.000000,0.000000,0.000000,events/second
1606561015,140,0.127195,0.000000,0.000000,0.000000,events/second
1606561018,140,0.126966,0.000000,0.000000,0.000000,events/second
1606561021,140,0.126597,0.000000,0.000000,0.000000,events/second
1606561024,140,0.126257,0.000000,0.000000,0.000000,events/second
1606561027,140,0.125940,0.000000,0.000000,0.000000,events/second
1606561030,140,0.125602,0.000000,0.000000,0.000000,events/second
1606561033,140,0.125269,0.000000,0.000000,0.000000,events/second
1606561036,140,0.124932,0.000000,0.000000,0.000000,events/second
1606561039,140,0.124577,0.000000,0.000000,0.000000,events/second
1606561042,140,0.124214,0.000000,0.000000,0.000000,events/second
1606561045,140,0.123938,0.000000,0.000000,0.000000,events/second
1606561048,140,0.123586,0.000000,0.000000,0.000000,events/second
1606561051,140,0.123201,0.000000,0.000000,0.000000,events/second
1606561054,140,0.122847,0.000000,0.000000,0.000000,events/second
1606561057,140,0.122537,0.000000,0.000000,0.000000,events/second
1606561060,140,0.122243,0.000000,0.000000,0.000000,events/second
1606561063,140,0.121993,0.000000,0.000000,0.000000,events/second
1606561066,140,0.121610,0.000000,0.000000,0.000000,events/second
1606561069,140,0.121310,0.000000,0.000000,0.000000,events/second
1606561072,140,0.121002,0.000000,0.000000,0.000000,events/second
1606561075,140,0.120696,0.000000,0.000000,0.000000,events/second
1606561078,140,0.120364,0.000000,0.000000,0.000000,events/second
1606561081,140,0.120039,0.000000,0.000000,0.000000,events/second
1606561084,140,0.119791,0.000000,0.000000,0.000000,events/second
1606561087,140,0.119300,0.000000,0.000000,0.000000,events/second
1606561090,140,0.119125,0.000000,0.000000,0.000000,events/second
1606561093,140,0.118846,0.000000,0.000000,0.000000,events/second
1606561096,140,0.118561,0.000000,0.000000,0.000000,events/second
1606561099,140,0.118267,0.000000,0.000000,0.000000,events/second
1606561102,140,0.117871,0.000000,0.000000,0.000000,events/second
1606561105,140,0.117478,0.000000,0.000000,0.000000,events/second
1606561108,140,0.117262,0.000000,0.000000,0.000000,events/second
1606561111,140,0.116992,0.000000,0.000000,0.000000,events/second
1606561114,140,0.116562,0.000000,0.000000,0.000000,events/second
1606561117,140,0.116385,0.000000,0.000000,0.000000,events/second
1606561120,140,0.115991,0.000000,0.000000,0.000000,events/second
1606561123,140,0.115407,0.000000,0.000000,0.000000,events/second
1606561129,140,0.114870,0.000000,0.000000,0.000000,events/second
1606561135,140,0.114099,0.000000,0.000000,0.000000,events/second
1606561142,140,0.113896,0.000000,0.000000,0.000000,events/second
