t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1606559974,95,1.316168,0.000000,0.000000,0.000000,events/second
1606559989,95,1.273167,0.000000,0.000000,0.000000,events/second
1606559990,95,1.264753,0.000000,0.000000,0.000000,events/second
1606559990,95,1.259923,0.000000,0.000000,0.000000,events/second
1606559991,95,1.255761,0.000000,0.000000,0.000000,events/second
1606559991,95,1.251419,0.000000,0.000000,0.000000,events/second
1606559992,95,1.235464,0.000000,0.000000,0.000000,events/second
1606559995,95,1.188830,0.000000,0.000000,0.000000,events/second
1606559998,95,1.147743,0.000000,0.000000,0.000000,events/second
1606560001,95,1.107717,0.000000,0.000000,0.000000,events/second
1606560004,95,1.071588,0.000000,0.000000,0.000000,events/second
1606560007,95,1.036293,0.000000,0.000000,0.000000,events/second
1606560010,95,0.998662,0.000000,0.000000,0.000000,events/second
1606560013,95,0.971874,0.000000,0.000000,0.000000,events/second
1606560016,95,0.940326,0.000000,0.000000,0.000000,events/second
1606560019,95,0.916149,0.000000,0.000000,0.000000,events/second
1606560022,95,0.879280,0.000000,0.000000,0.000000,events/second
1606560025,95,0.864626,0.000000,0.000000,0.000000,events/second
1606560028,95,0.842755,0.000000,0.000000,0.000000,events/second
1606560031,95,0.821381,0.000000,0.000000,0.000000,events/second
1606560034,95,0.800760,0.000000,0.000000,0.000000,events/second
1606560037,95,0.781034,0.000000,0.000000,0.000000,events/second
1606560040,95,0.760357,0.000000,0.000000,0.000000,events/second
1606560043,95,0.744206,0.000000,0.000000,0.000000,events/second
1606560046,95,0.727223,0.000000,0.000000,0.000000,events/second
1606560049,95,0.710517,0.000000,0.000000,0.000000,events/second
1606560052,95,0.694391,0.000000,0.000000,0.000000,events/second
1606560055,95,0.680367,0.000000,0.000000,0.000000,events/second
1606560058,95,0.666030,0.000000,0.000000,0.000000,events/second
1606560061,95,0.652242,0.000000,0.000000,0.000000,events/second
1606560064,95,0.639074,0.000000,0.000000,0.000000,events/second
1606560067,95,0.626567,0.000000,0.000000,0.000000,events/second
1606560070,95,0.614064,0.000000,0.000000,0.000000,events/second
1606560073,95,0.601519,0.000000,0.000000,0.000000,events/second
1606560076,95,0.590905,0.000000,0.000000,0.000000,events/second
1606560079,95,0.574273,0.000000,0.000000,0.000000,events/second
1606560082,95,0.570042,0.000000,0.000000,0.000000,events/second
1606560085,95,0.559225,0.000000,0.000000,0.000000,events/second
1606560088,95,0.548103,0.000000,0.000000,0.000000,events/second
1606560091,95,0.537268,0.000000,0.000000,0.000000,events/second
1606560094,95,0.529948,0.000000,0.000000,0.000000,events/second
1606560097,95,0.522831,0.000000,0.000000,0.000000,events/second
1606560100,95,0.514538,0.000000,0.000000,0.000000,events/second
1606560103,95,0.506342,0.000000,0.000000,0.000000,events/second
1606560106,95,0.498231,0.000000,0.000000,0.000000,events/second
1606560109,95,0.490630,0.000000,0.000000,0.000000,events/second
1606560112,95,0.483066,0.000000,0.000000,0.000000,events/second
1606560115,95,0.475932,0.000000,0.000000,0.000000,events/second
1606560118,95,0.468698,0.000000,0.000000,0.000000,events/second
1606560121,95,0.462035,0.000000,0.000000,0.000000,events/second
1606560124,95,0.455348,0.000000,0.000000,0.000000,events/second
1606560127,95,0.448880,0.000000,0.000000,0.000000,events/second
1606560130,95,0.442678,0.000000,0.000000,0.000000,events/second
1606560133,95,0.436544,0.000000,0.000000,0.000000,events/second
1606560136,95,0.430598,0.000000,0.000000,0.000000,events/second
1606560139,95,0.424701,0.000000,0.000000,0.000000,events/second
1606560142,95,0.419166,0.000000,0.000000,0.000000,events/second
1606560145,95,0.413700,0.000000,0.000000,0.000000,events/second
1606560148,95,0.408365,0.000000,0.000000,0.000000,events/second
1606560151,95,0.402706,0.000000,0.000000,0.000000,events/second
1606560154,95,0.398054,0.000000,0.000000,0.000000,events/second
1606560157,95,0.393105,0.000000,0.000000,0.000000,events/second
1606560160,95,0.388322,0.000000,0.000000,0.000000,events/second
1606560163,95,0.383567,0.000000,0.000000,0.000000,events/second
1606560166,95,0.379015,0.000000,0.000000,0.000000,events/second
1606560169,95,0.374571,0.000000,0.000000,0.000000,events/second
1606560172,95,0.369721,0.000000,0.000000,0.000000,events/second
1606560175,95,0.365898,0.000000,0.000000,0.000000,events/second
1606560178,95,0.361678,0.000000,0.000000,0.000000,events/second
1606560181,95,0.357664,0.000000,0.000000,0.000000,events/second
1606560184,95,0.353677,0.000000,0.000000,0.000000,events/second
1606560187,95,0.349780,0.000000,0.000000,0.000000,events/second
1606560190,95,0.345909,0.000000,0.000000,0.000000,events/second
1606560193,95,0.342201,0.000000,0.000000,0.000000,events/second
1606560196,95,0.338502,0.000000,0.000000,0.000000,events/second
1606560199,95,0.334945,0.000000,0.000000,0.000000,events/second
1606560202,95,0.331461,0.000000,0.000000,0.000000,events/second
1606560205,95,0.328005,0.000000,0.000000,0.000000,events/second
1606560208,95,0.324643,0.000000,0.000000,0.000000,events/second
1606560211,95,0.321332,0.000000,0.000000,0.000000,events/second
1606560214,95,0.318031,0.000000,0.000000,0.000000,events/second
1606560217,95,0.314161,0.000000,0.000000,0.000000,events/second
1606560220,95,0.311856,0.000000,0.000000,0.000000,events/second
1606560223,95,0.308343,0.000000,0.000000,0.000000,events/second
1606560226,95,0.305836,0.000000,0.000000,0.000000,events/second
1606560229,95,0.302921,0.000000,0.000000,0.000000,events/second
1606560232,95,0.300042,0.000000,0.000000,0.000000,events/second
1606560235,95,0.297237,0.000000,0.000000,0.000000,events/second
1606560238,95,0.294447,0.000000,0.000000,0.000000,events/second
1606560241,95,0.291738,0.000000,0.000000,0.000000,events/second
1606560244,95,0.289063,0.000000,0.000000,0.000000,events/second
1606560247,95,0.286462,0.000000,0.000000,0.000000,events/second
1606560250,95,0.283860,0.000000,0.000000,0.000000,events/second
1606560253,95,0.281393,0.000000,0.000000,0.000000,events/second
1606560256,95,0.278867,0.000000,0.000000,0.000000,events/second
1606560259,95,0.276463,0.000000,0.000000,0.000000,events/second
1606560262,95,0.274089,0.000000,0.000000,0.000000,events/second
1606560265,95,0.271705,0.000000,0.000000,0.000000,events/second
1606560268,95,0.269398,0.000000,0.000000,0.000000,events/second
1606560271,95,0.267124,0.000000,0.000000,0.000000,events/second
1606560274,95,0.264867,0.000000,0.000000,0.000000,events/second
1606560277,95,0.262626,0.000000,0.000000,0.000000,events/second
1606560280,95,0.260536,0.000000,0.000000,0.000000,events/second
1606560283,95,0.258404,0.000000,0.000000,0.000000,events/second
1606560286,95,0.256305,0.000000,0.000000,0.000000,events/second
1606560289,95,0.254258,0.000000,0.000000,0.000000,events/second
1606560292,95,0.252247,0.000000,0.000000,0.000000,events/second
1606560295,95,0.250242,0.000000,0.000000,0.000000,events/second
1606560298,95,0.248097,0.000000,0.000000,0.000000,events/second
1606560301,95,0.246277,0.000000,0.000000,0.000000,events/second
1606560304,95,0.244447,0.000000,0.000000,0.000000,events/second
1606560307,95,0.242552,0.000000,0.000000,0.000000,events/second
1606560310,95,0.240721,0.000000,0.000000,0.000000,events/second
1606560313,95,0.238920,0.000000,0.000000,0.000000,events/second
1606560316,95,0.237139,0.000000,0.000000,0.000000,events/second
1606560319,95,0.235341,0.000000,0.000000,0.000000,events/second
1606560322,95,0.233609,0.000000,0.000000,0.000000,events/second
1606560325,95,0.231923,0.000000,0.000000,0.000000,events/second
1606560328,95,0.230205,0.000000,0.000000,0.000000,events/second
1606560331,95,0.228562,0.000000,0.000000,0.000000,events/second
1606560334,95,0.226921,0.000000,0.000000,0.000000,events/second
1606560337,95,0.225108,0.000000,0.000000,0.000000,events/second
1606560340,95,0.223720,0.000000,0.000000,0.000000,events/second
1606560343,95,0.222102,0.000000,0.000000,0.000000,events/second
1606560346,95,0.220469,0.000000,0.000000,0.000000,events/second
1606560349,95,0.219076,0.000000,0.000000,0.000000,events/second
1606560352,95,0.217573,0.000000,0.000000,0.000000,events/second
1606560355,95,0.216048,0.000000,0.000000,0.000000,events/second
1606560358,95,0.214595,0.000000,0.000000,0.000000,events/second
1606560361,95,0.213193,0.000000,0.000000,0.000000,events/second
1606560364,95,0.211759,0.000000,0.000000,0.000000,events/second
1606560367,95,0.210355,0.000000,0.000000,0.000000,events/second
1606560370,95,0.208967,0.000000,0.000000,0.000000,events/second
1606560373,95,0.207595,0.000000,0.000000,0.000000,events/second
1606560376,95,0.206233,0.000000,0.000000,0.000000,events/second
1606560379,95,0.204912,0.000000,0.000000,0.000000,events/second
1606560389,95,0.199910,0.000000,0.000000,0.000000,events/second
1606560390,95,0.199709,0.000000,0.000000,0.000000,events/second
1606560391,95,0.199549,0.000000,0.000000,0.000000,events/second
1606560391,95,0.199457,0.000000,0.000000,0.000000,events/second
1606560394,95,0.198407,0.000000,0.000000,0.000000,events/second
1606560397,95,0.197258,0.000000,0.000000,0.000000,events/second
1606560400,95,0.196031,0.000000,0.000000,0.000000,events/second
1606560403,95,0.194835,0.000000,0.000000,0.000000,events/second
1606560406,95,0.193621,0.000000,0.000000,0.000000,events/second
1606560409,95,0.192450,0.000000,0.000000,0.000000,events/second
1606560412,95,0.191297,0.000000,0.000000,0.000000,events/second
1606560415,95,0.190139,0.000000,0.000000,0.000000,events/second
1606560418,95,0.188965,0.000000,0.000000,0.000000,events/second
1606560421,95,0.187860,0.000000,0.000000,0.000000,events/second
1606560424,95,0.186767,0.000000,0.000000,0.000000,events/second
1606560427,95,0.185676,0.000000,0.000000,0.000000,events/second
1606560430,95,0.184601,0.000000,0.000000,0.000000,events/second
1606560433,95,0.183538,0.000000,0.000000,0.000000,events/second
1606560436,95,0.182479,0.000000,0.000000,0.000000,events/second
1606560439,95,0.181435,0.000000,0.000000,0.000000,events/second
1606560442,95,0.180380,0.000000,0.000000,0.000000,events/second
1606560445,95,0.179380,0.000000,0.000000,0.000000,events/second
1606560448,95,0.178351,0.000000,0.000000,0.000000,events/second
1606560451,95,0.177370,0.000000,0.000000,0.000000,events/second
1606560454,95,0.176370,0.000000,0.000000,0.000000,events/second
1606560457,95,0.175401,0.000000,0.000000,0.000000,events/second
1606560460,95,0.174424,0.000000,0.000000,0.000000,events/second
1606560463,95,0.173484,0.000000,0.000000,0.000000,events/second
1606560466,95,0.172525,0.000000,0.000000,0.000000,events/second
1606560469,95,0.171595,0.000000,0.000000,0.000000,events/second
1606560472,95,0.170661,0.000000,0.000000,0.000000,events/second
1606560475,95,0.169758,0.000000,0.000000,0.000000,events/second
1606560478,95,0.168408,0.000000,0.000000,0.000000,events/second
1606560481,95,0.167957,0.000000,0.000000,0.000000,events/second
1606560484,95,0.167070,0.000000,0.000000,0.000000,events/second
1606560487,95,0.166194,0.000000,0.000000,0.000000,events/second
1606560490,95,0.165324,0.000000,0.000000,0.000000,events/second
1606560493,95,0.164467,0.000000,0.000000,0.000000,events/second
1606560496,95,0.163616,0.000000,0.000000,0.000000,events/second
1606560499,95,0.162776,0.000000,0.000000,0.000000,events/second
1606560502,95,0.161946,0.000000,0.000000,0.000000,events/second
1606560505,95,0.161111,0.000000,0.000000,0.000000,events/second
1606560508,95,0.160280,0.000000,0.000000,0.000000,events/second
1606560511,95,0.159490,0.000000,0.000000,0.000000,events/second
1606560514,95,0.158699,0.000000,0.000000,0.000000,events/second
