t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1606559974,45,0.620561,0.000000,0.000000,0.000000,events/second
1606559989,45,0.602973,0.000000,0.000000,0.000000,events/second
1606559990,45,0.599091,0.000000,0.000000,0.000000,events/second
1606559990,45,0.596803,0.000000,0.000000,0.000000,events/second
1606559991,45,0.594827,0.000000,0.000000,0.000000,events/second
1606559991,45,0.592776,0.000000,0.000000,0.000000,events/second
1606559992,45,0.585218,0.000000,0.000000,0.000000,events/second
1606559995,45,0.563126,0.000000,0.000000,0.000000,events/second
1606559998,45,0.543666,0.000000,0.000000,0.000000,events/second
1606560001,45,0.524706,0.000000,0.000000,0.000000,events/second
1606560004,45,0.507593,0.000000,0.000000,0.000000,events/second
1606560007,45,0.490859,0.000000,0.000000,0.000000,events/second
1606560010,45,0.473050,0.000000,0.000000,0.000000,events/second
1606560013,45,0.460358,0.000000,0.000000,0.000000,events/second
1606560016,45,0.445417,0.000000,0.000000,0.000000,events/second
1606560019,45,0.433965,0.000000,0.000000,0.000000,events/second
1606560022,45,0.416498,0.000000,0.000000,0.000000,events/second
1606560025,45,0.409559,0.000000,0.000000,0.000000,events/second
1606560028,45,0.399199,0.000000,0.000000,0.000000,events/second
1606560031,45,0.389075,0.000000,0.000000,0.000000,events/second
1606560034,45,0.379307,0.000000,0.000000,0.000000,events/second
1606560037,45,0.369964,0.000000,0.000000,0.000000,events/second
1606560040,45,0.360169,0.000000,0.000000,0.000000,events/second
1606560043,45,0.352518,0.000000,0.000000,0.000000,events/second
1606560046,45,0.344474,0.000000,0.000000,0.000000,events/second
1606560049,45,0.336560,0.000000,0.000000,0.000000,events/second
1606560052,45,0.328922,0.000000,0.000000,0.000000,events/second
1606560055,45,0.322279,0.000000,0.000000,0.000000,events/second
1606560058,45,0.315488,0.000000,0.000000,0.000000,events/second
1606560061,45,0.308957,0.000000,0.000000,0.000000,events/second
1606560064,45,0.302719,0.000000,0.000000,0.000000,events/second
1606560067,45,0.296795,0.000000,0.000000,0.000000,events/second
1606560070,45,0.290872,0.000000,0.000000,0.000000,events/second
1606560073,45,0.284929,0.000000,0.000000,0.000000,events/second
1606560076,45,0.279902,0.000000,0.000000,0.000000,events/second
1606560079,45,0.272024,0.000000,0.000000,0.000000,events/second
1606560082,45,0.270020,0.000000,0.000000,0.000000,events/second
1606560085,45,0.264896,0.000000,0.000000,0.000000,events/second
1606560088,45,0.259628,0.000000,0.000000,0.000000,events/second
1606560091,45,0.254496,0.000000,0.000000,0.000000,events/second
1606560094,45,0.251028,0.000000,0.000000,0.000000,events/second
1606560097,45,0.247657,0.000000,0.000000,0.000000,events/second
1606560100,45,0.243729,0.000000,0.000000,0.000000,events/second
