t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1606559974,46,0.634326,0.000000,0.000000,0.000000,events/second
1606559989,46,0.616378,0.000000,0.000000,0.000000,events/second
1606559990,46,0.612425,0.000000,0.000000,0.000000,events/second
1606559990,46,0.610086,0.000000,0.000000,0.000000,events/second
1606559991,46,0.608022,0.000000,0.000000,0.000000,events/second
1606559991,46,0.605970,0.000000,0.000000,0.000000,events/second
1606559992,46,0.598244,0.000000,0.000000,0.000000,events/second
1606559995,46,0.575645,0.000000,0.000000,0.000000,events/second
1606559998,46,0.555766,0.000000,0.000000,0.000000,events/second
1606560001,46,0.536381,0.000000,0.000000,0.000000,events/second
1606560004,46,0.518890,0.000000,0.000000,0.000000,events/second
1606560007,46,0.501778,0.000000,0.000000,0.000000,events/second
1606560010,46,0.483577,0.000000,0.000000,0.000000,events/second
1606560013,46,0.470597,0.000000,0.000000,0.000000,events/second
1606560016,46,0.455325,0.000000,0.000000,0.000000,events/second
1606560019,46,0.443623,0.000000,0.000000,0.000000,events/second
1606560022,46,0.425761,0.000000,0.000000,0.000000,events/second
1606560025,46,0.418668,0.000000,0.000000,0.000000,events/second
1606560028,46,0.408081,0.000000,0.000000,0.000000,events/second
1606560031,46,0.397731,0.000000,0.000000,0.000000,events/second
1606560034,46,0.387747,0.000000,0.000000,0.000000,events/second
1606560037,46,0.378195,0.000000,0.000000,0.000000,events/second
1606560040,46,0.368181,0.000000,0.000000,0.000000,events/second
1606560043,46,0.360360,0.000000,0.000000,0.000000,events/second
1606560046,46,0.352137,0.000000,0.000000,0.000000,events/second
1606560049,46,0.344047,0.000000,0.000000,0.000000,events/second
1606560052,46,0.336239,0.000000,0.000000,0.000000,events/second
1606560055,46,0.329448,0.000000,0.000000,0.000000,events/second
1606560058,46,0.322506,0.000000,0.000000,0.000000,events/second
1606560061,46,0.315830,0.000000,0.000000,0.000000,events/second
1606560064,46,0.309453,0.000000,0.000000,0.000000,events/second
1606560067,46,0.303397,0.000000,0.000000,0.000000,events/second
1606560070,46,0.297343,0.000000,0.000000,0.000000,events/second
1606560073,46,0.291266,0.000000,0.000000,0.000000,events/second
1606560076,46,0.286127,0.000000,0.000000,0.000000,events/second
1606560079,46,0.278075,0.000000,0.000000,0.000000,events/second
1606560082,46,0.276025,0.000000,0.000000,0.000000,events/second
1606560085,46,0.270788,0.000000,0.000000,0.000000,events/second
1606560088,46,0.265402,0.000000,0.000000,0.000000,events/second
1606560091,46,0.260155,0.000000,0.000000,0.000000,events/second
1606560094,46,0.256611,0.000000,0.000000,0.000000,events/second
1606560097,46,0.253164,0.000000,0.000000,0.000000,events/second
1606560100,46,0.249149,0.000000,0.000000,0.000000,events/second
1606560103,46,0.245181,0.000000,0.000000,0.000000,events/second
1606560106,46,0.241253,0.000000,0.000000,0.000000,events/second
1606560109,46,0.237572,0.000000,0.000000,0.000000,events/second
1606560112,46,0.233910,0.000000,0.000000,0.000000,events/second
