t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1606559974,2,0.027340,0.000000,0.000000,0.000000,events/second
1606559989,2,0.026796,0.000000,0.000000,0.000000,events/second
1606559990,2,0.026624,0.000000,0.000000,0.000000,events/second
1606559990,2,0.026522,0.000000,0.000000,0.000000,events/second
1606559991,2,0.026433,0.000000,0.000000,0.000000,events/second
1606559991,2,0.026344,0.000000,0.000000,0.000000,events/second
1606559992,2,0.026007,0.000000,0.000000,0.000000,events/second
1606559995,2,0.025025,0.000000,0.000000,0.000000,events/second
1606559998,2,0.024161,0.000000,0.000000,0.000000,events/second
1606560001,2,0.023319,0.000000,0.000000,0.000000,events/second
1606560004,2,0.022558,0.000000,0.000000,0.000000,events/second
1606560007,2,0.021814,0.000000,0.000000,0.000000,events/second
1606560010,2,0.021023,0.000000,0.000000,0.000000,events/second
1606560013,2,0.020459,0.000000,0.000000,0.000000,events/second
1606560016,2,0.019795,0.000000,0.000000,0.000000,events/second
1606560019,2,0.019286,0.000000,0.000000,0.000000,events/second
1606560022,2,0.018510,0.000000,0.000000,0.000000,events/second
1606560025,2,0.018202,0.000000,0.000000,0.000000,events/second
1606560028,2,0.017741,0.000000,0.000000,0.000000,events/second
1606560031,2,0.017291,0.000000,0.000000,0.000000,events/second
1606560034,2,0.016857,0.000000,0.000000,0.000000,events/second
1606560037,2,0.016442,0.000000,0.000000,0.000000,events/second
1606560040,2,0.016007,0.000000,0.000000,0.000000,events/second
1606560043,2,0.015667,0.000000,0.000000,0.000000,events/second
1606560046,2,0.015309,0.000000,0.000000,0.000000,events/second
1606560049,2,0.014958,0.000000,0.000000,0.000000,events/second
1606560052,2,0.014618,0.000000,0.000000,0.000000,events/second
1606560055,2,0.014323,0.000000,0.000000,0.000000,events/second
1606560058,2,0.014021,0.000000,0.000000,0.000000,events/second
1606560061,2,0.013731,0.000000,0.000000,0.000000,events/second
1606560064,2,0.013454,0.000000,0.000000,0.000000,events/second
1606560067,2,0.013190,0.000000,0.000000,0.000000,events/second
1606560070,2,0.012927,0.000000,0.000000,0.000000,events/second
1606560073,2,0.012663,0.000000,0.000000,0.000000,events/second
1606560076,2,0.012440,0.000000,0.000000,0.000000,events/second
1606560079,2,0.012090,0.000000,0.000000,0.000000,events/second
1606560082,2,0.012000,0.000000,0.000000,0.000000,events/second
1606560085,2,0.011773,0.000000,0.000000,0.000000,events/second
1606560088,2,0.011539,0.000000,0.000000,0.000000,events/second
1606560091,2,0.011311,0.000000,0.000000,0.000000,events/second
1606560094,2,0.011156,0.000000,0.000000,0.000000,events/second
1606560097,2,0.011007,0.000000,0.000000,0.000000,events/second
1606560100,2,0.010832,0.000000,0.000000,0.000000,events/second
1606560103,2,0.010660,0.000000,0.000000,0.000000,events/second
1606560106,2,0.010489,0.000000,0.000000,0.000000,events/second
1606560109,2,0.010329,0.000000,0.000000,0.000000,events/second
1606560112,2,0.010170,0.000000,0.000000,0.000000,events/second
1606560115,2,0.010019,0.000000,0.000000,0.000000,events/second
1606560118,2,0.009867,0.000000,0.000000,0.000000,events/second
1606560121,2,0.009727,0.000000,0.000000,0.000000,events/second
1606560124,2,0.009586,0.000000,0.000000,0.000000,events/second
1606560127,2,0.009450,0.000000,0.000000,0.000000,events/second
1606560130,2,0.009319,0.000000,0.000000,0.000000,events/second
1606560133,2,0.009190,0.000000,0.000000,0.000000,events/second
1606560136,2,0.009065,0.000000,0.000000,0.000000,events/second
1606560139,2,0.008941,0.000000,0.000000,0.000000,events/second
1606560142,2,0.008824,0.000000,0.000000,0.000000,events/second
1606560145,2,0.008709,0.000000,0.000000,0.000000,events/second
1606560148,2,0.008597,0.000000,0.000000,0.000000,events/second
1606560151,2,0.008478,0.000000,0.000000,0.000000,events/second
1606560154,2,0.008380,0.000000,0.000000,0.000000,events/second
1606560157,2,0.008276,0.000000,0.000000,0.000000,events/second
1606560160,2,0.008174,0.000000,0.000000,0.000000,events/second
1606560163,2,0.008075,0.000000,0.000000,0.000000,events/second
1606560166,2,0.007979,0.000000,0.000000,0.000000,events/second
1606560169,2,0.007886,0.000000,0.000000,0.000000,events/second
1606560172,2,0.007783,0.000000,0.000000,0.000000,events/second
1606560175,2,0.007703,0.000000,0.000000,0.000000,events/second
1606560178,2,0.007614,0.000000,0.000000,0.000000,events/second
1606560181,2,0.007530,0.000000,0.000000,0.000000,events/second
1606560184,2,0.007446,0.000000,0.000000,0.000000,events/second
1606560187,2,0.007364,0.000000,0.000000,0.000000,events/second
1606560190,2,0.007282,0.000000,0.000000,0.000000,events/second
1606560193,2,0.007204,0.000000,0.000000,0.000000,events/second
1606560196,2,0.007126,0.000000,0.000000,0.000000,events/second
1606560199,2,0.007051,0.000000,0.000000,0.000000,events/second
1606560202,2,0.006978,0.000000,0.000000,0.000000,events/second
1606560205,2,0.006905,0.000000,0.000000,0.000000,events/second
1606560208,2,0.006834,0.000000,0.000000,0.000000,events/second
1606560211,2,0.006765,0.000000,0.000000,0.000000,events/second
1606560214,2,0.006695,0.000000,0.000000,0.000000,events/second
1606560217,2,0.006614,0.000000,0.000000,0.000000,events/second
1606560220,2,0.006565,0.000000,0.000000,0.000000,events/second
1606560223,2,0.006491,0.000000,0.000000,0.000000,events/second
1606560226,2,0.006439,0.000000,0.000000,0.000000,events/second
1606560229,2,0.006377,0.000000,0.000000,0.000000,events/second
1606560232,2,0.006317,0.000000,0.000000,0.000000,events/second
1606560235,2,0.006258,0.000000,0.000000,0.000000,events/second
1606560238,2,0.006199,0.000000,0.000000,0.000000,events/second
1606560241,2,0.006142,0.000000,0.000000,0.000000,events/second
1606560244,2,0.006085,0.000000,0.000000,0.000000,events/second
1606560247,2,0.006031,0.000000,0.000000,0.000000,events/second
1606560250,2,0.005976,0.000000,0.000000,0.000000,events/second
1606560253,2,0.005924,0.000000,0.000000,0.000000,events/second
1606560256,2,0.005871,0.000000,0.000000,0.000000,events/second
1606560259,2,0.005820,0.000000,0.000000,0.000000,events/second
1606560262,2,0.005770,0.000000,0.000000,0.000000,events/second
1606560265,2,0.005720,0.000000,0.000000,0.000000,events/second
1606560268,2,0.005671,0.000000,0.000000,0.000000,events/second
1606560271,2,0.005624,0.000000,0.000000,0.000000,events/second
1606560274,2,0.005576,0.000000,0.000000,0.000000,events/second
1606560277,2,0.005529,0.000000,0.000000,0.000000,events/second
1606560280,2,0.005485,0.000000,0.000000,0.000000,events/second
1606560283,2,0.005440,0.000000,0.000000,0.000000,events/second
1606560286,2,0.005396,0.000000,0.000000,0.000000,events/second
1606560289,2,0.005353,0.000000,0.000000,0.000000,events/second
1606560292,2,0.005310,0.000000,0.000000,0.000000,events/second
1606560295,2,0.005268,0.000000,0.000000,0.000000,events/second
