t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1606559974,1,0.013616,0.000000,0.000000,0.000000,events/second
1606559989,1,0.013397,0.000000,0.000000,0.000000,events/second
1606559990,1,0.013313,0.000000,0.000000,0.000000,events/second
1606559990,1,0.013262,0.000000,0.000000,0.000000,events/second
1606559991,1,0.013217,0.000000,0.000000,0.000000,events/second
1606559991,1,0.013167,0.000000,0.000000,0.000000,events/second
1606559992,1,0.013004,0.000000,0.000000,0.000000,events/second
1606559995,1,0.012513,0.000000,0.000000,0.000000,events/second
1606559998,1,0.012081,0.000000,0.000000,0.000000,events/second
1606560001,1,0.011660,0.000000,0.000000,0.000000,events/second
1606560004,1,0.011280,0.000000,0.000000,0.000000,events/second
1606560007,1,0.010908,0.000000,0.000000,0.000000,events/second
1606560010,1,0.010512,0.000000,0.000000,0.000000,events/second
1606560013,1,0.010230,0.000000,0.000000,0.000000,events/second
1606560016,1,0.009898,0.000000,0.000000,0.000000,events/second
1606560019,1,0.009644,0.000000,0.000000,0.000000,events/second
1606560022,1,0.009255,0.000000,0.000000,0.000000,events/second
1606560025,1,0.009101,0.000000,0.000000,0.000000,events/second
1606560028,1,0.008871,0.000000,0.000000,0.000000,events/second
1606560031,1,0.008646,0.000000,0.000000,0.000000,events/second
1606560034,1,0.008429,0.000000,0.000000,0.000000,events/second
1606560037,1,0.008221,0.000000,0.000000,0.000000,events/second
1606560040,1,0.008004,0.000000,0.000000,0.000000,events/second
1606560043,1,0.007834,0.000000,0.000000,0.000000,events/second
1606560046,1,0.007655,0.000000,0.000000,0.000000,events/second
1606560049,1,0.007479,0.000000,0.000000,0.000000,events/second
1606560052,1,0.007309,0.000000,0.000000,0.000000,events/second
1606560055,1,0.007162,0.000000,0.000000,0.000000,events/second
1606560058,1,0.007011,0.000000,0.000000,0.000000,events/second
1606560061,1,0.006866,0.000000,0.000000,0.000000,events/second
1606560064,1,0.006727,0.000000,0.000000,0.000000,events/second
1606560067,1,0.006595,0.000000,0.000000,0.000000,events/second
1606560070,1,0.006464,0.000000,0.000000,0.000000,events/second
1606560073,1,0.006332,0.000000,0.000000,0.000000,events/second
1606560076,1,0.006220,0.000000,0.000000,0.000000,events/second
1606560079,1,0.006045,0.000000,0.000000,0.000000,events/second
1606560082,1,0.006000,0.000000,0.000000,0.000000,events/second
1606560085,1,0.005887,0.000000,0.000000,0.000000,events/second
1606560088,1,0.005769,0.000000,0.000000,0.000000,events/second
1606560091,1,0.005655,0.000000,0.000000,0.000000,events/second
1606560094,1,0.005578,0.000000,0.000000,0.000000,events/second
1606560097,1,0.005503,0.000000,0.000000,0.000000,events/second
1606560100,1,0.005416,0.000000,0.000000,0.000000,events/second
1606560103,1,0.005330,0.000000,0.000000,0.000000,events/second
1606560106,1,0.005245,0.000000,0.000000,0.000000,events/second
1606560109,1,0.005165,0.000000,0.000000,0.000000,events/second
1606560112,1,0.005085,0.000000,0.000000,0.000000,events/second
1606560115,1,0.005010,0.000000,0.000000,0.000000,events/second
1606560118,1,0.004934,0.000000,0.000000,0.000000,events/second
1606560121,1,0.004864,0.000000,0.000000,0.000000,events/second
1606560124,1,0.004793,0.000000,0.000000,0.000000,events/second
1606560127,1,0.004725,0.000000,0.000000,0.000000,events/second
