t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1606559974,141,1.913249,0.000000,0.000000,0.000000,events/second
1606559989,141,1.888772,0.000000,0.000000,0.000000,events/second
1606559990,141,1.876928,0.000000,0.000000,0.000000,events/second
1606559990,141,1.869727,0.000000,0.000000,0.000000,events/second
1606559991,141,1.863366,0.000000,0.000000,0.000000,events/second
1606559991,141,1.856311,0.000000,0.000000,0.000000,events/second
1606559992,141,1.833405,0.000000,0.000000,0.000000,events/second
1606559995,141,1.764149,0.000000,0.000000,0.000000,events/second
1606559998,141,1.703318,0.000000,0.000000,0.000000,events/second
1606560001,141,1.643885,0.000000,0.000000,0.000000,events/second
1606560004,141,1.590331,0.000000,0.000000,0.000000,events/second
1606560007,141,1.537853,0.000000,0.000000,0.000000,events/second
1606560010,141,1.482103,0.000000,0.000000,0.000000,events/second
1606560013,141,1.442270,0.000000,0.000000,0.000000,events/second
1606560016,141,1.395174,0.000000,0.000000,0.000000,events/second
1606560019,141,1.359672,0.000000,0.000000,0.000000,events/second
1606560022,141,1.304876,0.000000,0.000000,0.000000,events/second
1606560025,141,1.283177,0.000000,0.000000,0.000000,events/second
1606560028,141,1.250733,0.000000,0.000000,0.000000,events/second
1606560031,141,1.219019,0.000000,0.000000,0.000000,events/second
1606560034,141,1.188421,0.000000,0.000000,0.000000,events/second
1606560037,141,1.159155,0.000000,0.000000,0.000000,events/second
1606560040,141,1.128461,0.000000,0.000000,0.000000,events/second
1606560043,141,1.104495,0.000000,0.000000,0.000000,events/second
1606560046,141,1.079290,0.000000,0.000000,0.000000,events/second
1606560049,141,1.054494,0.000000,0.000000,0.000000,events/second
1606560052,141,1.030569,0.000000,0.000000,0.000000,events/second
1606560055,141,1.009752,0.000000,0.000000,0.000000,events/second
1606560058,141,0.988482,0.000000,0.000000,0.000000,events/second
1606560061,141,0.968022,0.000000,0.000000,0.000000,events/second
1606560064,141,0.948479,0.000000,0.000000,0.000000,events/second
1606560067,141,0.929917,0.000000,0.000000,0.000000,events/second
1606560070,141,0.911361,0.000000,0.000000,0.000000,events/second
1606560073,141,0.892728,0.000000,0.000000,0.000000,events/second
1606560076,141,0.876983,0.000000,0.000000,0.000000,events/second
1606560079,141,0.852310,0.000000,0.000000,0.000000,events/second
1606560082,141,0.846021,0.000000,0.000000,0.000000,events/second
1606560085,141,0.829969,0.000000,0.000000,0.000000,events/second
1606560088,141,0.813462,0.000000,0.000000,0.000000,events/second
1606560091,141,0.797383,0.000000,0.000000,0.000000,events/second
1606560094,141,0.786517,0.000000,0.000000,0.000000,events/second
1606560097,141,0.775955,0.000000,0.000000,0.000000,events/second
1606560100,141,0.763653,0.000000,0.000000,0.000000,events/second
1606560103,141,0.751492,0.000000,0.000000,0.000000,events/second
1606560106,141,0.739452,0.000000,0.000000,0.000000,events/second
1606560109,141,0.728174,0.000000,0.000000,0.000000,events/second
1606560112,141,0.716949,0.000000,0.000000,0.000000,events/second
1606560115,141,0.706355,0.000000,0.000000,0.000000,events/second
1606560118,141,0.695622,0.000000,0.000000,0.000000,events/second
1606560121,141,0.685736,0.000000,0.000000,0.000000,events/second
1606560124,141,0.675807,0.000000,0.000000,0.000000,events/second
1606560127,141,0.666211,0.000000,0.000000,0.000000,events/second
1606560130,141,0.657002,0.000000,0.000000,0.000000,events/second
1606560133,141,0.647902,0.000000,0.000000,0.000000,events/second
1606560136,141,0.639080,0.000000,0.000000,0.000000,events/second
1606560139,141,0.630327,0.000000,0.000000,0.000000,events/second
1606560142,141,0.622113,0.000000,0.000000,0.000000,events/second
1606560145,141,0.613996,0.000000,0.000000,0.000000,events/second
1606560148,141,0.606083,0.000000,0.000000,0.000000,events/second
1606560151,141,0.597671,0.000000,0.000000,0.000000,events/second
1606560154,141,0.590777,0.000000,0.000000,0.000000,events/second
1606560157,141,0.583435,0.000000,0.000000,0.000000,events/second
1606560160,141,0.576292,0.000000,0.000000,0.000000,events/second
1606560163,141,0.569275,0.000000,0.000000,0.000000,events/second
1606560166,141,0.562522,0.000000,0.000000,0.000000,events/second
1606560169,141,0.555928,0.000000,0.000000,0.000000,events/second
1606560172,141,0.548726,0.000000,0.000000,0.000000,events/second
1606560175,141,0.543051,0.000000,0.000000,0.000000,events/second
1606560178,141,0.536783,0.000000,0.000000,0.000000,events/second
1606560181,141,0.530834,0.000000,0.000000,0.000000,events/second
1606560184,141,0.524917,0.000000,0.000000,0.000000,events/second
1606560187,141,0.519135,0.000000,0.000000,0.000000,events/second
1606560190,141,0.513388,0.000000,0.000000,0.000000,events/second
1606560193,141,0.507886,0.000000,0.000000,0.000000,events/second
1606560196,141,0.502397,0.000000,0.000000,0.000000,events/second
1606560199,141,0.497118,0.000000,0.000000,0.000000,events/second
1606560202,141,0.491947,0.000000,0.000000,0.000000,events/second
1606560205,141,0.486815,0.000000,0.000000,0.000000,events/second
1606560208,141,0.481828,0.000000,0.000000,0.000000,events/second
1606560211,141,0.476911,0.000000,0.000000,0.000000,events/second
1606560214,141,0.472013,0.000000,0.000000,0.000000,events/second
1606560217,141,0.466270,0.000000,0.000000,0.000000,events/second
1606560220,141,0.462848,0.000000,0.000000,0.000000,events/second
1606560223,141,0.457637,0.000000,0.000000,0.000000,events/second
1606560226,141,0.453916,0.000000,0.000000,0.000000,events/second
1606560229,141,0.449588,0.000000,0.000000,0.000000,events/second
1606560232,141,0.445313,0.000000,0.000000,0.000000,events/second
1606560235,141,0.441151,0.000000,0.000000,0.000000,events/second
1606560238,141,0.437013,0.000000,0.000000,0.000000,events/second
1606560241,141,0.432992,0.000000,0.000000,0.000000,events/second
1606560244,141,0.429020,0.000000,0.000000,0.000000,events/second
1606560247,141,0.425161,0.000000,0.000000,0.000000,events/second
1606560250,141,0.421298,0.000000,0.000000,0.000000,events/second
1606560253,141,0.417638,0.000000,0.000000,0.000000,events/second
1606560256,141,0.413889,0.000000,0.000000,0.000000,events/second
1606560259,141,0.410321,0.000000,0.000000,0.000000,events/second
1606560262,141,0.406797,0.000000,0.000000,0.000000,events/second
1606560265,141,0.403260,0.000000,0.000000,0.000000,events/second
1606560268,141,0.399835,0.000000,0.000000,0.000000,events/second
1606560271,141,0.396460,0.000000,0.000000,0.000000,events/second
1606560274,141,0.393111,0.000000,0.000000,0.000000,events/second
1606560277,141,0.389786,0.000000,0.000000,0.000000,events/second
1606560280,141,0.386683,0.000000,0.000000,0.000000,events/second
1606560283,141,0.383519,0.000000,0.000000,0.000000,events/second
1606560286,141,0.380404,0.000000,0.000000,0.000000,events/second
1606560289,141,0.377364,0.000000,0.000000,0.000000,events/second
1606560292,141,0.374380,0.000000,0.000000,0.000000,events/second
1606560295,141,0.371405,0.000000,0.000000,0.000000,events/second
1606560298,141,0.368217,0.000000,0.000000,0.000000,events/second
1606560301,141,0.365519,0.000000,0.000000,0.000000,events/second
1606560304,141,0.362804,0.000000,0.000000,0.000000,events/second
1606560307,141,0.359991,0.000000,0.000000,0.000000,events/second
1606560310,141,0.357274,0.000000,0.000000,0.000000,events/second
1606560313,141,0.354602,0.000000,0.000000,0.000000,events/second
1606560316,141,0.351958,0.000000,0.000000,0.000000,events/second
1606560319,141,0.349291,0.000000,0.000000,0.000000,events/second
1606560322,141,0.346718,0.000000,0.000000,0.000000,events/second
1606560325,141,0.344217,0.000000,0.000000,0.000000,events/second
1606560328,141,0.341667,0.000000,0.000000,0.000000,events/second
1606560331,141,0.339228,0.000000,0.000000,0.000000,events/second
1606560334,141,0.336794,0.000000,0.000000,0.000000,events/second
1606560337,141,0.334103,0.000000,0.000000,0.000000,events/second
1606560340,141,0.332041,0.000000,0.000000,0.000000,events/second
1606560343,141,0.329642,0.000000,0.000000,0.000000,events/second
1606560346,141,0.327218,0.000000,0.000000,0.000000,events/second
1606560349,141,0.325149,0.000000,0.000000,0.000000,events/second
1606560352,141,0.322920,0.000000,0.000000,0.000000,events/second
1606560355,141,0.320656,0.000000,0.000000,0.000000,events/second
1606560358,141,0.318499,0.000000,0.000000,0.000000,events/second
1606560361,141,0.316419,0.000000,0.000000,0.000000,events/second
1606560364,141,0.314290,0.000000,0.000000,0.000000,events/second
1606560367,141,0.312206,0.000000,0.000000,0.000000,events/second
1606560370,141,0.310147,0.000000,0.000000,0.000000,events/second
1606560373,141,0.308110,0.000000,0.000000,0.000000,events/second
1606560376,141,0.306089,0.000000,0.000000,0.000000,events/second
1606560379,141,0.304129,0.000000,0.000000,0.000000,events/second
1606560389,141,0.296705,0.000000,0.000000,0.000000,events/second
1606560390,141,0.296406,0.000000,0.000000,0.000000,events/second
1606560391,141,0.296168,0.000000,0.000000,0.000000,events/second
1606560391,141,0.296032,0.000000,0.000000,0.000000,events/second
1606560394,141,0.294473,0.000000,0.000000,0.000000,events/second
1606560397,141,0.292768,0.000000,0.000000,0.000000,events/second
1606560400,141,0.290947,0.000000,0.000000,0.000000,events/second
1606560403,141,0.289172,0.000000,0.000000,0.000000,events/second
1606560406,141,0.287371,0.000000,0.000000,0.000000,events/second
1606560409,141,0.285632,0.000000,0.000000,0.000000,events/second
1606560412,141,0.283922,0.000000,0.000000,0.000000,events/second
1606560415,141,0.282203,0.000000,0.000000,0.000000,events/second
1606560418,141,0.280460,0.000000,0.000000,0.000000,events/second
1606560421,141,0.278819,0.000000,0.000000,0.000000,events/second
1606560424,141,0.277197,0.000000,0.000000,0.000000,events/second
1606560427,141,0.275578,0.000000,0.000000,0.000000,events/second
1606560430,141,0.273983,0.000000,0.000000,0.000000,events/second
1606560433,141,0.272404,0.000000,0.000000,0.000000,events/second
1606560436,141,0.270833,0.000000,0.000000,0.000000,events/second
1606560439,141,0.269284,0.000000,0.000000,0.000000,events/second
1606560442,141,0.267718,0.000000,0.000000,0.000000,events/second
1606560445,141,0.266234,0.000000,0.000000,0.000000,events/second
1606560448,141,0.264707,0.000000,0.000000,0.000000,events/second
1606560451,141,0.263251,0.000000,0.000000,0.000000,events/second
1606560454,141,0.261767,0.000000,0.000000,0.000000,events/second
1606560457,141,0.260327,0.000000,0.000000,0.000000,events/second
1606560460,141,0.258879,0.000000,0.000000,0.000000,events/second
1606560463,141,0.257484,0.000000,0.000000,0.000000,events/second
1606560466,141,0.256060,0.000000,0.000000,0.000000,events/second
1606560469,141,0.254680,0.000000,0.000000,0.000000,events/second
1606560472,141,0.253294,0.000000,0.000000,0.000000,events/second
1606560475,141,0.251954,0.000000,0.000000,0.000000,events/second
1606560478,141,0.249950,0.000000,0.000000,0.000000,events/second
1606560481,141,0.249281,0.000000,0.000000,0.000000,events/second
1606560484,141,0.247964,0.000000,0.000000,0.000000,events/second
1606560487,141,0.246665,0.000000,0.000000,0.000000,events/second
1606560490,141,0.245373,0.000000,0.000000,0.000000,events/second
1606560493,141,0.244100,0.000000,0.000000,0.000000,events/second
1606560496,141,0.242837,0.000000,0.000000,0.000000,events/second
1606560499,141,0.241592,0.000000,0.000000,0.000000,events/second
1606560502,141,0.240360,0.000000,0.000000,0.000000,events/second
1606560505,141,0.239119,0.000000,0.000000,0.000000,events/second
1606560508,141,0.237886,0.000000,0.000000,0.000000,events/second
1606560511,141,0.236714,0.000000,0.000000,0.000000,events/second
1606560514,141,0.235540,0.000000,0.000000,0.000000,events/second
1606560517,141,0.234372,0.000000,0.000000,0.000000,events/second
1606560520,141,0.233187,0.000000,0.000000,0.000000,events/second
1606560523,141,0.232061,0.000000,0.000000,0.000000,events/second
1606560526,141,0.230910,0.000000,0.000000,0.000000,events/second
1606560529,141,0.229779,0.000000,0.000000,0.000000,events/second
1606560532,141,0.228656,0.000000,0.000000,0.000000,events/second
1606560535,141,0.227510,0.000000,0.000000,0.000000,events/second
1606560538,141,0.226453,0.000000,0.000000,0.000000,events/second
1606560541,141,0.225368,0.000000,0.000000,0.000000,events/second
1606560544,141,0.224303,0.000000,0.000000,0.000000,events/second
1606560547,141,0.223226,0.000000,0.000000,0.000000,events/second
1606560550,141,0.222173,0.000000,0.000000,0.000000,events/second
1606560553,141,0.221136,0.000000,0.000000,0.000000,events/second
1606560556,141,0.220092,0.000000,0.000000,0.000000,events/second
1606560559,141,0.219069,0.000000,0.000000,0.000000,events/second
1606560562,141,0.218048,0.000000,0.000000,0.000000,events/second
1606560565,141,0.217047,0.000000,0.000000,0.000000,events/second
1606560568,141,0.216046,0.000000,0.000000,0.000000,events/second
1606560571,141,0.215069,0.000000,0.000000,0.000000,events/second
1606560574,141,0.214086,0.000000,0.000000,0.000000,events/second
1606560577,141,0.213120,0.000000,0.000000,0.000000,events/second
1606560580,141,0.212151,0.000000,0.000000,0.000000,events/second
1606560583,141,0.211197,0.000000,0.000000,0.000000,events/second
1606560586,141,0.210142,0.000000,0.000000,0.000000,events/second
1606560589,141,0.209241,0.000000,0.000000,0.000000,events/second
1606560592,141,0.208375,0.000000,0.000000,0.000000,events/second
1606560595,141,0.207465,0.000000,0.000000,0.000000,events/second
1606560598,141,0.206551,0.000000,0.000000,0.000000,events/second
1606560601,141,0.205653,0.000000,0.000000,0.000000,events/second
1606560604,141,0.204763,0.000000,0.000000,0.000000,events/second
1606560607,141,0.203821,0.000000,0.000000,0.000000,events/second
1606560610,141,0.202708,0.000000,0.000000,0.000000,events/second
1606560613,141,0.202083,0.000000,0.000000,0.000000,events/second
1606560616,141,0.201125,0.000000,0.000000,0.000000,events/second
1606560619,141,0.200150,0.000000,0.000000,0.000000,events/second
1606560622,141,0.199392,0.000000,0.000000,0.000000,events/second
1606560625,141,0.198681,0.000000,0.000000,0.000000,events/second
1606560628,141,0.197853,0.000000,0.000000,0.000000,events/second
1606560631,141,0.197031,0.000000,0.000000,0.000000,events/second
1606560634,141,0.196208,0.000000,0.000000,0.000000,events/second
1606560637,141,0.195381,0.000000,0.000000,0.000000,events/second
1606560640,141,0.194584,0.000000,0.000000,0.000000,events/second
1606560643,141,0.193786,0.000000,0.000000,0.000000,events/second
