t,value
1606559974,-1
1606559989,-1
1606559990,-1
1606559990,-1
1606559991,-1
1606559991,-1
1606559992,-1
1606559995,-1
1606559998,-1
1606560001,-1
1606560004,-1
1606560007,-1
1606560010,-1
1606560013,-1
1606560016,-1
1606560019,-1
1606560022,-1
1606560025,-1
1606560028,-1
1606560031,-1
1606560034,-1
1606560037,-1
1606560040,-1
1606560043,-1
1606560046,-1
1606560049,-1
1606560052,-1
1606560055,-1
1606560058,-1
1606560061,-1
1606560064,-1
1606560067,-1
1606560070,-1
1606560073,-1
1606560076,-1
1606560079,-1
1606560082,-1
1606560085,-1
1606560088,-1
1606560091,-1
1606560094,-1
1606560097,-1
1606560100,-1
1606560103,-1
1606560106,-1
1606560109,-1
1606560112,-1
1606560115,-1
1606560118,-1
1606560121,-1
1606560124,-1
1606560127,-1
1606560130,-1
1606560133,-1
1606560136,-1
1606560139,-1
1606560142,-1
1606560145,-1
1606560148,-1
1606560151,-1
1606560154,-1
1606560157,-1
1606560160,-1
1606560163,-1
1606560166,-1
1606560169,-1
1606560172,-1
1606560175,-1
1606560178,-1
1606560181,-1
1606560184,-1
1606560187,-1
1606560190,-1
1606560193,-1
1606560196,-1
1606560199,-1
1606560202,-1
1606560205,-1
1606560208,-1
1606560211,-1
1606560214,-1
1606560217,-1
1606560220,-1
1606560223,-1
1606560226,-1
1606560229,-1
1606560232,-1
1606560235,-1
1606560238,-1
1606560241,-1
1606560244,-1
1606560247,-1
1606560250,-1
1606560253,-1
1606560256,-1
1606560259,-1
1606560262,-1
1606560265,-1
1606560268,-1
1606560271,-1
1606560274,-1
1606560277,-1
1606560280,-1
1606560283,-1
1606560286,-1
1606560289,-1
1606560292,-1
1606560295,-1
1606560298,-1
1606560301,-1
1606560304,-1
1606560307,-1
1606560310,-1
1606560313,-1
1606560316,-1
1606560319,-1
1606560322,-1
1606560325,-1
1606560328,-1
1606560331,-1
1606560334,-1
1606560337,-1
1606560340,-1
1606560343,-1
1606560346,-1
1606560349,-1
1606560352,-1
1606560355,-1
1606560358,-1
1606560361,-1
1606560364,-1
1606560367,-1
1606560370,-1
1606560373,-1
1606560376,-1
1606560379,-1
1606560389,-1
1606560390,-1
1606560391,-1
1606560391,-1
1606560394,-1
1606560397,-1
1606560400,-1
1606560403,-1
1606560406,-1
1606560409,-1
1606560412,-1
1606560415,-1
1606560418,-1
1606560421,-1
1606560424,-1
1606560427,-1
1606560430,-1
1606560433,-1
1606560436,-1
1606560439,-1
1606560442,-1
1606560445,-1
1606560448,-1
1606560451,-1
1606560454,-1
1606560457,-1
1606560460,-1
1606560463,-1
1606560466,-1
1606560469,-1
1606560472,-1
1606560475,-1
1606560478,-1
1606560481,-1
1606560484,-1
1606560487,-1
1606560490,-1
1606560493,-1
1606560496,-1
1606560499,-1
1606560502,-1
1606560505,-1
1606560508,-1
1606560511,-1
1606560514,-1
1606560517,-1
1606560520,-1
1606560523,-1
1606560526,-1
1606560529,-1
1606560532,-1
1606560535,-1
1606560538,-1
1606560541,-1
1606560544,-1
1606560547,-1
1606560550,-1
1606560553,-1
1606560556,-1
1606560559,-1
1606560562,-1
1606560565,-1
1606560568,-1
1606560571,-1
1606560574,-1
1606560577,-1
1606560580,-1
1606560583,-1
1606560586,-1
1606560589,-1
1606560592,-1
1606560595,-1
1606560598,-1
1606560601,-1
1606560604,-1
1606560607,-1
1606560610,-1
1606560613,-1
1606560616,-1
1606560619,-1
1606560622,-1
1606560625,-1
1606560628,-1
1606560631,-1
1606560634,-1
1606560637,-1
1606560640,-1
1606560643,-1
1606560646,-1
1606560649,-1
1606560652,-1
1606560655,-1
1606560658,-1
1606560661,-1
1606560664,-1
1606560667,-1
1606560670,-1
1606560673,-1
1606560676,-1
1606560679,-1
1606560682,-1
1606560685,-1
1606560688,-1
1606560691,-1
1606560694,-1
1606560697,-1
1606560700,-1
1606560703,-1
1606560706,-1
1606560709,-1
1606560712,-1
1606560715,-1
1606560718,-1
1606560721,-1
1606560724,-1
1606560727,-1
1606560730,-1
1606560733,-1
1606560736,-1
1606560739,-1
1606560742,-1
1606560745,-1
1606560748,-1
1606560751,-1
1606560754,-1
1606560757,-1
1606560760,-1
1606560763,-1
1606560766,-1
1606560769,-1
1606560772,-1
1606560775,-1
1606560778,-1
1606560781,-1
1606560784,-1
1606560787,-1
1606560790,-1
1606560793,-1
1606560796,-1
1606560799,-1
1606560802,-1
1606560805,-1
1606560808,-1
1606560811,-1
1606560814,-1
1606560817,-1
1606560820,-1
1606560823,-1
1606560826,-1
1606560829,-1
1606560832,-1
1606560835,-1
1606560838,-1
1606560841,-1
1606560844,-1
1606560847,-1
1606560850,-1
1606560853,-1
1606560856,-1
1606560859,-1
1606560862,-1
1606560865,-1
1606560868,-1
1606560871,-1
1606560874,-1
1606560877,-1
1606560880,-1
1606560883,-1
1606560886,-1
1606560889,-1
1606560892,-1
1606560895,-1
1606560898,-1
1606560901,-1
1606560904,-1
1606560907,-1
1606560910,-1
1606560913,-1
1606560916,-1
1606560919,-1
1606560922,-1
1606560925,-1
1606560928,-1
1606560931,-1
1606560934,-1
1606560937,-1
1606560940,-1
1606560943,-1
1606560946,-1
1606560949,-1
1606560952,-1
1606560955,-1
1606560958,-1
1606560961,-1
1606560964,-1
1606560967,-1
1606560970,-1
1606560973,-1
1606560976,-1
1606560979,-1
1606560982,-1
1606560985,-1
1606560988,-1
1606560991,-1
1606560994,-1
1606560997,-1
1606561000,-1
1606561003,-1
1606561006,-1
1606561009,-1
1606561012,-1
1606561015,-1
1606561018,-1
1606561021,-1
1606561024,-1
1606561027,-1
1606561030,-1
1606561033,-1
1606561036,-1
1606561039,-1
1606561042,-1
1606561045,-1
1606561048,-1
1606561051,-1
1606561054,-1
1606561057,-1
1606561060,-1
1606561063,-1
1606561066,-1
1606561069,-1
1606561072,-1
1606561075,-1
1606561078,-1
1606561081,-1
1606561084,-1
1606561087,-1
1606561090,-1
1606561093,-1
1606561096,-1
1606561099,-1
1606561102,-1
1606561105,-1
1606561108,-1
1606561111,-1
1606561114,-1
1606561117,-1
1606561120,-1
1606561123,-1
1606561129,-1
1606561135,-1
1606561142,-1
1606561144,-1
1606561146,-1
1606561148,-1
1606561151,-1
1606561154,-1
1606561154,-1
1606561155,-1
1606561158,-1
1606561159,-1
1606561173,-1
