t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1606559974,10,0.557367,0.000000,0.000000,0.000000,events/second
1606559989,11,0.583808,0.000000,0.000000,0.000000,events/second
1606559990,11,0.570473,0.000000,0.000000,0.000000,events/second
1606559990,11,0.562023,0.000000,0.000000,0.000000,events/second
1606559991,11,0.554753,0.000000,0.000000,0.000000,events/second
1606559991,11,0.546772,0.000000,0.000000,0.000000,events/second
1606559992,11,0.521923,0.000000,0.000000,0.000000,events/second
1606559995,11,0.456700,0.000000,0.000000,0.000000,events/second
1606559998,11,0.408317,0.000000,0.000000,0.000000,events/second
1606560001,11,0.367322,0.000000,0.000000,0.000000,events/second
1606560004,11,0.335176,0.000000,0.000000,0.000000,events/second
1606560007,11,0.306861,0.000000,0.000000,0.000000,events/second
1606560010,11,0.279944,0.000000,0.000000,0.000000,events/second
1606560013,11,0.262396,0.000000,0.000000,0.000000,events/second
1606560016,11,0.243207,0.000000,0.000000,0.000000,events/second
1606560019,11,0.229841,0.000000,0.000000,0.000000,events/second
1606560022,11,0.210667,0.000000,0.000000,0.000000,events/second
1606560025,11,0.203548,0.000000,0.000000,0.000000,events/second
1606560028,11,0.193346,0.000000,0.000000,0.000000,events/second
1606560031,11,0.183869,0.000000,0.000000,0.000000,events/second
1606560034,11,0.175152,0.000000,0.000000,0.000000,events/second
1606560037,11,0.167177,0.000000,0.000000,0.000000,events/second
1606560040,11,0.159169,0.000000,0.000000,0.000000,events/second
1606560043,11,0.153165,0.000000,0.000000,0.000000,events/second
1606560046,11,0.147060,0.000000,0.000000,0.000000,events/second
1606560049,11,0.141258,0.000000,0.000000,0.000000,events/second
1606560052,11,0.135844,0.000000,0.000000,0.000000,events/second
1606560055,11,0.131270,0.000000,0.000000,0.000000,events/second
1606560058,11,0.126727,0.000000,0.000000,0.000000,events/second
1606560061,11,0.122473,0.000000,0.000000,0.000000,events/second
1606560064,11,0.118513,0.000000,0.000000,0.000000,events/second
1606560067,11,0.114838,0.000000,0.000000,0.000000,events/second
1606560070,11,0.111255,0.000000,0.000000,0.000000,events/second
1606560073,11,0.107734,0.000000,0.000000,0.000000,events/second
