t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1606559974,174,9.650232,0.000000,0.000000,0.000000,events/second
1606559989,174,9.204348,0.000000,0.000000,0.000000,events/second
1606559990,174,9.022559,0.000000,0.000000,0.000000,events/second
1606559990,174,8.889278,0.000000,0.000000,0.000000,events/second
1606559991,174,8.774274,0.000000,0.000000,0.000000,events/second
1606559991,174,8.648083,0.000000,0.000000,0.000000,events/second
1606559992,174,8.255111,0.000000,0.000000,0.000000,events/second
1606559995,174,7.216119,0.000000,0.000000,0.000000,events/second
1606559998,174,6.454908,0.000000,0.000000,0.000000,events/second
1606560001,174,5.809196,0.000000,0.000000,0.000000,events/second
1606560004,174,5.301658,0.000000,0.000000,0.000000,events/second
1606560007,174,4.853641,0.000000,0.000000,0.000000,events/second
1606560010,174,4.428015,0.000000,0.000000,0.000000,events/second
1606560013,174,4.150445,0.000000,0.000000,0.000000,events/second
1606560016,174,3.846891,0.000000,0.000000,0.000000,events/second
1606560019,174,3.635559,0.000000,0.000000,0.000000,events/second
1606560022,174,3.332254,0.000000,0.000000,0.000000,events/second
1606560025,174,3.219682,0.000000,0.000000,0.000000,events/second
1606560028,174,3.058300,0.000000,0.000000,0.000000,events/second
1606560031,174,2.908395,0.000000,0.000000,0.000000,events/second
1606560034,174,2.770533,0.000000,0.000000,0.000000,events/second
1606560037,174,2.644379,0.000000,0.000000,0.000000,events/second
1606560040,174,2.517684,0.000000,0.000000,0.000000,events/second
1606560043,174,2.422753,0.000000,0.000000,0.000000,events/second
1606560046,174,2.326169,0.000000,0.000000,0.000000,events/second
1606560049,174,2.234397,0.000000,0.000000,0.000000,events/second
1606560052,174,2.148766,0.000000,0.000000,0.000000,events/second
1606560055,174,2.076417,0.000000,0.000000,0.000000,events/second
1606560058,174,2.004567,0.000000,0.000000,0.000000,events/second
1606560061,174,1.937280,0.000000,0.000000,0.000000,events/second
1606560064,174,1.874638,0.000000,0.000000,0.000000,events/second
1606560067,174,1.816487,0.000000,0.000000,0.000000,events/second
1606560070,174,1.759836,0.000000,0.000000,0.000000,events/second
1606560073,174,1.704128,0.000000,0.000000,0.000000,events/second
1606560076,174,1.658121,0.000000,0.000000,0.000000,events/second
1606560079,174,1.587682,0.000000,0.000000,0.000000,events/second
1606560082,174,1.570075,0.000000,0.000000,0.000000,events/second
1606560085,174,1.525697,0.000000,0.000000,0.000000,events/second
1606560088,174,1.480931,0.000000,0.000000,0.000000,events/second
1606560091,174,1.438130,0.000000,0.000000,0.000000,events/second
1606560094,174,1.409693,0.000000,0.000000,0.000000,events/second
1606560097,174,1.382363,0.000000,0.000000,0.000000,events/second
1606560100,174,1.350955,0.000000,0.000000,0.000000,events/second
1606560103,174,1.320327,0.000000,0.000000,0.000000,events/second
1606560106,174,1.290407,0.000000,0.000000,0.000000,events/second
1606560109,174,1.262756,0.000000,0.000000,0.000000,events/second
1606560112,174,1.235567,0.000000,0.000000,0.000000,events/second
1606560115,174,1.210195,0.000000,0.000000,0.000000,events/second
1606560118,174,1.184841,0.000000,0.000000,0.000000,events/second
1606560121,174,1.161723,0.000000,0.000000,0.000000,events/second
1606560124,174,1.138747,0.000000,0.000000,0.000000,events/second
