t,value
1606559974,1073741824
1606559989,1073741824
1606559990,1073741824
1606559990,1073741824
1606559991,1073741824
1606559991,1073741824
1606559992,1073741824
1606559995,1073741824
1606559998,1073741824
1606560001,1073741824
1606560004,1073741824
1606560007,1073741824
1606560010,1073741824
1606560013,1073741824
1606560016,1073741824
1606560019,1073741824
1606560022,1073741824
1606560025,1073741824
1606560028,1073741824
1606560031,1073741824
1606560034,1073741824
1606560037,1073741824
1606560040,1073741824
1606560043,1073741824
1606560046,1073741824
1606560049,1073741824
1606560052,1073741824
1606560055,1073741824
1606560058,1073741824
1606560061,1073741824
1606560064,1073741824
1606560067,1073741824
1606560070,1073741824
1606560073,1073741824
1606560076,1073741824
1606560079,1073741824
1606560082,1073741824
1606560085,1073741824
1606560088,1073741824
1606560091,1073741824
1606560094,1073741824
1606560097,1073741824
1606560100,1073741824
1606560103,1073741824
1606560106,1073741824
1606560109,1073741824
1606560112,1073741824
1606560115,1073741824
1606560118,1073741824
1606560121,1073741824
1606560124,1073741824
1606560127,1073741824
1606560130,1073741824
1606560133,1073741824
1606560136,1073741824
1606560139,1073741824
1606560142,1073741824
1606560145,1073741824
1606560148,1073741824
1606560151,1073741824
1606560154,1073741824
1606560157,1073741824
1606560160,1073741824
1606560163,1073741824
1606560166,1073741824
1606560169,1073741824
1606560172,1073741824
1606560175,1073741824
1606560178,1073741824
1606560181,1073741824
1606560184,1073741824
1606560187,1073741824
1606560190,1073741824
1606560193,1073741824
1606560196,1073741824
1606560199,1073741824
1606560202,1073741824
1606560205,1073741824
1606560208,1073741824
1606560211,1073741824
1606560214,1073741824
1606560217,1073741824
1606560220,1073741824
1606560223,1073741824
1606560226,1073741824
1606560229,1073741824
1606560232,1073741824
1606560235,1073741824
1606560238,1073741824
1606560241,1073741824
1606560244,1073741824
1606560247,1073741824
1606560250,1073741824
1606560253,1073741824
1606560256,1073741824
1606560259,1073741824
1606560262,1073741824
1606560265,1073741824
1606560268,1073741824
1606560271,1073741824
1606560274,1073741824
1606560277,1073741824
1606560280,1073741824
1606560283,1073741824
1606560286,1073741824
1606560289,1073741824
1606560292,1073741824
1606560295,1073741824
1606560298,1073741824
1606560301,1073741824
1606560304,1073741824
1606560307,1073741824
1606560310,1073741824
1606560313,1073741824
1606560316,1073741824
1606560319,1073741824
1606560322,1073741824
1606560325,1073741824
1606560328,1073741824
1606560331,1073741824
1606560334,1073741824
1606560337,1073741824
1606560340,1073741824
1606560343,1073741824
1606560346,1073741824
1606560349,1073741824
1606560352,1073741824
1606560355,1073741824
1606560358,1073741824
1606560361,1073741824
1606560364,1073741824
1606560367,1073741824
1606560370,1073741824
1606560373,1073741824
1606560376,1073741824
1606560379,1073741824
1606560389,1073741824
1606560390,1073741824
1606560391,1073741824
1606560391,1073741824
1606560394,1073741824
1606560397,1073741824
1606560400,1073741824
1606560403,1073741824
1606560406,1073741824
1606560409,1073741824
1606560412,1073741824
1606560415,1073741824
1606560418,1073741824
1606560421,1073741824
1606560424,1073741824
1606560427,1073741824
1606560430,1073741824
1606560433,1073741824
1606560436,1073741824
1606560439,1073741824
1606560442,1073741824
1606560445,1073741824
1606560448,1073741824
1606560451,1073741824
1606560454,1073741824
1606560457,1073741824
1606560460,1073741824
1606560463,1073741824
1606560466,1073741824
1606560469,1073741824
1606560472,1073741824
1606560475,1073741824
1606560478,1073741824
1606560481,1073741824
1606560484,1073741824
1606560487,1073741824
1606560490,1073741824
1606560493,1073741824
1606560496,1073741824
1606560499,1073741824
1606560502,1073741824
1606560505,1073741824
1606560508,1073741824
1606560511,1073741824
1606560514,1073741824
1606560517,1073741824
1606560520,1073741824
1606560523,1073741824
1606560526,1073741824
1606560529,1073741824
1606560532,1073741824
1606560535,1073741824
1606560538,1073741824
1606560541,1073741824
1606560544,1073741824
1606560547,1073741824
1606560550,1073741824
1606560553,1073741824
1606560556,1073741824
1606560559,1073741824
1606560562,1073741824
1606560565,1073741824
1606560568,1073741824
1606560571,1073741824
1606560574,1073741824
1606560577,1073741824
1606560580,1073741824
1606560583,1073741824
1606560586,1073741824
1606560589,1073741824
1606560592,1073741824
1606560595,1073741824
1606560598,1073741824
1606560601,1073741824
1606560604,1073741824
1606560607,1073741824
1606560610,1073741824
1606560613,1073741824
1606560616,1073741824
1606560619,1073741824
1606560622,1073741824
1606560625,1073741824
1606560628,1073741824
1606560631,1073741824
1606560634,1073741824
1606560637,1073741824
1606560640,1073741824
1606560643,1073741824
1606560646,1073741824
1606560649,1073741824
1606560652,1073741824
1606560655,1073741824
1606560658,1073741824
1606560661,1073741824
1606560664,1073741824
1606560667,1073741824
1606560670,1073741824
1606560673,1073741824
1606560676,1073741824
1606560679,1073741824
1606560682,1073741824
1606560685,1073741824
1606560688,1073741824
1606560691,1073741824
1606560694,1073741824
1606560697,1073741824
1606560700,1073741824
1606560703,1073741824
1606560706,1073741824
1606560709,1073741824
1606560712,1073741824
1606560715,1073741824
1606560718,1073741824
1606560721,1073741824
1606560724,1073741824
1606560727,1073741824
1606560730,1073741824
1606560733,1073741824
1606560736,1073741824
1606560739,1073741824
1606560742,1073741824
1606560745,1073741824
1606560748,1073741824
1606560751,1073741824
1606560754,1073741824
1606560757,1073741824
1606560760,1073741824
1606560763,1073741824
1606560766,1073741824
1606560769,1073741824
1606560772,1073741824
1606560775,1073741824
1606560778,1073741824
1606560781,1073741824
1606560784,1073741824
1606560787,1073741824
1606560790,1073741824
1606560793,1073741824
1606560796,1073741824
1606560799,1073741824
1606560802,1073741824
1606560805,1073741824
1606560808,1073741824
1606560811,1073741824
1606560814,1073741824
1606560817,1073741824
1606560820,1073741824
1606560823,1073741824
1606560826,1073741824
1606560829,1073741824
1606560832,1073741824
1606560835,1073741824
1606560838,1073741824
1606560841,1073741824
1606560844,1073741824
1606560847,1073741824
1606560850,1073741824
1606560853,1073741824
1606560856,1073741824
1606560859,1073741824
1606560862,1073741824
1606560865,1073741824
1606560868,1073741824
1606560871,1073741824
1606560874,1073741824
1606560877,1073741824
1606560880,1073741824
1606560883,1073741824
1606560886,1073741824
1606560889,1073741824
1606560892,1073741824
1606560895,1073741824
1606560898,1073741824
1606560901,1073741824
1606560904,1073741824
1606560907,1073741824
1606560910,1073741824
1606560913,1073741824
1606560916,1073741824
1606560919,1073741824
1606560922,1073741824
1606560925,1073741824
1606560928,1073741824
1606560931,1073741824
1606560934,1073741824
1606560937,1073741824
1606560940,1073741824
1606560943,1073741824
1606560946,1073741824
1606560949,1073741824
1606560952,1073741824
1606560955,1073741824
1606560958,1073741824
1606560961,1073741824
1606560964,1073741824
1606560967,1073741824
1606560970,1073741824
1606560973,1073741824
1606560976,1073741824
1606560979,1073741824
1606560982,1073741824
1606560985,1073741824
1606560988,1073741824
1606560991,1073741824
1606560994,1073741824
1606560997,1073741824
1606561000,1073741824
1606561003,1073741824
1606561006,1073741824
1606561009,1073741824
1606561012,1073741824
1606561015,1073741824
1606561018,1073741824
1606561021,1073741824
1606561024,1073741824
1606561027,1073741824
1606561030,1073741824
1606561033,1073741824
1606561036,1073741824
1606561039,1073741824
1606561042,1073741824
1606561045,1073741824
1606561048,1073741824
1606561051,1073741824
1606561054,1073741824
1606561057,1073741824
1606561060,1073741824
1606561063,1073741824
1606561066,1073741824
1606561069,1073741824
1606561072,1073741824
1606561075,1073741824
1606561078,1073741824
1606561081,1073741824
1606561084,1073741824
1606561087,1073741824
1606561090,1073741824
1606561093,1073741824
1606561096,1073741824
1606561099,1073741824
1606561102,1073741824
1606561105,1073741824
1606561108,1073741824
1606561111,1073741824
1606561114,1073741824
1606561117,1073741824
1606561120,1073741824
1606561123,1073741824
1606561129,1073741824
1606561135,1073741824
1606561142,1073741824
1606561144,1073741824
1606561146,1073741824
1606561148,1073741824
1606561151,1073741824
1606561154,1073741824
1606561154,1073741824
1606561155,1073741824
1606561158,1073741824
1606561159,1073741824
1606561173,1073741824
1606561175,1073741824
1606561178,1073741824
1606561180,1073741824
1606561180,1073741824
1606561181,1073741824
1606561182,1073741824
1606561183,1073741824
1606561186,1073741824
1606561189,1073741824
1606561192,1073741824
1606561195,1073741824
1606561198,1073741824
1606561201,1073741824
1606561204,1073741824
1606561207,1073741824
t,value
1606561529,1073741824
1606561532,1073741824
1606561535,1073741824
1606561538,1073741824
1606561541,1073741824
1606561544,1073741824
1606561547,1073741824
1606561550,1073741824
1606561553,1073741824
1606561556,1073741824
1606561559,1073741824
1606561562,1073741824
1606561565,1073741824
1606561568,1073741824
1606561571,1073741824
1606561574,1073741824
1606561577,1073741824
1606561580,1073741824
1606561583,1073741824
1606561586,1073741824
1606561589,1073741824
1606561592,1073741824
1606561595,1073741824
1606561598,1073741824
1606561601,1073741824
1606561604,1073741824
1606561607,1073741824
1606561610,1073741824
1606561613,1073741824
1606561616,1073741824
1606561619,1073741824
1606561622,1073741824
1606561625,1073741824
1606561628,1073741824
1606561631,1073741824
1606561634,1073741824
1606561637,1073741824
1606561640,1073741824
1606561643,1073741824
1606561646,1073741824
1606561649,1073741824
1606561652,1073741824
1606561655,1073741824
1606561658,1073741824
1606561661,1073741824
1606561664,1073741824
1606561667,1073741824
1606561670,1073741824
1606561673,1073741824
1606561676,1073741824
1606561679,1073741824
1606561682,1073741824
1606561685,1073741824
1606561688,1073741824
1606561691,1073741824
1606561694,1073741824
1606561697,1073741824
1606561700,1073741824
1606561703,1073741824
1606561706,1073741824
1606561709,1073741824
1606561712,1073741824
1606561715,1073741824
1606561718,1073741824
1606561721,1073741824
1606561724,1073741824
1606561727,1073741824
1606561730,1073741824
1606561733,1073741824
1606561736,1073741824
1606561739,1073741824
1606561742,1073741824
1606561745,1073741824
1606561748,1073741824
1606561751,1073741824
1606561754,1073741824
1606561757,1073741824
1606561760,1073741824
1606561763,1073741824
1606561766,1073741824
1606561769,1073741824
1606561772,1073741824
1606561775,1073741824
1606561778,1073741824
1606561781,1073741824
1606561784,1073741824
1606561787,1073741824
1606561790,1073741824
1606561793,1073741824
1606561796,1073741824
1606561799,1073741824
1606561802,1073741824
1606561805,1073741824
1606561808,1073741824
t,value
1606561865,1073741824
1606561868,1073741824
1606561871,1073741824
1606561874,1073741824
1606561877,1073741824
1606561880,1073741824
1606561883,1073741824
1606561886,1073741824
1606561889,1073741824
1606561892,1073741824
1606561895,1073741824
1606561898,1073741824
1606561901,1073741824
1606561904,1073741824
1606561907,1073741824
1606561910,1073741824
1606561913,1073741824
1606561916,1073741824
1606561919,1073741824
1606561922,1073741824
1606561925,1073741824
1606561928,1073741824
1606561931,1073741824
1606561934,1073741824
1606561937,1073741824
1606561940,1073741824
1606561943,1073741824
1606561946,1073741824
1606561949,1073741824
1606561952,1073741824
1606561955,1073741824
1606561958,1073741824
1606561961,1073741824
1606561964,1073741824
1606561967,1073741824
1606561970,1073741824
1606561973,1073741824
1606561976,1073741824
