t,value
1606559974,166138360
1606559989,51735552
1606559990,52784128
1606559990,56978432
1606559991,58027008
1606559991,59075584
1606559992,66415616
1606559995,91581440
1606559998,93678592
1606560001,103115776
1606560004,104164352
1606560007,105212928
1606560010,106261504
1606560013,106261504
1606560016,107310080
1606560019,108358656
1606560022,119892992
1606560025,120941568
1606560028,121990144
1606560031,123038720
1606560034,123038720
1606560037,124087296
1606560040,125135872
1606560043,126184448
1606560046,138767360
1606560049,140864512
1606560052,141913088
1606560055,142961664
1606560058,142961664
1606560061,144010240
1606560064,145058816
1606560067,145058816
1606560070,146107392
1606560073,147155968
1606560076,148204544
1606560079,148204544
1606560082,159738880
1606560085,160787456
1606560088,160787456
1606560091,161836032
1606560094,162884608
1606560097,163933184
1606560100,163933184
1606560103,164981760
1606560106,177564672
1606560109,178613248
1606560112,179661824
1606560115,180710400
1606560118,180710400
1606560121,181758976
1606560124,182807552
1606560127,182807552
1606560130,183856128
1606560133,184904704
1606560136,185953280
1606560139,187001856
1606560142,197487616
1606560145,198536192
1606560148,199584768
1606560151,200633344
1606560154,200633344
1606560157,201681920
1606560160,202730496
1606560163,203779072
1606560166,216361984
1606560169,217410560
1606560172,217410560
1606560175,218459136
1606560178,219507712
1606560181,219507712
1606560184,220556288
1606560187,221604864
1606560190,222653440
1606560193,223702016
1606560196,223702016
1606560199,224750592
1606560202,236284928
1606560205,237333504
1606560208,238382080
1606560211,238382080
1606560214,239430656
1606560217,240479232
1606560220,240479232
1606560223,241527808
1606560226,255159296
1606560229,255159296
1606560232,256207872
1606560235,257256448
1606560238,258305024
1606560241,258305024
1606560244,259353600
1606560247,260402176
1606560250,261450752
1606560253,261450752
1606560256,262499328
1606560259,263547904
1606560262,274033664
1606560265,275082240
1606560268,276130816
1606560271,277179392
1606560274,277179392
1606560277,278227968
1606560280,279276544
1606560283,279276544
1606560286,292908032
1606560289,293956608
1606560292,293956608
1606560295,295005184
1606560298,296053760
1606560301,296053760
1606560304,297102336
1606560307,298150912
1606560310,299199488
1606560313,300248064
1606560316,300248064
1606560319,301296640
1606560322,311782400
1606560325,312830976
1606560328,313879552
1606560331,314928128
1606560334,314928128
1606560337,315976704
1606560340,317025280
1606560343,317025280
1606560346,330656768
1606560349,331705344
1606560352,331705344
1606560355,332753920
1606560358,333802496
1606560361,333802496
1606560364,334851072
1606560367,335899648
1606560370,336948224
1606560373,336948224
1606560376,337996800
1606560379,339045376
1606560389,52121600
1606560390,53170176
1606560391,55267328
1606560391,55267328
1606560394,57364480
1606560397,57364480
1606560400,58413056
1606560403,59461632
1606560406,73093120
1606560409,73093120
1606560412,74141696
1606560415,50457856
1606560418,51506432
1606560421,51506432
1606560424,52555008
1606560427,53603584
1606560430,54652160
1606560433,54652160
1606560436,55700736
1606560439,56749312
1606560442,67235072
1606560445,68283648
1606560448,69332224
1606560451,70380800
1606560454,70380800
1606560457,71429376
1606560460,72477952
1606560463,73526528
1606560466,61278816
1606560469,61278816
1606560472,62327392
1606560475,63375968
1606560478,64424544
1606560481,64424544
1606560484,65473120
1606560487,66521696
1606560490,66521696
1606560493,67570272
1606560496,68618848
1606560499,69667424
1606560502,80153184
1606560505,81201760
1606560508,82250336
1606560511,82250336
1606560514,83298912
1606560517,84347488
1606560520,85396064
1606560523,85396064
1606560526,52765560
1606560529,53814136
1606560532,54862712
1606560535,54862712
1606560538,55911288
1606560541,56959864
1606560544,58008440
1606560547,58008440
1606560550,59057016
1606560553,60105592
1606560556,61154168
1606560559,62202744
1606560562,72688504
1606560565,73737080
1606560568,74785656
1606560571,74785656
1606560574,75834232
1606560577,76882808
1606560580,76882808
1606560583,77931384
1606560586,91562872
1606560589,92611448
1606560592,92611448
1606560595,93660024
1606560598,94708600
1606560601,94708600
1606560604,95757176
1606560607,96805752
1606560610,97854328
1606560613,97854328
1606560616,98902904
1606560619,99951480
1606560622,102048632
1606560625,111485816
1606560628,112534392
1606560631,113582968
1606560634,113582968
1606560637,114631544
1606560640,115680120
1606560643,116728696
1606560646,129311608
1606560649,130360184
1606560652,130360184
1606560655,131408760
1606560658,132457336
1606560661,132457336
1606560664,49550272
1606560667,50598848
1606560670,51647424
1606560673,52696000
1606560676,52696000
1606560679,53744576
1606560682,65278912
1606560685,65278912
1606560688,66327488
1606560691,67376064
1606560694,68424640
1606560697,68424640
1606560700,69473216
1606560703,70521792
1606560706,83104704
1606560709,84153280
1606560712,85201856
1606560715,86250432
1606560718,86250432
1606560721,87299008
1606560724,88347584
1606560727,89396160
1606560730,89396160
1606560733,90444736
1606560736,91493312
1606560739,91493312
1606560742,103027648
1606560745,104076224
1606560748,105124800
1606560751,106173376
1606560754,107221952
1606560757,107221952
1606560760,108270528
1606560763,109319104
1606560766,121902016
1606560769,121902016
1606560772,122950592
1606560775,123999168
1606560778,125047744
1606560781,125047744
1606560784,126096320
1606560787,127144896
1606560790,127144896
1606560793,128193472
1606560796,129242048
1606560799,130290624
1606560802,140776384
1606560805,141824960
1606560808,142873536
1606560811,143922112
1606560814,144970688
1606560817,144970688
1606560820,146019264
1606560823,147067840
1606560826,159650752
1606560829,160699328
1606560832,161747904
1606560835,161747904
1606560838,162796480
1606560841,163845056
1606560844,164893632
1606560847,164893632
1606560850,165942208
1606560853,166990784
1606560856,166990784
1606560859,168039360
1606560862,50608256
1606560865,51656832
1606560868,52705408
1606560871,52705408
1606560874,53753984
1606560877,54802560
1606560880,55851136
1606560883,55851136
1606560886,69482624
1606560889,70531200
1606560892,71579776
1606560895,71579776
1606560898,72628352
1606560901,73676928
1606560904,73676928
1606560907,75774080
1606560910,75774080
1606560913,76822656
1606560916,76822656
1606560919,77871232
1606560922,89405568
1606560925,89405568
1606560928,90454144
1606560931,91502720
1606560934,92551296
1606560937,92551296
1606560940,93599872
1606560943,94648448
1606560946,107231360
1606560949,108279936
1606560952,108279936
1606560955,109328512
1606560958,110377088
1606560961,111425664
1606560964,111425664
1606560967,112474240
1606560970,113522816
1606560973,114571392
1606560976,114571392
1606560979,115619968
1606560982,127154304
1606560985,127154304
1606560988,128202880
1606560991,129251456
1606560994,130300032
1606560997,130300032
1606561000,131348608
1606561003,132397184
1606561006,146028672
1606561009,146028672
1606561012,147077248
1606561015,149174400
1606561018,149174400
1606561021,150222976
1606561024,151271552
1606561027,151271552
1606561030,152320128
1606561033,153368704
1606561036,154417280
1606561039,154417280
1606561042,165951616
1606561045,165951616
1606561048,167000192
1606561051,168048768
1606561054,169097344
1606561057,169097344
1606561060,170145920
1606561063,171194496
1606561066,180631680
1606561069,184825984
1606561072,185874560
1606561075,186923136
1606561078,187971712
1606561081,189020288
1606561084,189020288
1606561087,190068864
1606561090,191117440
1606561093,191117440
1606561096,192166016
1606561099,193214592
1606561102,199506048
1606561105,202651776
1606561108,203700352
1606561111,205797504
1606561114,206846080
1606561117,207894656
1606561120,208943232
1606561123,208943232
1606561129,211040384
1606561135,213137536
1606561142,215234688
1606561144,218380416
1606561146,219428992
1606561148,220477568
1606561151,221526144
1606561154,226769024
1606561154,227817600
1606561155,228866176
1606561158,229914752
1606561159,49594000
1606561173,51691152
1606561175,52739728
1606561178,54836880
1606561180,56934032
1606561180,57982608
1606561181,61128336
1606561182,63225488
1606561183,65322640
1606561186,52729600
1606561189,52729600
1606561192,53778176
1606561195,55875328
1606561198,57972480
1606561201,57972480
1606561204,59021056
1606561207,60069632
t,value
1606561529,80609792
1606561532,92144128
1606561535,112067072
1606561538,142475776
1606561541,174981632
1606561544,194904576
1606561547,205390336
1606561550,233701888
1606561553,270402048
1606561556,296616448
1606561559,308150784
1606561562,327025152
1606561565,340656640
1606561568,358482432
1606561571,74806784
1606561574,101021184
1606561577,136672768
1606561580,152401408
1606561583,162887168
1606561586,163935744
1606561589,164984320
1606561592,164984320
1606561595,166032896
1606561598,167081472
1606561601,168130048
1606561604,169178624
1606561607,170227200
1606561610,170227200
1606561613,171275776
1606561616,172324352
1606561619,173372928
1606561622,173372928
1606561625,174421504
1606561628,175470080
1606561631,176518656
1606561634,176518656
1606561637,177567232
1606561640,191198720
1606561643,202733056
1606561646,202733056
1606561649,203781632
1606561652,204830208
1606561655,205878784
1606561658,205878784
1606561661,206927360
1606561664,207975936
1606561667,209024512
1606561670,209024512
1606561673,210073088
1606561676,211121664
1606561679,212170240
1606561682,212170240
1606561685,213218816
1606561688,229996032
1606561691,94198784
1606561694,137190400
1606561697,139287552
1606561700,152919040
1606561703,163404800
1606561706,164453376
1606561709,168647680
1606561712,169696256
1606561715,169696256
1606561718,170744832
1606561721,171793408
1606561724,172841984
1606561727,173890560
1606561730,177036288
1606561733,177036288
1606561736,178084864
1606561739,179133440
1606561742,180182016
1606561745,181230592
1606561748,184376320
1606561751,185424896
1606561754,186473472
1606561757,187522048
1606561760,201153536
1606561763,211639296
1606561766,212687872
1606561769,215833600
1606561772,216882176
1606561775,217930752
1606561778,217930752
1606561781,218979328
1606561784,220027904
1606561787,220027904
1606561790,224222208
1606561793,224222208
1606561796,225270784
1606561799,226319360
1606561802,226319360
1606561805,227367936
1606561808,228416512
t,value
1606561865,116156584
1606561868,191654056
1606561871,339503272
1606561874,113318912
1606561877,114367488
1606561880,116464640
1606561883,117513216
1606561886,118561792
1606561889,118561792
1606561892,119610368
1606561895,120658944
1606561898,121707520
1606561901,122756096
1606561904,123804672
1606561907,124853248
1606561910,124853248
1606561913,125901824
1606561916,172039168
1606561919,227613696
1606561922,253828096
1606561925,254876672
1606561928,255925248
1606561931,258022400
1606561934,262216704
1606561937,264313856
1606561940,265362432
1606561943,266411008
1606561946,267459584
1606561949,269556736
1606561952,270605312
1606561955,274799616
1606561958,275848192
1606561961,277945344
1606561964,282139648
1606561967,283188224
1606561970,283188224
1606561973,284236800
1606561976,287382528
1606561979,289479680
1606561982,313596928
1606561985,315694080
1606561988,316742656
1606561991,317791232
1606561994,320936960
1606561997,323034112
1606562000,324082688
1606562003,328276992
1606562006,329325568
1606562009,330374144
1606562012,330374144
1606562015,334568448
1606562018,334568448
1606562021,335617024
1606562024,336665600
1606562027,336665600
1606562030,338762752
1606562033,338762752
1606562036,342957056
1606562039,344005632
1606562042,69278720
1606562045,71375872
1606562048,79764480
1606562051,80813056
1606562054,81861632
1606562057,101784576
1606562060,102833152
1606562063,103881728
1606562066,104930304
1606562069,104930304
1606562072,105978880
1606562075,109124608
1606562078,111221760
1606562081,112270336
1606562084,112270336
1606562087,113318912
1606562090,114367488
1606562093,115416064
1606562096,118561792
1606562099,119610368
1606562102,142679040
1606562105,143727616
1606562108,144776192
1606562111,144776192
1606562114,146873344
1606562117,150019072
1606562120,151067648
1606562123,151067648
1606562126,152116224
1606562129,153164800
1606562132,153164800
1606562135,157359104
1606562138,158407680
1606562141,159456256
1606562144,159456256
