t,value
1606559974,10132
1606559989,10174
1606559990,10174
1606559990,10174
1606559991,10174
1606559991,10174
1606559992,10174
1606559995,10174
1606559998,10174
1606560001,1982
1606560004,1982
1606560007,1982
1606560010,1982
1606560013,1982
1606560016,1982
1606560019,1982
1606560022,1982
1606560025,1982
1606560028,1982
1606560031,1359
1606560034,1359
1606560037,1359
1606560040,1359
1606560043,1359
1606560046,1359
1606560049,1359
1606560052,1359
1606560055,1359
1606560058,1359
1606560061,1359
1606560064,1359
1606560067,1359
1606560070,1359
1606560073,1359
1606560076,1359
1606560079,1359
1606560082,1359
1606560085,1359
1606560088,1359
1606560091,1359
1606560094,1359
1606560097,1359
1606560100,1359
1606560103,1359
1606560106,1359
1606560109,1359
1606560112,1359
1606560115,1359
1606560118,1359
1606560121,1359
1606560124,1359
1606560127,1359
1606560130,1359
1606560133,1359
1606560136,1359
1606560139,1359
1606560142,1359
1606560145,1359
1606560148,1359
1606560151,1359
1606560154,1359
1606560157,1359
1606560160,1359
1606560163,1359
1606560166,1359
1606560169,1359
1606560172,1359
1606560175,1359
1606560178,1359
1606560181,1359
1606560184,1359
1606560187,1359
1606560190,1359
1606560193,1359
1606560196,1359
1606560199,1359
1606560202,1359
1606560205,1359
1606560208,1359
1606560211,1359
1606560214,1359
1606560217,1359
1606560220,1359
1606560223,1359
1606560226,1359
1606560229,1359
1606560232,1359
1606560235,1359
1606560238,1359
1606560241,1359
1606560244,1359
1606560247,1359
1606560250,1359
1606560253,1359
1606560256,1359
1606560259,1359
1606560262,1359
1606560265,1359
1606560268,1359
1606560271,1359
1606560274,1359
1606560277,1359
1606560280,1359
1606560283,1359
1606560286,1359
1606560289,1359
1606560292,1359
1606560295,1359
1606560298,1359
1606560301,1359
1606560304,1359
1606560307,1359
1606560310,1359
1606560313,1359
1606560316,1359
1606560319,1359
1606560322,1359
1606560325,1359
1606560328,1359
1606560331,1359
1606560334,1359
1606560337,1359
1606560340,1359
1606560343,1359
1606560346,1359
1606560349,1359
1606560352,1359
1606560355,1359
1606560358,1359
1606560361,1359
1606560364,1359
1606560367,1359
1606560370,1359
1606560373,1359
1606560376,1359
