t,value
1606559974,10133
1606559989,10175
1606559990,10175
1606559990,10175
1606559991,10175
1606559991,10175
1606559992,10175
1606559995,10175
1606559998,10175
1606560001,1983
1606560004,1983
1606560007,1983
1606560010,1983
1606560013,1983
1606560016,1983
1606560019,1983
1606560022,1983
1606560025,1983
1606560028,1983
1606560031,1360
1606560034,1360
1606560037,1360
1606560040,1360
1606560043,1360
1606560046,1360
1606560049,1360
1606560052,1360
1606560055,1360
1606560058,1360
1606560061,1360
1606560064,1360
1606560067,1360
1606560070,1360
1606560073,1360
1606560076,1360
1606560079,1360
1606560082,1360
1606560085,1360
1606560088,1360
1606560091,1360
1606560094,1360
1606560097,1360
1606560100,1360
1606560103,1360
1606560106,1360
1606560109,1360
1606560112,1360
1606560115,1360
1606560118,1360
1606560121,1360
1606560124,1360
1606560127,1360
1606560130,1360
1606560133,1360
1606560136,1360
1606560139,1360
1606560142,1360
1606560145,1360
1606560148,1360
1606560151,1360
1606560154,1360
1606560157,1360
1606560160,1360
1606560163,1360
1606560166,1360
1606560169,1360
1606560172,1360
1606560175,1360
1606560178,1360
1606560181,1360
1606560184,1360
1606560187,1360
1606560190,1360
1606560193,1360
1606560196,1360
1606560199,1360
1606560202,1360
1606560205,1360
1606560208,1360
1606560211,1360
1606560214,1360
1606560217,1360
1606560220,1360
1606560223,1360
1606560226,1360
1606560229,1360
1606560232,1360
1606560235,1360
1606560238,1360
1606560241,1360
1606560244,1360
1606560247,1360
1606560250,1360
1606560253,1360
1606560256,1360
1606560259,1360
1606560262,1360
1606560265,1360
1606560268,1360
1606560271,1360
1606560274,1360
1606560277,1360
1606560280,1360
1606560283,1360
1606560286,1360
1606560289,1360
1606560292,1360
1606560295,1360
1606560298,1360
1606560301,1360
1606560304,1360
1606560307,1360
1606560310,1360
1606560313,1360
1606560316,1360
1606560319,1360
1606560322,1360
1606560325,1360
1606560328,1360
1606560331,1360
1606560334,1360
1606560337,1360
1606560340,1360
1606560343,1360
1606560346,1360
1606560349,1360
1606560352,1360
1606560355,1360
1606560358,1360
1606560361,1360
1606560364,1360
1606560367,1360
1606560370,1360
1606560373,1360
1606560376,1360
1606560379,1360
1606560389,1364
1606560390,1364
1606560391,1364
1606560391,1364
1606560394,1364
1606560397,1364
1606560400,1364
1606560403,1364
1606560406,1364
1606560409,1364
1606560412,1364
1606560415,1364
1606560418,1364
1606560421,1364
1606560424,1364
1606560427,1364
1606560430,1364
1606560433,1364
1606560436,1364
1606560439,1364
1606560442,1364
1606560445,1364
1606560448,1364
1606560451,1364
1606560454,1364
1606560457,1364
1606560460,1364
1606560463,1364
1606560466,1364
1606560469,1364
1606560472,1364
1606560475,1364
1606560478,1364
1606560481,1364
1606560484,1364
1606560487,1364
1606560490,1364
1606560493,1364
1606560496,1364
1606560499,1364
1606560502,1364
1606560505,1364
1606560508,1364
1606560511,1364
1606560514,1364
1606560517,1364
1606560520,1364
1606560523,1364
1606560526,1364
1606560529,1364
1606560532,1364
1606560535,1364
1606560538,1364
1606560541,1364
1606560544,1364
1606560547,1364
1606560550,1364
1606560553,1364
1606560556,1364
1606560559,1364
1606560562,1364
1606560565,1364
1606560568,1364
1606560571,1364
1606560574,1364
1606560577,1364
1606560580,1364
1606560583,1364
1606560586,1364
1606560589,1364
1606560592,1364
1606560595,1364
1606560598,1364
1606560601,1364
1606560604,1364
1606560607,1364
1606560610,1364
1606560613,1364
1606560616,1364
1606560619,1364
1606560622,1364
1606560625,1364
1606560628,1364
1606560631,1364
