t,value
1606559974,1414528
1606559989,1430528
1606559990,1430528
1606559990,1430528
1606559991,1430528
1606559991,1431168
1606559992,1432704
1606559995,1433984
1606559998,1435264
1606560001,1436544
1606560004,1436544
1606560007,1436544
1606560010,1436544
1606560013,1436544
1606560016,1436544
1606560019,1436544
1606560022,1436544
1606560025,1436544
1606560028,1436544
1606560031,1436544
1606560034,1436544
1606560037,1436544
1606560040,1436544
1606560043,1436544
1606560046,1436544
1606560049,1436544
1606560052,1436544
1606560055,1436544
1606560058,1436544
1606560061,1436544
1606560064,1436544
1606560067,1436544
1606560070,1436544
1606560073,1436544
1606560076,1436544
1606560079,1436544
1606560082,1436544
1606560085,1436544
1606560088,1436544
1606560091,1436544
1606560094,1436544
1606560097,1436544
1606560100,1436544
1606560103,1436544
1606560106,1436544
1606560109,1436544
1606560112,1436544
1606560115,1436544
1606560118,1436544
1606560121,1436544
1606560124,1436544
1606560127,1436544
1606560130,1436544
1606560133,1436544
1606560136,1436544
1606560139,1436544
1606560142,1436544
1606560145,1436544
1606560148,1436544
1606560151,1436544
1606560154,1436544
1606560157,1436544
1606560160,1436544
1606560163,1436544
1606560166,1436544
1606560169,1436544
1606560172,1436544
1606560175,1436544
1606560178,1436544
1606560181,1436544
1606560184,1436544
1606560187,1436544
1606560190,1436544
1606560193,1436544
1606560196,1436544
1606560199,1436544
1606560202,1436544
1606560205,1436544
1606560208,1436544
1606560211,1436544
1606560214,1436544
1606560217,1436544
1606560220,1436544
1606560223,1436544
1606560226,1436544
1606560229,1436544
1606560232,1436544
1606560235,1436544
1606560238,1436544
1606560241,1436544
1606560244,1436544
1606560247,1436544
1606560250,1436544
1606560253,1436544
1606560256,1436544
1606560259,1436544
1606560262,1436544
1606560265,1436544
1606560268,1436544
1606560271,1436544
1606560274,1436544
1606560277,1436544
1606560280,1436544
1606560283,1436544
1606560286,1436544
1606560289,1436544
1606560292,1436544
1606560295,1436544
1606560298,1436544
1606560301,1436544
1606560304,1436544
1606560307,1436544
1606560310,1436544
1606560313,1436544
1606560316,1436544
1606560319,1436544
1606560322,1436544
1606560325,1436544
1606560328,1436544
1606560331,1436544
1606560334,1436544
1606560337,1436544
1606560340,1436544
1606560343,1436544
1606560346,1436544
1606560349,1436544
1606560352,1436544
1606560355,1436544
1606560358,1436544
1606560361,1436544
1606560364,1436544
1606560367,1436544
1606560370,1436544
1606560373,1436544
1606560376,1436544
1606560379,1436544
1606560389,1436544
1606560390,1436544
1606560391,1436544
1606560391,1436544
1606560394,1436544
1606560397,1436544
1606560400,1436544
1606560403,1436544
1606560406,1436544
1606560409,1436544
1606560412,1436544
1606560415,1436544
1606560418,1436544
1606560421,1436544
1606560424,1436544
1606560427,1436544
1606560430,1436544
1606560433,1436544
1606560436,1436544
1606560439,1436544
1606560442,1436544
1606560445,1436544
1606560448,1436544
1606560451,1436544
1606560454,1436544
1606560457,1436544
1606560460,1436544
1606560463,1436544
1606560466,1436544
1606560469,1436544
1606560472,1436544
1606560475,1436544
1606560478,1436544
1606560481,1436544
1606560484,1436544
1606560487,1436544
1606560490,1436544
1606560493,1436544
1606560496,1436544
1606560499,1436544
1606560502,1436544
1606560505,1436544
1606560508,1436544
1606560511,1436544
1606560514,1436544
1606560517,1436544
1606560520,1436544
1606560523,1436544
1606560526,1436544
1606560529,1436544
1606560532,1436544
1606560535,1436544
1606560538,1436544
1606560541,1436544
1606560544,1436544
1606560547,1436544
1606560550,1436544
1606560553,1436544
1606560556,1436544
1606560559,1436544
1606560562,1436544
1606560565,1436544
1606560568,1436544
1606560571,1436544
1606560574,1436544
1606560577,1436544
1606560580,1436544
1606560583,1436544
1606560586,1436544
1606560589,1436544
1606560592,1436544
1606560595,1436544
1606560598,1436544
1606560601,1436544
1606560604,1436544
1606560607,1436544
1606560610,1436544
1606560613,1436544
1606560616,1436544
1606560619,1436544
1606560622,1436544
1606560625,1436544
1606560628,1436544
1606560631,1436544
1606560634,1436544
1606560637,1436544
1606560640,1436544
1606560643,1436544
1606560646,1436544
1606560649,1436544
1606560652,1436544
1606560655,1436544
1606560658,1436544
1606560661,1436544
1606560664,1436544
1606560667,1436544
1606560670,1436544
1606560673,1436544
1606560676,1436544
1606560679,1436544
1606560682,1436544
1606560685,1436544
1606560688,1436544
1606560691,1436544
1606560694,1436544
1606560697,1436544
1606560700,1436544
1606560703,1436544
1606560706,1436544
1606560709,1436544
1606560712,1436544
1606560715,1436544
1606560718,1436544
1606560721,1436544
1606560724,1436544
1606560727,1436544
1606560730,1436544
1606560733,1436544
1606560736,1436544
1606560739,1436544
1606560742,1436544
1606560745,1436544
1606560748,1436544
1606560751,1436544
1606560754,1436544
1606560757,1436544
1606560760,1436544
1606560763,1436544
1606560766,1436544
1606560769,1436544
1606560772,1436544
1606560775,1436544
1606560778,1436544
1606560781,1436544
1606560784,1436544
1606560787,1436544
1606560790,1436544
1606560793,1436544
1606560796,1436544
1606560799,1436544
1606560802,1436544
1606560805,1436544
1606560808,1436544
1606560811,1436544
1606560814,1436544
1606560817,1436544
1606560820,1436544
1606560823,1436544
1606560826,1436544
1606560829,1436544
1606560832,1436544
1606560835,1436544
1606560838,1436544
1606560841,1436544
1606560844,1436544
1606560847,1436544
1606560850,1436544
1606560853,1436544
1606560856,1436544
1606560859,1436544
1606560862,1436544
1606560865,1436544
1606560868,1436544
1606560871,1436544
1606560874,1436544
1606560877,1436544
1606560880,1436544
1606560883,1436544
1606560886,1436544
1606560889,1436544
1606560892,1436544
1606560895,1436544
1606560898,1436544
1606560901,1436544
1606560904,1436544
1606560907,1436544
1606560910,1436544
1606560913,1436544
1606560916,1436544
1606560919,1436544
1606560922,1436544
1606560925,1436544
1606560928,1436544
1606560931,1436544
1606560934,1436544
1606560937,1436544
1606560940,1436544
1606560943,1436544
1606560946,1436544
1606560949,1436544
1606560952,1436544
1606560955,1436544
1606560958,1436544
1606560961,1436544
1606560964,1436544
1606560967,1436544
1606560970,1436544
1606560973,1436544
1606560976,1436544
1606560979,1436544
1606560982,1436544
1606560985,1436544
1606560988,1436544
1606560991,1436544
1606560994,1436544
1606560997,1436544
1606561000,1436544
1606561003,1436544
1606561006,1436544
1606561009,1436544
1606561012,1436544
1606561015,1436544
1606561018,1436544
1606561021,1436544
1606561024,1436544
1606561027,1436544
1606561030,1436544
1606561033,1436544
1606561036,1436544
1606561039,1436544
1606561042,1436544
1606561045,1436544
1606561048,1436544
1606561051,1436544
1606561054,1436544
1606561057,1436544
1606561060,1436544
1606561063,1436544
1606561066,1436544
1606561069,1436544
1606561072,1436544
1606561075,1436544
1606561078,1436544
1606561081,1436544
1606561084,1436544
1606561087,1436544
1606561090,1436544
1606561093,1436544
1606561096,1436544
1606561099,1436544
1606561102,1436544
1606561105,1436544
1606561108,1436544
1606561111,1436544
1606561114,1436544
1606561117,1436544
1606561120,1436544
1606561123,1436544
1606561129,1436544
1606561135,1436544
1606561142,1436544
1606561144,1436544
1606561146,1436544
1606561148,1436544
1606561151,1436544
1606561154,1436544
1606561154,1436544
1606561155,1436544
1606561158,1436544
1606561159,1436544
1606561173,1436544
1606561175,1436544
1606561178,1436544
1606561180,1436544
1606561180,1436544
1606561181,1436544
1606561182,1436544
1606561183,1436544
1606561186,1436544
1606561189,1436544
1606561192,1436544
1606561195,1436544
1606561198,1436544
1606561201,1436544
1606561204,1436544
1606561207,1436544
t,value
1606561529,1409664
1606561532,1417984
1606561535,1428992
1606561538,1433344
1606561541,1436800
1606561544,1440640
1606561547,1443200
1606561550,1449344
1606561553,1455232
1606561556,1456512
1606561559,1456512
1606561562,1457792
1606561565,1459328
1606561568,1461120
1606561571,1472000
1606561574,1485312
1606561577,1490048
1606561580,1490048
1606561583,1490048
1606561586,1490048
1606561589,1490048
1606561592,1490048
1606561595,1490048
1606561598,1490048
1606561601,1490048
1606561604,1490048
1606561607,1490048
1606561610,1490048
1606561613,1490048
1606561616,1490048
1606561619,1490048
1606561622,1490048
1606561625,1490048
1606561628,1490048
1606561631,1490048
1606561634,1490048
1606561637,1490048
1606561640,1490048
1606561643,1490048
1606561646,1490048
1606561649,1490048
1606561652,1490048
1606561655,1490048
1606561658,1490048
1606561661,1490048
1606561664,1490048
1606561667,1490048
1606561670,1490048
1606561673,1490048
1606561676,1490048
1606561679,1490048
1606561682,1490048
1606561685,1490048
1606561688,1494528
1606561691,1494528
1606561694,1502464
1606561697,1502464
1606561700,1502464
1606561703,1502464
1606561706,1502464
1606561709,1502464
1606561712,1502464
1606561715,1502464
1606561718,1502464
1606561721,1502464
1606561724,1502464
1606561727,1502464
1606561730,1502464
1606561733,1502464
1606561736,1502464
1606561739,1502464
1606561742,1502464
1606561745,1502464
1606561748,1502464
1606561751,1502464
1606561754,1502464
1606561757,1502464
1606561760,1502464
1606561763,1502464
1606561766,1502464
1606561769,1502464
1606561772,1502464
1606561775,1502464
1606561778,1502464
1606561781,1502464
1606561784,1502464
1606561787,1502464
1606561790,1502464
1606561793,1502464
1606561796,1502464
1606561799,1502464
1606561802,1502464
1606561805,1502464
1606561808,1502464
t,value
1606561865,1430400
1606561868,1440896
1606561871,1455232
1606561874,1485440
1606561877,1485440
1606561880,1485440
1606561883,1491200
1606561886,1485440
1606561889,1485440
1606561892,1485440
1606561895,1485440
1606561898,1485440
1606561901,1485440
1606561904,1485440
1606561907,1485440
1606561910,1485440
1606561913,1485440
1606561916,1502976
1606561919,1504000
1606561922,1504000
1606561925,1504000
1606561928,1504000
1606561931,1504000
1606561934,1504000
1606561937,1504000
1606561940,1504000
1606561943,1504000
1606561946,1504000
1606561949,1504000
1606561952,1504000
1606561955,1504000
1606561958,1504000
1606561961,1504000
1606561964,1504000
1606561967,1504000
1606561970,1504000
1606561973,1504000
1606561976,1504000
1606561979,1504000
1606561982,1504000
1606561985,1504000
1606561988,1504000
1606561991,1504000
1606561994,1504000
1606561997,1504000
1606562000,1504000
1606562003,1504000
1606562006,1504000
1606562009,1504000
1606562012,1504000
1606562015,1504000
1606562018,1504000
1606562021,1504000
1606562024,1504000
1606562027,1504000
1606562030,1504000
1606562033,1504000
1606562036,1504000
1606562039,1504000
1606562042,1504000
1606562045,1504000
1606562048,1505408
1606562051,1505408
1606562054,1505408
1606562057,1506048
1606562060,1506048
1606562063,1506048
1606562066,1506048
1606562069,1506048
1606562072,1506048
1606562075,1506048
1606562078,1506048
1606562081,1506048
1606562084,1506048
1606562087,1506048
1606562090,1506048
1606562093,1506048
1606562096,1506048
1606562099,1506048
1606562102,1506048
1606562105,1506048
1606562108,1506048
1606562111,1506048
1606562114,1506048
1606562117,1506048
1606562120,1506048
1606562123,1506048
1606562126,1506048
1606562129,1506048
1606562132,1506048
1606562135,1506048
1606562138,1506048
1606562141,1506048
1606562144,1506048
1606562147,1506048
1606562150,1506048
1606562153,1506048
1606562156,1506048
1606562159,1506048
1606562162,1506048
1606562165,1506048
1606562168,1506048
1606562171,1506048
1606562174,1506048
1606562177,1506048
1606562180,1506048
1606562183,1506048
1606562186,1506048
1606562189,1506048
1606562192,1506048
1606562195,1506048
1606562198,1506048
1606562201,1506048
1606562204,1506048
1606562207,1506048
1606562210,1506048
1606562213,1506048
1606562216,1506048
1606562219,1506048
1606562222,1506048
1606562225,1506048
1606562228,1506048
1606562231,1506048
1606562234,1506048
