t,value
1606559974,3818368
1606559989,3766528
1606559990,3825536
1606559990,3866240
1606559991,3888640
1606559991,3911040
1606559992,4012416
1606559995,4322688
1606559998,4363136
1606560001,4449920
1606560004,4452992
1606560007,4457216
1606560010,4499712
1606560013,4502528
1606560016,4545408
1606560019,4545408
1606560022,4589568
1606560025,4593536
1606560028,4593536
1606560031,4596224
1606560034,4727168
1606560037,4727168
1606560040,4744448
1606560043,4746112
1606560046,4806272
1606560049,4817536
1606560052,4893312
1606560055,4917888
1606560058,4940416
1606560061,4941184
1606560064,4943488
1606560067,4945664
1606560070,4956160
1606560073,4986240
1606560076,4991872
1606560079,5006208
1606560082,5029120
1606560085,5029888
1606560088,5029888
1606560091,5030784
1606560094,5059584
1606560097,5059584
1606560100,5059584
1606560103,5061120
1606560106,5069312
1606560109,5079936
1606560112,5079936
1606560115,5085056
1606560118,5085056
1606560121,5090176
1606560124,5090176
1606560127,5090176
1606560130,5090176
1606560133,5090176
1606560136,5091712
1606560139,5093248
1606560142,5137792
1606560145,5139328
1606560148,5139968
1606560151,5139968
1606560154,5139968
1606560157,5140736
1606560160,5140736
1606560163,5142272
1606560166,5151488
1606560169,5151488
1606560172,5151488
1606560175,5151488
1606560178,5151488
1606560181,5151488
1606560184,5158528
1606560187,5159424
1606560190,5163904
1606560193,5163904
1606560196,5163904
1606560199,5163904
1606560202,5173120
1606560205,5173888
1606560208,5176704
1606560211,5177344
1606560214,5206912
1606560217,5208320
1606560220,5208320
1606560223,5208320
1606560226,5211648
1606560229,5211648
1606560232,5211648
1606560235,5211648
1606560238,5212288
1606560241,5212288
1606560244,5213184
1606560247,5213184
1606560250,5213184
1606560253,5218560
1606560256,5249664
1606560259,5249664
1606560262,5250304
1606560265,5250304
1606560268,5250304
1606560271,5256704
1606560274,5256704
1606560277,5256704
1606560280,5256704
1606560283,5256704
1606560286,5260928
1606560289,5260928
1606560292,5260928
1606560295,5261952
1606560298,5261952
1606560301,5261952
1606560304,5261952
1606560307,5261952
1606560310,5261952
