t,value
1606559974,12913024
1606559989,12364672
1606559990,12452608
1606559990,12486912
1606559991,12513280
1606559991,12546560
1606559992,12724224
1606559995,14076160
1606559998,14092032
1606560001,14523136
1606560004,14533504
1606560007,14540800
1606560010,14540800
1606560013,14560384
1606560016,14566272
1606560019,14569984
1606560022,14647808
1606560025,14650368
1606560028,14650368
1606560031,14653184
1606560034,14665600
1606560037,14675840
1606560040,14679552
1606560043,14679552
1606560046,14715136
1606560049,14715136
1606560052,14719360
1606560055,14719360
1606560058,14739584
1606560061,14740992
1606560064,14750592
1606560067,14754944
1606560070,14764544
1606560073,14767360
1606560076,14775168
1606560079,14782464
1606560082,14804224
1606560085,14837760
1606560088,14839296
1606560091,14846976
1606560094,14846976
1606560097,14849024
1606560100,14853632
1606560103,14865792
1606560106,14916864
1606560109,14935808
1606560112,14935808
1606560115,14938368
1606560118,14940672
1606560121,14945024
1606560124,14952576
1606560127,14965632
1606560130,14982528
1606560133,14982528
1606560136,14982528
1606560139,14982528
1606560142,15045248
1606560145,15045248
1606560148,15045248
1606560151,15045248
1606560154,15045248
1606560157,15064832
1606560160,15066624
1606560163,15076096
1606560166,15117696
1606560169,15117696
1606560172,15117696
1606560175,15117696
1606560178,15117696
1606560181,15117696
1606560184,15117696
1606560187,15119872
1606560190,15119872
1606560193,15128960
1606560196,15128960
1606560199,15143424
1606560202,15170176
1606560205,15170176
1606560208,15170176
1606560211,15174400
1606560214,15185024
1606560217,15185024
1606560220,15185024
1606560223,15185024
1606560226,15192832
1606560229,15196672
1606560232,15215360
1606560235,15215360
1606560238,15215360
1606560241,15215360
1606560244,15215360
1606560247,15220480
1606560250,15220480
1606560253,15220480
1606560256,15220480
1606560259,15220480
1606560262,15243904
1606560265,15246080
1606560268,15246080
1606560271,15247104
1606560274,15249792
1606560277,15274368
1606560280,15274368
1606560283,15274368
1606560286,15296256
1606560289,15296256
1606560292,15296256
1606560295,15296256
1606560298,15296256
1606560301,15296256
1606560304,15297792
1606560307,15310208
1606560310,15310208
1606560313,15310208
1606560316,15316736
1606560319,15316736
1606560322,15324672
1606560325,15326720
1606560328,15326720
1606560331,15326720
1606560334,15326720
1606560337,15326720
1606560340,15326720
1606560343,15329152
1606560346,15358592
1606560349,15361408
1606560352,15366656
1606560355,15425408
1606560358,15448960
1606560361,15452160
1606560364,15452160
1606560367,15452160
1606560370,15452160
1606560373,15452160
1606560376,15452160
1606560379,15452160
1606560389,15458048
1606560390,15458048
1606560391,15446272
1606560391,15430400
1606560394,15403520
1606560397,14506368
1606560400,14506368
1606560403,14506368
1606560406,14506368
1606560409,14506368
1606560412,14506368
1606560415,14506368
1606560418,14506368
1606560421,14506368
1606560424,14506368
1606560427,14506368
1606560430,14507904
1606560433,14507904
1606560436,14528128
1606560439,14529536
1606560442,14529536
1606560445,14529536
1606560448,14531328
1606560451,14531328
1606560454,14532352
1606560457,14532352
1606560460,14532352
1606560463,14532352
1606560466,14569472
1606560469,14570880
1606560472,14570880
1606560475,14570880
1606560478,14570880
1606560481,14570880
1606560484,14570880
1606560487,14572032
1606560490,14572032
1606560493,14579840
1606560496,14579840
1606560499,14579840
1606560502,14579840
1606560505,14579840
1606560508,14579840
1606560511,14579840
1606560514,14591488
1606560517,14591488
1606560520,14591488
1606560523,14591488
1606560526,14591488
1606560529,14591488
1606560532,14591488
1606560535,14591488
1606560538,14591488
1606560541,14591488
1606560544,14591488
1606560547,14623872
1606560550,14625024
1606560553,14625024
1606560556,14625024
1606560559,14626304
1606560562,14628736
1606560565,14628736
1606560568,14630400
1606560571,14630400
1606560574,14630400
1606560577,14630400
1606560580,14630400
1606560583,14632064
1606560586,14632064
1606560589,14645632
1606560592,14647552
1606560595,14647552
1606560598,14647552
1606560601,14647552
1606560604,14647552
1606560607,14647552
1606560610,14648832
1606560613,14648832
1606560616,14648832
1606560619,14648832
1606560622,14648832
1606560625,14648832
1606560628,14648832
1606560631,14648832
1606560634,14648832
1606560637,14648832
1606560640,14648832
1606560643,14648832
1606560646,14648832
1606560649,14648832
1606560652,14648832
1606560655,14648832
1606560658,14648832
1606560661,14648832
1606560664,14648832
1606560667,14648832
1606560670,14648832
1606560673,14648832
1606560676,14648832
1606560679,14648832
1606560682,14648832
1606560685,14648832
1606560688,14648832
1606560691,14648832
1606560694,14648832
1606560697,14648832
1606560700,14648832
1606560703,14648832
1606560706,14651136
1606560709,14651136
1606560712,14651136
1606560715,14651136
1606560718,14651136
1606560721,14651136
1606560724,14651136
1606560727,14651136
1606560730,14651136
1606560733,14664320
1606560736,14669440
1606560739,14669440
1606560742,14679424
