t,value
1606559974,9003624
1606559989,9705232
1606559990,9730888
1606559990,9758416
1606559991,9762152
1606559991,9772384
1606559992,9886584
1606559995,10117896
1606559998,10167960
1606560001,10266856
1606560004,10266856
1606560007,10266856
1606560010,10266856
1606560013,10266856
1606560016,10267408
1606560019,10267408
1606560022,10267408
1606560025,10267408
1606560028,10267408
1606560031,10267408
1606560034,10267408
1606560037,10267408
1606560040,10267408
1606560043,10267408
1606560046,10267408
1606560049,10267408
1606560052,10267408
1606560055,10267408
1606560058,10267408
1606560061,10267408
1606560064,10267408
1606560067,10267408
1606560070,10267408
1606560073,10267408
1606560076,10267408
1606560079,10267408
1606560082,10267408
1606560085,10267408
1606560088,10267408
1606560091,10267408
1606560094,10267408
1606560097,10267408
1606560100,10267408
1606560103,10267408
1606560106,10267408
1606560109,10267408
1606560112,10267408
1606560115,10267408
1606560118,10267408
1606560121,10267408
1606560124,10267408
1606560127,10267408
1606560130,10267408
1606560133,10267408
1606560136,10267408
1606560139,10267408
1606560142,10267408
1606560145,10267408
1606560148,10267408
1606560151,10267408
1606560154,10267408
1606560157,10267408
1606560160,10267408
1606560163,10267408
1606560166,10267408
1606560169,10267408
1606560172,10267408
1606560175,10267408
1606560178,10267408
1606560181,10267408
1606560184,10267408
1606560187,10267408
1606560190,10267408
1606560193,10267408
1606560196,10267408
1606560199,10267408
1606560202,10267408
1606560205,10267408
1606560208,10267408
1606560211,10267408
1606560214,10267408
1606560217,10267408
1606560220,10267408
1606560223,10267408
1606560226,10267408
1606560229,10267408
1606560232,10267408
1606560235,10267408
1606560238,10267408
1606560241,10267408
1606560244,10267408
1606560247,10267408
1606560250,10267408
1606560253,10267408
1606560256,10267408
1606560259,10267408
1606560262,10268416
1606560265,10268416
1606560268,10268416
1606560271,10268416
1606560274,10268416
1606560277,10268416
1606560280,10268416
1606560283,10268416
1606560286,10268416
1606560289,10268416
1606560292,10268416
1606560295,10268416
1606560298,10268416
1606560301,10268416
1606560304,10268416
1606560307,10268416
1606560310,10268416
1606560313,10268416
1606560316,10268416
1606560319,10268416
1606560322,10268416
1606560325,10268416
1606560328,10268416
1606560331,10268416
1606560334,10268416
1606560337,10268416
1606560340,10268416
1606560343,10268416
1606560346,10268416
1606560349,10268416
1606560352,10268416
1606560355,10268416
1606560358,10268416
1606560361,10268416
1606560364,10268416
1606560367,10268416
1606560370,10268416
1606560373,10268416
1606560376,10268416
1606560379,10268416
1606560389,10268416
1606560390,10268416
1606560391,10268416
1606560391,10268416
1606560394,10268968
1606560397,10268968
1606560400,10268968
1606560403,10268968
1606560406,10268968
1606560409,10268968
1606560412,10268968
1606560415,10268968
1606560418,10268968
1606560421,10268968
1606560424,10268968
1606560427,10268968
1606560430,10268968
1606560433,10268968
1606560436,10268968
1606560439,10268968
1606560442,10268968
1606560445,10268968
1606560448,10268968
1606560451,10268968
1606560454,10268968
1606560457,10268968
1606560460,10268968
1606560463,10268968
1606560466,10268968
1606560469,10268968
1606560472,10268968
1606560475,10268968
1606560478,10268968
1606560481,10268968
1606560484,10268968
1606560487,10268968
1606560490,10268968
1606560493,10268968
1606560496,10268968
1606560499,10268968
1606560502,10268968
1606560505,10268968
1606560508,10268968
1606560511,10268968
1606560514,10268968
1606560517,10268968
1606560520,10268968
1606560523,10268968
1606560526,10268968
1606560529,10268968
1606560532,10268968
1606560535,10268968
1606560538,10268968
1606560541,10268968
1606560544,10268968
1606560547,10268968
1606560550,10268968
1606560553,10268968
1606560556,10268968
1606560559,10268968
1606560562,10268968
1606560565,10268968
1606560568,10268968
1606560571,10268968
1606560574,10268968
1606560577,10268968
1606560580,10268968
1606560583,10268968
1606560586,10268968
1606560589,10268968
1606560592,10268968
1606560595,10268968
1606560598,10268968
1606560601,10268968
1606560604,10268968
1606560607,10268968
1606560610,10268968
1606560613,10268968
1606560616,10268968
1606560619,10268968
1606560622,10268968
1606560625,10268968
1606560628,10268968
1606560631,10268968
1606560634,10268968
1606560637,10268968
1606560640,10268968
1606560643,10268968
1606560646,10268968
1606560649,10268968
1606560652,10268968
1606560655,10268968
1606560658,10268968
1606560661,10268968
1606560664,10268968
1606560667,10268968
1606560670,10268968
1606560673,10268968
1606560676,10268968
1606560679,10268968
1606560682,10268968
1606560685,10268968
1606560688,10268968
1606560691,10268968
1606560694,10268968
1606560697,10268968
1606560700,10268968
1606560703,10268968
1606560706,10268968
