t,value
1606559974,117440512
1606559989,5242880
1606559990,7340032
1606559990,10485760
1606559991,11534336
1606559991,12582912
1606559992,19922944
1606559995,46137344
1606559998,47185920
1606560001,56623104
1606560004,57671680
1606560007,58720256
1606560010,59768832
1606560013,59768832
1606560016,60817408
1606560019,61865984
1606560022,73400320
1606560025,74448896
1606560028,75497472
1606560031,76546048
1606560034,76546048
1606560037,77594624
1606560040,78643200
1606560043,79691776
1606560046,92274688
1606560049,94371840
1606560052,95420416
1606560055,96468992
1606560058,96468992
1606560061,97517568
1606560064,98566144
1606560067,98566144
1606560070,99614720
1606560073,100663296
1606560076,101711872
1606560079,101711872
1606560082,113246208
1606560085,114294784
1606560088,115343360
1606560091,115343360
1606560094,116391936
1606560097,117440512
1606560100,117440512
1606560103,118489088
1606560106,131072000
1606560109,132120576
1606560112,133169152
1606560115,134217728
1606560118,134217728
1606560121,135266304
1606560124,136314880
1606560127,137363456
1606560130,137363456
1606560133,138412032
1606560136,139460608
1606560139,140509184
1606560142,150994944
1606560145,152043520
1606560148,153092096
1606560151,154140672
1606560154,154140672
1606560157,155189248
1606560160,156237824
1606560163,157286400
1606560166,169869312
1606560169,170917888
1606560172,170917888
1606560175,171966464
1606560178,173015040
1606560181,173015040
1606560184,174063616
1606560187,175112192
1606560190,176160768
1606560193,177209344
1606560196,178257920
1606560199,178257920
1606560202,189792256
1606560205,190840832
1606560208,191889408
1606560211,191889408
1606560214,192937984
1606560217,193986560
1606560220,193986560
1606560223,195035136
1606560226,208666624
1606560229,208666624
1606560232,209715200
1606560235,210763776
1606560238,211812352
1606560241,211812352
1606560244,212860928
1606560247,213909504
1606560250,214958080
1606560253,214958080
1606560256,216006656
1606560259,217055232
1606560262,227540992
1606560265,228589568
1606560268,229638144
1606560271,230686720
1606560274,230686720
1606560277,231735296
1606560280,232783872
1606560283,232783872
1606560286,246415360
1606560289,247463936
1606560292,247463936
1606560295,248512512
1606560298,249561088
1606560301,250609664
1606560304,250609664
1606560307,251658240
1606560310,252706816
1606560313,253755392
1606560316,253755392
1606560319,254803968
1606560322,265289728
1606560325,266338304
1606560328,267386880
1606560331,268435456
1606560334,268435456
1606560337,269484032
1606560340,270532608
1606560343,270532608
1606560346,284164096
1606560349,285212672
1606560352,285212672
1606560355,286261248
1606560358,287309824
1606560361,287309824
1606560364,288358400
1606560367,289406976
1606560370,290455552
1606560373,290455552
1606560376,291504128
1606560379,292552704
1606560389,1048576
1606560390,2097152
1606560391,4194304
1606560391,4194304
1606560394,6291456
1606560397,6291456
1606560400,7340032
1606560403,8388608
1606560406,22020096
1606560409,22020096
1606560412,23068672
1606560415,0
1606560418,1048576
1606560421,1048576
1606560424,2097152
1606560427,3145728
1606560430,4194304
1606560433,4194304
1606560436,5242880
1606560439,6291456
1606560442,17825792
1606560445,17825792
1606560448,18874368
1606560451,19922944
1606560454,19922944
1606560457,20971520
1606560460,22020096
1606560463,23068672
1606560466,11534336
1606560469,11534336
1606560472,12582912
1606560475,13631488
1606560478,14680064
1606560481,14680064
1606560484,15728640
1606560487,16777216
1606560490,17825792
1606560493,17825792
1606560496,18874368
1606560499,19922944
1606560502,30408704
1606560505,31457280
1606560508,32505856
1606560511,32505856
1606560514,33554432
1606560517,34603008
1606560520,35651584
1606560523,35651584
1606560526,3145728
1606560529,4194304
1606560532,5242880
1606560535,5242880
1606560538,6291456
1606560541,7340032
1606560544,8388608
1606560547,8388608
1606560550,9437184
1606560553,10485760
1606560556,11534336
1606560559,12582912
1606560562,23068672
1606560565,24117248
1606560568,25165824
1606560571,25165824
1606560574,26214400
1606560577,27262976
1606560580,27262976
1606560583,28311552
1606560586,41943040
1606560589,42991616
1606560592,42991616
1606560595,44040192
1606560598,45088768
1606560601,45088768
1606560604,46137344
1606560607,47185920
1606560610,48234496
1606560613,48234496
1606560616,49283072
1606560619,50331648
1606560622,52428800
1606560625,61865984
1606560628,62914560
1606560631,63963136
1606560634,63963136
1606560637,65011712
1606560640,66060288
1606560643,67108864
1606560646,79691776
1606560649,80740352
1606560652,80740352
1606560655,81788928
1606560658,82837504
1606560661,82837504
1606560664,0
1606560667,1048576
1606560670,2097152
1606560673,3145728
1606560676,3145728
