t,value
1606559974,39260664
1606559989,24472576
1606559990,24472576
1606559990,24472576
1606559991,24472576
1606559991,24472576
1606559992,24472576
1606559995,24472576
1606559998,24472576
1606560001,24472576
1606560004,24472576
1606560007,24472576
1606560010,24472576
1606560013,24472576
1606560016,24472576
1606560019,24472576
1606560022,24472576
1606560025,24472576
1606560028,24472576
1606560031,24472576
1606560034,24472576
1606560037,24472576
1606560040,24472576
1606560043,24472576
1606560046,24472576
1606560049,24472576
1606560052,24472576
1606560055,24472576
1606560058,24472576
1606560061,24472576
1606560064,24472576
1606560067,24472576
1606560070,24472576
1606560073,24472576
1606560076,24472576
1606560079,24472576
1606560082,24472576
1606560085,24472576
1606560088,24472576
1606560091,24472576
1606560094,24472576
1606560097,24472576
1606560100,24472576
1606560103,24472576
1606560106,24472576
1606560109,24472576
1606560112,24472576
1606560115,24472576
1606560118,24472576
1606560121,24472576
1606560124,24472576
1606560127,24472576
1606560130,24472576
1606560133,24472576
1606560136,24472576
1606560139,24472576
1606560142,24472576
1606560145,24472576
1606560148,24472576
1606560151,24472576
1606560154,24472576
1606560157,24472576
1606560160,24472576
1606560163,24472576
1606560166,24472576
1606560169,24472576
1606560172,24472576
1606560175,24472576
1606560178,24472576
1606560181,24472576
1606560184,24472576
1606560187,24472576
1606560190,24472576
1606560193,24472576
1606560196,24472576
1606560199,24472576
1606560202,24472576
1606560205,24472576
1606560208,24472576
1606560211,24472576
1606560214,24472576
1606560217,24472576
1606560220,24472576
1606560223,24472576
1606560226,24472576
1606560229,24472576
1606560232,24472576
1606560235,24472576
1606560238,24472576
1606560241,24472576
1606560244,24472576
1606560247,24472576
1606560250,24472576
1606560253,24472576
1606560256,24472576
1606560259,24472576
1606560262,24472576
1606560265,24472576
1606560268,24472576
1606560271,24472576
1606560274,24472576
1606560277,24472576
1606560280,24472576
1606560283,24472576
1606560286,24472576
1606560289,24472576
1606560292,24472576
1606560295,24472576
1606560298,24472576
1606560301,24472576
1606560304,24472576
1606560307,24472576
1606560310,24472576
1606560313,24472576
1606560316,24472576
1606560319,24472576
