t,value
1606559974,66968912
1606559989,72159152
1606559990,72285496
1606559990,72509760
1606559991,72541384
1606559991,72621248
1606559992,73533656
1606559995,75263056
1606559998,75781992
1606560001,76706984
1606560004,76708352
1606560007,76709528
1606560010,76709528
1606560013,76711072
1606560016,76715560
1606560019,76716736
1606560022,76730728
1606560025,76731568
1606560028,76731568
1606560031,76731568
1606560034,76734256
1606560037,76735560
1606560040,76736528
1606560043,76736528
1606560046,76747472
1606560049,76747632
1606560052,76748952
1606560055,76750216
1606560058,76757272
1606560061,76757712
1606560064,76761432
1606560067,76763192
1606560070,76766200
1606560073,76766712
1606560076,76767176
1606560079,76768712
1606560082,76773056
1606560085,76786576
1606560088,76786576
1606560091,76788776
1606560094,76788776
1606560097,76789152
1606560100,76789816
1606560103,76793480
1606560106,76794648
1606560109,76803456
1606560112,76803456
1606560115,76804072
1606560118,76804960
1606560121,76805576
1606560124,76808952
1606560127,76812216
1606560130,76817608
1606560133,76817608
1606560136,76817608
1606560139,76817608
1606560142,76832704
1606560145,76832704
1606560148,76832704
1606560151,76832704
1606560154,76832704
1606560157,76835968
1606560160,76837600
1606560163,76841152
1606560166,76858704
1606560169,76858704
1606560172,76858704
1606560175,76858704
1606560178,76858704
1606560181,76858704
1606560184,76858704
1606560187,76861128
1606560190,76861128
1606560193,76861528
1606560196,76861528
1606560199,76864848
1606560202,76875664
1606560205,76875664
1606560208,76875664
1606560211,76876488
1606560214,76877216
1606560217,76877216
1606560220,76877216
1606560223,76877216
1606560226,76879760
1606560229,76881456
1606560232,76888496
1606560235,76888496
1606560238,76888496
1606560241,76888496
1606560244,76888496
1606560247,76889392
1606560250,76889392
1606560253,76889392
1606560256,76889392
1606560259,76889392
1606560262,76896168
1606560265,76896664
1606560268,76896664
1606560271,76897032
1606560274,76897840
1606560277,76899264
1606560280,76899264
1606560283,76899264
1606560286,76909304
1606560289,76909304
1606560292,76909304
1606560295,76909304
1606560298,76909304
1606560301,76909304
1606560304,76909720
1606560307,76912048
1606560310,76912048
1606560313,76912048
1606560316,76913648
1606560319,76913648
1606560322,76916128
1606560325,76916736
1606560328,76916736
1606560331,76916736
1606560334,76916736
1606560337,76916736
1606560340,76916736
1606560343,76917664
1606560346,76930800
1606560349,76931272
1606560352,76932128
1606560355,76961648
1606560358,76971344
1606560361,76973088
1606560364,76973088
1606560367,76973088
1606560370,76973088
1606560373,76973088
1606560376,76973088
1606560379,76973088
1606560389,76975320
1606560390,76975320
1606560391,76975320
1606560391,76975320
1606560394,76980648
1606560397,76980648
1606560400,76980648
1606560403,76980648
1606560406,76980728
1606560409,76980728
1606560412,76980728
1606560415,76980728
1606560418,76980728
1606560421,76980728
1606560424,76980728
1606560427,76980728
1606560430,76981168
1606560433,76981248
1606560436,76981248
1606560439,76981704
1606560442,76981704
1606560445,76981704
1606560448,76981704
1606560451,76981704
1606560454,76982064
1606560457,76982064
1606560460,76982064
1606560463,76982064
1606560466,76982064
1606560469,76982520
1606560472,76982520
1606560475,76982520
1606560478,76982520
1606560481,76982520
1606560484,76982520
1606560487,76982960
1606560490,76983424
1606560493,76983424
1606560496,76983424
1606560499,76983424
1606560502,76983424
1606560505,76983424
1606560508,76983424
1606560511,76983424
1606560514,76983936
1606560517,76983936
1606560520,76983936
1606560523,76983936
1606560526,76983936
1606560529,76983936
1606560532,76983936
1606560535,76983936
1606560538,76983936
1606560541,76983936
1606560544,76983936
1606560547,76992392
1606560550,76992392
1606560553,76992392
1606560556,76992392
1606560559,76992848
1606560562,76994800
1606560565,76994800
1606560568,76994800
1606560571,76994800
1606560574,76994800
1606560577,76994800
1606560580,76994800
1606560583,76995256
1606560586,76995256
1606560589,76996616
1606560592,76997592
1606560595,76997592
1606560598,76997592
1606560601,76997592
1606560604,76997592
1606560607,76997592
1606560610,76997592
1606560613,76997592
1606560616,76997592
1606560619,76997592
1606560622,76997592
1606560625,76997592
1606560628,76997592
1606560631,76997592
1606560634,76997592
1606560637,76997592
1606560640,76997592
1606560643,76997592
1606560646,76997592
1606560649,76997992
1606560652,76998552
1606560655,76998552
1606560658,76998552
1606560661,76998552
1606560664,76998552
1606560667,76998552
1606560670,76998552
1606560673,76998552
1606560676,76998552
1606560679,76998552
1606560682,76998552
1606560685,76998552
1606560688,76998552
1606560691,76998552
1606560694,76998552
1606560697,76998552
1606560700,76998552
1606560703,76998552
1606560706,76999880
1606560709,76999880
1606560712,76999880
1606560715,76999880
1606560718,76999880
1606560721,76999880
1606560724,76999880
1606560727,76999880
1606560730,76999880
1606560733,77003528
1606560736,77008696
1606560739,77013008
1606560742,77014208
1606560745,77017672
1606560748,77017672
1606560751,77017672
1606560754,77018424
1606560757,77018424
1606560760,77018424
1606560763,77018424
1606560766,77018424
1606560769,77018424
1606560772,77018424
1606560775,77018872
1606560778,77018872
1606560781,77018872
1606560784,77018872
1606560787,77018872
1606560790,77018872
1606560793,77018872
1606560796,77018872
1606560799,77018872
1606560802,77018872
1606560805,77020224
1606560808,77020224
1606560811,77020224
1606560814,77020224
1606560817,77020224
1606560820,77020224
1606560823,77020224
1606560826,77020224
1606560829,77020224
1606560832,77020224
1606560835,77020224
1606560838,77020224
1606560841,77020224
1606560844,77020224
1606560847,77020224
1606560850,77020224
1606560853,77020224
1606560856,77020224
1606560859,77020224
1606560862,77020224
1606560865,77020224
1606560868,77020224
1606560871,77020224
1606560874,77020224
1606560877,77020224
1606560880,77020224
1606560883,77020920
1606560886,77020920
1606560889,77020920
1606560892,77020920
1606560895,77020920
1606560898,77020920
1606560901,77020920
1606560904,77020920
1606560907,77020920
1606560910,77020920
1606560913,77020920
1606560916,77020920
1606560919,77020920
1606560922,77020920
1606560925,77020920
1606560928,77020920
1606560931,77021520
1606560934,77021520
1606560937,77021520
1606560940,77021520
1606560943,77021984
1606560946,77021984
1606560949,77021984
1606560952,77021984
1606560955,77021984
1606560958,77021984
1606560961,77021984
1606560964,77021984
1606560967,77021984
1606560970,77021984
1606560973,77021984
1606560976,77021984
1606560979,77021984
1606560982,77021984
1606560985,77021984
1606560988,77021984
1606560991,77021984
1606560994,77022936
1606560997,77022936
1606561000,77022936
1606561003,77022936
1606561006,77022936
1606561009,77022936
1606561012,77022936
1606561015,77023016
1606561018,77023016
1606561021,77023016
1606561024,77023016
1606561027,77023016
1606561030,77023016
1606561033,77023016
1606561036,77023016
1606561039,77023016
1606561042,77023944
1606561045,77023944
1606561048,77023944
1606561051,77023944
1606561054,77023944
1606561057,77023944
1606561060,77023944
1606561063,77023944
