t,value
1606559974,0
1606559989,0
1606559990,0
1606559990,101
1606559991,101
1606559991,101
1606559992,101
1606559995,101
1606559998,101
1606560001,101
1606560004,101
1606560007,101
1606560010,505
1606560013,808
1606560016,1025
1606560019,1025
1606560022,1025
1606560025,1025
1606560028,1025
1606560031,1025
1606560034,1025
1606560037,1025
1606560040,1025
1606560043,1025
1606560046,1025
1606560049,1025
1606560052,1025
1606560055,1025
1606560058,1025
1606560061,1025
1606560064,1025
1606560067,1025
1606560070,1025
1606560073,1025
1606560076,1025
1606560079,1025
1606560082,1025
1606560085,1025
1606560088,1025
1606560091,1025
1606560094,1025
1606560097,1025
1606560100,1025
1606560103,1025
1606560106,1025
1606560109,1025
1606560112,1025
1606560115,1025
1606560118,1025
1606560121,1025
1606560124,1025
1606560127,1025
1606560130,1025
1606560133,1025
1606560136,1025
1606560139,1025
1606560142,1025
1606560145,1025
1606560148,1025
1606560151,1025
1606560154,1025
1606560157,1025
1606560160,1025
1606560163,1025
1606560166,1025
1606560169,1025
1606560172,1025
1606560175,1025
1606560178,1025
1606560181,1025
1606560184,1025
1606560187,1025
1606560190,1025
1606560193,1025
1606560196,1025
1606560199,1025
1606560202,1025
1606560205,1025
1606560208,1025
1606560211,1025
1606560214,1025
1606560217,1025
1606560220,1025
1606560223,1025
1606560226,1025
1606560229,1025
1606560232,1025
1606560235,1025
1606560238,1025
1606560241,1025
1606560244,1025
1606560247,1025
1606560250,1025
1606560253,1025
1606560256,1025
1606560259,1025
1606560262,1025
1606560265,1025
1606560268,1025
1606560271,1025
1606560274,1025
1606560277,1025
1606560280,1025
1606560283,1025
1606560286,1025
1606560289,1025
1606560292,1025
1606560295,1025
1606560298,1025
1606560301,1025
1606560304,1025
1606560307,1025
1606560310,1025
1606560313,1025
1606560316,1025
1606560319,1025
1606560322,1025
1606560325,1025
1606560328,1025
1606560331,1025
1606560334,1025
1606560337,1025
1606560340,1025
1606560343,1025
1606560346,1025
1606560349,1025
1606560352,1025
1606560355,1025
1606560358,1025
1606560361,1025
1606560364,1025
1606560367,1025
1606560370,1025
1606560373,1025
1606560376,1025
1606560379,1025
1606560389,9885
1606560390,9885
1606560391,9885
1606560391,9885
1606560394,10405
1606560397,10405
1606560400,10405
1606560403,10405
1606560406,10405
1606560409,10405
1606560412,10405
1606560415,10405
1606560418,10405
1606560421,10405
1606560424,10405
1606560427,10405
1606560430,10405
1606560433,10405
1606560436,10405
1606560439,10405
1606560442,10405
1606560445,10405
1606560448,10405
1606560451,10405
1606560454,10405
1606560457,10405
1606560460,10405
1606560463,10405
1606560466,10405
1606560469,10405
1606560472,10405
1606560475,10405
1606560478,10405
1606560481,10405
1606560484,10405
1606560487,10405
1606560490,10405
1606560493,10405
1606560496,10405
1606560499,10405
1606560502,10405
1606560505,10405
1606560508,10405
1606560511,10405
1606560514,10405
1606560517,10405
1606560520,10405
1606560523,10405
1606560526,10522
1606560529,10522
1606560532,10522
1606560535,10522
1606560538,10522
1606560541,10522
1606560544,10522
1606560547,10522
1606560550,10522
1606560553,10522
1606560556,10522
1606560559,10522
1606560562,10522
1606560565,10522
1606560568,10522
1606560571,10522
1606560574,10522
1606560577,10522
1606560580,10522
1606560583,10522
1606560586,10522
1606560589,10522
1606560592,10522
1606560595,10522
1606560598,10522
1606560601,10522
1606560604,10522
1606560607,10522
1606560610,10903
1606560613,11050
1606560616,11050
1606560619,11368
1606560622,11535
1606560625,11764
1606560628,11764
1606560631,11764
1606560634,11764
1606560637,11764
1606560640,11764
1606560643,11764
1606560646,11764
1606560649,11764
1606560652,12021
1606560655,12021
1606560658,12021
1606560661,12021
1606560664,12390
1606560667,12390
1606560670,12390
1606560673,12390
1606560676,12390
1606560679,12390
1606560682,12390
1606560685,12390
1606560688,12390
1606560691,12390
1606560694,12390
1606560697,12390
1606560700,12390
1606560703,12390
1606560706,12390
1606560709,12390
1606560712,12390
1606560715,12390
1606560718,12390
1606560721,12390
1606560724,12390
1606560727,12390
1606560730,12390
1606560733,12390
1606560736,12390
1606560739,12390
1606560742,12390
1606560745,12390
1606560748,12390
1606560751,12390
1606560754,12390
1606560757,12390
1606560760,12390
1606560763,12390
1606560766,12390
1606560769,12390
1606560772,12390
1606560775,12390
1606560778,12390
1606560781,12390
1606560784,12390
1606560787,12390
1606560790,12390
1606560793,12390
1606560796,12390
1606560799,12390
1606560802,12390
1606560805,13036
1606560808,13170
1606560811,13170
1606560814,13170
1606560817,13170
1606560820,13170
1606560823,13170
1606560826,13170
1606560829,13170
1606560832,13170
1606560835,13170
1606560838,13170
1606560841,13170
1606560844,13170
1606560847,13170
1606560850,13170
1606560853,13170
1606560856,13170
1606560859,13170
1606560862,13170
1606560865,13170
1606560868,13170
1606560871,13170
1606560874,13170
1606560877,13170
1606560880,13170
1606560883,13170
1606560886,13170
1606560889,13170
1606560892,13170
1606560895,13170
1606560898,13170
1606560901,13170
1606560904,13170
1606560907,13170
1606560910,13170
1606560913,13170
1606560916,13170
1606560919,13170
1606560922,13170
1606560925,13170
1606560928,13170
1606560931,13170
1606560934,13170
1606560937,13170
1606560940,13170
1606560943,13170
1606560946,13170
1606560949,13170
1606560952,13170
1606560955,13170
1606560958,13170
1606560961,13170
1606560964,13170
1606560967,13170
1606560970,13170
1606560973,13170
1606560976,13170
1606560979,13170
1606560982,13170
1606560985,13170
1606560988,13170
1606560991,13170
1606560994,13170
1606560997,13170
1606561000,13170
1606561003,13170
1606561006,13170
1606561009,13859
1606561012,13859
1606561015,16310
1606561018,16310
1606561021,16310
1606561024,16310
1606561027,16310
1606561030,16310
1606561033,16310
1606561036,16310
1606561039,16310
1606561042,16310
1606561045,16310
1606561048,16310
1606561051,16310
1606561054,16310
1606561057,16310
1606561060,16310
1606561063,16310
1606561066,16310
1606561069,16642
1606561072,16799
1606561075,17235
1606561078,18191
1606561081,18191
1606561084,18342
1606561087,18342
1606561090,18342
1606561093,18711
1606561096,18876
1606561099,18876
1606561102,18876
1606561105,19182
1606561108,19182
1606561111,19818
1606561114,20049
1606561117,21238
1606561120,22159
1606561123,24129
1606561129,27005
1606561135,30045
1606561142,33925
1606561144,33925
1606561146,34488
1606561148,34488
1606561151,34843
1606561154,35143
1606561154,35143
1606561155,36668
1606561158,36668
1606561159,36668
1606561173,49056
1606561175,52047
1606561178,52461
1606561180,52461
1606561180,52461
1606561181,55605
1606561182,55723
1606561183,55723
1606561186,57636
1606561189,57636
1606561192,57850
1606561195,57850
1606561198,57850
1606561201,57850
1606561204,57850
1606561207,57850
t,value
1606561529,0
1606561532,0
1606561535,0
1606561538,0
1606561541,0
1606561544,0
1606561547,0
1606561550,0
1606561553,0
1606561556,0
1606561559,0
1606561562,0
1606561565,0
1606561568,0
1606561571,0
1606561574,0
1606561577,0
1606561580,0
1606561583,0
1606561586,0
1606561589,0
1606561592,0
1606561595,0
1606561598,0
1606561601,0
1606561604,0
1606561607,0
1606561610,0
1606561613,0
1606561616,0
1606561619,0
1606561622,0
1606561625,0
1606561628,0
1606561631,0
1606561634,0
1606561637,0
1606561640,0
1606561643,0
1606561646,0
1606561649,0
1606561652,0
1606561655,0
1606561658,0
1606561661,0
1606561664,0
1606561667,0
1606561670,0
1606561673,0
1606561676,0
1606561679,0
1606561682,0
1606561685,0
1606561688,0
1606561691,114
1606561694,114
1606561697,114
1606561700,114
1606561703,114
1606561706,114
1606561709,114
1606561712,114
1606561715,114
1606561718,114
1606561721,114
1606561724,114
1606561727,114
1606561730,114
1606561733,114
1606561736,114
1606561739,114
1606561742,114
1606561745,114
1606561748,114
1606561751,114
1606561754,114
1606561757,114
1606561760,114
1606561763,114
1606561766,114
1606561769,114
1606561772,114
1606561775,114
1606561778,114
1606561781,114
1606561784,114
1606561787,114
1606561790,114
1606561793,114
1606561796,114
1606561799,114
1606561802,114
1606561805,114
1606561808,114
t,value
1606561865,0
1606561868,0
1606561871,0
1606561874,0
1606561877,0
1606561880,0
1606561883,0
1606561886,0
1606561889,0
1606561892,0
1606561895,0
1606561898,0
1606561901,0
1606561904,0
1606561907,0
1606561910,0
1606561913,0
1606561916,130
1606561919,674
1606561922,674
1606561925,674
1606561928,674
1606561931,674
1606561934,674
1606561937,674
1606561940,674
1606561943,674
1606561946,674
1606561949,674
1606561952,674
1606561955,674
1606561958,674
1606561961,674
1606561964,674
1606561967,674
1606561970,674
1606561973,674
1606561976,674
1606561979,674
1606561982,674
1606561985,674
1606561988,674
1606561991,674
1606561994,674
1606561997,674
1606562000,674
1606562003,674
1606562006,674
1606562009,674
1606562012,674
1606562015,674
1606562018,674
1606562021,674
1606562024,674
1606562027,674
1606562030,674
1606562033,674
1606562036,674
1606562039,674
1606562042,674
1606562045,674
1606562048,674
1606562051,674
1606562054,674
1606562057,674
1606562060,674
1606562063,674
1606562066,674
1606562069,674
1606562072,674
1606562075,674
1606562078,674
1606562081,674
1606562084,674
1606562087,674
1606562090,674
1606562093,674
1606562096,674
1606562099,674
1606562102,674
1606562105,674
1606562108,674
1606562111,674
1606562114,674
1606562117,674
1606562120,674
1606562123,674
1606562126,674
1606562129,674
1606562132,674
1606562135,674
1606562138,674
1606562141,674
1606562144,674
1606562147,674
1606562150,674
1606562153,674
1606562156,674
1606562159,674
1606562162,674
1606562165,674
1606562168,674
1606562171,674
1606562174,674
1606562177,674
1606562180,674
1606562183,674
1606562186,674
1606562189,674
1606562192,674
1606562195,674
1606562198,674
1606562201,674
1606562204,674
1606562207,674
1606562210,674
1606562213,674
1606562216,674
1606562219,674
1606562222,674
1606562225,674
1606562228,674
1606562231,674
1606562234,674
1606562237,674
1606562240,674
1606562243,674
1606562246,674
1606562249,674
1606562252,674
1606562255,674
1606562258,674
1606562261,674
1606562264,674
1606562267,674
1606562270,674
1606562273,674
1606562276,674
1606562279,674
1606562282,674
1606562285,674
1606562288,674
1606562291,674
1606562294,674
1606562297,674
1606562300,674
1606562303,674
1606562306,674
1606562309,674
1606562312,674
1606562315,674
1606562318,674
1606562321,674
1606562324,674
1606562327,674
1606562330,674
1606562333,674
1606562336,674
1606562339,674
1606562342,674
1606562345,674
1606562348,674
1606562351,674
1606562354,674
1606562357,674
1606562360,674
1606562363,674
1606562366,674
1606562369,674
1606562372,674
1606562375,674
1606562378,674
1606562381,674
1606562384,674
1606562387,674
1606562390,674
1606562393,674
1606562396,674
1606562399,674
1606562402,674
1606562405,674
1606562408,674
1606562411,674
1606562414,674
1606562417,674
1606562420,674
1606562423,674
1606562426,674
1606562429,674
1606562432,674
1606562435,674
1606562438,674
1606562441,674
1606562444,674
1606562447,674
1606562450,674
1606562453,674
1606562456,674
1606562459,674
1606562462,674
1606562465,674
1606562468,674
1606562471,674
1606562474,674
1606562477,674
1606562480,674
1606562483,674
1606562486,674
1606562489,674
1606562492,674
1606562495,674
1606562498,783
1606562501,783
1606562504,783
1606562507,783
1606562510,783
1606562513,783
1606562516,783
1606562519,783
1606562522,783
1606562525,783
1606562528,783
1606562531,783
1606562534,783
1606562537,783
1606562540,783
1606562543,783
1606562546,783
1606562549,783
1606562552,783
1606562555,783
1606562558,783
1606562561,783
1606562564,783
1606562567,783
1606562570,783
1606562573,783
1606562576,783
1606562579,783
1606562582,783
1606562585,783
1606562588,783
1606562591,783
1606562594,783
1606562597,783
1606562600,783
1606562603,783
1606562606,783
1606562609,783
1606562612,783
1606562615,783
1606562618,783
1606562621,783
1606562624,783
1606562627,783
1606562630,783
1606562633,783
1606562636,783
1606562639,783
1606562642,783
1606562645,783
1606562648,783
1606562651,783
1606562654,783
1606562657,783
1606562660,783
1606562663,783
1606562666,783
1606562669,783
1606562672,783
1606562675,783
1606562678,783
1606562681,783
1606562684,783
1606562687,783
1606562690,783
1606562693,783
1606562696,783
1606562699,783
1606562702,783
1606562705,783
1606562708,783
1606562711,783
1606562714,783
1606562717,783
1606562720,783
1606562723,783
1606562726,783
1606562729,783
1606562732,783
1606562735,783
1606562738,783
1606562741,783
1606562744,783
1606562747,783
1606562750,783
1606562753,783
1606562756,783
1606562759,783
1606562762,783
1606562765,783
1606562768,783
1606562771,783
1606562774,783
1606562777,783
1606562780,783
1606562783,783
1606562786,783
1606562789,783
1606562792,783
1606562795,783
1606562798,783
1606562801,783
1606562804,783
1606562807,783
1606562810,783
1606562813,783
1606562816,783
1606562819,783
1606562822,783
1606562825,783
1606562828,783
1606562831,783
1606562834,783
1606562837,783
1606562840,783
1606562843,783
1606562846,783
1606562849,783
1606562852,783
1606562855,783
1606562858,783
1606562861,783
1606562864,783
1606562867,783
1606562870,783
1606562873,783
1606562876,783
1606562879,783
1606562882,783
1606562885,783
1606562888,783
1606562891,783
1606562894,783
1606562897,783
1606562900,783
1606562903,783
1606562906,783
1606562909,783
1606562912,783
1606562915,783
1606562918,783
1606562921,783
1606562924,783
1606562927,783
1606562930,783
1606562933,783
1606562936,783
1606562939,783
1606562942,783
1606562945,783
1606562948,783
1606562951,783
1606562954,783
1606562957,783
1606562960,783
1606562963,783
1606562966,783
1606562969,783
1606562972,783
1606562975,783
1606562978,783
1606562981,783
1606562984,783
1606562987,783
1606562990,783
1606562993,783
1606562996,783
1606562999,783
1606563002,783
1606563005,783
1606563008,783
1606563011,783
1606563014,783
1606563017,783
1606563020,783
1606563023,783
1606563026,783
1606563029,783
1606563032,783
1606563035,783
1606563038,783
1606563041,783
1606563044,783
1606563047,783
1606563050,783
1606563053,783
1606563056,783
1606563059,783
1606563062,783
1606563065,783
1606563068,783
1606563071,783
1606563074,783
1606563077,783
1606563080,783
1606563083,783
1606563086,783
1606563089,783
1606563092,783
1606563095,783
1606563098,783
1606563101,783
1606563104,783
1606563107,783
1606563110,783
1606563113,783
1606563116,783
1606563119,783
1606563122,783
1606563125,783
1606563128,783
1606563131,783
1606563134,783
1606563137,783
1606563140,783
1606563143,783
1606563146,783
1606563149,783
1606563152,783
1606563155,783
1606563158,783
1606563161,783
1606563164,783
1606563167,783
1606563170,783
1606563173,783
1606563176,783
1606563179,783
1606563182,783
1606563185,783
1606563188,783
1606563191,783
1606563194,783
1606563197,783
1606563200,783
1606563203,783
1606563206,783
1606563209,783
1606563212,783
1606563215,783
1606563218,783
1606563221,783
1606563224,783
1606563227,783
1606563230,783
1606563233,783
1606563236,783
1606563239,783
1606563242,783
1606563245,783
1606563248,783
1606563251,783
1606563254,783
1606563257,783
1606563260,783
1606563263,783
1606563266,783
1606563269,783
1606563272,783
1606563275,783
1606563278,783
1606563281,783
1606563284,783
1606563287,783
1606563290,783
1606563293,783
1606563296,783
1606563299,783
1606563302,783
1606563305,783
1606563308,783
1606563311,783
1606563314,783
1606563317,783
1606563320,783
1606563323,783
1606563326,783
1606563329,783
1606563332,783
1606563335,783
1606563338,783
1606563341,783
1606563344,783
1606563347,783
1606563350,783
1606563353,783
1606563356,783
1606563359,783
1606563362,783
1606563365,783
1606563368,783
1606563371,783
1606563374,783
1606563377,783
1606563380,783
1606563383,783
1606563386,783
1606563389,783
1606563392,783
1606563395,783
1606563398,783
1606563401,783
1606563404,783
1606563407,783
1606563410,783
1606563413,783
1606563416,783
1606563419,783
1606563422,783
1606563425,783
1606563428,783
1606563431,783
1606563434,783
1606563437,783
1606563440,783
1606563443,783
1606563446,783
1606563449,783
1606563452,783
1606563455,783
1606563458,783
1606563461,783
1606563464,783
1606563467,783
1606563470,783
1606563473,783
1606563476,783
1606563479,783
1606563482,783
1606563485,783
1606563488,783
1606563491,783
1606563494,783
1606563497,783
1606563500,783
1606563503,783
1606563506,783
1606563509,783
1606563512,783
1606563515,783
1606563518,783
1606563521,783
1606563524,783
1606563527,783
1606563530,783
1606563533,783
1606563536,783
1606563539,783
1606563542,783
1606563545,783
1606563548,783
1606563551,783
1606563554,783
1606563557,783
1606563560,783
1606563563,783
1606563566,783
1606563569,783
1606563572,783
1606563575,783
1606563578,783
1606563581,783
1606563584,783
1606563587,783
1606563590,783
1606563593,783
1606563596,783
1606563599,783
1606563602,783
1606563605,783
1606563608,783
1606563611,783
1606563614,783
1606563617,783
1606563620,783
1606563623,783
1606563626,783
1606563629,783
1606563632,783
1606563635,783
1606563638,783
