t,value
1606559974,36
1606559989,45
1606559990,45
1606559990,45
1606559991,45
1606559991,45
1606559992,45
1606559995,45
1606559998,45
1606560001,45
1606560004,45
1606560007,45
1606560010,45
1606560013,45
1606560016,45
1606560019,45
1606560022,44
1606560025,44
1606560028,44
1606560031,42
1606560034,40
1606560037,40
1606560040,40
1606560043,40
1606560046,40
1606560049,40
1606560052,40
1606560055,40
1606560058,40
1606560061,40
1606560064,40
1606560067,40
1606560070,40
1606560073,40
1606560076,40
1606560079,40
1606560082,40
1606560085,40
1606560088,40
1606560091,40
1606560094,40
1606560097,40
1606560100,40
1606560103,40
1606560106,40
1606560109,40
1606560112,40
1606560115,40
1606560118,40
1606560121,40
1606560124,40
1606560127,40
1606560130,40
1606560133,40
1606560136,40
1606560139,40
1606560142,40
1606560145,40
1606560148,40
1606560151,40
1606560154,40
1606560157,40
1606560160,40
1606560163,40
1606560166,40
1606560169,40
1606560172,40
1606560175,40
1606560178,40
1606560181,40
1606560184,40
1606560187,40
1606560190,40
1606560193,40
1606560196,40
1606560199,40
1606560202,40
1606560205,40
1606560208,40
1606560211,40
1606560214,40
1606560217,40
1606560220,40
1606560223,40
1606560226,40
1606560229,40
1606560232,40
1606560235,40
1606560238,40
1606560241,40
1606560244,40
1606560247,40
1606560250,40
1606560253,40
1606560256,40
1606560259,40
1606560262,40
1606560265,40
1606560268,40
1606560271,40
1606560274,40
1606560277,40
1606560280,40
1606560283,40
1606560286,40
1606560289,40
1606560292,40
1606560295,40
1606560298,40
1606560301,40
1606560304,40
1606560307,40
1606560310,40
1606560313,40
1606560316,40
1606560319,40
1606560322,40
1606560325,40
1606560328,40
1606560331,40
1606560334,40
1606560337,40
1606560340,40
1606560343,40
1606560346,40
1606560349,40
1606560352,40
1606560355,40
1606560358,40
1606560361,40
1606560364,40
1606560367,40
1606560370,40
1606560373,40
1606560376,40
1606560379,40
1606560389,43
1606560390,43
1606560391,43
1606560391,43
1606560394,43
1606560397,43
1606560400,43
1606560403,43
1606560406,43
1606560409,43
1606560412,43
1606560415,43
1606560418,43
1606560421,43
1606560424,43
1606560427,43
1606560430,43
1606560433,43
1606560436,43
1606560439,43
1606560442,43
1606560445,43
1606560448,43
1606560451,42
1606560454,40
1606560457,40
1606560460,40
1606560463,40
1606560466,40
1606560469,40
1606560472,40
1606560475,40
1606560478,40
1606560481,40
1606560484,40
1606560487,40
1606560490,40
1606560493,40
1606560496,40
1606560499,40
1606560502,40
1606560505,40
1606560508,40
1606560511,40
1606560514,40
1606560517,40
1606560520,40
1606560523,40
1606560526,40
1606560529,40
1606560532,40
1606560535,40
1606560538,40
1606560541,40
1606560544,40
1606560547,40
1606560550,40
1606560553,40
1606560556,40
1606560559,40
1606560562,40
1606560565,40
1606560568,40
1606560571,40
1606560574,40
1606560577,40
1606560580,40
1606560583,40
1606560586,40
1606560589,40
1606560592,40
1606560595,40
1606560598,40
1606560601,40
1606560604,40
1606560607,40
1606560610,40
1606560613,40
1606560616,40
1606560619,40
1606560622,40
1606560625,40
1606560628,40
1606560631,40
1606560634,40
1606560637,40
1606560640,40
1606560643,40
1606560646,40
1606560649,40
1606560652,40
1606560655,40
1606560658,40
1606560661,40
1606560664,40
1606560667,40
1606560670,40
1606560673,40
1606560676,40
1606560679,40
1606560682,40
1606560685,40
1606560688,40
1606560691,40
1606560694,40
1606560697,40
1606560700,40
1606560703,40
1606560706,40
1606560709,40
1606560712,40
1606560715,40
1606560718,40
1606560721,40
1606560724,40
1606560727,40
1606560730,40
1606560733,40
1606560736,40
1606560739,40
1606560742,40
1606560745,40
1606560748,40
1606560751,40
1606560754,40
1606560757,40
1606560760,40
1606560763,40
1606560766,40
1606560769,40
1606560772,40
1606560775,40
1606560778,40
1606560781,40
1606560784,40
1606560787,40
1606560790,40
1606560793,40
1606560796,40
1606560799,40
1606560802,40
1606560805,40
1606560808,40
1606560811,40
1606560814,40
1606560817,40
1606560820,40
1606560823,40
1606560826,40
1606560829,40
1606560832,40
1606560835,40
1606560838,40
1606560841,40
1606560844,40
1606560847,40
1606560850,40
1606560853,40
1606560856,40
1606560859,40
1606560862,40
1606560865,40
1606560868,40
1606560871,40
1606560874,40
1606560877,40
1606560880,40
1606560883,40
1606560886,40
1606560889,40
1606560892,40
1606560895,40
1606560898,40
1606560901,40
1606560904,40
1606560907,40
1606560910,40
1606560913,40
1606560916,40
1606560919,40
1606560922,40
1606560925,40
1606560928,40
1606560931,40
1606560934,40
1606560937,40
1606560940,40
1606560943,40
1606560946,40
1606560949,40
1606560952,40
1606560955,40
1606560958,40
1606560961,40
1606560964,40
1606560967,40
1606560970,40
1606560973,40
1606560976,40
1606560979,40
1606560982,40
1606560985,40
1606560988,40
1606560991,40
1606560994,40
1606560997,40
1606561000,40
1606561003,40
1606561006,40
1606561009,39
1606561012,39
1606561015,45
1606561018,45
1606561021,45
1606561024,45
1606561027,45
1606561030,45
1606561033,45
1606561036,45
1606561039,45
1606561042,45
1606561045,45
1606561048,45
1606561051,45
1606561054,45
1606561057,45
1606561060,45
1606561063,45
1606561066,45
1606561069,45
1606561072,45
1606561075,45
1606561078,43
1606561081,43
1606561084,43
1606561087,43
1606561090,43
1606561093,43
1606561096,43
1606561099,43
1606561102,43
1606561105,43
1606561108,43
1606561111,43
1606561114,44
1606561117,44
1606561120,44
1606561123,44
1606561129,44
1606561135,44
1606561142,44
1606561144,44
1606561146,44
1606561148,44
1606561151,44
1606561154,44
1606561154,44
1606561155,44
1606561158,44
1606561159,47
1606561173,49
1606561175,49
1606561178,49
1606561180,49
1606561180,49
1606561181,49
1606561182,49
1606561183,49
1606561186,49
1606561189,49
1606561192,49
1606561195,49
1606561198,49
1606561201,49
1606561204,49
1606561207,49
t,value
1606561529,35
1606561532,35
1606561535,35
1606561538,45
1606561541,46
1606561544,48
1606561547,51
1606561550,51
1606561553,51
1606561556,51
1606561559,51
1606561562,51
1606561565,51
1606561568,51
1606561571,51
1606561574,51
1606561577,49
1606561580,49
1606561583,48
1606561586,48
1606561589,48
1606561592,48
1606561595,48
1606561598,48
1606561601,48
1606561604,48
1606561607,48
1606561610,48
1606561613,48
1606561616,48
1606561619,48
1606561622,48
1606561625,48
1606561628,48
1606561631,48
1606561634,48
1606561637,48
1606561640,48
1606561643,48
1606561646,48
1606561649,48
1606561652,48
1606561655,48
1606561658,48
1606561661,48
1606561664,48
1606561667,48
1606561670,48
1606561673,48
1606561676,48
1606561679,48
1606561682,48
1606561685,48
1606561688,48
1606561691,52
1606561694,52
1606561697,52
1606561700,52
1606561703,52
1606561706,52
1606561709,52
1606561712,52
1606561715,52
1606561718,52
1606561721,52
1606561724,52
1606561727,52
1606561730,52
1606561733,52
1606561736,52
1606561739,52
1606561742,52
1606561745,52
1606561748,52
1606561751,52
1606561754,52
1606561757,52
1606561760,52
1606561763,52
1606561766,52
1606561769,52
1606561772,52
1606561775,52
1606561778,52
1606561781,52
1606561784,52
1606561787,52
1606561790,52
1606561793,52
1606561796,52
1606561799,52
1606561802,52
1606561805,52
1606561808,53
t,value
1606561865,42
1606561868,46
1606561871,48
1606561874,47
1606561877,47
1606561880,47
1606561883,47
1606561886,47
1606561889,47
1606561892,47
1606561895,47
1606561898,47
1606561901,47
1606561904,48
1606561907,48
1606561910,48
1606561913,48
1606561916,55
1606561919,56
1606561922,54
1606561925,54
1606561928,54
1606561931,54
1606561934,54
1606561937,54
1606561940,54
1606561943,54
1606561946,54
1606561949,54
1606561952,54
1606561955,54
1606561958,54
1606561961,54
1606561964,54
1606561967,54
1606561970,54
1606561973,54
1606561976,54
1606561979,53
1606561982,53
1606561985,53
1606561988,53
1606561991,53
1606561994,53
1606561997,53
1606562000,53
1606562003,53
1606562006,53
1606562009,53
1606562012,53
1606562015,53
1606562018,53
1606562021,53
1606562024,53
1606562027,53
1606562030,53
1606562033,53
1606562036,53
1606562039,53
1606562042,53
1606562045,53
1606562048,53
1606562051,53
1606562054,53
1606562057,53
1606562060,53
1606562063,53
1606562066,53
1606562069,53
1606562072,53
1606562075,53
1606562078,53
1606562081,53
1606562084,53
1606562087,53
1606562090,53
1606562093,53
1606562096,53
1606562099,53
1606562102,53
1606562105,53
1606562108,53
1606562111,53
1606562114,53
1606562117,53
1606562120,53
1606562123,53
1606562126,53
1606562129,53
1606562132,53
1606562135,53
1606562138,53
1606562141,53
1606562144,53
1606562147,53
1606562150,53
1606562153,53
1606562156,53
1606562159,53
1606562162,53
1606562165,53
1606562168,53
1606562171,53
1606562174,53
1606562177,53
1606562180,53
1606562183,53
1606562186,53
1606562189,53
1606562192,53
1606562195,53
1606562198,53
1606562201,53
1606562204,53
1606562207,53
1606562210,53
1606562213,53
1606562216,53
1606562219,53
1606562222,53
1606562225,53
1606562228,53
1606562231,53
1606562234,53
1606562237,53
1606562240,53
1606562243,53
1606562246,53
1606562249,53
1606562252,53
1606562255,53
1606562258,53
1606562261,53
1606562264,53
1606562267,53
1606562270,53
1606562273,53
1606562276,53
1606562279,53
1606562282,53
1606562285,53
1606562288,53
1606562291,53
