t,value
1606559974,42
1606559989,51
1606559990,51
1606559990,51
1606559991,51
1606559991,51
1606559992,51
1606559995,51
1606559998,51
1606560001,51
1606560004,51
1606560007,51
1606560010,51
1606560013,51
1606560016,51
1606560019,51
1606560022,50
1606560025,50
1606560028,50
1606560031,48
1606560034,46
1606560037,46
1606560040,46
1606560043,46
1606560046,46
1606560049,46
1606560052,46
1606560055,46
1606560058,46
1606560061,46
1606560064,46
1606560067,46
1606560070,46
1606560073,46
1606560076,46
1606560079,46
1606560082,46
1606560085,46
1606560088,46
1606560091,46
1606560094,46
1606560097,46
1606560100,46
1606560103,46
1606560106,46
1606560109,46
1606560112,46
1606560115,46
1606560118,46
1606560121,46
1606560124,46
1606560127,46
1606560130,46
1606560133,46
1606560136,46
1606560139,46
1606560142,46
1606560145,46
1606560148,46
1606560151,46
1606560154,46
1606560157,46
1606560160,46
1606560163,46
1606560166,46
1606560169,46
1606560172,46
1606560175,46
1606560178,46
1606560181,46
1606560184,46
1606560187,46
1606560190,46
1606560193,46
1606560196,46
1606560199,46
1606560202,46
1606560205,46
1606560208,46
1606560211,46
1606560214,46
1606560217,46
1606560220,46
1606560223,46
1606560226,46
1606560229,46
1606560232,46
1606560235,46
1606560238,46
1606560241,46
1606560244,46
1606560247,46
1606560250,46
1606560253,46
1606560256,46
1606560259,46
1606560262,46
1606560265,46
1606560268,46
1606560271,46
1606560274,46
1606560277,46
1606560280,46
1606560283,46
1606560286,46
1606560289,46
1606560292,46
1606560295,46
1606560298,46
1606560301,46
1606560304,46
1606560307,46
1606560310,46
1606560313,46
1606560316,46
1606560319,46
1606560322,46
1606560325,46
1606560328,46
1606560331,46
1606560334,46
1606560337,46
1606560340,46
1606560343,46
1606560346,46
1606560349,46
1606560352,46
1606560355,46
1606560358,46
1606560361,46
1606560364,46
1606560367,46
1606560370,46
1606560373,46
1606560376,46
1606560379,46
1606560389,49
1606560390,49
1606560391,49
1606560391,49
1606560394,49
1606560397,49
1606560400,49
1606560403,49
1606560406,49
1606560409,49
1606560412,49
1606560415,49
1606560418,49
1606560421,49
1606560424,49
1606560427,49
1606560430,49
1606560433,49
1606560436,49
1606560439,49
1606560442,49
1606560445,49
1606560448,49
1606560451,48
1606560454,46
1606560457,46
1606560460,46
1606560463,46
1606560466,46
1606560469,46
1606560472,46
1606560475,46
1606560478,46
1606560481,46
1606560484,46
1606560487,46
1606560490,46
1606560493,46
1606560496,46
1606560499,46
1606560502,46
1606560505,46
1606560508,46
1606560511,46
1606560514,46
1606560517,46
1606560520,46
1606560523,46
1606560526,46
1606560529,46
1606560532,46
1606560535,46
1606560538,46
1606560541,46
1606560544,46
1606560547,46
1606560550,46
1606560553,46
1606560556,46
1606560559,46
1606560562,46
1606560565,46
1606560568,46
1606560571,46
1606560574,46
1606560577,46
1606560580,46
1606560583,46
1606560586,46
1606560589,46
1606560592,46
1606560595,46
1606560598,46
1606560601,46
1606560604,46
1606560607,46
1606560610,46
1606560613,46
1606560616,46
1606560619,46
1606560622,46
1606560625,46
1606560628,46
1606560631,46
1606560634,46
1606560637,46
1606560640,46
1606560643,46
1606560646,46
1606560649,46
